COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
114,8,9,PROP,PER,The Signora,39,50,52
115,19,20,PROP,PER,Miss Bartlett,83,96,6
114,28,28,PRON,PER,She,119,122,52
116,60,60,PROP,PER,Lucy,266,270,4
116,72,72,PROP,PER,Lucy,305,309,4
114,80,81,PROP,PER,the Signora,344,355,52
116,93,93,PRON,PER,She,399,402,4
117,159,161,PROP,PER,Rev. Cuthbert Eager,725,744,49
115,180,180,PROP,PER,Charlotte,809,818,6
115,184,184,PRON,PER,you,826,829,6
116,196,196,PRON,PER,I,869,870,4
116,210,210,PRON,PER,I,939,940,4
115,233,234,PROP,PER,Miss Bartlett,1027,1040,6
115,238,238,PRON,PER,her,1054,1057,6
116,242,242,PRON,PER,I,1066,1067,4
2,247,248,PROP,LOC,the Arno,1083,1091,31
114,252,253,PROP,PER,the Signora,1103,1114,52
114,257,257,PRON,PER,her,1130,1133,52
2,263,264,PROP,LOC,the Arno,1164,1172,31
114,266,267,PROP,PER,The Signora,1174,1185,52
115,290,290,PRON,PER,me,1259,1261,6
115,293,294,PROP,PER,Miss Bartlett,1264,1277,6
116,304,304,PRON,PER,you,1317,1320,4
116,312,312,PROP,PER,Lucy,1346,1350,4
116,315,315,PRON,PER,she,1361,1364,4
115,321,321,PROP,PER,Charlotte,1384,1393,6
115,323,323,PRON,PER,you,1395,1398,6
116,327,327,PRON,PER,me,1413,1415,4
115,332,332,PRON,PER,you,1428,1431,6
2,336,337,PROP,LOC,the Arno,1447,1455,31
116,341,341,PRON,PER,I,1462,1463,4
116,354,354,PRON,PER,You,1515,1518,4
115,361,362,PROP,PER,Miss Bartlett,1539,1552,6
116,372,372,PROP,PER,Lucy,1601,1605,4
115,382,382,PRON,PER,she,1647,1650,6
116,394,394,PRON,PER,You,1691,1694,4
115,401,401,PRON,PER,I,1712,1713,6
116,406,406,PRON,PER,Your,1728,1732,4
115,411,411,PRON,PER,me,1760,1762,6
116,413,413,PROP,PER,Lucy,1764,1768,4
116,421,421,PRON,PER,me,1797,1799,4
115,509,510,PROP,PER,Miss Bartlett,2189,2202,6
115,547,547,PRON,PER,She,2366,2369,6
115,559,559,PRON,PER,she,2419,2422,6
115,605,606,PROP,PER,Miss Bartlett,2627,2640,6
115,614,614,PRON,PER,her,2671,2674,6
115,626,626,PRON,PER,her,2730,2733,6
115,645,645,PRON,PER,she,2823,2826,6
115,654,654,PRON,PER,her,2871,2874,6
115,706,707,PROP,PER,Miss Bartlett,3028,3041,6
116,710,710,PROP,PER,Lucy,3054,3058,4
115,730,730,PRON,PER,you,3123,3126,6
115,740,740,PRON,PER,yours,3162,3167,6
115,765,766,PROP,PER,Miss Bartlett,3271,3284,6
115,772,772,PRON,PER,her,3303,3306,6
115,823,823,PRON,PER,you,3509,3512,6
116,838,838,PROP,PER,Lucy,3557,3561,4
116,840,840,PRON,PER,Her,3563,3566,4
