COREF,matches,pdncID
113,[],-1
114,"[52, 52]",52
115,"[6, 6]",6
2085,[],-1
2086,[],-1
2087,[],-1
2088,[],-1
2089,[],-1
116,"[4, 4]",4
2090,[],-1
1,[],-1
294,[],-1
295,[],-1
296,[],-1
297,[],-1
299,[],-1
117,[49],49
300,[],-1
2091,[],-1
2092,[],-1
2,[31],31
2093,[],-1
2094,[],-1
301,[],-1
2095,[],-1
302,[],-1
303,[],-1
304,[],-1
305,[],-1
306,[],-1
307,[],-1
308,[],-1
309,[],-1
310,[],-1
311,[],-1
312,[],-1
313,[],-1
2096,[],-1
118,"[2, 11, 2, 2]",-1
2097,[],-1
2098,[],-1
314,[],-1
315,[],-1
317,[],-1
2099,[],-1
2100,[],-1
318,[],-1
319,[],-1
2101,[],-1
320,[35],35
322,[],-1
323,[],-1
325,[],-1
326,[],-1
2102,[],-1
327,[],-1
328,[],-1
329,[],-1
119,[10],10
3,[],-1
2105,[],-1
4,[],-1
330,[],-1
332,[19],19
333,[],-1
2106,[],-1
5,[],-1
2107,[],-1
2108,[],-1
335,[32],32
2109,[],-1
2110,[],-1
2111,[],-1
2112,[],-1
6,[],-1
2114,[],-1
2115,[],-1
2116,[],-1
14,[],-1
337,[],-1
338,[],-1
339,[],-1
2117,[],-1
7,[],-1
8,[],-1
2118,[],-1
9,[],-1
2119,[],-1
341,[],-1
343,[],-1
344,[],-1
345,[],-1
346,[],-1
347,[8],8
2120,[],-1
348,[],-1
350,[],-1
351,[],-1
352,[],-1
353,[],-1
354,[],-1
357,[],-1
358,[],-1
121,[],-1
359,[],-1
122,[],-1
360,[],-1
123,[],-1
10,[],-1
361,[],-1
362,[],-1
11,[],-1
2121,[],-1
2122,[],-1
2123,[],-1
2124,[],-1
2125,[],-1
2126,[],-1
2127,[],-1
2128,[],-1
2132,[],-1
2133,[],-1
2136,[],-1
363,[],-1
2139,[],-1
364,[],-1
2140,[],-1
2141,[],-1
2142,[],-1
2143,[],-1
2144,[],-1
2145,[],-1
2146,[],-1
2147,[],-1
2148,[],-1
2149,[],-1
124,"[1, 1]",1
2151,[],-1
2152,[],-1
2153,[],-1
365,[],-1
366,[],-1
2154,[],-1
369,[],-1
371,[],-1
372,[],-1
12,[],-1
374,[],-1
13,[],-1
2155,[],-1
2157,[],-1
2158,[],-1
375,[56],56
376,[],-1
378,[],-1
379,[],-1
381,[],-1
2159,[],-1
2160,[],-1
2161,[],-1
382,[],-1
2164,[],-1
2167,[],-1
2168,[],-1
384,[],-1
385,[],-1
386,[],-1
387,[],-1
389,[],-1
391,[],-1
2170,[],-1
2171,[],-1
392,[],-1
2172,[],-1
2175,[],-1
393,[],-1
394,[],-1
396,[],-1
2176,[],-1
397,[],-1
126,[],-1
15,[],-1
398,[],-1
2179,[],-1
2183,[],-1
2185,[],-1
127,[],-1
400,[],-1
401,[],-1
24,[],-1
402,[],-1
17,[],-1
403,[],-1
18,[],-1
406,[],-1
407,[],-1
408,[],-1
409,[],-1
410,[],-1
412,[],-1
414,[],-1
415,[],-1
417,[],-1
418,[],-1
419,[],-1
420,[],-1
421,[],-1
422,[],-1
423,[],-1
424,[],-1
425,[],-1
426,[],-1
427,[],-1
428,[],-1
429,[],-1
430,[],-1
431,[],-1
433,[],-1
140,[27],27
20,[],-1
434,[],-1
435,[],-1
437,[],-1
438,[],-1
128,[51],51
2186,[],-1
129,[],-1
2187,[],-1
130,[45],45
2188,[],-1
2189,[],-1
2190,[],-1
441,[],-1
2191,[],-1
2192,[],-1
443,[],-1
444,[],-1
131,"[8, 8, 8]",8
22,[],-1
446,[],-1
23,[],-1
132,[],-1
447,[],-1
448,[],-1
2193,[],-1
450,[],-1
25,[],-1
2195,[],-1
2196,[44],44
2197,[],-1
2198,[],-1
451,[],-1
452,[],-1
454,[],-1
455,[],-1
2199,[],-1
2200,[],-1
2201,[],-1
2202,[],-1
134,[50],50
26,[],-1
2204,[],-1
2206,[],-1
2207,[],-1
2209,[],-1
2210,[],-1
2211,[],-1
27,[],-1
28,[],-1
2212,[],-1
2213,[],-1
135,"[21, 21, 21]",21
2214,[],-1
136,[15],15
2215,[],-1
2216,[],-1
2217,[],-1
29,[],-1
456,[],-1
2218,[],-1
2219,[],-1
2220,[],-1
457,[],-1
458,[],-1
459,[],-1
460,[],-1
137,[],-1
461,[],-1
462,[],-1
463,[],-1
2222,[],-1
2223,[],-1
2224,[],-1
2225,[],-1
2226,[],-1
464,[],-1
465,[],-1
466,[],-1
467,[],-1
30,[],-1
468,[],-1
470,[],-1
471,[],-1
472,[],-1
473,[],-1
2227,[],-1
2228,[],-1
2230,[],-1
2232,[],-1
31,[],-1
2233,[],-1
474,[],-1
475,[],-1
476,[],-1
478,[],-1
477,[],-1
482,[],-1
484,[],-1
486,[],-1
487,[],-1
488,[],-1
489,[],-1
490,[],-1
492,[],-1
141,[],-1
496,[],-1
497,[],-1
498,[],-1
499,[],-1
500,[],-1
142,[],-1
501,[],-1
502,[],-1
503,[],-1
504,[],-1
505,[],-1
2234,[],-1
2235,[],-1
2236,[],-1
506,[55],55
507,[],-1
2237,[],-1
2238,[],-1
509,[],-1
510,[],-1
511,[],-1
2239,[],-1
143,[],-1
512,[],-1
513,[],-1
2241,[],-1
515,[],-1
2245,[],-1
2246,[],-1
2250,[],-1
518,[],-1
520,[],-1
521,[],-1
523,[],-1
527,[],-1
2252,[],-1
526,[],-1
528,[],-1
529,[],-1
530,[],-1
531,[],-1
2253,[],-1
2254,[],-1
2255,[],-1
532,[],-1
2256,[],-1
2257,[],-1
144,[],-1
533,[],-1
534,[],-1
535,[],-1
2258,[],-1
2260,[],-1
2261,[],-1
2262,[],-1
2263,[],-1
2264,[],-1
2265,[],-1
2266,[],-1
2268,[],-1
539,[],-1
540,[],-1
542,[],-1
145,[9],9
