exp_name,text,start_byte,end_byte,pdncID
lady helen laverstock,Lady Helen Laverstock,107070,107091,47
vendor of photographs,vendor of photographs,90965,90986,58
vendor of photographs,vendor of photographs,370985,371006,58
vicar of st. peter's,Vicar of St. Peter's,5763,5783,59
miss catherine alan,Miss Catherine Alan,40743,40762,7
contessa baroncelli,Contessa Baroncelli,24406,24425,45
contessa baroncelli,Contessa Baroncelli,24685,24704,45
rev. cuthbert eager,Rev. Cuthbert Eager,725,744,49
rev. cuthbert eager,Rev. Cuthbert Eager,41447,41466,49
miss catharine alan,Miss Catharine Alan,55487,55506,7
miss catharine alan,Miss Catharine Alan,57061,57080,7
miss catharine alan,Miss Catharine Alan,182230,182249,7
miss catharine alan,Miss Catharine Alan,261575,261594,7
the little old lady,the little old lady,15277,15296,56
the little old lady,the little old lady,18267,18286,56
the little old lady,The little old lady,64381,64400,56
joseph emery prank,Joseph Emery Prank,278490,278508,8
joseph emery prank,Joseph Emery Prank,278738,278756,8
joseph emery prank,Joseph Emery Prank,279741,279759,8
joseph emery prank,Joseph Emery Prank,281770,281788,8
signora bertolini,Signora Bertolini,14834,14851,52
signora bertolini,Signora Bertolini,58386,58403,52
signora bertolini,Signora Bertolini,135876,135893,52
mrs. butterworth,Mrs. Butterworth,27882,27898,15
mrs. butterworth,Mrs. Butterworth,232166,232182,15
mrs. butterworth,Mrs. Butterworth,235606,235622,15
mrs. butterworth,Mrs. Butterworth,236272,236288,15
mrs. butterworth,Mrs. Butterworth,237425,237441,15
mrs. butterworth,Mrs. Butterworth,238118,238134,15
miss honeychurch,Miss Honeychurch,5697,5713,4
miss honeychurch,Miss Honeychurch,6277,6293,4
miss honeychurch,Miss Honeychurch,24321,24337,4
miss honeychurch,Miss Honeychurch,24972,24988,4
miss honeychurch,Miss Honeychurch,25913,25929,4
miss honeychurch,Miss Honeychurch,46798,46814,4
miss honeychurch,Miss Honeychurch,51117,51133,4
miss honeychurch,Miss Honeychurch,51512,51528,4
miss honeychurch,Miss Honeychurch,52750,52766,4
miss honeychurch,Miss Honeychurch,53215,53231,4
miss honeychurch,Miss Honeychurch,57137,57153,4
miss honeychurch,Miss Honeychurch,57509,57525,4
miss honeychurch,Miss Honeychurch,61407,61423,4
miss honeychurch,Miss Honeychurch,64814,64830,4
miss honeychurch,Miss Honeychurch,74689,74705,4
miss honeychurch,Miss Honeychurch,81138,81154,4
miss honeychurch,Miss Honeychurch,83526,83542,4
miss honeychurch,Miss Honeychurch,86641,86657,4
miss honeychurch,Miss Honeychurch,86956,86972,4
miss honeychurch,Miss Honeychurch,89507,89523,4
miss honeychurch,Miss Honeychurch,89878,89894,4
miss honeychurch,Miss Honeychurch,94227,94243,4
miss honeychurch,Miss Honeychurch,105786,105802,4
miss honeychurch,Miss Honeychurch,106910,106926,4
miss honeychurch,Miss Honeychurch,107641,107657,4
miss honeychurch,Miss Honeychurch,116356,116372,4
miss honeychurch,Miss Honeychurch,125256,125272,4
miss honeychurch,Miss Honeychurch,162124,162140,4
miss honeychurch,Miss Honeychurch,162346,162362,4
miss honeychurch,Miss Honeychurch,163422,163438,4
miss honeychurch,Miss Honeychurch,163748,163764,4
miss honeychurch,Miss Honeychurch,165127,165143,4
miss honeychurch,Miss Honeychurch,202146,202162,4
miss honeychurch,Miss Honeychurch,220513,220529,4
miss honeychurch,Miss Honeychurch,226364,226380,4
miss honeychurch,Miss Honeychurch,226461,226477,4
miss honeychurch,Miss Honeychurch,234539,234555,4
miss honeychurch,Miss Honeychurch,234620,234636,4
miss honeychurch,Miss Honeychurch,254834,254850,4
miss honeychurch,Miss Honeychurch,312922,312938,4
miss honeychurch,Miss Honeychurch,313924,313940,4
miss honeychurch,Miss Honeychurch,319396,319412,4
miss honeychurch,Miss Honeychurch,319554,319570,4
miss honeychurch,Miss Honeychurch,320365,320381,4
miss honeychurch,Miss Honeychurch,323940,323956,4
miss honeychurch,Miss Honeychurch,326834,326850,4
miss honeychurch,Miss Honeychurch,335460,335476,4
miss honeychurch,Miss Honeychurch,339104,339120,4
miss honeychurch,Miss Honeychurch,349835,349851,4
miss honeychurch,Miss Honeychurch,350077,350093,4
miss honeychurch,Miss Honeychurch,350972,350988,4
miss honeychurch,Miss Honeychurch,351761,351777,4
miss honeychurch,Miss Honeychurch,352998,353014,4
miss honeychurch,Miss Honeychurch,356739,356755,4
miss honeychurch,Miss Honeychurch,357966,357982,4
miss honeychurch,Miss Honeychurch,358889,358905,4
miss honeychurch,Miss Honeychurch,359987,360003,4
miss honeychurch,Miss Honeychurch,364066,364082,4
miss honeychurch,Miss Honeychurch,364618,364634,4
mrs. honeychurch,Mrs. Honeychurch,53482,53498,17
mrs. honeychurch,Mrs. Honeychurch,71252,71268,17
mrs. honeychurch,Mrs. Honeychurch,143903,143919,17
mrs. honeychurch,Mrs. Honeychurch,145758,145774,17
mrs. honeychurch,Mrs. Honeychurch,147420,147436,17
mrs. honeychurch,Mrs. Honeychurch,147874,147890,17
mrs. honeychurch,Mrs. Honeychurch,150461,150477,17
mrs. honeychurch,Mrs. Honeychurch,152333,152349,17
mrs. honeychurch,Mrs. Honeychurch,152698,152714,17
mrs. honeychurch,Mrs. Honeychurch,153069,153085,17
mrs. honeychurch,Mrs. Honeychurch,153300,153316,17
mrs. honeychurch,Mrs. Honeychurch,153929,153945,17
mrs. honeychurch,Mrs. Honeychurch,157252,157268,17
mrs. honeychurch,Mrs. Honeychurch,157637,157653,17
mrs. honeychurch,Mrs. Honeychurch,158523,158539,17
mrs. honeychurch,Mrs. Honeychurch,159550,159566,17
mrs. honeychurch,Mrs. Honeychurch,166210,166226,17
mrs. honeychurch,Mrs. Honeychurch,166552,166568,17
mrs. honeychurch,Mrs. Honeychurch,168420,168436,17
mrs. honeychurch,Mrs. Honeychurch,168765,168781,17
mrs. honeychurch,Mrs. Honeychurch,169160,169176,17
mrs. honeychurch,Mrs. Honeychurch,169916,169932,17
mrs. honeychurch,Mrs. Honeychurch,172107,172123,17
mrs. honeychurch,Mrs. Honeychurch,173958,173974,17
mrs. honeychurch,Mrs. Honeychurch,174612,174628,17
mrs. honeychurch,Mrs. Honeychurch,175591,175607,17
mrs. honeychurch,Mrs. Honeychurch,176292,176308,17
mrs. honeychurch,Mrs. Honeychurch,176312,176328,17
mrs. honeychurch,Mrs. Honeychurch,177031,177047,17
mrs. honeychurch,Mrs. Honeychurch,178681,178697,17
mrs. honeychurch,Mrs. Honeychurch,178897,178913,17
mrs. honeychurch,Mrs. Honeychurch,180629,180645,17
mrs. honeychurch,Mrs. Honeychurch,183082,183098,17
mrs. honeychurch,Mrs. Honeychurch,184024,184040,17
mrs. honeychurch,Mrs. Honeychurch,184747,184763,17
mrs. honeychurch,Mrs. Honeychurch,185074,185090,17
mrs. honeychurch,Mrs. Honeychurch,196049,196065,17
mrs. honeychurch,Mrs. Honeychurch,196621,196637,17
mrs. honeychurch,Mrs. Honeychurch,197631,197647,17
mrs. honeychurch,Mrs. Honeychurch,199438,199454,17
mrs. honeychurch,Mrs. Honeychurch,200183,200199,17
mrs. honeychurch,Mrs. Honeychurch,202634,202650,17
mrs. honeychurch,Mrs. Honeychurch,203938,203954,17
mrs. honeychurch,Mrs. Honeychurch,209035,209051,17
mrs. honeychurch,Mrs. Honeychurch,232094,232110,17
mrs. honeychurch,Mrs. Honeychurch,232396,232412,17
mrs. honeychurch,Mrs. Honeychurch,233020,233036,17
mrs. honeychurch,Mrs. Honeychurch,234122,234138,17
mrs. honeychurch,Mrs. Honeychurch,237100,237116,17
mrs. honeychurch,Mrs. Honeychurch,238036,238052,17
mrs. honeychurch,Mrs. Honeychurch,238412,238428,17
mrs. honeychurch,Mrs. Honeychurch,239832,239848,17
mrs. honeychurch,Mrs. Honeychurch,241793,241809,17
mrs. honeychurch,Mrs. Honeychurch,242495,242511,17
mrs. honeychurch,Mrs. Honeychurch,243599,243615,17
mrs. honeychurch,Mrs. Honeychurch,244155,244171,17
mrs. honeychurch,Mrs. Honeychurch,247077,247093,17
mrs. honeychurch,Mrs. Honeychurch,251752,251768,17
mrs. honeychurch,Mrs. Honeychurch,263798,263814,17
mrs. honeychurch,Mrs. Honeychurch,264385,264401,17
mrs. honeychurch,Mrs. Honeychurch,266682,266698,17
mrs. honeychurch,Mrs. Honeychurch,267450,267466,17
mrs. honeychurch,Mrs. Honeychurch,269325,269341,17
mrs. honeychurch,Mrs. Honeychurch,270794,270810,17
mrs. honeychurch,Mrs. Honeychurch,275329,275345,17
mrs. honeychurch,Mrs. Honeychurch,310002,310018,17
mrs. honeychurch,Mrs. Honeychurch,317141,317157,17
mrs. honeychurch,Mrs. Honeychurch,317745,317761,17
mrs. honeychurch,Mrs. Honeychurch,317955,317971,17
mrs. honeychurch,Mrs. Honeychurch,318325,318341,17
mrs. honeychurch,Mrs. Honeychurch,321039,321055,17
mrs. honeychurch,Mrs. Honeychurch,332224,332240,17
mrs. honeychurch,Mrs. Honeychurch,334158,334174,17
mrs. honeychurch,Mrs. Honeychurch,334447,334463,17
mrs. honeychurch,Mrs. Honeychurch,335081,335097,17
mrs. honeychurch,Mrs. Honeychurch,335699,335715,17
mrs. honeychurch,Mrs. Honeychurch,339448,339464,17
mrs. honeychurch,Mrs. Honeychurch,339960,339976,17
mrs. honeychurch,Mrs. Honeychurch,340109,340125,17
mrs. honeychurch,Mrs. Honeychurch,340970,340986,17
mrs. honeychurch,Mrs. Honeychurch,342141,342157,17
mrs. honeychurch,Mrs. Honeychurch,344371,344387,17
mrs. honeychurch,Mrs. Honeychurch,347495,347511,17
the garden-child,The garden-child,317973,317989,3
the garden-child,the garden-child,319115,319131,3
mr. honeychurch,Mr. Honeychurch,193638,193653,13
mr. honeychurch,Mr. Honeychurch,221332,221347,13
mr. honeychurch,Mr. Honeychurch,223018,223033,13
mr. honeychurch,Mr. Honeychurch,310607,310622,13
sir harry otway,Sir Harry Otway,27804,27819,21
sir harry otway,Sir Harry Otway,100172,100187,21
sir harry otway,Sir Harry Otway,158903,158918,21
sir harry otway,Sir Harry Otway,177751,177766,21
sir harry otway,Sir Harry Otway,178822,178837,21
sir harry otway,Sir Harry Otway,186352,186367,21
sir harry otway,Sir Harry Otway,201877,201892,21
sir harry otway,Sir Harry Otway,208771,208786,21
sir harry otway,Sir Harry Otway,223450,223465,21
the clever lady,the clever lady,8203,8218,8
the clever lady,the clever lady,8423,8438,8
the clever lady,the clever lady,23651,23666,8
the clever lady,the clever lady,24181,24196,8
the clever lady,The clever lady,24791,24806,8
the clever lady,the clever lady,25607,25622,8
old mr. emerson,old Mr. Emerson,15526,15541,11
old mr. emerson,old Mr. Emerson,34626,34641,11
old mr. emerson,old Mr. Emerson,35191,35206,11
old mr. emerson,old Mr. Emerson,61520,61535,11
old mr. emerson,old Mr. Emerson,64107,64122,11
old mr. emerson,old Mr. Emerson,103376,103391,11
old mr. emerson,old Mr. Emerson,104363,104378,11
old mr. emerson,old Mr. Emerson,224956,224971,11
old mr. emerson,old Mr. Emerson,257022,257037,11
old mr. emerson,Old Mr. Emerson,266050,266065,11
old mr. emerson,Old Mr. Emerson,349755,349770,11
the chambermaid,the chambermaid,57803,57818,54
lucy's brother,Lucy's brother,143788,143802,1
george emerson,George Emerson,73051,73065,2
george emerson,George Emerson,73446,73460,2
george emerson,George Emerson,80037,80051,2
george emerson,George Emerson,82621,82635,2
george emerson,George Emerson,90539,90553,2
george emerson,George Emerson,102120,102134,2
george emerson,George Emerson,103753,103767,2
george emerson,George Emerson,104554,104568,2
george emerson,George Emerson,115533,115547,2
george emerson,George Emerson,132256,132270,2
george emerson,George Emerson,249571,249585,2
george emerson,George Emerson,256589,256603,2
george emerson,George Emerson,261599,261613,2
george emerson,George Emerson,271974,271988,2
george emerson,George Emerson,272451,272465,2
george emerson,George Emerson,289537,289551,2
george emerson,George Emerson,290394,290408,2
george emerson,George Emerson,322692,322706,2
george emerson,George Emerson,341773,341787,2
