qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,The Signora,39,50,[52],52
Q0-1,She,119,122,[52],52
Q0-1,us,132,134,"[6, 4]",-1
Q0-1,Lucy,266,270,[4],4
Q2-0,Charlotte,809,818,[6],6
Q2-0,you,826,829,[6],6
Q2-0,we,846,848,"[6, 4]",-1
Q4-0,the Signora,1103,1114,[52],52
Q4-0,us,1124,1126,"[6, 4]",-1
Q4-0,her,1130,1133,[52],52
Q4-0,The Signora,1174,1185,[52],52
Q5-1,you,1317,1320,[4],4
Q6-0,Charlotte,1384,1393,[6],6
Q6-0,you,1395,1398,[6],6
Q6-0,you,1428,1431,[6],6
Q7-0,You,1515,1518,[4],4
Q8-0,You,1691,1694,[6],6
Q9-0,Lucy,1764,1768,[4],4
Q13-0, my son,2948,2955,[2],2
Q13-1,his,2977,2980,[2],2
Q13-1,George,2988,2994,[2],2
Q13-1,He,2996,2998,[2],2
Q15-1,you,3123,3126,"[6, 4]",-1
Q15-1,we,3151,3153,"[11, 2]",-1
Q15-1,We,3169,3171,"[11, 2]",-1
Q16-0,you,3352,3355,[11],11
Q18-0,you,3509,3512,[11],11
Q19-0,You,3517,3520,[11],11
Q19-0,we,3526,3528,"[6, 4]",-1
Q21-0,George,3748,3754,[2],2
Q21-0,them,3765,3769,"[6, 4]",-1
Q22-0,they,3790,3794,"[6, 4]",-1
Q23-0,dear,4887,4891,[4],4
Q24-0,dear,5054,5058,[4],4
Q24-0,we,5097,5099,"[6, 4]",-1
Q25-0,Mr. Beebe,5470,5479,[10],10
Q25-0,Charlotte,5511,5520,[6],6
Q25-0,we,5522,5524,"[6, 4]",-1
Q26-0,you,5623,5626,[10],10
Q26-0,Mr. Beebe,5631,5640,[10],10
Q26-0,you,5656,5659,[10],10
Q26-0,us,5675,5677,"[6, 4]",-1
Q26-0,Miss Bartlett,5679,5692,[6],6
Q26-0,Miss Honeychurch,5697,5713,[4],4
Q26-0,you,5748,5751,[10],10
Q26-0,the Vicar of St. Peter's,5759,5783,[59],59
Q27-0,you,6049,6052,[10],10
Q28-0,Miss Honeychurch,6277,6293,[4],4
Q28-1,she,6378,6381,[4],4
Q28-1,you,6437,6440,[10],10
Q29-0,mother,6494,6500,[17],17
Q29-0,you,6543,6546,[10],10
Q29-0,Mr. Beebe,6606,6615,[10],10
Q31-0,our,6807,6810,"[4, 17, 1]",-1
Q32-0,my brother,6892,6902,[1],1
Q32-0,him,6933,6936,[1],1
Q33-0,Lucy,6988,6992,[4],4
Q33-0,Mr. Beebe,7007,7016,[10],10
Q33-0,his,7021,7024,[10],10
Q34-0,you,7058,7061,[6],6
Q36-1,Mr. Beebe,7604,7613,[10],10
Q36-1,you,7615,7618,[10],10
Q36-1,your ladies,7655,7666,"[6, 4]",-1
Q37-0,That lady,7688,7697,[8],8
Q38-0,They,8236,8240,"[6, 4]",-1
Q38-0,you,8373,8376,[10],10
