COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
211,19,20,PROP,PER,Christine Nilsson,101,118,0
213,163,164,PROP,PER,Madame Nilsson,866,880,0
213,192,192,PRON,PER,her,1032,1035,0
213,964,965,PROP,PER,Madame Nilsson,4871,4885,0
213,1232,1233,PROP,PER,Madame Nilsson,6241,6255,0
213,1262,1262,PRON,PER,her,6404,6407,0
224,1859,1859,PRON,PER,my,9429,9431,11
224,1864,1865,PROP,PER,Lawrence Lefferts,9449,9466,11
224,1868,1868,PRON,PER,his,9476,9479,11
224,1878,1879,PROP,PER,Lawrence Lefferts,9523,9540,11
224,1897,1897,PRON,PER,He,9607,9609,11
224,1924,1924,PRON,PER,his,9754,9757,11
224,1936,1936,PRON,PER,him,9813,9816,11
224,1942,1942,PRON,PER,his,9836,9839,11
224,1949,1949,PRON,PER,his,9871,9874,11
224,1965,1965,PRON,PER,his,9952,9955,11
224,2014,2014,PRON,PER,him,10189,10192,11
224,2040,2041,PROP,PER,Larry Lefferts,10298,10312,11
224,2057,2057,PRON,PER,his,10377,10380,11
224,2065,2065,PRON,PER,My,10418,10420,11
224,2069,2069,PRON,PER,he,10427,10429,11
224,2075,2075,PRON,PER,his,10456,10459,11
225,2078,2080,PROP,PER,old Sillerton Jackson,10469,10490,22
224,2086,2086,PROP,PER,Lefferts,10519,10527,11
224,2094,2094,PRON,PER,his,10561,10564,11
226,2127,2128,PROP,PER,May Welland,10715,10726,15
225,2283,2285,PROP,PER,Mr. Sillerton Jackson,11481,11502,22
224,2293,2294,PROP,PER,Lawrence Lefferts,11535,11552,11
225,2316,2318,PROP,PER,old Mr. Jackson,11648,11663,22
224,2329,2330,PROP,PER,Lawrence Lefferts,11705,11722,11
225,2337,2337,PRON,PER,He,11739,11741,22
230,2482,2484,PROP,PER,poor Medora Manson,12548,12566,43
230,2494,2494,PRON,PER,her,12604,12607,43
225,2509,2511,PROP,PER,Mr. Sillerton Jackson,12677,12698,22
225,2514,2514,PRON,PER,his,12715,12718,22
225,2521,2521,PRON,PER,his,12752,12755,22
225,2558,2558,PRON,PER,his,12949,12952,22
225,2567,2567,PRON,PER,his,13002,13005,22
225,2571,2571,PRON,PER,he,13019,13021,22
225,2674,2675,PROP,PER,Mr. Jackson,13524,13535,22
225,2683,2683,PRON,PER,his,13563,13566,22
225,2689,2689,PRON,PER,his,13595,13598,22
225,2696,2696,PRON,PER,he,13642,13644,22
225,2701,2701,PRON,PER,his,13666,13669,22
225,2706,2706,PRON,PER,his,13706,13709,22
225,2712,2712,PRON,PER,he,13744,13746,22
225,2728,2730,PROP,PER,Mr. Sillerton Jackson,13822,13843,22
224,2733,2734,PROP,PER,Lawrence Lefferts,13856,13873,11
225,2743,2743,PRON,PER,he,13903,13905,22
225,2751,2751,PRON,PER,his,13954,13957,22
225,2762,2762,PRON,PER,he,14008,14010,22
225,2764,2764,PRON,PER,his,14016,14019,22
225,2775,2775,PRON,PER,I,14069,14070,22
225,2830,2830,PRON,PER,his,14354,14357,22
225,2844,2844,PRON,PER,he,14425,14427,22
225,2871,2871,PRON,PER,him,14573,14576,22
225,2915,2915,PRON,PER,him,14775,14778,22
226,2928,2929,PROP,PER,May Welland,14835,14846,15
233,2944,2945,PROP,PER,Ellen Olenska,14910,14923,6
225,2963,2963,PRON,PER,he,15006,15008,22
234,2968,2969,PROP,PER,Miss Welland,15029,15041,15
233,2980,2981,PROP,PER,poor Ellen,15088,15098,6
225,3003,3003,PRON,PER,he,15212,15214,22
225,3039,3039,PRON,PER,he,15408,15410,22
225,3043,3043,PRON,PER,his,15425,15428,22
235,3068,3069,PROP,PER,Countess Olenska,15550,15566,6
235,3080,3080,PRON,PER,her,15625,15628,6
225,3103,3103,PRON,PER,him,15728,15731,22
225,3119,3119,PRON,PER,he,15794,15796,22
225,3122,3124,PROP,PER,old Sillerton Jackson,15805,15826,22
225,3127,3127,PRON,PER,he,15833,15835,22
225,3139,3139,PRON,PER,He,15888,15890,22
225,3171,3171,PRON,PER,He,16033,16035,22
236,3292,3294,PROP,PER,Old Mrs. Mingott,16648,16664,36
225,3437,3439,PROP,PER,Mr. Sillerton Jackson,17396,17417,22
237,3444,3445,PROP,PER,old Catherine,17435,17448,52
225,3614,3615,PROP,PER,Sillerton Jackson,18310,18327,22
225,3636,3636,PRON,PER,he,18422,18424,22
237,3647,3647,PROP,PER,Catherine,18478,18487,52
237,3898,3899,PROP,PER,old Catherine,19701,19714,52
226,3910,3911,PROP,PER,May Welland,19762,19773,15
