exp_name,text,start_byte,end_byte,pdncID
mrs. henry van der luyden,Mrs. Henry van der Luyden,78640,78665,32
mrs. henry van der luyden,Mrs. Henry van der Luyden,78668,78693,32
mrs. henry van der luyden,Mrs. Henry van der Luyden,80204,80229,32
the governor of new york,the Governor of New York,552049,552073,42
mr. henry van der luyden,Mr. Henry van der Luyden,83994,84018,23
mr. henry van der luyden,Mr. Henry van der Luyden,140631,140655,23
mr. henry van der luyden,Mr. Henry van der Luyden,285330,285354,23
mr. henry van der luyden,Mr. Henry van der Luyden,444953,444977,23
the duke of st. austrey,the Duke of St. Austrey,89513,89536,41
the duke of st. austrey,the Duke of St. Austrey,91261,91284,41
the duke of st. austrey,The Duke of St. Austrey,98669,98692,41
the duke of st. austrey,the Duke of St. Austrey,124485,124508,41
the duke of st. austrey,the Duke of St. Austrey,149405,149428,41
the duke of st. austrey,the Duke of St. Austrey,312296,312319,41
the marchioness manson,the Marchioness Manson,93995,94017,54
the marchioness manson,the Marchioness Manson,252477,252499,54
the marchioness manson,The Marchioness Manson,257503,257525,54
the marchioness manson,the Marchioness Manson,258706,258728,54
the marchioness manson,the Marchioness Manson,290883,290905,54
the marchioness manson,the Marchioness Manson,329886,329908,54
the marchioness manson,the Marchioness Manson,355829,355851,54
louisa van der luyden,Louisa van der Luyden,75758,75779,32
louisa van der luyden,Louisa van der Luyden,135622,135643,32
louisa van der luyden,Louisa van der Luyden,136664,136685,32
mrs. lemuel struthers,Mrs. Lemuel Struthers,46099,46120,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,46560,46581,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,53894,53915,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,135986,136007,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,143182,143203,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,149446,149467,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,187002,187023,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,248778,248799,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,505756,505777,29
mrs. lemuel struthers,Mrs. Lemuel Struthers,540179,540200,29
mr. sillerton jackson,Mr. Sillerton Jackson,11481,11502,22
mr. sillerton jackson,Mr. Sillerton Jackson,12677,12698,22
mr. sillerton jackson,Mr. Sillerton Jackson,13822,13843,22
mr. sillerton jackson,Mr. Sillerton Jackson,17396,17417,22
mr. sillerton jackson,Mr. Sillerton Jackson,27274,27295,22
mr. sillerton jackson,Mr. Sillerton Jackson,48480,48501,22
mr. sillerton jackson,Mr. Sillerton Jackson,48655,48676,22
mr. sillerton jackson,Mr. Sillerton Jackson,64809,64830,22
