source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,christine nilsson,Christine Nilsson,101,118,0
exp,exp_name,madame nilsson,Madame Nilsson,866,880,0
booknlp,COREF,213,her,1032,1035,0
exp,exp_name,newland archer,Newland Archer,1788,1802,35
exp,exp_name,mrs. archer,Mrs. Archer,2192,2203,25
exp,exp_name,newland archer,Newland Archer,2434,2448,35
exp,exp_name,newland archer,Newland Archer,3582,3596,35
exp,exp_name,newland archer,Newland Archer,4219,4233,35
exp,exp_name,mrs. manson mingott,Mrs. Manson Mingott,4404,4423,36
exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,4686,4705,30
exp,exp_name,mrs. welland,Mrs. Welland,4725,4737,26
exp,exp_name,madame nilsson,Madame Nilsson,4871,4885,0
exp,exp_name,newland archer,Newland Archer,5290,5304,35
exp,exp_name,madame nilsson,Madame Nilsson,6241,6255,0
booknlp,COREF,213,her,6404,6407,0
exp,exp_name,newland archer,Newland Archer,6715,6729,35
exp,exp_name,may welland,May Welland,7299,7310,15
exp,exp_name,newland archer,Newland Archer,7623,7637,35
exp,exp_name,newland archer,Newland Archer,8878,8892,35
booknlp,COREF,224,my,9429,9431,11
exp,exp_name,lawrence lefferts,Lawrence Lefferts,9449,9466,11
booknlp,COREF,224,his,9476,9479,11
exp,exp_name,lawrence lefferts,Lawrence Lefferts,9523,9540,11
booknlp,COREF,224,He,9607,9609,11
booknlp,COREF,224,his,9754,9757,11
booknlp,COREF,224,him,9813,9816,11
booknlp,COREF,224,his,9836,9839,11
booknlp,COREF,224,his,9871,9874,11
booknlp,COREF,224,his,9952,9955,11
booknlp,COREF,224,him,10189,10192,11
exp,exp_name,lefferts,Lefferts,10304,10312,11
booknlp,COREF,224,his,10377,10380,11
booknlp,COREF,224,My,10418,10420,11
booknlp,COREF,224,he,10427,10429,11
booknlp,COREF,224,his,10456,10459,11
exp,exp_name,sillerton jackson,Sillerton Jackson,10473,10490,22
exp,exp_name,newland archer,Newland Archer,10493,10507,35
exp,exp_name,lefferts,Lefferts,10519,10527,11
booknlp,COREF,224,his,10561,10564,11
exp,exp_name,old mrs. mingott,old Mrs. Mingott,10631,10647,36
exp,exp_name,may welland,May Welland,10715,10726,15
exp,exp_name,mrs. welland,Mrs. Welland,11229,11241,26
exp,exp_name,mrs. welland,Mrs. Welland,11387,11399,26
exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,11417,11436,30
exp,exp_name,mr. sillerton jackson,Mr. Sillerton Jackson,11481,11502,22
exp,exp_name,lawrence lefferts,Lawrence Lefferts,11535,11552,11
exp,exp_name,mr. jackson,Mr. Jackson,11652,11663,22
exp,exp_name,lawrence lefferts,Lawrence Lefferts,11705,11722,11
