qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,The darling,6693,6704,[],-1
Q0-1,She,6807,6810,[],-1
Q1-0,We,7036,7038,[],-1
Q7-0,He,20923,20925,[6],6
Q7-0,he,20950,20952,[6],6
Q8-0,him,21099,21102,[1],1
Q8-1,you,21264,21267,[48],48
Q8-1,he,21283,21285,[1],1
Q8-1,he,21304,21306,[1],1
Q10-0,she,21462,21465,[6],6
Q10-0,his,21478,21481,[1],1
Q12-0,her,21577,21580,[6],6
Q12-0,Lovell Mingott,21635,21649,[30],30
Q12-0,her,21666,21669,[6],6
Q12-0,He,21672,21674,[1],1
Q12-0,she,21680,21683,[6],6
Q12-0,her,21746,21749,[6],6
Q13-1,she,21818,21821,[6],6
Q14-0,Granny's,22181,22189,[36],36
Q14-1,the old lady,22234,22246,[36],36
Q14-1,she,22260,22263,[36],36
Q15-0,we,23853,23855,"[15, 35]",-1
Q16-0,you,24045,24048,[35],35
Q16-0,Mamma,24062,24067,[26],26
Q16-1,we,24096,24098,"[15, 35]",-1
Q17-0,my cousin,24238,24247,[6],6
Q17-0,yourself,24248,24256,[35],35
Q17-0,you,24265,24268,[35],35
Q17-0,She,24277,24280,[6],6
Q17-0,she,24286,24289,[6],6
Q17-0,you,24308,24311,[35],35
Q17-0,you,24317,24320,[35],35
Q18-0,We,24552,24554,[35],35
Q18-0,we,24588,24590,[35],35
Q18-1,You,24637,24640,[35],35
Q23-0,we,34786,34788,"[15, 35]",-1
Q25-0,You,35516,35519,[35],35
Q25-0,you,35533,35536,[35],35
Q29-0,we,35758,35760,"[15, 35]",-1
Q29-0,we,35787,35789,"[15, 35]",-1
Q31-0,you,36036,36039,[15],15
Q32-0,you,36490,36493,[35],35
Q32-0,cousin Ellen,36502,36514,[6],6
Q35-0,You,36888,36891,[35],35
Q35-0,her,36946,36949,[6],6
Q36-0,you,36991,36994,[15],15
Q37-0,you,37135,37138,[35],35
Q37-0,you,37167,37170,[35],35
Q37-0,her,37179,37182,[6],6
Q37-0,she,37256,37259,[6],6
Q37-0,her,37288,37291,[6],6
Q37-0,You,37294,37297,[35],35
Q37-0,she,37303,37306,[6],6
Q37-0,she,37332,37335,[6],6
Q37-0,she,37361,37364,[6],6
Q38-0,her,37465,37468,[6],6
Q39-0,her,37558,37561,[6],6
Q39-0,she,37572,37575,[6],6
Q40-0,she,37608,37611,[6],6
Q42-0,She,37757,37760,[6],6
Q42-1,she,37835,37838,[6],6
Q42-1,her,37847,37850,[6],6
Q42-1,her,37861,37864,[6],6
Q42-1,we,37910,37912,[],-1
Q42-1,my aunt,37942,37949,[30],30
Q42-1,her,37962,37965,[6],6
Q44-1,her cousin,38276,38286,[6],6
Q44-1,her,38325,38328,[6],6
Q44-1,Ellen Olenska,38414,38427,[6],6
Q45-0,you,43681,43684,[26],26
Q46-1,Mr. Archer,44026,44036,[35],35
Q47-0,You,44220,44223,[26],26
Q47-0,May's,44236,44241,[15],15
Q47-0,he,44257,44259,[35],35
Q47-0,my child,44277,44285,[35],35
Q47-0,Her,44288,44291,[15],15
Q48-0,you,44581,44584,[36],36
Q48-0,Mrs. Mingott,44600,44612,[36],36
Q49-0,the young man,44882,44895,[35],35
Q49-0,his,44901,44904,[35],35
Q49-0,them,44969,44973,"[35, 6]",-1
Q50-0,Beaufort,45506,45514,[10],10
Q51-1,Countess Ellen,45737,45751,[6],6
Q51-1,she,45775,45778,[6],6
Q51-1,her,45820,45823,[6],6
Q52-0,Ellen,45873,45878,[6],6
Q52-1,Beaufort,45957,45965,[10],10
Q52-1,Struthers,46111,46120,[53],53
Q53-0,Regina,46774,46780,[27],27
Q53-0,her,46788,46791,[53],53
Q53-0,we,46821,46823,"[30, 36]",-1
Q53-0,she,46865,46868,[53],53
Q54-0,May ,47119,47123,[15],15
Q54-1,She,47180,47183,[15],15
Q54-1,her,47254,47257,[15],15
Q54-1,we,47282,47284,[35],35
Q57-0,she,48111,48114,[6],6
Q57-0,his,48173,48176,[10],10
Q57-0,she,48234,48237,[6],6
Q58-0,the Beauforts,53931,53944,"[27, 10]",-1
Q58-0,her,53951,53954,[53],53
Q58-1,Regina,53993,53999,[27],27
Q58-1,he,54017,54019,[10],10
Q58-1,her,54026,54029,[27],27
Q58-1,BEAUFORT,54035,54043,[10],10
Q59-0,Beaufort,54072,54080,[10],10
Q60-0,Beaufort,54378,54386,[10],10
Q60-2,he,54574,54576,[10],10
Q61-0,Mrs. Struthers,54877,54891,[53],53
Q61-1,you,54927,54930,[22],22
Q61-1,SHE,54935,54938,[53],53
Q61-1,Sillerton,54944,54953,[22],22
Q62-0,she,55116,55119,[53],53
Q63-1,Lemuel Struthers,55436,55452,[29],29
Q63-1,his,55475,55478,[29],29
Q63-1,her,55540,55543,[53],53
Q63-1,he,55607,55609,[29],29
Q63-1,her,55631,55634,[53],53
Q64-0,we,55772,55774,"[35, 22, 9, 25]",-1
Q65-0,Newland,56103,56110,[35],35
Q65-0,Countess Olenska,56125,56141,[6],6
Q65-0,SHE ,56148,56152,[6],6
Q67-0,Mingotts,57324,57332,"[36, 26]",-1
Q67-0,Newland,57359,57366,[35],35
Q67-0,that Olenska woman,57404,57422,[6],6
Q68-0,Augusta Welland,57930,57945,[26],26
Q68-0,us,57955,57957,"[35, 25]",-1
Q70-0,your,59315,59319,[35],35
Q70-0,Newland,59368,59375,[35],35
Q71-0,she,59730,59733,[6],6
Q73-0,the Beauforts,59845,59858,"[27, 10]",-1
Q73-0,her,59870,59873,[6],6
Q74-0,Mrs. Beaufort,59996,60009,[27],27
Q74-0,Beaufort,60023,60031,[10],10
Q74-0,she,60052,60055,[6],6
Q74-0,him,60109,60112,[10],10
Q76-0,she,60293,60296,[6],6
Q76-1,she,60386,60389,[6],6
Q77-0,Janey,60463,60468,[9],9
Q79-0,her,60724,60727,[6],6
Q79-0,May ,60730,60734,[15],15
Q79-0,she,60739,60742,[6],6
Q80-0,Ellen,60888,60893,[6],6
Q80-1,her,61020,61023,[6],6
Q80-1,you,61034,61037,"[9, 35]",-1
Q80-1,her,61094,61097,[6],6
Q81-0,her,61139,61142,[6],6
Q82-1,she,61336,61339,[6],6
Q82-1,Ellen,61378,61383,[6],6
Q85-0,she,61642,61645,[6],6
Q86-1,she,61761,61764,[6],6
Q86-1,she,61783,61786,[6],6
Q86-1,she,61808,61811,[6],6
Q86-1,she,61838,61841,[6],6
Q86-1,herself,61860,61867,[6],6
Q86-1,She,61870,61873,[6],6
Q86-1,Ellen,61882,61887,[6],6
Q86-1,she,61908,61911,[6],6
Q86-1,her,62006,62009,[6],6
Q86-1,she,62021,62024,[6],6
Q87-1,Mingotts,62114,62122,"[36, 30]",-1
Q88-0,their,62191,62196,"[36, 26, 30]",-1
Q88-0,you,62217,62220,[22],22
Q88-0,sir,62227,62230,[22],22
Q88-0,Madame Olenska,62233,62247,[6],6
Q88-0,her,62291,62294,[6],6
Q91-0,mother,62437,62443,[25],25
Q91-0,Janey,62445,62450,[9],9
Q91-1,her,62526,62529,[6],6
Q91-1,her,62547,62550,[6],6
Q91-1,a husband,62560,62569,[1],1
Q91-1,her,62580,62583,[6],6
Q91-1,he,62623,62625,[1],1
Q91-1,us,62663,62665,"[22, 35, 25, 9]",-1
Q93-0,she,62889,62892,[6],6
Q93-0,She,62917,62920,[6],6
Q94-0,she,62951,62954,[6],6
Q95-0,she,63008,63011,[6],6
Q96-0,You,64210,64213,[35],35
Q96-0,her,64246,64249,[6],6
Q96-0,her,64307,64310,[6],6
Q97-0,her,64463,64466,[6],6
Q97-0,she,64480,64483,[6],6
Q97-0,her,64552,64555,[6],6
Q97-0,her husband,64563,64574,[1],1
Q98-0,we,64699,64701,"[35, 22]",-1
Q99-1,Count Olenski,64945,64958,[1],1
Q99-1,your,64965,64969,[35],35
Q99-1,his,64997,65000,[1],1
Q99-1,his wife,65031,65039,[6],6
Q100-0,Ellen Olenska,72737,72750,[6],6
Q101-0,Louisa van der Luyden,75758,75779,[32],32
Q102-1,the Mingotts,77032,77044,"[30, 36]",-1
Q102-1,your,77310,77314,[35],35
Q103-0,you,79909,79912,[35],35
Q103-0,Newland,79931,79938,[35],35
Q103-1,Louisa ,80009,80016,[32],32
Q103-1,you,80027,80030,[35],35
Q103-1,dear May,80065,80073,[15],15
Q103-1,we,80122,80124,"[35, 25]",-1
Q105-1,Henry,83111,83116,[23],23
Q105-1,you,83130,83133,[25],25
Q106-0,Mr. van der Luyden,83201,83219,[23],23
Q106-0,him,83267,83270,[23],23
Q107-0,Henry,83839,83844,[23],23
Q107-0,you,83866,83869,[25],25
Q107-0,Adeline,83876,83883,[25],25
Q107-0,he,83889,83891,[23],23
Q107-0,Newland,83918,83925,[35],35
Q110-0,we,84909,84911,"[32, 23]",-1
Q111-0,you,85115,85118,[23],23
Q111-0,your,85132,85136,[23],23
Q111-0,Henry,85146,85151,[23],23
Q113-0,Adeline ,85231,85239,[25],25
Q113-0,you,85247,85250,[23],23
Q114-0,Newland,85272,85279,[35],35
Q115-1,Augusta Welland,85445,85460,[26],26
Q115-1,Mingott,85470,85477,[30],30
Q115-1,Newland,85516,85523,[35],35
Q115-1,you,85538,85541,[32],32
Q115-1,Henry,85546,85551,[23],23
Q117-0,You,86199,86202,[35],35
Q117-0,Lawrence Lefferts,86270,86287,[11],11
Q118-0,sir,86345,86348,[23],23
Q118-0,Larry ,86351,86357,[11],11
Q118-0,Louisa,86418,86424,[32],32
Q118-0,Gertrude Lefferts,86572,86589,[8],8
Q118-0,her,86820,86823,[8],8
Q118-0,Madame Olenska,86852,86866,[6],6
Q119-0,The LEFFERTSES,86937,86951,[11],11
Q120-0,The LEFFERTSES,86984,86998,[11],11
Q120-1,Lawrence Lefferts,87062,87079,[11],11
Q121-0,We'll,87162,87167,"[23, 32]",-1
Q122-0,you,87251,87254,[23],23
Q122-0,Louisa ,87259,87266,[32],32
Q123-0,cousin Louisa,87883,87896,[32],32
Q123-0,Mrs. Mingott,87920,87932,[30],30
Q123-0,she,87938,87941,[30],30
Q123-0,Countess Olenska,87976,87992,[6],6
Q126-2,Olenska,88518,88525,[6],6
Q126-2,she,88610,88613,[6],6
Q126-2,Newland,88627,88634,[35],35
Q126-3,you,88685,88688,[35],35
Q126-3,Newland,88716,88723,[35],35
Q127-0,sir,88738,88741,[23],23
Q128-0,Louisa's,89093,89101,[32],32
Q128-0,her,89117,89120,[32],32
Q128-0,Mrs. Lovell Mingott,89158,89177,[30],30
Q128-0,Lawrence,89242,89250,[11],11
Q128-0,her,89265,89268,[30],30
Q130-0,Newland,89407,89414,[35],35
Q130-0,he,89424,89426,[35],35
Q130-0,he,89468,89470,[35],35
Q130-0,Louisa's,89494,89502,[32],32
Q130-0,the Duke of St. Austrey,89513,89536,[41],41
Q130-0,He,89572,89574,[41],41
Q130-0,his,89594,89597,[41],41
Q131-0,him,89817,89820,[41],41
Q131-0,we,89838,89840,"[23, 32]",-1
Q131-0,him,89876,89879,[41],41
Q131-0,Louisa,89947,89953,[32],32
Q131-0,Countess Olenska,89981,89997,[6],6
Q131-0,us,90007,90009,"[23, 32]",-1
Q131-0,her,90018,90021,[6],6
Q132-0,Louisa's ,90145,90154,[32],32
Q132-0,she,90180,90183,[32],32
Q132-0,herself,90189,90196,[32],32
Q132-0,she,90231,90234,[32],32
Q132-0,our ,90262,90266,"[32, 23]",-1
Q132-0,our ,90288,90292,"[32, 23]",-1
Q133-0,Adeline,90632,90639,[25],25
Q135-0,you,100659,100662,[35],35
Q135-0,May,100683,100686,[15],15
Q136-0,You,100737,100740,[6],6
Q136-0,the Duke,100746,100754,[41],41
Q137-0,we,100775,100777,"[1, 6]",-1
Q137-0,him,100790,100793,[41],41
Q137-0,He,100817,100819,[41],41
Q137-0,he,100845,100847,[41],41
Q138-0,he,101025,101027,[41],41
Q139-0,May ,101546,101550,[15],15
Q139-0,you,101637,101640,[35],35
Q139-0,her,101664,101667,[15],15
Q141-0,you,101841,101844,[35],35
Q145-0,you,102056,102059,[35],35
Q145-0,yourselves,102081,102091,[35],35
Q145-0,you,102130,102133,[35],35
Q146-0,you,102180,102183,[6],6
Q147-1,You,102404,102407,[35],35
Q148-1,you,102694,102697,[6],6
Q148-1,you,102722,102725,[6],6
Q149-0,you,102917,102920,[35],35
Q149-0,May,103005,103008,[15],15
Q149-0,you,103023,103026,[35],35
Q149-0,her,103054,103057,[15],15
Q150-1,you,103508,103511,[6],6
Q150-1,she,103516,103519,[15],15
Q150-1,the Duke,103551,103559,[41],41
Q153-0,you,104158,104161,[35],35
Q155-0,you,105149,105152,[35],35
Q155-0,Newland,105159,105166,[35],35
Q155-0,yourself,105178,105186,[35],35
Q155-0,Madame Olenska,105205,105219,[6],6
Q155-0,your,105229,105233,[35],35
Q155-0,he,105247,105249,[23],23
Q156-0,May ,105401,105405,[15],15
Q156-0,The Duke,105424,105432,[41],41
Q156-0,her,105440,105443,[15],15
Q160-0,You,115518,115521,[6],6
Q161-0,the van der Luydens,115784,115803,"[23, 32]",-1
Q162-0,you,116133,116136,[6],6
Q164-0,You,116436,116439,[6],6
Q166-0,Nastasia,116563,116571,[33],33
Q166-1,you,116664,116667,[35],35
Q166-1,your,116686,116690,[35],35
Q167-0,you,116834,116837,[35],35
Q168-0,you,116907,116910,[6],6
Q168-0,Beaufort,116934,116942,[10],10
Q169-0,you,117008,117011,[35],35
Q169-0,Mr. Beaufort,117026,117038,[10],10
Q172-0,you,117446,117449,[35],35
Q172-0,you,117587,117590,[35],35
Q173-0,your,117740,117744,[6],6
Q173-0,you,117758,117761,[6],6
Q175-1,you,118791,118794,[6],6
Q175-1,The van der Luydens,118797,118816,"[23, 32]",-1
Q176-0,they,118855,118859,"[23, 32]",-1
Q176-0,them,118936,118940,"[23, 32]",-1
Q177-0,The van der Luydens,119059,119078,"[23, 32]",-1
Q177-1,her,119209,119212,[32],32
Q177-1,they,119221,119225,"[23, 32]",-1
Q180-0,their,119384,119389,"[23, 32]",-1
Q180-0,they,119412,119416,"[23, 32]",-1
Q180-0,themselves,119422,119432,"[32, 23]",-1
Q181-0,you,119756,119759,[35],35
Q181-0,you,119791,119794,[35],35
Q182-0,you,119898,119901,[6],6
Q182-0,them,119993,119997,"[32, 23]",-1
Q183-0,we,120182,120184,"[35, 6]",-1
Q183-0,You,120242,120245,[35],35
