COREF,matches,pdncID
77,[],-1
40,[0],0
78,[4],4
79,[],-1
81,[],-1
20,"[21, 21]",21
82,[],-1
83,[],-1
84,[],-1
86,[],-1
87,[],-1
88,[],-1
720,[],-1
721,[],-1
722,[],-1
723,[],-1
724,[],-1
725,[],-1
89,[],-1
90,[],-1
91,[],-1
727,[],-1
728,[],-1
729,[],-1
93,[],-1
21,[],-1
1,[],-1
2,[],-1
730,[],-1
22,[],-1
23,[32],32
731,[],-1
732,[],-1
94,[],-1
95,[],-1
96,[],-1
97,[],-1
99,[],-1
100,[],-1
101,[],-1
102,[],-1
103,[],-1
104,[],-1
105,[],-1
106,[],-1
107,[],-1
108,[],-1
109,[],-1
110,[],-1
111,[],-1
112,[],-1
734,[],-1
113,[],-1
736,[],-1
737,[],-1
738,[],-1
739,[],-1
3,[],-1
114,[],-1
0,[],-1
740,[],-1
119,[],-1
120,[],-1
741,[11],11
121,[],-1
743,[],-1
744,[],-1
123,[],-1
24,[28],28
25,[35],35
4,[],-1
747,[],-1
5,[],-1
748,[],-1
6,[],-1
749,[],-1
124,[],-1
7,[],-1
750,[],-1
751,[],-1
752,[],-1
754,[],-1
755,[],-1
125,[],-1
126,[],-1
127,[],-1
128,[],-1
129,[],-1
131,[],-1
132,[],-1
133,[],-1
134,[],-1
135,[],-1
26,[18],18
758,[],-1
136,[],-1
137,[],-1
760,[],-1
27,"[34, 37]",-1
138,[],-1
761,[],-1
762,[],-1
763,[],-1
139,[],-1
764,[],-1
765,[],-1
766,[26],26
767,[],-1
768,[],-1
142,[],-1
143,[],-1
144,[],-1
145,[],-1
147,[],-1
148,[],-1
150,[],-1
151,[],-1
28,[],-1
152,[],-1
769,[48],48
770,[],-1
8,[],-1
771,[],-1
10,[],-1
29,[40],40
772,[],-1
11,[],-1
30,[],-1
773,[],-1
31,[33],33
774,[],-1
32,[],-1
33,[],-1
776,[],-1
153,[],-1
154,[],-1
155,[],-1
156,[],-1
34,[],-1
157,[],-1
777,[],-1
159,[],-1
160,[],-1
161,[],-1
35,[],-1
779,[],-1
780,[],-1
781,[],-1
782,[],-1
784,[],-1
162,[0],0
163,[],-1
165,[],-1
166,[],-1
36,[],-1
167,[],-1
786,[],-1
787,[],-1
168,[],-1
169,[],-1
788,[],-1
170,[],-1
171,[],-1
172,[],-1
173,[],-1
790,[],-1
791,[],-1
37,[11],11
175,[],-1
38,[36],36
176,[],-1
796,[],-1
177,[],-1
39,[],-1
178,[],-1
799,[],-1
180,[],-1
181,[],-1
804,[],-1
805,[],-1
808,[],-1
183,[],-1
184,[],-1
41,[39],39
810,[],-1
811,[],-1
812,[],-1
42,[31],31
814,[],-1
815,[],-1
816,[],-1
43,[],-1
817,[],-1
818,[],-1
819,[],-1
188,[],-1
822,[],-1
190,[],-1
824,[],-1
191,[],-1
825,[],-1
44,[7],7
192,[],-1
193,[],-1
826,[],-1
195,[],-1
201,[],-1
45,[],-1
202,[],-1
203,[],-1
204,[],-1
205,[],-1
207,[],-1
829,[],-1
832,[],-1
46,[],-1
215,[],-1
833,[],-1
834,[],-1
47,[],-1
835,[],-1
836,[],-1
837,[],-1
220,[],-1
838,[],-1
840,[],-1
222,[],-1
223,[],-1
48,[41],41
49,[],-1
226,[],-1
227,[],-1
228,[],-1
229,[],-1
230,[],-1
231,[],-1
843,[20],20
232,[],-1
234,[],-1
235,[45],45
847,[],-1
50,[],-1
241,[],-1
848,[],-1
246,[],-1
244,[],-1
247,[8],8
249,[41],41
250,[],-1
849,[],-1
259,[],-1
850,[],-1
265,[],-1
853,[],-1
854,[],-1
856,[],-1
857,[],-1
276,[],-1
858,[],-1
280,[],-1
281,[],-1
861,[],-1
862,[],-1
282,[],-1
51,[6],6
52,[],-1
283,[],-1
866,[],-1
867,[],-1
868,[],-1
869,[],-1
870,[],-1
291,[],-1
874,[],-1
12,[],-1
293,[],-1
53,[],-1
294,[],-1
295,[],-1
876,[],-1
296,[],-1
54,[14],14
298,[],-1
299,[],-1
300,[],-1
55,[10],10
301,[],-1
877,[],-1
879,[],-1
880,[],-1
303,[],-1
881,[],-1
309,[],-1
56,[22],22
882,[],-1
57,[20],20
316,[],-1
884,[],-1
885,[],-1
318,[],-1
319,[],-1
886,[],-1
887,[],-1
58,[],-1
59,[],-1
889,[],-1
890,[],-1
891,[],-1
60,[],-1
328,[],-1
892,[],-1
331,[],-1
333,[],-1
334,[],-1
336,[],-1
337,[],-1
338,[],-1
340,[],-1
341,[],-1
893,[2],2
342,[2],2
894,[5],5
343,[5],5
895,[2],2
896,[],-1
344,[2],2
345,[],-1
61,[24],24
346,[5],5
348,[5],5
347,[2],2
349,[],-1
351,[2],2
62,[5],5
352,[24],24
353,[24],24
898,[],-1
899,[],-1
901,[],-1
355,[],-1
357,[],-1
359,[],-1
360,[],-1
361,[],-1
362,[],-1
363,[],-1
364,[],-1
365,[],-1
366,[],-1
63,[],-1
367,[15],15
370,[],-1
372,[],-1
904,[],-1
905,[],-1
906,[],-1
375,[],-1
376,[],-1
377,[],-1
378,[],-1
379,[],-1
380,[],-1
381,[],-1
908,[],-1
391,[],-1
910,[],-1
396,[],-1
395,[],-1
398,[],-1
399,[],-1
916,[],-1
413,[],-1
414,[],-1
415,[],-1
917,[],-1
920,[],-1
921,[],-1
922,[],-1
418,[],-1
923,[],-1
924,[],-1
926,[],-1
929,[],-1
930,[],-1
931,[],-1
932,[],-1
426,[],-1
934,[12],12
430,[],-1
432,[],-1
433,[],-1
434,[],-1
436,[],-1
437,[],-1
438,[],-1
442,[],-1
443,[],-1
445,[],-1
936,[],-1
456,[],-1
64,[17],17
458,[],-1
937,[],-1
938,[],-1
940,[],-1
461,[0],0
465,[0],0
947,[],-1
948,[],-1
950,[],-1
478,[],-1
483,[],-1
487,[],-1
488,[],-1
490,[],-1
491,[],-1
952,[],-1
497,[],-1
499,[],-1
65,[13],13
501,[],-1
502,[],-1
953,[],-1
954,[],-1
504,[],-1
506,[],-1
507,[],-1
957,[],-1
958,[],-1
962,[],-1
963,[],-1
66,[23],23
509,[],-1
511,[],-1
966,[],-1
967,[],-1
512,[],-1
969,[],-1
513,[],-1
970,[],-1
971,[],-1
972,[],-1
514,[],-1
973,[],-1
67,[],-1
974,[],-1
975,[],-1
976,[],-1
977,[],-1
978,[],-1
980,[],-1
981,[],-1
982,[],-1
518,[],-1
983,[],-1
985,[],-1
519,[],-1
986,[],-1
520,[],-1
987,[],-1
988,[],-1
14,[],-1
989,[],-1
16,[],-1
993,[],-1
524,[],-1
995,[],-1
997,[],-1
998,[],-1
999,[],-1
1000,[],-1
526,[],-1
527,[],-1
528,[],-1
68,[],-1
530,[],-1
69,[],-1
1003,[],-1
70,[],-1
71,[],-1
531,[],-1
1005,[],-1
1006,[],-1
1007,[],-1
1008,[],-1
72,[],-1
73,[],-1
1010,[],-1
533,[0],0
535,[],-1
537,[],-1
538,[],-1
540,[],-1
541,[],-1
1011,[],-1
544,[],-1
1012,[],-1
545,[],-1
547,[],-1
1013,[],-1
546,[],-1
1014,[],-1
548,[0],0
550,[],-1
551,[],-1
552,[],-1
553,[],-1
556,[],-1
557,[],-1
74,[],-1
1016,[],-1
560,[],-1
1017,[],-1
1018,[],-1
75,[],-1
573,[],-1
1020,[],-1
577,[],-1
585,[],-1
586,[],-1
1022,[],-1
1023,[],-1
1025,[],-1
594,[],-1
597,[],-1
1030,[],-1
599,[],-1
602,[],-1
603,[],-1
609,[],-1
1031,[],-1
610,[],-1
615,[],-1
616,[],-1
617,[],-1
1032,[],-1
621,[],-1
623,[],-1
1034,[],-1
1035,[],-1
1037,[],-1
632,[],-1
1041,[],-1
17,[],-1
638,[],-1
639,[],-1
76,[],-1
648,[],-1
1044,[],-1
1047,[],-1
659,[],-1
660,[],-1
1050,[],-1
661,[],-1
664,[],-1
1052,[],-1
1054,[],-1
672,[],-1
674,[],-1
673,[],-1
675,[],-1
676,[],-1
1056,[],-1
679,[],-1
1057,[],-1
1059,[],-1
685,[],-1
1061,[],-1
695,[],-1
1063,[],-1
702,[],-1
704,[],-1
705,[],-1
707,[],-1
708,[],-1
710,[],-1
711,[],-1
712,[],-1
714,[],-1
715,[],-1
716,[],-1
717,[],-1
18,[],-1
718,[],-1
719,[],-1
