exp_name,text,start_byte,end_byte,pdncID
a little bright-eyed terrier,A little bright-eyed terrier,21313,21341,27
william the conqueror,William the Conqueror,19622,19643,50
william the conqueror,William the Conqueror,23801,23822,50
the little crocodile,the little crocodile,15627,15647,46
the queen of hearts,the Queen of Hearts,77541,77560,20
the queen of hearts,The Queen of Hearts,125411,125430,20
the knave of hearts,the Knave of Hearts,86862,86881,16
the knave of hearts,the Knave of Hearts,87520,87539,16
the knave of hearts,The Knave of Hearts,125478,125497,16
an enormous puppy,An enormous puppy,43076,43093,29
the fish-footman,The Fish-Footman,58414,58430,44
the fish-footman,the Fish-Footman,59004,59020,44
the white rabbit,the White Rabbit,5220,5236,21
the white rabbit,the White Rabbit,13475,13491,21
the white rabbit,the White Rabbit,31873,31889,21
the white rabbit,the White Rabbit,86715,86731,21
the white rabbit,the White Rabbit,90125,90141,21
the white rabbit,the White Rabbit,117446,117462,21
the white rabbit,the White Rabbit,122525,122541,21
the white rabbit,the White Rabbit,124262,124278,21
the white rabbit,the White Rabbit,125295,125311,21
the white rabbit,the White Rabbit,125749,125765,21
the white rabbit,the White Rabbit,131372,131388,21
the white rabbit,the White Rabbit,132301,132317,21
the white rabbit,the White Rabbit,132506,132522,21
the white rabbit,the White Rabbit,134560,134576,21
the white rabbit,the White Rabbit,135867,135883,21
the white rabbit,the White Rabbit,136018,136034,21
the white rabbit,the White Rabbit,136299,136315,21
the white rabbit,the White Rabbit,136567,136583,21
the white rabbit,The White Rabbit,137330,137346,21
the white rabbit,the White Rabbit,137546,137562,21
the white rabbit,the White Rabbit,142477,142493,21
"bill, the lizard","Bill, the Lizard",125005,125021,1
the frog-footman,The Frog-Footman,58642,58658,45
the executioner,the executioner,95344,95359,12
the executioner,the executioner,96661,96676,12
the executioner,The executioner,97031,97046,12
the executioner,the executioner,97713,97728,12
the executioner,the executioner,97752,97767,12
the executioner,the executioner,97947,97962,12
the caterpillar,The Caterpillar,45782,45797,7
the caterpillar,the Caterpillar,45863,45878,7
the caterpillar,the Caterpillar,45982,45997,7
the caterpillar,the Caterpillar,46280,46295,7
the caterpillar,the Caterpillar,46439,46454,7
the caterpillar,the Caterpillar,46658,46673,7
the caterpillar,the Caterpillar,46922,46937,7
the caterpillar,the Caterpillar,47064,47079,7
the caterpillar,the Caterpillar,47215,47230,7
the caterpillar,the Caterpillar,47382,47397,7
the caterpillar,the Caterpillar,47492,47507,7
the caterpillar,the Caterpillar,47590,47605,7
the caterpillar,the Caterpillar,47755,47770,7
the caterpillar,the Caterpillar,47860,47875,7
the caterpillar,the Caterpillar,48354,48369,7
the caterpillar,the Caterpillar,48548,48563,7
the caterpillar,the Caterpillar,50120,50135,7
the caterpillar,the Caterpillar,50273,50288,7
the caterpillar,The Caterpillar,50341,50356,7
the caterpillar,the Caterpillar,50561,50576,7
the caterpillar,the Caterpillar,50733,50748,7
the caterpillar,the Caterpillar,50926,50941,7
the caterpillar,the Caterpillar,51209,51224,7
the caterpillar,the Caterpillar,51372,51387,7
the caterpillar,the Caterpillar,51745,51760,7
the caterpillar,the Caterpillar,117774,117789,7
the mock turtle,The Mock Turtle,98069,98084,17
the mock turtle,the Mock Turtle,104003,104018,17
the mock turtle,the Mock Turtle,104721,104736,17
the mock turtle,the Mock Turtle,105541,105556,17
the mock turtle,the Mock Turtle,105935,105950,17
the mock turtle,the Mock Turtle,106135,106150,17
the mock turtle,the Mock Turtle,106424,106439,17
the mock turtle,the Mock Turtle,106648,106663,17
the mock turtle,the Mock Turtle,106877,106892,17
the mock turtle,the Mock Turtle,107178,107193,17
the mock turtle,the Mock Turtle,107447,107462,17
the mock turtle,the Mock Turtle,107677,107692,17
the mock turtle,The Mock Turtle,107766,107781,17
the mock turtle,the Mock Turtle,107974,107989,17
the mock turtle,the Mock Turtle,108082,108097,17
the mock turtle,the Mock Turtle,108193,108208,17
the mock turtle,the Mock Turtle,108447,108462,17
the mock turtle,the Mock Turtle,108595,108610,17
the mock turtle,the Mock Turtle,109189,109204,17
the mock turtle,the Mock Turtle,109273,109288,17
the mock turtle,the Mock Turtle,109614,109629,17
the mock turtle,the Mock Turtle,109815,109830,17
the mock turtle,the Mock Turtle,110140,110155,17
the mock turtle,the Mock Turtle,110511,110526,17
the mock turtle,The Mock Turtle,110754,110769,17
the mock turtle,the Mock Turtle,111051,111066,17
the mock turtle,the Mock Turtle,111602,111617,17
the mock turtle,the Mock Turtle,111875,111890,17
the mock turtle,the Mock Turtle,112022,112037,17
the mock turtle,the Mock Turtle,112247,112262,17
the mock turtle,the Mock Turtle,112418,112433,17
the mock turtle,the Mock Turtle,112706,112721,17
the mock turtle,the Mock Turtle,112798,112813,17
the mock turtle,the Mock Turtle,113126,113141,17
the mock turtle,the Mock Turtle,114540,114555,17
the mock turtle,the Mock Turtle,114716,114731,17
the mock turtle,the Mock Turtle,114961,114976,17
the mock turtle,the Mock Turtle,115088,115103,17
the mock turtle,the Mock Turtle,116581,116596,17
the mock turtle,the Mock Turtle,116742,116757,17
the mock turtle,the Mock Turtle,116924,116939,17
the mock turtle,the Mock Turtle,117238,117253,17
the mock turtle,the Mock Turtle,117836,117851,17
the mock turtle,the Mock Turtle,117991,118006,17
the mock turtle,the Mock Turtle,119133,119148,17
the mock turtle,the Mock Turtle,119361,119376,17
the mock turtle,the Mock Turtle,119481,119496,17
the mock turtle,the Mock Turtle,120390,120405,17
the mock turtle,the Mock Turtle,120705,120720,17
the mock turtle,the Mock Turtle,120767,120782,17
the mock turtle,The Mock Turtle,120959,120974,17
the mock turtle,the Mock Turtle,121682,121697,17
the mock turtle,the Mock Turtle,143681,143696,17
edgar atheling,Edgar Atheling,24781,24795,33
the young crab,the young Crab,30322,30336,49
cheshire cat,Cheshire cat,62093,62105,6
cheshire cat,Cheshire Cat,67695,67707,6
cheshire cat,Cheshire Cat,93110,93122,6
cheshire cat,Cheshire Cat,94635,94647,6
cheshire cat,Cheshire Cat,96544,96556,6
the dormouse,the Dormouse,71961,71973,10
the dormouse,the Dormouse,73849,73861,10
the dormouse,The Dormouse,75666,75678,10
the dormouse,The Dormouse,75761,75773,10
the dormouse,the Dormouse,77887,77899,10
the dormouse,the Dormouse,79017,79029,10
the dormouse,The Dormouse,79120,79132,10
the dormouse,the Dormouse,79475,79487,10
the dormouse,the Dormouse,79741,79753,10
the dormouse,the Dormouse,79899,79911,10
the dormouse,the Dormouse,80597,80609,10
the dormouse,The Dormouse,80684,80696,10
the dormouse,the Dormouse,80896,80908,10
the dormouse,the Dormouse,81120,81132,10
the dormouse,the Dormouse,81336,81348,10
the dormouse,the Dormouse,81496,81508,10
the dormouse,the Dormouse,81549,81561,10
the dormouse,the Dormouse,81842,81854,10
the dormouse,the Dormouse,82140,82152,10
the dormouse,the Dormouse,82224,82236,10
the dormouse,the Dormouse,82301,82313,10
the dormouse,the Dormouse,82390,82402,10
the dormouse,The Dormouse,82630,82642,10
the dormouse,the Dormouse,83216,83228,10
the dormouse,the Dormouse,83448,83460,10
the dormouse,the Dormouse,126231,126243,10
the dormouse,the Dormouse,126350,126362,10
the dormouse,the Dormouse,127610,127622,10
the dormouse,the Dormouse,127776,127788,10
the dormouse,the Dormouse,127917,127929,10
the dormouse,the Dormouse,128121,128133,10
the dormouse,the Dormouse,129150,129162,10
the dormouse,the Dormouse,129251,129263,10
the dormouse,the Dormouse,129388,129400,10
the dormouse,the Dormouse,131967,131979,10
the footman,the Footman,59213,59224,45
the footman,the Footman,59689,59700,45
the footman,the Footman,60174,60185,45
the footman,the Footman,60309,60320,45
the footman,the Footman,60436,60447,45
the footman,the Footman,60608,60619,45
the footman,The Footman,60835,60846,45
the footman,the Footman,61057,61068,45
the duchess,the Duchess,13676,13687,11
the duchess,the Duchess,13689,13700,11
the duchess,The Duchess,32026,32037,11
the duchess,The Duchess,32039,32050,11
the duchess,the Duchess,58582,58593,11
the duchess,the Duchess,58776,58787,11
the duchess,the Duchess,61312,61323,11
the duchess,the Duchess,61648,61659,11
the duchess,the Duchess,62113,62124,11
the duchess,the Duchess,62468,62479,11
the duchess,the Duchess,62645,62656,11
the duchess,the Duchess,62961,62972,11
the duchess,The Duchess,63071,63082,11
the duchess,the Duchess,63500,63511,11
the duchess,the Duchess,63883,63894,11
the duchess,the Duchess,64181,64192,11
the duchess,the Duchess,64584,64595,11
the duchess,the Duchess,64958,64969,11
the duchess,the Duchess,90216,90227,11
the duchess,the Duchess,97628,97639,11
the duchess,the Duchess,97889,97900,11
the duchess,the Duchess,98170,98181,11
