qID,menText,start_byte,end_byte,matches,pdncID
Q5-1,her,4264,4267,[32],32
Q5-1,Dinah my dear,4296,4309,[32],32
Q5-1,you,4318,4321,[32],32
Q5-1,you,4392,4395,[32],32
Q5-1,you,4445,4448,[32],32
Q6-0,Dinah,4906,4911,[32],32
Q6-0,you,4936,4939,[32],32
Q12-3,you,9971,9974,[0],0
Q18-1,Alice,12517,12522,[0],0
Q18-1,Alice,12584,12589,[0],0
Q19-0,You,13025,13028,[0],0
Q19-0,yourself,13052,13060,[0],0
Q19-1,you,13094,13097,[0],0
Q19-2,you,13182,13185,[0],0
Q20-0,the Duchess,13676,13687,[11],11
Q20-0,the Duchess,13689,13700,[11],11
Q20-0,she,13712,13715,[11],11
Q20-0,her,13739,13742,[11],11
Q21-0,you,13893,13896,[21],21
Q21-0,sir,13905,13908,[21],21
Q23-0,Ada,14685,14688,[28],28
Q23-1,her,14706,14709,[28],28
Q23-1,Mabel,14807,14812,[35],35
Q23-1,she,14850,14853,[35],35
Q23-1,she,14859,14862,[35],35
Q23-1,she,14899,14902,[35],35
Q23-1,she,14906,14909,[35],35
Q24-1,Mabel,15991,15996,[35],35
Q24-1,Mabel,16187,16192,[35],35
Q30-1,this mouse,18920,18930,[18],18
Q31-0,Mouse,19078,19083,[18],18
Q31-0,you,19088,19091,[18],18
Q31-0,Mouse,19165,19170,[18],18
Q32-1,William the Conqueror,19622,19643,[50],50
Q34-0,your,19952,19956,[18],18
Q34-1,you,20056,20059,[18],18
Q35-1,you,20153,20156,[0],0
Q35-1,you,20171,20174,[0],0
Q36-1,you,20292,20295,[18],18
Q36-1,our cat Dinah,20296,20309,[32],32
Q36-1,you,20319,20322,[18],18
Q36-1,you,20349,20352,[18],18
Q36-1,her,20368,20371,[32],32
Q36-1,She,20373,20376,[32],32
Q36-2,she,20481,20484,[32],32
Q36-2,her,20550,20553,[32],32
Q36-2,she,20564,20567,[32],32
Q36-2,she,20608,20611,[32],32
Q36-3,her,20813,20816,[32],32
Q36-3,you,20829,20832,[18],18
Q38-1,you,21153,21156,[18],18
Q38-1,you,21162,21165,[18],18
Q39-0,you,21308,21311,[18],18
Q39-0,A little bright-eyed terrier,21313,21341,[27],27
Q39-0,you,21343,21346,[18],18
Q39-0,it,21394,21396,[27],27
Q39-0,it,21438,21440,[27],27
Q39-0,its,21463,21466,[27],27
Q39-0,a farmer,21549,21557,[26],26
Q39-0,you,21559,21562,[18],18
Q39-0,he,21573,21575,[26],26
Q39-0,it,21597,21599,[27],27
Q39-0,He,21626,21628,[26],26
Q39-0,it,21634,21636,[27],27
Q39-1,it,21730,21732,[18],18
Q40-0,Mouse dear,21892,21902,[18],18
Q40-0,you,21972,21975,[18],18
Q41-0,you,22204,22207,[0],0
Q41-0,you,22224,22227,[0],0
Q42-0,you,23138,23141,[0],0
Q44-1,William the Conqueror,23801,23822,[50],50
Q44-1,the pope,23852,23860,[48],48
Q44-1,Edwin,23985,23990,[34],34
Q44-1,Morcar,23995,24001,[37],37
Q46-0,your,24089,24093,[47],47
Q46-1,you,24153,24156,[47],47
Q48-0,you,24210,24213,[47],47
Q48-1,Edwin ,24251,24257,[34],34
Q48-1,Morcar,24261,24267,[37],37
Q48-1,him,24319,24322,[50],50
Q48-1,Stigand,24333,24340,[40],40
Q48-1,the patriotic archbishop of Canterbury,24342,24380,[40],40
Q50-1,you,24497,24500,[42],42
Q51-1,the archbishop,24661,24675,[40],40
Q52-0,Edgar Atheling,24781,24795,[33],33
Q52-0,William,24804,24811,[50],50
Q52-0,William,24837,24844,[50],50
Q52-0,his,24899,24902,[50],50
Q52-0,you,24922,24925,[0],0
Q52-0,my dear,24942,24949,[0],0
Q61-0, all,26808,26812,[0],0
Q62-0,she,26906,26909,[0],0
Q63-0,she,27308,27311,[0],0
Q63-0,you,27339,27342,[9],9
Q65-0,you,27427,27430,[0],0
Q65-0,your,27438,27442,[0],0
Q69-0,You,28311,28314,[18],18
Q69-0,your,28335,28339,[18],18
Q69-0,you,28349,28352,[18],18
Q69-1,you,28387,28390,[18],18
Q71-1,you,28662,28665,[18],18
Q72-0,You,29274,29277,[0],0
Q72-1,you,29342,29345,[0],0
Q73-0,your,29368,29372,[18],18
Q73-1,you,29407,29410,[18],18
Q76-1,You,29714,29717,[0],0
Q77-1,you,29801,29804,[18],18
Q77-1,you,29828,29831,[18],18
Q78-0,your,29903,29907,[18],18
Q79-0,it,30084,30086,[18],18
Q80-0,my dear,30226,30233,[49],49
Q80-0,you,30259,30262,[49],49
Q80-0,your,30278,30282,[49],49
Q81-0,your,30299,30303,[30],30
Q81-0,Ma,30312,30314,[30],30
Q81-1,You,30360,30363,[30],30
Q82-0,our Dinah,30424,30433,[32],32
Q82-1,She,30506,30509,[32],32
Q83-0,Dinah,30546,30551,[32],32
Q84-0,Dinah,30682,30687,[32],32
Q84-0,she,30703,30706,[32],32
Q84-0,you,30778,30781,[47],47
Q84-0,her,30792,30795,[32],32
Q84-0,she,30818,30821,[32],32
Q87-0,Dinah,31324,31329,[32],32
Q87-1,her,31396,31399,[32],32
Q87-1,she,31425,31428,[32],32
Q87-1,my dear Dinah,31462,31475,[32],32
Q87-1,you,31506,31509,[32],32
Q88-0,The Duchess,32026,32037,[11],11
Q88-0,The Duchess,32039,32050,[11],11
Q88-0,She,32093,32096,[11],11
Q89-0,Mary Ann,32636,32644,[0],0
Q90-0,He,32896,32898,[21],21
Q90-0,his,32911,32914,[21],21
Q90-1,he,32974,32976,[21],21
Q90-1,he,32988,32990,[21],21
Q90-1,his,33035,33038,[21],21
Q91-1,Dinah,33499,33504,[32],32
Q91-2,Miss Alice,33603,33613,[0],0
Q91-2,your,33653,33657,[0],0
Q91-2,nurse,33686,33691,[0],0
Q91-3,Dinah,33799,33804,[32],32
Q91-3,it,33826,33828,[32],32
Q97-0,you,36528,36531,[0],0
Q97-0,Alice,36540,36545,[0],0
Q97-1,you,36579,36582,[0],0
Q97-1,you,36636,36639,[0],0
Q98-0,Mary Ann,36873,36881,[36],36
Q98-0,Mary Ann,36883,36891,[36],36
Q100-0,you,37472,37475,[21],21
Q101-0,Pat,37904,37907,[39],39
Q101-0,Pat,37909,37912,[39],39
Q101-0,you,37924,37927,[39],39
Q102-0,yer honour,38016,38026,[21],21
Q104-0,Pat,38171,38174,[39],39
Q105-0,yer honour,38225,38235,[21],21
Q106-0,you goose,38276,38285,[39],39
Q107-0,yer honour,38365,38375,[21],21
Q109-0,yer honour,38599,38609,[21],21
Q110-0,you,38642,38645,[39],39
Q110-0,you coward,38647,38657,[39],39
Q112-0,Bill,39820,39824,[31],31
Q112-0,he,39861,39863,[31],31
Q112-1,Bill,39928,39932,[31],31
Q113-0,Bill,40292,40296,[31],31
Q114-0,him,40474,40477,[31],31
Q115-0,Bill,40721,40725,[31],31
Q118-0,Dinah,41103,41108,[32],32
Q126-0,Poor little thing,43198,43215,[29],29
Q127-0,it,44611,44613,[29],29
Q127-1,it,44755,44757,[29],29
Q128-0,you,45970,45973,[0],0
Q129-0,sir,46104,46107,[7],7
Q130-0,you,46256,46259,[0],0
Q131-1,you,46408,46411,[7],7
Q135-0,you,46691,46694,[7],7
Q135-1,you,46743,46746,[7],7
Q135-1,you,46778,46781,[7],7
Q135-1,you,46797,46800,[7],7
Q135-1,you,46860,46863,[7],7
Q135-1,you,46897,46900,[7],7
Q137-0,your,46955,46959,[7],7
Q138-0,You,47053,47056,[0],0
Q138-1,you,47106,47109,[0],0
Q139-0,you,47325,47328,[7],7
Q139-0,you,47351,47354,[7],7
Q142-0,your,47736,47740,[0],0
Q146-0,sir,48204,48207,[7],7
Q152-0,you,50396,50399,[0],0
Q154-1,you,50710,50713,[0],0
Q155-0,sir,50797,50800,[7],7
Q159-0,You,51172,51175,[0],0
Q160-0,you,51580,51583,[0],0
Q160-0,you,51626,51629,[0],0
Q165-0,Serpent,53993,54000,[0],0
Q168-0,you,54280,54283,[19],19
Q171-0,you,54810,54813,[19],19
Q172-1,Serpent,55107,55114,[0],0
Q173-0,you,55151,55154,[19],19
Q174-0,you,55205,55208,[0],0
Q174-1,you,55239,55242,[0],0
Q176-1,You,55577,55580,[0],0
Q176-1,you,55636,55639,[0],0
Q176-1,you,55667,55670,[0],0
Q177-1,you,55829,55832,[19],19
Q179-0,You,56089,56092,[0],0
Q179-0,you,56179,56182,[0],0
Q180-1,yours,56348,56353,[19],19
Q184-0,Duchess,58586,58593,[11],11
Q184-0,Queen,58618,58623,[20],20
Q185-0,Queen,58751,58756,[20],20
Q185-0,Duchess,58780,58787,[11],11
Q186-1,you,59304,59307,[0],0
Q186-1,you,59394,59397,[0],0
Q188-0,your,59673,59677,[0],0
Q188-1,you,59784,59787,[0],0
Q188-1,you,59803,59806,[0],0
Q188-1,you,59836,59839,[0],0
Q188-1,you,59845,59848,[0],0
Q189-0,he,59972,59974,[45],45
Q189-1,his,60013,60016,[45],45
Q189-1,his,60057,60060,[45],45
Q189-1,he,60083,60085,[45],45
Q194-0,you,60580,60583,[0],0
Q194-1,you,60649,60652,[0],0
Q198-0,you,61041,61044,[0],0
Q199-0,him,61126,61129,[45],45
Q199-1,he,61157,61159,[45],45
Q201-0,you,61929,61932,[11],11
Q201-1,your cat,62057,62065,[6],6
Q202-0,It,62086,62088,[6],6
Q202-1,Pig,62143,62146,[41],41
Q206-0,You,62618,62621,[0],0
Q207-0,you,63267,63270,[8],8
Q207-1,his,63354,63357,[41],41
Q209-1,You,63787,63790,[11],11
Q210-1,her,63906,63909,[0],0
Q213-0,your little boy,64396,64411,[41],41
Q213-0,him,64426,64429,[41],41
Q213-0,he,64435,64437,[41],41
Q213-0,He,64447,64449,[41],41
Q213-0,he,64485,64487,[41],41
Q214-0,my boy,64781,64787,[41],41
Q214-0,him,64800,64803,[41],41
Q214-0,he,64809,64811,[41],41
Q214-0,he,64825,64827,[41],41
Q214-0,he,64869,64871,[41],41
Q215-0,you,64920,64923,[0],0
Q215-0,it,64934,64936,[41],41
Q215-0,you,64947,64950,[0],0
Q215-1,Queen,65074,65079,[20],20
Q216-1,this child,65858,65868,[41],41
Q217-0,it,65972,65974,[41],41
Q220-0,you,66645,66648,[41],41
Q220-0,my dear,66678,66685,[41],41
Q220-1,you,66746,66749,[41],41
Q221-0,this creature,66961,66974,[41],41
Q222-0,it,67353,67355,[41],41
Q222-1,it,67393,67395,[41],41
Q222-1,it,67441,67443,[41],41
Q224-0,Cheshire Puss,67943,67956,[6],6
Q225-0,it,68093,68095,[6],6
Q226-0,you,68154,68157,[6],6
Q227-0,you,68247,68250,[0],0
Q229-0,you,68358,68361,[0],0
Q231-0,you,68453,68456,[0],0
Q231-1,you,68496,68499,[0],0
Q233-1,Hatter,68712,68718,[14],14
Q233-2,March Hare,68777,68787,[3],3
Q235-0,you,68897,68900,[0],0
Q235-1,You,68963,68966,[0],0
Q236-0,you,68985,68988,[6],6
Q237-0,You,69018,69021,[0],0
Q237-1,you,69050,69053,[0],0
Q238-0,you,69156,69159,[6],6
Q238-0,you,69170,69173,[6],6
Q239-1,You,69233,69236,[0],0
Q241-1,you,69312,69315,[0],0
Q243-0,you,69537,69540,[0],0
Q243-1,you,69566,69569,[0],0
Q243-1,the Queen ,69588,69598,[20],20
Q245-0,You,69686,69689,[0],0
Q245-1,the baby,69937,69945,[41],41
Q246-0,It,69995,69997,[41],41
Q247-0,it,70096,70098,[41],41
Q248-1,the March Hare,70369,70383,[3],3
Q248-1,it,70446,70448,[3],3
Q248-1,it,70493,70495,[3],3
Q249-0,you,70610,70613,[0],0
Q250-1,you,70688,70691,[6],6
Q250-1,you,70743,70746,[6],6
Q253-0,it,71549,71551,[3],3
Q253-0,Hatter,71618,71624,[14],14
Q259-0,you,72554,72557,[3],3
Q260-0,you,72618,72621,[0],0
Q261-0,your,72703,72707,[3],3
Q263-0,You,72918,72921,[14],14
Q267-0,you,73275,73278,[0],0
Q267-0,you,73289,73292,[0],0
Q267-0,you,73299,73302,[0],0
Q269-0,you,73390,73393,[0],0
Q269-0,you,73410,73413,[0],0
Q270-1,you,73539,73542,[3],3
Q271-1,You,73597,73600,[0],0
Q272-0,You,73692,73695,[0],0
Q273-0,You,73814,73817,[0],0
Q274-0,you,74011,74014,[10],10
Q277-1,you,74547,74550,[3],3
Q279-1,you,74760,74763,[3],3
Q282-1,your,75253,75257,[0],0
Q282-1,you,75270,75273,[0],0
Q285-0,you,75622,75625,[14],14
Q286-0,The Dormouse,75666,75678,[10],10
Q288-0,you,75909,75912,[0],0
Q292-0,you,76149,76152,[14],14
Q293-0,you,76266,76269,[0],0
Q293-0,Time,76275,76279,[22],22
Q293-1,you,76316,76319,[0],0
