COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
107,2,3,PROP,FAC,GREEN GABLES,8,20,22
105,6,8,PROP,PER,Mrs. Rachel Lynde,36,53,48
105,13,14,PROP,PER,Rachel Lynde,75,87,48
105,88,88,PROP,PER,Lynde,456,461,48
105,110,112,PROP,PER,Mrs. Rachel Lynde,553,570,48
105,128,129,PROP,PER,Mrs. Rachel,653,664,48
105,133,133,PRON,PER,her,680,683,48
105,154,154,PRON,PER,she,780,783,48
105,162,162,PRON,PER,she,821,824,48
105,167,167,PRON,PER,she,848,851,48
105,207,209,PROP,PER,Mrs. Rachel Lynde,1045,1062,48
105,231,231,PRON,PER,She,1175,1178,48
105,237,237,PRON,PER,her,1204,1207,48
105,246,246,PRON,PER,she,1244,1247,48
105,280,281,PROP,PER,Mrs. Rachel,1406,1417,48
105,290,290,PRON,PER,her,1458,1461,48
105,301,301,PRON,PER,she,1509,1512,48
105,388,389,PROP,PER,Mrs. Rachel,1935,1946,48
105,396,396,PRON,PER,She,1966,1969,48
106,445,446,PROP,PER,Thomas Lynde,2188,2200,58
105,457,458,PROP,PER,Rachel Lynde,2248,2260,48
106,462,462,PRON,PER,his,2284,2287,58
107,475,476,PROP,PER,Matthew Cuthbert,2344,2360,22
107,482,482,PRON,PER,his,2387,2390,22
107,492,493,PROP,FAC,Green Gables,2431,2443,22
105,495,496,PROP,PER,Mrs. Rachel,2445,2456,48
107,499,499,PRON,PER,he,2467,2469,22
105,502,502,PRON,PER,she,2484,2487,48
107,505,505,PRON,PER,him,2498,2501,22
108,507,508,PROP,PER,Peter Morrison,2507,2521,41
107,522,522,PRON,PER,he,2590,2592,22
107,526,526,PRON,PER,his,2606,2609,22
108,533,533,PROP,PER,Peter,2642,2647,41
107,536,536,PRON,PER,him,2658,2661,22
107,542,543,PROP,PER,Matthew Cuthbert,2678,2694,22
107,554,554,PRON,PER,his,2759,2762,22
107,562,563,PROP,PER,Matthew Cuthbert,2793,2809,22
107,590,590,PRON,PER,he,2922,2924,22
107,596,596,PRON,PER,his,2949,2952,22
107,607,607,PRON,PER,he,3002,3004,22
107,615,615,PRON,PER,he,3035,3037,22
107,627,627,PRON,PER,he,3094,3096,22
107,638,639,PROP,PER,Matthew Cuthbert,3147,3163,22
107,644,644,PRON,PER,he,3182,3184,22
105,657,658,PROP,PER,Mrs. Rachel,3237,3248,48
107,680,680,PROP,PER,Matthew,3352,3359,22
107,697,697,PRON,PER,him,3449,3452,22
107,699,699,PRON,PER,he,3454,3456,22
107,718,718,PRON,PER,he,3544,3546,22
105,746,747,PROP,PER,Mrs. Rachel,3671,3682,48
105,751,751,PRON,PER,she,3694,3697,48
105,760,760,PRON,PER,her,3734,3737,48
107,774,775,PROP,FAC,Green Gables,3798,3810,22
110,782,782,PROP,PER,Marilla,3839,3846,20
107,784,784,PRON,PER,he,3853,3855,22
107,798,798,PRON,PER,He,3910,3912,22
107,810,810,PRON,PER,he,3964,3966,22
107,817,817,PRON,PER,he,3986,3988,22
107,824,824,PRON,PER,he,4014,4016,22
107,838,838,PRON,PER,he,4070,4072,22
107,861,861,PRON,PER,him,4185,4188,22
107,892,893,PROP,PER,Matthew Cuthbert,4310,4326,22
105,903,904,PROP,PER,Mrs. Rachel,4373,4384,48
105,908,908,PRON,PER,she,4394,4397,48
105,939,939,PROP,PER,Lynde,4533,4538,48
107,957,958,PROP,PER,Matthew Cuthbert,4604,4620,22
107,997,998,PROP,FAC,Green Gables,4806,4818,22
107,1011,1011,PRON,FAC,it,4880,4882,22
105,1035,1037,PROP,PER,Mrs. Rachel Lynde,5002,5019,48
105,1065,1065,PRON,PER,she,5110,5113,48
105,1068,1068,PRON,PER,she,5122,5125,48
107,1089,1089,PROP,PER,Matthew,5217,5224,22
110,1091,1091,PROP,PER,Marilla,5229,5236,20
105,1124,1124,PRON,PER,I,5382,5383,48
105,1143,1143,PRON,PER,I,5459,5460,48
105,1173,1174,PROP,PER,Mrs. Rachel,5579,5590,48
107,1184,1185,PROP,FAC,Green Gables,5636,5648,22
105,1225,1226,PROP,PER,Mrs. Rachel,5834,5845,48
105,1237,1237,PRON,PER,she,5894,5897,48
105,1276,1277,PROP,PER,Mrs. Rachel,6088,6099,48
107,1296,1297,PROP,FAC,Green Gables,6187,6199,22
105,1455,1456,PROP,PER,Mrs. Rachel,6952,6963,48
105,1459,1459,PRON,PER,she,6972,6975,48
107,1495,1495,PROP,PER,Matthew,7149,7156,22
107,1534,1534,PROP,PER,Matthew,7341,7348,22
105,1543,1544,PROP,PER,Mrs. Rachel,7385,7396,48
107,1557,1558,PROP,FAC,Green Gables,7474,7486,22
105,1564,1564,PROP,PER,Rachel,7504,7510,48
105,1585,1585,PRON,PER,you,7581,7584,48
105,1592,1592,PRON,PER,your,7607,7611,48
105,1617,1618,PROP,PER,Mrs. Rachel,7750,7761,48
105,1729,1730,PROP,PER,Mrs. Rachel,8304,8315,48
105,1733,1733,PRON,PER,I,8318,8319,48
105,1739,1739,PRON,PER,you,8340,8343,48
105,1747,1747,PRON,PER,I,8367,8368,48
107,1749,1749,PROP,PER,Matthew,8373,8380,22
105,1754,1754,PRON,PER,I,8401,8402,48
107,1757,1757,PRON,PER,he,8417,8419,22
2016,1761,1762,NOM,PER,the doctor,8433,8443,90
105,1775,1776,PROP,PER,Mrs. Rachel,8507,8518,48
107,1786,1786,PROP,PER,Matthew,8555,8562,22
107,1823,1823,PROP,PER,Matthew,8719,8726,22
107,1857,1857,PROP,PER,Matthew,8878,8885,22
105,1869,1870,PROP,PER,Mrs. Rachel,8945,8956,48
105,1878,1878,PRON,PER,She,8994,8997,48
105,1899,1900,PROP,PER,Mrs. Rachel,9103,9114,48
105,1917,1917,PRON,PER,she,9180,9183,48
105,1967,1968,PROP,PER,Mrs. Rachel,9422,9433,48
105,1971,1971,PRON,PER,she,9444,9447,48
105,1979,1979,PRON,PER,She,9483,9486,48
107,1990,1991,PROP,PER,Matthew Cuthbert,9537,9553,22
114,2081,2083,PROP,PER,Mrs. Alexander Spencer,9972,9994,43
114,2092,2092,PRON,PER,she,10036,10039,43
114,2094,2094,PRON,PER,she,10045,10048,43
114,2112,2112,PRON,PER,Her,10127,10130,43
114,2117,2118,PROP,PER,Mrs. Spencer,10154,10166,43
107,2129,2129,PROP,PER,Matthew,10211,10218,22
107,2150,2150,PROP,PER,Matthew,10295,10302,22
107,2160,2160,PRON,PER,he,10337,10339,22
107,2165,2165,PRON,PER,he,10353,10355,22
107,2171,2171,PRON,PER,he,10373,10375,22
107,2175,2175,PRON,PER,His,10386,10389,22
107,2178,2178,PRON,PER,him,10405,10408,22
107,2247,2247,PROP,PER,Matthew,10706,10713,22
114,2340,2341,PROP,PER,Mrs. Spencer,11065,11077,43
114,2348,2348,PRON,PER,she,11102,11105,43
114,2353,2353,PRON,PER,her,11123,11126,43
114,2361,2361,PRON,PER,she,11159,11162,43
114,2368,2368,PRON,PER,her,11185,11188,43
115,2371,2372,PROP,PER,Richard Spencer,11197,11212,108
114,2437,2439,PROP,PER,Mrs. Alexander Spencer,11494,11516,43
107,2465,2465,PROP,PER,Matthew,11627,11634,22
114,2474,2475,PROP,PER,Mrs. Spencer,11669,11681,43
114,2484,2484,PRON,PER,she,11717,11720,43
114,2491,2491,PRON,PER,herself,11752,11759,43
105,2494,2495,PROP,PER,Mrs. Rachel,11763,11774,48
105,2497,2497,PRON,PER,herself,11782,11789,48
105,2501,2501,PRON,PER,her,11809,11812,48
105,2504,2504,PRON,PER,she,11819,11822,48
105,2513,2513,PRON,PER,her,11866,11869,48
105,2758,2758,PROP,PER,Rachel,12907,12913,48
107,2768,2768,PROP,PER,Matthew,12948,12955,22
107,2789,2789,PROP,PER,Matthew,13027,13034,22
107,2791,2791,PRON,PER,his,13040,13043,22
107,2797,2797,PRON,PER,he,13071,13073,22
107,2874,2874,PRON,PER,him,13397,13400,22
107,2881,2881,PRON,PER,He,13429,13431,22
105,2894,2894,PRON,PER,I,13481,13482,48
105,2905,2906,PROP,PER,Mrs. Rachel,13522,13533,48
105,2913,2913,PRON,PER,her,13567,13570,48
105,2922,2922,PRON,PER,I,13603,13604,48
105,2926,2926,PRON,PER,you,13617,13620,48
107,2928,2928,PRON,PER,he,13624,13626,22
107,2930,2931,PROP,FAC,Green Gables,13633,13645,22
105,2940,2940,PRON,PER,I,13683,13684,48
105,3012,3012,PRON,PER,I,14000,14001,48
105,3024,3024,PRON,PER,I,14046,14047,48
114,3027,3029,PROP,PER,Mrs. Alexander Spencer,14058,14080,43
114,3038,3038,PRON,PER,she,14107,14110,43
114,3050,3050,PRON,PER,she,14167,14170,43
114,3054,3054,PRON,PER,her,14184,14187,43
105,3058,3059,PROP,PER,Mrs. Rachel,14196,14207,48
107,3066,3066,PROP,PER,Matthew,14239,14246,22
107,3070,3070,PRON,PER,his,14262,14265,22
107,3087,3087,PRON,PER,his,14348,14351,22
105,3089,3089,PRON,PER,she,14360,14363,48
105,3116,3117,PROP,PER,Mrs. Rachel,14484,14495,48
105,3126,3126,PRON,PER,she,14533,14536,48
105,3128,3128,PRON,PER,herself,14542,14549,48
105,3141,3141,PRON,PER,her,14606,14609,48
105,3150,3151,PROP,PER,Mrs. Rachel,14659,14670,48
105,3170,3171,PROP,PER,Mrs. Rachel,14745,14756,48
105,3173,3173,PRON,PER,she,14762,14765,48
105,3188,3188,PRON,PER,I,14821,14822,48
105,3195,3195,PRON,PER,I,14847,14848,48
107,3207,3207,PROP,PER,Matthew,14897,14904,22
107,3254,3255,PROP,FAC,Green Gables,15123,15135,22
107,3266,3266,PROP,PER,Matthew,15179,15186,22
105,3298,3298,PRON,PER,I,15322,15323,48
105,3310,3310,PRON,PER,My,15373,15375,48
105,3313,3313,PRON,PER,I,15381,15382,48
105,3324,3325,PROP,PER,Mrs. Rachel,15416,15427,48
105,3336,3336,PRON,PER,her,15474,15477,48
105,3341,3341,PRON,PER,she,15492,15495,48
105,3360,3360,PRON,PER,her,15596,15599,48
107,3374,3375,PROP,PER,Matthew Cuthbert,15669,15685,22
107,3379,3379,PROP,PER,Cuthbert,15710,15718,22
107,3479,3479,PROP,PER,Matthew,16210,16217,22
107,3484,3484,PRON,PER,his,16242,16245,22
107,3493,3493,PRON,PER,he,16290,16292,22
107,3529,3529,PROP,PER,Matthew,16449,16456,22
105,3536,3537,PROP,PER,Mrs. Rachel,16494,16505,48
107,3539,3539,PRON,PER,he,16507,16509,22
107,3552,3552,PRON,PER,him,16595,16598,22
107,3554,3554,PRON,PER,He,16600,16602,22
107,3565,3565,PRON,PER,he,16649,16651,22
107,3585,3585,PRON,PER,his,16743,16746,22
107,3597,3597,PRON,PER,he,16802,16804,22
107,3602,3602,PRON,PER,he,16825,16827,22
107,3609,3609,PRON,PER,he,16849,16851,22
107,3617,3617,PRON,PER,he,16886,16888,22
107,3630,3630,PRON,PER,he,16946,16948,22
107,3642,3642,PRON,PER,he,17002,17004,22
107,3644,3644,PRON,PER,he,17013,17015,22
107,3650,3650,PRON,PER,he,17034,17036,22
