exp_name,text,start_byte,end_byte,pdncID
the superintendent of the asylum sunday school,the superintendent of the asylum Sunday school,102392,102438,111
the stout lady in pink silk,the stout lady in pink silk,492961,492988,55
moody spurgeon macpherson,Moody Spurgeon MacPherson,370033,370058,26
moody spurgeon macpherson,Moody Spurgeon MacPherson,413818,413843,26
moody spurgeon macpherson,Moody Spurgeon MacPherson,439854,439879,26
a stout lady in pink silk,a stout lady in pink silk,489024,489049,55
clara louise macpherson,Clara Louise MacPherson,421113,421136,7
mr. superintendent bell,Mr. Superintendent Bell,307889,307912,31
mrs. alexander spencer,Mrs. Alexander Spencer,9972,9994,43
mrs. alexander spencer,Mrs. Alexander Spencer,11494,11516,43
mrs. alexander spencer,Mrs. Alexander Spencer,14058,14080,43
mrs. alexander spencer,Mrs. Alexander Spencer,18327,18349,43
anne of green gables,ANNE OF GREEN GABLES,0,20,2
anne of green gables,Anne of Green Gables,109497,109517,2
anne of green gables,Anne of Green Gables,109671,109691,2
anne of green gables,Anne of Green Gables,162522,162542,2
anne of green gables,Anne of Green Gables,283029,283049,2
anne of green gables,Anne of Green Gables,497303,497323,2
miss josephine barry,Miss Josephine Barry,278135,278155,24
miss josephine barry,Miss Josephine Barry,282618,282638,24
miss josephine barry,Miss Josephine Barry,282983,283003,24
miss josephine barry,Miss Josephine Barry,380416,380436,24
miss josephine barry,Miss Josephine Barry,504875,504895,24
superintendent bell,Superintendent Bell,159654,159673,31
superintendent bell,Superintendent Bell,337459,337478,31
superintendent bell,Superintendent Bell,338005,338024,31
superintendent bell,Superintendent Bell,454543,454562,31
the white-lace girl,the white-lace girl,489300,489319,57
the white-lace girl,the white-lace girl,490391,490410,57
the white-lace girl,the white-lace girl,491235,491254,57
the white-lace girl,the white-lace girl,493880,493899,57
miss lucilla harris,Miss Lucilla Harris,353568,353587,74
the station-master,the station-master,18897,18915,56
the station-master,the station-master,42794,42812,56
the superintendent,the Superintendent,398701,398719,111
mrs. peter blewett,Mrs. Peter Blewett,79542,79560,41
mrs. peter blewett,Mrs. Peter Blewett,80042,80060,41
professor tremaine,Professor Tremaine,519030,519048,47
mr. harmon andrews,Mr. Harmon Andrews,159578,159596,29
mr. harmon andrews,Mr. Harmon Andrews,184014,184032,29
mr. harmon andrews,Mr. Harmon Andrews,218981,218999,29
mr. harmon andrews,Mr. Harmon Andrews,420800,420818,29
the stationmaster,the stationmaster,17695,17712,56
the stationmaster,The stationmaster,18399,18416,56
minnie macpherson,Minnie MacPherson,192355,192372,71
mrs. rachel lynde,Mrs. Rachel Lynde,36,53,48
mrs. rachel lynde,MRS. Rachel Lynde,70,87,48
mrs. rachel lynde,Mrs. Rachel Lynde,553,570,48
mrs. rachel lynde,Mrs. Rachel Lynde,1045,1062,48
mrs. rachel lynde,Mrs. Rachel Lynde,5002,5019,48
mrs. rachel lynde,Mrs. Rachel Lynde,110504,110521,48
mrs. rachel lynde,Mrs. Rachel Lynde,115105,115122,48
mrs. rachel lynde,Mrs. Rachel Lynde,119308,119325,48
mrs. rachel lynde,Mrs. Rachel Lynde,159678,159695,48
mrs. rachel lynde,Mrs. Rachel Lynde,247424,247441,48
mrs. rachel lynde,Mrs. Rachel Lynde,247456,247473,48
mrs. chester ross,Mrs. Chester Ross,224844,224861,83
mrs. chester ross,Mrs. Chester Ross,224953,224970,83
mrs. chester ross,Mrs. Chester Ross,225117,225134,83
mrs. chester ross,Mrs. Chester Ross,225635,225652,83
mrs. chester ross,Mrs. Chester Ross,226075,226092,83
miss muriel stacy,Miss Muriel Stacy,327242,327259,25
matthew cuthbert,Matthew Cuthbert,2344,2360,22
matthew cuthbert,Matthew Cuthbert,2678,2694,22
matthew cuthbert,Matthew Cuthbert,2793,2809,22
matthew cuthbert,Matthew Cuthbert,3147,3163,22
matthew cuthbert,Matthew Cuthbert,4310,4326,22
matthew cuthbert,Matthew Cuthbert,4604,4620,22
matthew cuthbert,Matthew Cuthbert,9537,9553,22
matthew cuthbert,Matthew Cuthbert,15669,15685,22
matthew cuthbert,MATTHEW Cuthbert,15702,15718,22
matthew cuthbert,Matthew Cuthbert,20439,20455,22
matthew cuthbert,Matthew Cuthbert,20751,20767,22
matthew cuthbert,Matthew Cuthbert,42420,42436,22
matthew cuthbert,Matthew Cuthbert,52541,52557,22
matthew cuthbert,Matthew Cuthbert,53037,53053,22
matthew cuthbert,Matthew Cuthbert,94091,94107,22
matthew cuthbert,Matthew Cuthbert,124429,124445,22
matthew cuthbert,Matthew Cuthbert,158568,158584,22
matthew cuthbert,Matthew Cuthbert,173489,173505,22
matthew cuthbert,Matthew Cuthbert,180158,180174,22
matthew cuthbert,Matthew Cuthbert,354338,354354,22
matthew cuthbert,Matthew Cuthbert,523723,523739,22
matthew cuthbert,Matthew Cuthbert,533022,533038,22
matthew cuthbert,Matthew Cuthbert,533267,533283,22
matthew cuthbert,Matthew Cuthbert,536894,536910,22
william j. blair,William J. Blair,2544,2560,59
mr. william bell,Mr. William Bell,155743,155759,31
mr. william bell,Mr. William Bell,162981,162997,31
mr. william bell,Mr. William Bell,298762,298778,31
charlotte gillis,Charlotte Gillis,413294,413310,6
mr. silas sloane,Mr. Silas Sloane,287608,287624,79
mr. silas sloane,Mr. Silas Sloane,289324,289340,79
marilla cuthbert,Marilla Cuthbert,5922,5938,20
marilla cuthbert,Marilla Cuthbert,6684,6700,20
marilla cuthbert,Marilla Cuthbert,7729,7745,20
marilla cuthbert,Marilla Cuthbert,42159,42175,20
marilla cuthbert,Marilla Cuthbert,78512,78528,20
marilla cuthbert,Marilla Cuthbert,87725,87741,20
marilla cuthbert,Marilla Cuthbert,117459,117475,20
marilla cuthbert,Marilla Cuthbert,247737,247753,20
marilla cuthbert,Marilla Cuthbert,285674,285690,20
marilla cuthbert,Marilla Cuthbert,285697,285713,20
marilla cuthbert,Marilla Cuthbert,358128,358144,20
marilla cuthbert,Marilla Cuthbert,426693,426709,20
marilla cuthbert,Marilla Cuthbert,450882,450898,20
marilla cuthbert,Marilla Cuthbert,452470,452486,20
marilla cuthbert,Marilla Cuthbert,555112,555128,20
hepzibah jenkins,Hepzibah Jenkins,35039,35055,100
mary alice bell,Mary Alice Bell,183910,183925,103
priscilla grant,Priscilla Grant,514497,514512,45
madame selitsky,Madame Selitsky,423817,423832,18
richard spencer,Richard Spencer,11197,11212,108
richard spencer,Richard Spencer,52133,52148,108
josephine barry,Josephine Barry,279173,279188,24
tillie boulter,Tillie Boulter,190256,190270,93
tillie boulter,Tillie Boulter,192155,192169,93
tillie boulter,Tillie Boulter,209738,209752,93
tillie boulter,Tillie Boulter,210670,210684,93
