COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
42,0,1,PROP,PER,DAISY MILLER,0,12,0
43,715,715,PROP,PER,Winterbourne,3403,3415,8
43,727,727,PRON,PER,he,3478,3480,8
43,739,739,PRON,PER,he,3524,3526,8
43,752,752,PRON,PER,his,3595,3598,8
43,763,763,PRON,PER,he,3656,3658,8
43,776,776,PRON,PER,him,3717,3720,8
43,781,781,PRON,PER,his,3741,3744,8
43,792,792,PRON,PER,he,3795,3797,8
43,803,803,PRON,PER,he,3840,3842,8
43,808,808,PRON,PER,his,3858,3861,8
43,811,811,PRON,PER,He,3873,3875,8
43,815,815,PRON,PER,his,3893,3896,8
43,819,819,PRON,PER,he,3912,3914,8
43,833,833,PRON,PER,him,3976,3979,8
43,854,854,PRON,PER,he,4070,4072,8
43,856,856,PRON,PER,his,4082,4085,8
150,880,881,NOM,PER,The child,4191,4200,6
150,887,887,PRON,PER,his,4225,4228,6
150,906,906,PRON,PER,He,4321,4323,6
150,918,918,PRON,PER,his,4391,4394,6
150,925,925,PRON,PER,he,4423,4425,6
150,933,933,PRON,PER,He,4460,4462,6
150,936,936,PRON,PER,his,4474,4477,6
150,947,947,PRON,PER,he,4527,4529,6
150,952,952,PRON,PER,he,4558,4560,6
43,972,972,PROP,PER,Winterbourne,4656,4668,8
43,973,973,PRON,PER,he,4669,4671,8
43,978,978,PRON,PER,him,4691,4694,8
43,991,991,PRON,PER,you,4750,4753,8
43,993,993,PRON,PER,me,4759,4761,8
43,1000,1000,PRON,PER,he,4780,4782,8
43,1021,1021,PROP,PER,Winterbourne,4867,4879,8
43,1028,1028,PRON,PER,him,4912,4915,8
43,1032,1032,PRON,PER,his,4926,4929,8
43,1049,1049,PRON,PER,you,5007,5010,8
43,1055,1055,PRON,PER,he,5026,5028,8
43,1060,1060,PRON,PER,I,5044,5045,8
150,1089,1089,PRON,PER,he,5191,5193,6
150,1095,1095,PRON,PER,his,5218,5221,6
150,1107,1107,PRON,PER,He,5289,5291,6
150,1109,1109,PRON,PER,his,5298,5301,6
43,1117,1117,PROP,PER,Winterbourne,5334,5346,8
150,1129,1129,PRON,PER,his,5397,5400,6
150,1146,1146,PRON,PER,he,5437,5439,6
43,1157,1157,PROP,PER,Winterbourne,5500,5512,8
43,1162,1162,PRON,PER,he,5544,5546,8
