COREF,matches,pdncID
42,"[0, 0, 0, 0, 0]",0
0,[],-1
84,[],-1
1,[],-1
85,[],-1
86,[],-1
87,[],-1
88,[],-1
89,[],-1
90,[],-1
91,[],-1
92,[],-1
93,[],-1
94,[],-1
95,[],-1
96,[],-1
97,[],-1
98,[],-1
99,[],-1
100,[],-1
2,[],-1
101,[],-1
102,[],-1
103,[],-1
104,[],-1
3,[],-1
4,[],-1
758,[],-1
105,[],-1
759,[],-1
5,[],-1
6,[],-1
7,[],-1
106,[],-1
107,[],-1
109,[],-1
110,[],-1
111,[],-1
112,[],-1
113,[],-1
8,[],-1
114,[],-1
760,[],-1
115,[],-1
116,[],-1
9,[],-1
117,[],-1
118,[],-1
119,[],-1
120,[],-1
123,[],-1
124,[],-1
125,[],-1
126,[],-1
127,[],-1
128,[],-1
129,[],-1
130,[],-1
131,[],-1
132,[],-1
133,[],-1
134,[],-1
135,[],-1
43,"[8, 8]",8
136,[],-1
137,[],-1
139,[],-1
142,[],-1
144,[],-1
145,[],-1
146,[],-1
147,[],-1
148,[],-1
149,[],-1
150,[6],6
761,[],-1
151,[],-1
152,[],-1
762,[],-1
763,[],-1
764,[],-1
10,[],-1
765,[],-1
766,[],-1
153,[],-1
767,[],-1
768,[],-1
769,[],-1
770,[],-1
155,[],-1
771,[],-1
156,[],-1
11,[],-1
772,[],-1
773,[],-1
160,[],-1
774,[],-1
775,[],-1
161,[],-1
163,[],-1
777,[],-1
167,[],-1
44,"[6, 6]",6
12,[],-1
170,[],-1
171,[],-1
172,[],-1
173,[],-1
174,[],-1
175,[],-1
176,[],-1
177,[],-1
179,[],-1
13,[],-1
780,[],-1
14,[],-1
781,[],-1
782,[],-1
783,[],-1
186,[],-1
187,[],-1
784,[],-1
188,[],-1
191,[],-1
192,[],-1
193,[],-1
194,[],-1
195,[],-1
15,[],-1
196,[],-1
785,[],-1
197,[],-1
198,[],-1
199,[],-1
16,[],-1
200,[],-1
786,[],-1
45,"[6, 6]",6
46,"[0, 0]",0
207,[],-1
787,[],-1
47,[],-1
790,[],-1
48,[],-1
17,[],-1
793,[],-1
794,[],-1
795,[],-1
796,[],-1
798,[],-1
799,[],-1
800,[],-1
802,[],-1
803,[],-1
804,[],-1
805,[],-1
49,[],-1
18,[],-1
806,[],-1
808,[],-1
810,[],-1
50,[],-1
812,[],-1
51,[],-1
813,[],-1
814,[],-1
815,[],-1
816,[],-1
212,[],-1
214,[],-1
215,[],-1
216,[],-1
218,[],-1
219,[],-1
817,[],-1
819,[],-1
820,[],-1
821,[],-1
220,[],-1
221,[],-1
222,[],-1
19,[],-1
824,[],-1
825,[],-1
826,[],-1
827,[],-1
828,[],-1
20,[],-1
829,[],-1
830,[],-1
831,[],-1
832,[],-1
833,[],-1
52,[8],8
225,[],-1
226,[],-1
227,[],-1
21,[],-1
228,[],-1
230,[],-1
231,[],-1
232,[],-1
234,[],-1
235,[],-1
236,[],-1
237,[],-1
238,[],-1
239,[],-1
240,[],-1
241,[],-1
242,[],-1
243,[],-1
244,[],-1
834,[],-1
22,[],-1
835,[],-1
844,[],-1
845,[],-1
846,[],-1
848,[],-1
852,[],-1
250,[],-1
854,[],-1
251,[],-1
252,[],-1
857,[],-1
53,[1],1
860,[],-1
861,[],-1
864,[],-1
866,[],-1
255,[],-1
256,[],-1
257,[],-1
54,[],-1
869,[],-1
870,[],-1
871,[],-1
263,[],-1
872,[],-1
873,[],-1
265,[],-1
266,[],-1
267,[],-1
55,[3],3
269,[],-1
270,[],-1
272,[],-1
273,[],-1
274,[],-1
275,[],-1
874,[],-1
276,[],-1
277,[],-1
278,[],-1
279,[],-1
23,[],-1
280,[],-1
281,[],-1
283,[],-1
284,[],-1
285,[],-1
286,[],-1
287,[],-1
288,[],-1
875,[],-1
57,[],-1
877,[],-1
58,[8],8
879,[],-1
880,[],-1
881,[],-1
882,[],-1
884,[],-1
886,[],-1
887,[],-1
292,[],-1
888,[],-1
890,[],-1
893,[],-1
59,[],-1
895,[],-1
896,[],-1
898,[],-1
294,[],-1
899,[],-1
900,[],-1
901,[],-1
903,[],-1
904,[],-1
905,[],-1
907,[],-1
908,[],-1
910,[],-1
913,[],-1
914,[],-1
915,[],-1
916,[],-1
296,[],-1
917,[],-1
297,[],-1
920,[],-1
922,[],-1
923,[],-1
305,[],-1
306,[],-1
926,[],-1
928,[],-1
930,[],-1
310,[],-1
312,[],-1
313,[],-1
933,[],-1
316,[],-1
938,[],-1
939,[],-1
60,[4],4
320,[],-1
324,[],-1
327,[],-1
328,[],-1
943,[],-1
944,[],-1
945,[],-1
336,[],-1
24,[],-1
946,[],-1
947,[],-1
948,[],-1
341,[],-1
342,[],-1
950,[],-1
951,[],-1
953,[],-1
955,[],-1
957,[],-1
25,[],-1
958,[],-1
346,[],-1
347,[],-1
960,[],-1
348,[],-1
349,[],-1
350,[],-1
352,[],-1
961,[],-1
355,[],-1
963,[],-1
359,[],-1
966,[],-1
967,[],-1
364,[],-1
365,[],-1
367,[],-1
61,[],-1
368,[],-1
973,[],-1
974,[],-1
371,[],-1
975,[],-1
378,[],-1
380,[],-1
382,[],-1
383,[],-1
384,[],-1
385,[],-1
386,[],-1
387,[],-1
388,[],-1
389,[],-1
390,[],-1
391,[],-1
392,[],-1
393,[],-1
394,[],-1
396,[],-1
397,[],-1
398,[],-1
399,[],-1
400,[],-1
401,[],-1
403,[],-1
406,[],-1
976,[],-1
977,[],-1
978,[],-1
409,[],-1
410,[],-1
412,[],-1
413,[],-1
415,[],-1
416,[],-1
63,[],-1
979,[],-1
418,[],-1
64,[],-1
421,[],-1
423,[],-1
425,[],-1
426,[],-1
427,[],-1
981,[],-1
983,[],-1
984,[],-1
985,[],-1
430,[],-1
432,[],-1
434,[],-1
990,[],-1
435,[],-1
991,[],-1
992,[],-1
993,[],-1
996,[],-1
65,[],-1
66,[],-1
438,[],-1
997,[],-1
1002,[],-1
1003,[],-1
1004,[],-1
1005,[],-1
1007,[],-1
1008,[],-1
1010,[],-1
1011,[],-1
439,[],-1
440,[],-1
441,[],-1
442,[],-1
443,[],-1
444,[],-1
445,[],-1
447,[],-1
26,[],-1
448,[],-1
449,[],-1
450,[],-1
451,[7],7
67,[],-1
453,[],-1
454,[],-1
459,[],-1
1012,[],-1
1014,[],-1
68,[],-1
1016,[],-1
69,[],-1
1017,[],-1
1018,[],-1
462,[],-1
463,[],-1
1019,[],-1
1020,[],-1
1021,[],-1
27,[],-1
1022,[],-1
1023,[],-1
28,[],-1
1024,[],-1
1025,[],-1
1026,[],-1
1027,[],-1
1031,[],-1
70,[5],5
470,[],-1
29,[],-1
30,[],-1
471,[],-1
472,[],-1
474,[],-1
1034,[],-1
1035,[],-1
477,[],-1
1037,[9],9
1038,[],-1
1039,[],-1
1040,[],-1
1041,[],-1
71,"[2, 2]",2
1042,[],-1
1043,[],-1
1044,[],-1
72,[],-1
479,[],-1
1046,[],-1
32,[],-1
480,[],-1
481,[],-1
482,[],-1
1052,[],-1
484,[],-1
1053,[],-1
1054,[],-1
1055,[],-1
487,[],-1
490,[],-1
491,[],-1
492,[],-1
493,[],-1
33,[],-1
494,[],-1
495,[],-1
496,[],-1
497,[],-1
498,[],-1
499,[],-1
1056,[],-1
73,[],-1
1058,[],-1
1059,[],-1
1061,[],-1
501,[],-1
1062,[],-1
1063,[],-1
74,[],-1
1065,[],-1
1066,[],-1
34,[],-1
1067,[],-1
1068,[],-1
502,[],-1
1069,[],-1
1070,[],-1
1071,[],-1
1074,[],-1
505,[],-1
506,[],-1
507,[],-1
509,[],-1
510,[],-1
511,[],-1
512,[],-1
513,[],-1
514,[],-1
1079,[],-1
1080,[],-1
1081,[],-1
517,[],-1
518,[],-1
519,[],-1
1082,[],-1
522,[],-1
523,[],-1
524,[],-1
526,[],-1
527,[],-1
528,[],-1
529,[],-1
530,[],-1
531,[],-1
533,[],-1
534,[],-1
535,[],-1
1083,[],-1
1084,[],-1
1085,[],-1
1088,[],-1
537,[],-1
542,[],-1
1093,[],-1
543,[],-1
1098,[],-1
545,[],-1
546,[],-1
1099,[],-1
549,[],-1
550,[],-1
554,[],-1
1106,[],-1
1107,[],-1
1109,[],-1
1111,[],-1
1112,[],-1
1114,[],-1
558,[],-1
1119,[],-1
35,[],-1
560,[],-1
561,[],-1
564,[],-1
565,[],-1
568,[],-1
570,[],-1
571,[],-1
572,[],-1
573,[],-1
575,[],-1
576,[],-1
579,[],-1
584,[],-1
585,[],-1
586,[],-1
587,[],-1
1121,[],-1
1122,[],-1
1124,[],-1
1125,[],-1
1127,[],-1
1128,[],-1
75,[],-1
592,[],-1
1130,[],-1
1132,[],-1
1133,[],-1
597,[],-1
1134,[],-1
1135,[],-1
1138,[],-1
1140,[],-1
1145,[],-1
1147,[],-1
1150,[],-1
1151,[],-1
1153,[],-1
1155,[],-1
1156,[],-1
1159,[],-1
1160,[],-1
1161,[],-1
1162,[],-1
598,[],-1
600,[],-1
1164,[],-1
601,[],-1
602,[],-1
603,[],-1
607,[],-1
1165,[],-1
608,[],-1
1166,[],-1
609,[],-1
610,[],-1
611,[],-1
613,[],-1
614,[],-1
615,[],-1
617,[],-1
618,[],-1
619,[],-1
620,[],-1
36,[],-1
622,[],-1
625,[],-1
1167,[],-1
76,[],-1
77,[],-1
1168,[],-1
1169,[],-1
1170,[],-1
628,[],-1
1172,[],-1
1174,[],-1
1179,[],-1
1180,[],-1
1181,[],-1
1182,[],-1
1184,[],-1
1187,[],-1
1188,[],-1
1189,[],-1
1190,[],-1
1191,[],-1
1193,[],-1
629,[],-1
630,[],-1
631,[],-1
632,[],-1
633,[],-1
634,[],-1
635,[],-1
636,[],-1
637,[],-1
638,[],-1
639,[],-1
640,[],-1
642,[],-1
37,[],-1
643,[],-1
78,[],-1
645,[],-1
1194,[],-1
647,[],-1
648,[],-1
649,[],-1
1196,[],-1
1198,[],-1
650,[],-1
652,[],-1
1199,[],-1
1201,[],-1
654,[],-1
657,[],-1
658,[],-1
659,[],-1
660,[],-1
79,[],-1
661,[],-1
662,[],-1
663,[],-1
664,[8],8
666,[],-1
668,[],-1
80,[],-1
38,[],-1
669,[],-1
670,[],-1
1203,[],-1
672,[],-1
673,[],-1
674,[],-1
675,[],-1
678,[],-1
1205,[],-1
679,[],-1
680,[],-1
682,[],-1
683,[],-1
684,[],-1
685,[],-1
686,[],-1
687,[],-1
39,[],-1
689,[],-1
40,[],-1
690,[],-1
691,[],-1
692,[],-1
693,[],-1
694,[],-1
695,[],-1
696,[],-1
698,[],-1
81,[],-1
82,[],-1
701,[],-1
702,[],-1
703,[],-1
704,[],-1
705,[],-1
706,[],-1
707,[],-1
709,[],-1
1208,[],-1
710,[],-1
713,[],-1
715,[],-1
1211,[],-1
716,[],-1
1213,[],-1
41,[],-1
1216,[],-1
719,[],-1
1219,[],-1
724,[],-1
725,[],-1
726,[],-1
727,[],-1
732,[],-1
733,[],-1
734,[],-1
736,[],-1
739,[],-1
740,[],-1
741,[],-1
744,[],-1
745,[],-1
1220,[],-1
747,[],-1
748,[],-1
1221,[],-1
1222,[],-1
1226,[],-1
1227,[],-1
750,[],-1
751,[],-1
753,[],-1
1228,[],-1
1229,[],-1
1230,[],-1
1231,[],-1
83,[],-1
754,[],-1
757,[],-1
