exp_name,text,start_byte,end_byte,pdncID
randolph c. miller,Randolph C. Miller,13179,13197,6
miss daisy miller,Miss Daisy Miller,19101,19118,0
miss daisy miller,Miss Daisy Miller,19798,19815,0
miss daisy miller,Miss Daisy Miller,20008,20025,0
miss daisy miller,Miss Daisy Miller,20209,20226,0
miss daisy miller,Miss Daisy Miller,20599,20616,0
miss daisy miller,Miss Daisy Miller,22910,22927,0
miss daisy miller,Miss Daisy Miller,23585,23602,0
miss daisy miller,Miss Daisy Miller,25639,25656,0
miss daisy miller,Miss Daisy Miller,27523,27540,0
miss daisy miller,Miss Daisy Miller,31673,31690,0
miss daisy miller,Miss Daisy Miller,32117,32134,0
miss daisy miller,Miss Daisy Miller,32481,32498,0
miss daisy miller,Miss Daisy Miller,34890,34907,0
miss daisy miller,Miss Daisy Miller,36785,36802,0
miss daisy miller,Miss Daisy Miller,37437,37454,0
miss daisy miller,Miss Daisy Miller,38437,38454,0
miss daisy miller,Miss Daisy Miller,54356,54373,0
miss daisy miller,Miss Daisy Miller,56084,56101,0
miss daisy miller,Miss Daisy Miller,104659,104676,0
miss daisy miller,Miss Daisy Miller,112497,112514,0
miss daisy miller,Miss Daisy Miller,113199,113216,0
mr. winterbourne,Mr. Winterbourne,38413,38429,8
mr. winterbourne,Mr. Winterbourne,39627,39643,8
mr. winterbourne,Mr. Winterbourne,40887,40903,8
mr. winterbourne,Mr. Winterbourne,43498,43514,8
mr. winterbourne,Mr. Winterbourne,44020,44036,8
mr. winterbourne,Mr. Winterbourne,46027,46043,8
mr. winterbourne,Mr. Winterbourne,53612,53628,8
mr. winterbourne,Mr. Winterbourne,58904,58920,8
mr. winterbourne,Mr. Winterbourne,66356,66372,8
mr. winterbourne,Mr. Winterbourne,68320,68336,8
mr. winterbourne,Mr. Winterbourne,80127,80143,8
mr. winterbourne,Mr. Winterbourne,93936,93952,8
mr. winterbourne,Mr. Winterbourne,113558,113574,8
mr. winterbourne,Mr. Winterbourne,119409,119425,8
