qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,you,4750,4753,[8],8
Q1-0,you,5007,5010,[6],6
Q3-0,you,5619,5622,[6],6
Q3-0,your,5634,5638,[6],6
Q4-0,My mother,5756,5765,[4],4
Q4-0,She,5825,5828,[4],4
Q4-0,she,5834,5837,[4],4
Q5-0,you,6040,6043,[6],6
Q5-0,your mother,6070,6081,[4],4
Q5-0,you,6102,6105,[6],6
Q6-0,She,6119,6122,[4],4
Q9-0,you,6411,6414,[6],6
Q10-0,you,6465,6468,[8],8
Q12-0,my sister,6916,6925,[0],0
Q12-1,She,6958,6961,[0],0
Q14-0,My sister,7143,7152,[0],0
Q14-1,She,7191,7194,[0],0
Q15-0,your,7240,7244,[6],6
Q15-0,hers,7256,7260,[0],0
Q17-0,Randolph,7946,7954,[6],6
Q17-1,you,7988,7991,[6],6
Q20-0,He,8201,8203,[8],8
Q21-0,you,8368,8371,[6],6
Q23-0,you,9360,9363,[6],6
Q25-0,You,9428,9431,[6],6
Q25-0,you,9450,9453,[6],6
Q27-0,you,9704,9707,[6],6
Q28-0,you,9771,9774,[0],0
Q29-0,sir,9886,9889,[8],8
Q30-0,you,9938,9941,[0],0
Q31-1,Randolph,10073,10081,[6],6
Q31-1,we,10101,10103,"[0, 6, 4]",-1
Q37-1,you,10432,10435,[6],6
Q37-1,mother,10463,10469,[4],4
Q40-0,you,12981,12984,[8],8
Q41-0,your,13148,13152,[6],6
Q41-0,my boy,13159,13165,[6],6
Q42-0,Randolph C. Miller,13179,13197,[6],6
Q42-1,you,13237,13240,[8],8
Q42-1,her,13241,13244,[0],0
Q43-0,You,13299,13302,[6],6
Q43-0,you,13324,13327,[6],6
Q44-0,your,13403,13407,[0],0
Q45-0,Her,13436,13439,[0],0
Q45-0,Daisy Miller,13448,13460,[0],0
Q45-1,her,13496,13499,[0],0
Q45-1,her,13522,13525,[0],0
Q45-1,her,13534,13537,[0],0
Q47-0,Her,13614,13617,[0],0
Q47-0,Annie P. Miller,13631,13646,[0],0
Q48-0,him,13672,13675,[8],8
Q48-0,HIS,13676,13679,[8],8
Q50-0,you,14257,14260,[8],8
Q52-0,He,14458,14460,[6],6
Q52-1,He,14505,14507,[6],6
Q53-0,you,14545,14548,[0],0
Q54-0,he,14563,14565,[6],6
Q54-0,He,14590,14592,[6],6
Q54-0,he,14646,14648,[6],6
Q55-0,your brother,14715,14727,[6],6
Q56-0,Mother,14774,14780,[4],4
Q56-0,him,14800,14803,[6],6
Q56-0,us,14830,14832,"[0, 6, 4]",-1
Q56-0,her,14856,14859,[4],4
Q56-0,you,14910,14913,[8],8
Q56-0,her,14977,14980,[4],4
Q56-0,we,15002,15004,"[0, 4]",-1
Q56-0,us,15049,15051,"[0, 6, 4]",-1
Q56-0,Randolph,15057,15065,[6],6
Q56-0,he,15071,15073,[6],6
Q56-0,us,15117,15119,"[0, 6, 4]",-1
Q56-0,He,15121,15123,[6],6
Q56-0,he,15129,15131,[6],6
Q56-0,he,15159,15161,[6],6
Q56-0,we,15183,15185,"[0, 6, 4]",-1
Q56-0,we,15249,15251,"[0, 6, 4]",-1
Q56-0,you,15317,15320,[8],8
Q56-0,Randolph,15368,15376,[6],6
Q56-0,him,15391,15394,[6],6
Q56-0,he,15433,15435,[6],6
Q56-0,him,15485,15488,[6],6
Q56-0,He,15490,15492,[6],6
Q57-1,he,15536,15538,[6],6
Q58-0,Mother,15560,15566,[4],4
Q58-0,him,15596,15599,[6],6
Q58-0,we,15611,15613,"[0, 6, 4]",-1
Q60-0,she,15724,15727,[4],4
Q60-0,He,15757,15759,[6],6
Q60-0,He,15786,15788,[6],6
Q60-0,He,15802,15804,[6],6
Q61-1,we,16913,16915,"[6, 4, 0]",-1
