COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
94,8,9,PROP,PER,Emma Woodhouse,49,63,0
94,55,55,PRON,PER,her,284,287,0
94,57,57,PRON,PER,She,290,293,0
94,79,79,PRON,PER,her,401,404,0
94,95,95,PRON,PER,Her,477,480,0
94,103,103,PRON,PER,her,514,517,0
94,116,116,PRON,PER,her,583,586,0
85,146,147,PROP,PER,Mr. Woodhouse,740,753,10
94,168,168,PROP,PER,Emma,848,852,0
94,235,235,PROP,PER,Emma,1192,1196,0
94,239,239,PRON,PER,she,1213,1216,0
94,253,253,PRON,PER,her,1289,1292,0
94,263,263,PROP,PER,Emma,1326,1330,0
94,274,274,PRON,PER,her,1384,1387,0
94,288,288,PRON,PER,herself,1445,1452,0
94,298,298,PRON,PER,her,1509,1512,0
94,324,324,PRON,PER,her,1638,1641,0
94,370,370,PROP,PER,Emma,1866,1870,0
94,391,391,PRON,PER,her,1966,1969,0
94,394,394,PRON,PER,herself,1981,1988,0
94,413,413,PRON,PER,Her,2070,2073,0
94,426,426,PRON,PER,she,2135,2138,0
94,436,436,PRON,PER,she,2178,2181,0
94,448,448,PRON,PER,her,2238,2241,0
86,451,452,PROP,PER,Mr. Weston,2250,2260,9
94,485,485,PRON,PER,she,2442,2445,0
94,503,503,PRON,PER,her,2526,2529,0
94,519,519,PRON,PER,She,2594,2597,0
94,521,521,PRON,PER,her,2607,2610,0
94,535,535,PRON,PER,she,2676,2679,0
94,540,540,PRON,PER,she,2699,2702,0
94,544,544,PRON,PER,her,2719,2722,0
94,551,551,PRON,PER,she,2748,2751,0
94,555,555,PRON,PER,her,2768,2771,0
94,561,561,PRON,PER,her,2799,2802,0
94,568,568,PRON,PER,her,2829,2832,0
87,604,604,PROP,PER,Isabella,3028,3036,3
94,624,624,PRON,PER,She,3125,3128,0
94,664,664,PRON,PER,herself,3325,3332,0
94,673,673,PRON,PER,hers,3369,3373,0
94,678,678,PRON,PER,she,3387,3390,0
94,694,694,PRON,PER,her,3464,3467,0
94,703,703,PRON,PER,she,3504,3507,0
