COREF,matches,pdncID
82,[],-1
94,"[0, 0]",0
374,[],-1
375,[],-1
376,[],-1
377,[],-1
378,[],-1
379,[],-1
380,[],-1
381,[],-1
382,[],-1
383,[],-1
84,"[0, 15, 15]",-1
85,[10],10
384,[],-1
385,[],-1
386,[],-1
387,[],-1
388,[],-1
389,[],-1
390,[],-1
392,[],-1
393,[],-1
394,[],-1
395,[],-1
397,[],-1
86,"[9, 9]",9
398,[],-1
87,[3],3
399,[],-1
400,[],-1
402,[],-1
403,[],-1
88,"[9, 15]",-1
405,[],-1
407,[],-1
408,[],-1
409,[],-1
1,[],-1
2,[],-1
411,[],-1
412,[],-1
413,[],-1
3,[],-1
415,[],-1
416,[],-1
417,[],-1
418,[],-1
419,[],-1
420,[],-1
423,[],-1
424,[],-1
425,[],-1
426,[],-1
427,[],-1
89,[],-1
2687,[],-1
2688,[],-1
2689,[],-1
2690,[],-1
2691,[],-1
2692,[],-1
2694,[],-1
2695,[],-1
102,[],-1
2698,[],-1
2699,[],-1
90,[],-1
2701,[],-1
2703,[],-1
91,[],-1
2706,[],-1
2708,[],-1
2709,[],-1
2711,[],-1
2713,[],-1
429,[],-1
92,"[5, 6, 6, 5, 5]",-1
430,[],-1
431,[],-1
433,[],-1
434,[],-1
435,[],-1
436,[],-1
93,[0],0
5,[],-1
437,[],-1
2714,[],-1
2716,[],-1
2717,[],-1
2718,[],-1
441,[],-1
2720,[],-1
2721,[],-1
2722,[],-1
438,[],-1
439,[],-1
440,[],-1
2723,[],-1
2724,[],-1
2725,[],-1
2726,[],-1
2727,[],-1
2729,[],-1
2730,[],-1
2731,[],-1
2736,[],-1
2737,[],-1
2738,[],-1
2739,[],-1
2740,[],-1
2741,[],-1
2742,[],-1
2743,[],-1
6,[],-1
2744,[],-1
95,[],-1
2745,[],-1
2746,[],-1
446,[],-1
2748,[],-1
2749,[],-1
2750,[],-1
2751,[],-1
2753,[],-1
150,"[8, 8]",8
2755,[],-1
2758,[],-1
2759,[],-1
2760,[],-1
2761,[],-1
2764,[],-1
2765,[],-1
445,[],-1
447,[],-1
448,[],-1
97,[],-1
449,[],-1
98,[],-1
450,[],-1
452,[],-1
453,[],-1
456,[],-1
99,[],-1
457,[],-1
459,[],-1
460,[],-1
461,[],-1
7,[],-1
463,[],-1
464,[],-1
101,[],-1
466,[],-1
467,[],-1
468,[],-1
469,[],-1
470,[],-1
471,[],-1
472,[],-1
473,[],-1
474,[],-1
475,[],-1
476,[],-1
478,[],-1
479,[],-1
480,[],-1
481,[],-1
482,[],-1
485,[],-1
486,[],-1
103,"[1, 1, 1, 1, 1]",1
487,[],-1
488,[],-1
490,[],-1
491,[],-1
493,[],-1
494,[],-1
105,[],-1
498,[],-1
106,"[4, 7]",-1
499,[],-1
500,[],-1
501,[],-1
502,[],-1
503,[],-1
504,[],-1
505,[],-1
506,[],-1
508,[],-1
509,[],-1
510,[],-1
511,[],-1
107,[],-1
513,[],-1
514,[],-1
515,[],-1
516,[],-1
517,[],-1
108,[],-1
521,[],-1
522,[],-1
523,[],-1
210,[],-1
524,[],-1
525,[],-1
109,[],-1
526,[],-1
527,[],-1
528,[],-1
529,[],-1
530,[],-1
110,[],-1
531,[],-1
111,[11],11
533,[],-1
534,[],-1
535,[],-1
536,[],-1
537,[],-1
538,[],-1
539,[],-1
541,[],-1
542,[],-1
543,[],-1
545,[],-1
546,[],-1
547,[],-1
548,[],-1
549,[],-1
550,[],-1
551,[],-1
552,[],-1
553,[],-1
554,[],-1
555,[],-1
556,[],-1
557,[],-1
558,[],-1
559,[],-1
560,[],-1
561,[],-1
562,[],-1
563,[],-1
564,[],-1
567,[],-1
112,"[2, 2, 2, 2]",2
568,[],-1
569,[],-1
570,[],-1
571,[],-1
572,[],-1
576,[],-1
577,[],-1
578,[],-1
579,[],-1
580,[],-1
581,[],-1
583,[],-1
584,[],-1
585,[],-1
586,[],-1
587,[],-1
588,[],-1
589,[],-1
590,[],-1
591,[],-1
592,[],-1
593,[],-1
594,[],-1
595,[],-1
113,[],-1
2766,[],-1
597,[],-1
598,[],-1
599,[],-1
600,[],-1
602,[],-1
604,[],-1
605,[],-1
606,[],-1
607,[],-1
608,[],-1
609,[],-1
610,[],-1
611,[],-1
612,[],-1
10,[],-1
114,[],-1
614,[],-1
115,[],-1
2767,[],-1
2768,[],-1
2769,[],-1
2770,[],-1
2771,[],-1
2772,[],-1
116,[],-1
2773,[],-1
2774,[],-1
2775,[],-1
616,[],-1
617,[],-1
618,[],-1
619,[],-1
620,[],-1
117,[],-1
621,[],-1
622,[],-1
623,[],-1
624,[],-1
625,[],-1
626,[],-1
627,[],-1
628,[],-1
633,[],-1
634,[],-1
635,[],-1
2776,[],-1
118,[],-1
119,[],-1
120,[],-1
2777,[],-1
2778,[],-1
2779,[],-1
11,[],-1
12,[],-1
2780,[],-1
2781,[],-1
2782,[],-1
13,[],-1
2784,[],-1
2785,[],-1
2786,[],-1
2787,[],-1
2789,[],-1
2790,[],-1
2791,[],-1
2794,[],-1
2795,[],-1
2796,[],-1
2798,[],-1
2799,[],-1
2800,[],-1
2801,[],-1
2802,[],-1
2804,[],-1
2805,[],-1
2806,[],-1
2807,[],-1
2808,[],-1
2809,[],-1
121,[],-1
2811,[],-1
637,[],-1
638,[],-1
639,[],-1
640,[],-1
641,[],-1
642,[],-1
643,[],-1
2812,[],-1
2813,[],-1
2814,[],-1
2815,[],-1
2816,[],-1
2817,[],-1
2818,[],-1
