exp_name,text,start_byte,end_byte,pdncID
mr. frank churchill,Mr. Frank Churchill,23271,23290,1
mr. frank churchill,Mr. Frank Churchill,23840,23859,1
mr. frank churchill,Mr. Frank Churchill,24152,24171,1
mr. frank churchill,Mr. Frank Churchill,210235,210254,1
mr. frank churchill,Mr. Frank Churchill,212099,212118,1
mr. frank churchill,Mr. Frank Churchill,215648,215667,1
mr. frank churchill,Mr. Frank Churchill,220425,220444,1
mr. frank churchill,Mr. Frank Churchill,255658,255677,1
mr. frank churchill,Mr. Frank Churchill,256978,256997,1
mr. frank churchill,Mr. Frank Churchill,258557,258576,1
mr. frank churchill,Mr. Frank Churchill,261631,261650,1
mr. frank churchill,Mr. Frank Churchill,263151,263170,1
mr. frank churchill,Mr. Frank Churchill,267244,267263,1
mr. frank churchill,Mr. Frank Churchill,292407,292426,1
mr. frank churchill,Mr. Frank Churchill,298715,298734,1
mr. frank churchill,Mr. Frank Churchill,336716,336735,1
mr. frank churchill,Mr. Frank Churchill,344265,344284,1
mr. frank churchill,Mr. Frank Churchill,347619,347638,1
mr. frank churchill,Mr. Frank Churchill,348279,348298,1
mr. frank churchill,Mr. Frank Churchill,358371,358390,1
mr. frank churchill,Mr. Frank Churchill,415502,415521,1
mr. frank churchill,Mr. Frank Churchill,423183,423202,1
mr. frank churchill,Mr. Frank Churchill,426096,426115,1
mr. frank churchill,Mr. Frank Churchill,439061,439080,1
mr. frank churchill,Mr. Frank Churchill,439550,439569,1
mr. frank churchill,Mr. Frank Churchill,439694,439713,1
mr. frank churchill,Mr. Frank Churchill,442471,442490,1
mr. frank churchill,Mr. Frank Churchill,535003,535022,1
mr. frank churchill,Mr. Frank Churchill,535888,535907,1
mr. frank churchill,Mr. Frank Churchill,557918,557937,1
mr. frank churchill,Mr. Frank Churchill,579286,579305,1
mr. frank churchill,Mr. Frank Churchill,579408,579427,1
mr. frank churchill,Mr. Frank Churchill,579620,579639,1
mr. frank churchill,Mr. Frank Churchill,584055,584074,1
mr. frank churchill,Mr. Frank Churchill,622603,622622,1
mr. frank churchill,Mr. Frank Churchill,631626,631645,1
mr. frank churchill,Mr. Frank Churchill,664497,664516,1
mr. frank churchill,Mr. Frank Churchill,693054,693073,1
mr. frank churchill,Mr. Frank Churchill,693359,693378,1
mr. frank churchill,Mr. Frank Churchill,693978,693997,1
mr. frank churchill,Mr. Frank Churchill,714592,714611,1
mr. frank churchill,Mr. Frank Churchill,731769,731788,1
mr. frank churchill,Mr. Frank Churchill,732699,732718,1
mr. frank churchill,Mr. Frank Churchill,732949,732968,1
mr. frank churchill,Mr. Frank Churchill,734036,734055,1
mr. frank churchill,Mr. Frank Churchill,734181,734200,1
