qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,Poor Miss Taylor,6317,6333,[15],15
Q0-0,she,6343,6346,[15],15
Q0-0,Mr. Weston,6387,6397,[9],9
Q0-0,her,6414,6417,[15],15
Q1-0,papa,6447,6451,[10],10
Q1-0,you,6453,6456,[10],10
Q1-0,Mr. Weston,6472,6482,[9],9
Q1-0,he,6538,6540,[9],9
Q1-0,you,6579,6582,[10],10
Q1-0,Miss Taylor,6602,6613,[15],15
Q1-0,us,6624,6626,"[0, 10]",-1
Q1-0,she,6671,6674,[15],15
Q1-0,her,6697,6700,[15],15
Q2-0,her,6720,6723,[15],15
Q2-0,her,6771,6774,[15],15
Q2-0,you,6815,6818,[0],0
Q2-0,my dear,6847,6854,[0],0
Q3-0,we,6869,6871,"[0, 10]",-1
Q3-0,them,6894,6898,"[9, 15]",-1
Q3-0,they,6904,6908,"[9, 15]",-1
Q3-0,us,6923,6925,"[0, 10]",-1
Q3-0,We,6928,6930,"[0, 10]",-1
Q3-0,We,6957,6959,"[0, 10]",-1
Q3-0,we,6973,6975,"[0, 10]",-1
Q4-0,My dear,7020,7027,[0],0
Q5-0,papa,7119,7123,[10],10
Q5-0,your,7143,7147,[10],10
Q5-0,We,7157,7159,"[0, 10]",-1
Q6-0,we,7325,7327,"[0, 10]",-1
Q6-0,our,7339,7342,"[0, 10]",-1
Q7-0,Mr. Weston,7377,7387,[9],9
Q7-0,papa,7398,7402,[10],10
Q7-0,You,7404,7407,[10],10
Q7-0,we,7413,7415,[0],0
Q7-0,We,7447,7449,[0],0
Q7-0,Mr. Weston,7474,7484,[9],9
Q7-0,you,7515,7518,[10],10
Q7-0,us,7663,7665,"[0, 10]",-1
Q7-0,your,7690,7694,[10],10
Q7-0,papa,7702,7706,[10],10
Q7-0,You,7708,7711,[10],10
Q7-0,you,7770,7773,[10],10
Q7-0,you,7812,7815,[10],10
Q8-0,poor Miss Taylor,8363,8379,[15],15
Q8-0,her,8403,8406,[15],15
Q8-0,she,8412,8415,[15],15
Q8-0,you,8478,8481,[0],0
Q8-0,she,8488,8491,[15],15
Q8-0,us,8511,8513,"[0, 10]",-1
Q8-0,her,8539,8542,[15],15
Q8-0,we,8547,8549,"[0, 10]",-1
Q9-0,you,9691,9694,[6],6
Q9-0,Mr. Knightley,9696,9709,[6],6
Q9-0,us,9754,9756,"[0, 10]",-1
Q9-0,you,9770,9773,[6],6
Q10-0,sir,9820,9823,[10],10
Q10-0,your,9899,9903,[10],10
Q11-0,you,9923,9926,[6],6
Q11-0,you,9974,9977,[6],6
Q12-0,sir,10008,10011,[10],10
Q13-0,we,10091,10093,"[0, 10]",-1
Q13-0,we,10178,10180,"[0, 10]",-1
Q14-0,you,10271,10274,"[0, 10]",-1
Q14-0,you,10324,10327,"[0, 10]",-1
Q14-0,you all,10450,10457,"[0, 10]",-1
Q15-0,poor Miss Taylor,10489,10505,[15],15
Q16-0,Poor Mr. and Miss Woodhouse,10531,10558,"[0, 10]",-1
Q16-0,you,10563,10566,[10],10
Q17-0,you,10647,10650,[10],10
Q17-0,Emma,10655,10659,[0],0
Q18-1,you,10911,10914,[6],6
Q18-1,your,10923,10927,[6],6
Q18-1,you,10951,10954,[6],6
Q18-1,my father,10978,10987,[10],10
Q19-0,my dear,11031,11038,[0],0
Q20-0,My dearest papa,11144,11159,[10],10
Q20-0,You,11161,11164,[10],10
Q20-0,you,11192,11195,[10],10
Q20-0,Mr. Knightley,11209,11222,[6],6
Q20-0,you,11232,11235,[10],10
Q20-0,Mr. Knightley,11288,11301,[6],6
Q20-0,you,11331,11334,[10],10
