COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
171,119,120,PROP,PER,Sylvia Newport,549,563,86
172,136,137,PROP,PER,Mrs Shutter,635,646,73
2353,216,216,NOM,PER,mumsy,968,973,75
2353,226,226,PRON,PER,you,1002,1005,75
175,244,245,PROP,PER,John Beaver,1094,1105,5
175,248,248,PRON,PER,his,1117,1120,5
175,261,261,PRON,PER,his,1186,1189,5
175,354,354,PRON,PER,his,1651,1654,5
175,363,363,PRON,PER,his,1707,1710,5
175,377,377,PRON,PER,his,1785,1788,5
175,385,385,PRON,PER,his,1822,1825,5
175,400,400,PRON,PER,his,1904,1907,5
175,410,410,PRON,PER,his,1960,1963,5
175,481,481,PRON,PER,he,2335,2337,5
175,489,489,PRON,PER,his,2376,2379,5
175,492,492,PRON,PER,he,2385,2387,5
175,496,496,PRON,PER,he,2408,2410,5
175,498,498,PRON,PER,his,2419,2422,5
175,502,502,PRON,PER,him,2443,2446,5
175,519,519,PRON,PER,him,2520,2523,5
175,527,527,PRON,PER,His,2554,2557,5
175,544,544,PRON,PER,He,2638,2640,5
175,561,561,PRON,PER,he,2721,2723,5
175,580,580,PRON,PER,him,2814,2817,5
175,585,585,PRON,PER,he,2828,2830,5
175,592,592,PRON,PER,his,2856,2859,5
176,694,694,PROP,PER,Audrey,3325,3331,46
180,845,845,PROP,PER,Chambers,3907,3915,51
175,914,914,PROP,PER,John,4194,4198,5
181,924,924,PROP,PER,Sonia,4235,4240,83
182,928,928,PROP,PER,Reggie,4261,4267,77
175,931,931,PRON,PER,you,4275,4278,5
184,1021,1021,PROP,PER,Tony,4636,4640,35
181,1031,1031,PRON,PER,She,4666,4669,83
184,1035,1035,PRON,PER,he,4680,4682,35
184,1058,1058,PROP,PER,Tony,4755,4759,35
184,1068,1068,PRON,PER,He,4797,4799,35
181,1129,1129,PRON,PER,her,5041,5044,83
181,1134,1134,PRON,PER,she,5064,5067,83
181,1137,1137,PRON,PER,She,5077,5080,83
181,1160,1160,PRON,PER,her,5179,5182,83
181,1162,1162,PRON,PER,she,5188,5191,83
181,1169,1169,PRON,PER,she,5221,5224,83
187,1172,1175,PROP,PER,Jock Grant - Menzies,5237,5255,11
184,1182,1183,PROP,PER,Tony Last,5279,5288,35
184,1185,1185,PRON,PER,he,5290,5292,35
181,1196,1196,PRON,PER,she,5328,5331,83
188,1253,1253,PROP,PER,Mumsy,5565,5570,75
188,1255,1255,PRON,PER,you,5572,5575,75
188,1261,1261,PRON,PER,you,5601,5604,75
190,1415,1415,PROP,PER,Joyce,6354,6359,61
191,1500,1501,PROP,PER,Mr Beaver,6730,6739,5
191,1504,1504,PRON,PER,you,6746,6749,5
192,1512,1513,PROP,PER,Mrs Tipping,6777,6788,74
191,1519,1519,PRON,PER,you,6812,6815,5
192,1531,1532,PROP,PER,Mrs Tipping,6877,6888,74
192,1559,1559,PRON,PER,her,7027,7030,74
191,1568,1569,PROP,PER,Mr Beaver,7061,7070,5
191,1579,1579,PRON,PER,you,7099,7102,5
191,1586,1586,PRON,PER,you,7127,7130,5
191,1598,1598,PRON,PER,you,7176,7179,5
192,1626,1626,PRON,PER,I,7301,7302,74
191,1628,1628,PRON,PER,you,7310,7313,5
187,1630,1633,PROP,PER,Jock Grant - Menzies,7319,7337,11
191,1644,1644,PRON,PER,You,7364,7367,5
191,1658,1658,PRON,PER,you,7418,7421,5
192,1668,1668,PRON,PER,I,7447,7448,74
191,1679,1679,PRON,PER,You,7485,7488,5
187,1701,1704,PROP,PER,Jock Grant - Menzies,7568,7586,11
191,1711,1711,PRON,PER,you,7608,7611,5
191,1724,1724,PRON,PER,you,7644,7647,5
191,1728,1728,PRON,PER,you,7656,7659,5
187,1965,1968,PROP,PER,Jock Grant - Menzies,8867,8885,11
2378,1984,1984,PROP,PER,Jock,8948,8952,11
187,2052,2052,PROP,PER,Jock,9218,9222,11
187,2066,2066,PRON,PER,he,9267,9269,11
187,2085,2085,PRON,PER,his,9337,9340,11
187,2105,2105,PROP,PER,Jock,9407,9411,11
439,2108,2109,NOM,PER,the barman,9422,9432,87
439,2120,2120,PRON,PER,you,9471,9474,87
187,2123,2123,PRON,PER,me,9485,9487,11
192,2135,2136,PROP,PER,Mrs Tipping,9530,9541,74
187,2140,2140,PRON,PER,I,9546,9547,11
187,2152,2152,PRON,PER,me,9598,9600,11
