COREF,matches,pdncID
0,[],-1
169,[],-1
2344,[],-1
2345,[],-1
170,"[75, 5]",-1
2346,[],-1
2347,[],-1
2348,[],-1
2349,[],-1
2350,[],-1
171,"[86, 86]",86
2351,[],-1
172,[73],73
173,[],-1
377,[],-1
2352,[],-1
174,"[5, 12]",-1
2353,[75],75
380,[],-1
2354,[],-1
175,"[5, 5, 5]",5
378,[],-1
1,[],-1
379,[],-1
381,[],-1
382,[],-1
383,[],-1
384,[],-1
385,[],-1
386,[],-1
387,[],-1
389,[],-1
390,[],-1
391,[],-1
392,[],-1
394,[],-1
2,[],-1
397,[],-1
399,[],-1
400,[],-1
401,[],-1
402,[],-1
403,[],-1
176,[46],46
2355,[],-1
2356,[],-1
177,[],-1
2357,[],-1
178,[],-1
2358,[],-1
3,[],-1
179,[],-1
180,[51],51
404,[],-1
2359,[],-1
181,[83],83
182,[77],77
2360,[],-1
2361,[],-1
405,[],-1
7,[],-1
184,"[35, 35]",35
2362,[],-1
233,"[77, 7, 7]",-1
186,[],-1
2363,[],-1
2364,[],-1
2365,[],-1
2366,[],-1
187,[11],11
2367,[],-1
2368,[],-1
2369,[],-1
188,[75],75
408,[],-1
189,[],-1
409,[],-1
410,[],-1
411,[],-1
412,[],-1
413,[],-1
414,[],-1
190,[61],61
415,[],-1
416,[],-1
418,[],-1
191,[5],5
2372,[],-1
192,[74],74
419,[],-1
2373,[],-1
2374,[],-1
5,[],-1
2377,[],-1
420,[],-1
421,[],-1
422,[],-1
423,[],-1
6,[],-1
424,[],-1
425,[],-1
426,[],-1
427,[],-1
428,[],-1
429,[],-1
430,[],-1
431,[],-1
432,[],-1
433,[],-1
434,[],-1
436,[],-1
193,[],-1
2378,[11],11
2379,[],-1
437,[],-1
438,[],-1
439,[87],87
2382,[],-1
2383,[],-1
2384,[],-1
194,[87],87
2387,[],-1
2388,[],-1
2389,[],-1
2390,[],-1
2391,[],-1
2392,[],-1
2393,[],-1
2394,[],-1
2395,[],-1
2396,[],-1
2397,[],-1
2398,[87],87
2400,[],-1
441,[],-1
443,[93],93
444,[],-1
8,[],-1
445,[],-1
9,[],-1
446,[],-1
10,[],-1
447,[],-1
448,[],-1
449,[],-1
450,[],-1
451,[],-1
452,[],-1
454,[],-1
455,[],-1
195,"[58, 58]",58
196,[],-1
457,[],-1
2401,[],-1
2402,[],-1
2404,[],-1
2405,[],-1
2406,[],-1
2407,[],-1
11,[],-1
197,[],-1
198,[],-1
199,[],-1
200,[],-1
201,[],-1
202,[],-1
203,[],-1
204,[],-1
459,[],-1
460,[],-1
205,[],-1
12,[],-1
462,[],-1
464,[],-1
465,[],-1
466,[],-1
467,[],-1
469,[],-1
206,[],-1
470,[],-1
472,[],-1
2408,[],-1
474,[],-1
475,[],-1
477,[],-1
478,[],-1
13,[],-1
2409,[],-1
2411,[],-1
207,[],-1
208,[62],62
2412,[76],76
2413,[92],92
2414,[],-1
2415,[],-1
209,[44],44
15,[],-1
2417,[],-1
480,[],-1
481,[],-1
482,[],-1
483,[],-1
210,[47],47
2419,[],-1
16,[],-1
2420,[],-1
2421,[],-1
2422,[],-1
2423,[],-1
2424,[],-1
2425,[],-1
2426,[],-1
211,[103],103
2428,[],-1
2429,[],-1
2430,[],-1
2431,[],-1
2432,[],-1
2433,[],-1
2436,[],-1
484,[],-1
485,[],-1
486,[],-1
487,[],-1
488,[],-1
212,"[6, 6]",6
213,[],-1
214,[],-1
489,[],-1
490,[],-1
17,[],-1
491,[],-1
215,[],-1
492,[],-1
493,[],-1
494,[],-1
495,[],-1
216,[],-1
496,[],-1
217,[76],76
498,[],-1
499,[],-1
500,[],-1
501,[],-1
502,[],-1
503,[],-1
504,[25],25
506,[],-1
507,[],-1
508,[],-1
218,[6],6
2440,[],-1
510,[],-1
511,[],-1
2441,[],-1
18,[],-1
2442,[],-1
2443,[76],76
2445,[],-1
2446,[],-1
2447,[],-1
2448,[],-1
2449,[],-1
513,[],-1
514,[],-1
515,[],-1
2452,[],-1
2453,[],-1
2456,[],-1
2459,[],-1
2461,[],-1
2463,[],-1
2464,[],-1
2465,[],-1
2467,[25],25
517,[],-1
518,[],-1
219,[35],35
2468,[],-1
2472,[],-1
2473,[],-1
2474,[],-1
2475,[],-1
2477,[],-1
2478,[],-1
2479,[],-1
2483,[],-1
2484,[],-1
2486,[],-1
519,[],-1
520,[],-1
522,[],-1
524,[],-1
220,[],-1
221,[],-1
19,[],-1
2489,[],-1
20,[],-1
21,[],-1
22,[],-1
525,[],-1
526,[],-1
527,[],-1
2490,[],-1
2492,[],-1
2493,[],-1
23,[],-1
