source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,beaver,BEAVER,26,32,5
exp,exp_name,mrs beaver,Mrs Beaver,92,102,75
pdnc,qID,Q1-1,Sylvia Newport,549,563,86
pdnc,qID,Q1-1,Mrs Shutter,635,646,73
exp,exp_name,mrs beaver,Mrs Beaver,664,674,75
pdnc,qID,Q2-0,you,847,850,5
pdnc,qID,Q2-0,John,865,869,5
pdnc,qID,Q2-0,You,871,874,5
pdnc,qID,Q3-0,mumsy,968,973,75
pdnc,qID,Q3-0,you,1002,1005,75
pdnc,qID,Q4-0,my son,1028,1034,5
exp,exp_name,john beaver,John Beaver,1094,1105,5
booknlp,COREF,175,his,1117,1120,5
booknlp,COREF,175,his,1186,1189,5
exp,exp_name,mrs beaver,Mrs Beaver,1278,1288,75
exp,exp_name,mrs beaver,Mrs Beaver,1507,1517,75
exp,exp_name,beaver,Beaver,1563,1569,5
booknlp,COREF,175,his,1651,1654,5
booknlp,COREF,175,his,1707,1710,5
booknlp,COREF,175,his,1785,1788,5
booknlp,COREF,175,his,1822,1825,5
booknlp,COREF,175,his,1904,1907,5
booknlp,COREF,175,his,1960,1963,5
exp,exp_name,beaver,Beaver,2324,2330,5
booknlp,COREF,175,he,2335,2337,5
booknlp,COREF,175,his,2376,2379,5
booknlp,COREF,175,he,2385,2387,5
booknlp,COREF,175,he,2408,2410,5
booknlp,COREF,175,his,2419,2422,5
booknlp,COREF,175,him,2443,2446,5
booknlp,COREF,175,him,2520,2523,5
booknlp,COREF,175,His,2554,2557,5
booknlp,COREF,175,He,2638,2640,5
booknlp,COREF,175,he,2721,2723,5
booknlp,COREF,175,him,2814,2817,5
booknlp,COREF,175,he,2828,2830,5
booknlp,COREF,175,his,2856,2859,5
exp,exp_name,mrs beaver,Mrs Beaver,2936,2946,75
exp,exp_name,beaver,Beaver,3198,3204,5
pdnc,qID,Q5-0,your ,3308,3313,5
pdnc,qID,Q6-0,Audrey,3325,3331,46
pdnc,qID,Q6-0,a woman called de Trommet,3460,3485,57
pdnc,qID,Q7-0,you,3501,3504,5
pdnc,qID,Q7-0,She,3521,3524,57
pdnc,qID,Q7-0,her,3580,3583,57
pdnc,qID,Q8-0,mumsy,3704,3709,75
pdnc,qID,Q9-0,you,3754,3757,5
pdnc,qID,Q11-0,Chambers,3907,3915,51
pdnc,qID,Q11-0,she,3916,3919,51
pdnc,qID,Q11-0,you,3938,3941,5
pdnc,qID,Q11-0,you,3966,3969,5
exp,exp_name,beaver,Beaver,4051,4057,5
pdnc,qID,Q13-0,John,4194,4198,5
pdnc,qID,Q13-0,darling,4200,4207,5
pdnc,qID,Q13-0,Sonia,4235,4240,83
pdnc,qID,Q13-0,Reggie,4261,4267,77
pdnc,qID,Q13-0,you,4275,4278,5
pdnc,qID,Q13-0,we,4331,4333,83
pdnc,qID,Q14-0,you,4569,4572,5
pdnc,qID,Q17-0,Tony Last,4636,4645,35
pdnc,qID,Q18-0,She,4666,4669,7
pdnc,qID,Q18-0,he,4680,4682,35
pdnc,qID,Q18-0,you,4715,4718,5
pdnc,qID,Q19-0,Tony ,4755,4760,35
pdnc,qID,Q19-0,He,4797,4799,35
pdnc,qID,Q20-0,you ,4963,4967,5
pdnc,qID,Q21-0,their,5009,5014,35
pdnc,qID,Q22-0,her,5041,5044,7
pdnc,qID,Q22-0,she,5064,5067,7
pdnc,qID,Q22-0,She,5077,5080,7
pdnc,qID,Q22-0,"Brenda Rex, Lord St Cloud's daughter",5085,5121,7
pdnc,qID,Q22-0,her,5179,5182,7
pdnc,qID,Q22-0,she,5188,5191,7
pdnc,qID,Q22-0,she,5221,5224,7
pdnc,qID,Q22-0,Jock Grant-Menzies,5237,5255,11
pdnc,qID,Q22-0,Tony Last,5279,5288,35
pdnc,qID,Q22-0,he,5290,5292,35
