qID,menText,start_byte,end_byte,matches,pdncID
Q1-1,Sylvia Newport,549,563,[86],86
Q1-1,Mrs Shutter,635,646,[73],73
Q2-0,you,847,850,[5],5
Q2-0,John,865,869,[5],5
Q2-0,You,871,874,[5],5
Q3-0,mumsy,968,973,[75],75
Q3-0,you,1002,1005,[75],75
Q4-0,my son,1028,1034,[5],5
Q5-0,your ,3308,3313,[5],5
Q6-0,Audrey,3325,3331,[46],46
Q6-0,a woman called de Trommet,3460,3485,[57],57
Q7-0,you,3501,3504,[5],5
Q7-0,She,3521,3524,[57],57
Q7-0,we,3572,3574,"[5, 75]",-1
Q7-0,her,3580,3583,[57],57
Q8-0,mumsy,3704,3709,[75],75
Q9-0,you,3754,3757,[5],5
Q11-0,we,3900,3902,"[5, 75]",-1
Q11-0,Chambers,3907,3915,[51],51
Q11-0,she,3916,3919,[51],51
Q11-0,you,3938,3941,[5],5
Q11-0,you,3966,3969,[5],5
Q13-0,John,4194,4198,[5],5
Q13-0,darling,4200,4207,[5],5
Q13-0,Sonia,4235,4240,[83],83
Q13-0,Reggie,4261,4267,[77],77
Q13-0,you,4275,4278,[5],5
Q13-0,we,4331,4333,[83],83
Q14-0,you,4569,4572,[5],5
Q17-0,Tony Last,4636,4645,[35],35
Q18-0,She,4666,4669,[7],7
Q18-0,he,4680,4682,[35],35
Q18-0,you,4715,4718,[5],5
Q19-0,Tony ,4755,4760,[35],35
Q19-0,He,4797,4799,[35],35
Q20-0,them,4850,4854,"[7, 35]",-1
Q20-0,them,4899,4903,"[7, 35]",-1
Q20-0,you ,4963,4967,[5],5
Q20-0,They,4974,4978,"[7, 35]",-1
Q21-0,their,5009,5014,[35],35
Q22-0,her,5041,5044,[7],7
Q22-0,she,5064,5067,[7],7
Q22-0,She,5077,5080,[7],7
Q22-0,"Brenda Rex, Lord St Cloud's daughter",5085,5121,[7],7
Q22-0,her,5179,5182,[7],7
Q22-0,she,5188,5191,[7],7
Q22-0,she,5221,5224,[7],7
Q22-0,Jock Grant-Menzies,5237,5255,[11],11
Q22-0,Tony Last,5279,5288,[35],35
Q22-0,he,5290,5292,[35],35
Q22-0,she,5328,5331,[7],7
Q22-0,They,5351,5355,"[7, 35]",-1
Q22-0,They,5516,5520,"[7, 35]",-1
Q23-0,Mumsy,5565,5570,[75],75
Q23-0,you,5572,5575,[75],75
Q23-0,you,5601,5604,[75],75
Q25-1,you,6327,6330,[61],61
Q25-1,Joyce,6354,6359,[61],61
Q25-1,you,6375,6378,[61],61
Q26-0,you,6422,6425,[75],75
Q26-0,Mrs Beaver,6427,6437,[75],75
Q27-0,Mr Beaver,6730,6739,[5],5
Q27-0,you,6746,6749,[5],5
Q27-0,sir,6772,6775,[5],5
Q27-0,Mrs Tipping,6777,6788,[74],74
Q27-0,you,6812,6815,[5],5
Q28-0,Mr Beaver,7061,7070,[5],5
Q28-0,you,7099,7102,[5],5
Q28-0,you,7176,7179,[5],5
Q28-0,Madame de Trommet,7211,7228,[57],57
Q28-0,The one with the reddish moustache,7232,7266,[11],11
Q28-0,he,7276,7278,[11],11
Q29-0,you,7310,7313,[74],74
Q29-0,Jock Grant-Menzies,7319,7337,[11],11
Q30-0,You,7364,7367,[5],5
Q30-0,him,7410,7413,[11],11
Q30-0,you,7418,7421,[5],5
Q31-0,He,7426,7428,[11],11
Q31-0,he,7463,7465,[11],11
Q31-0,You ,7485,7489,[74],74
Q31-0,him,7510,7513,[11],11
Q31-0,He,7539,7541,[11],11
Q32-0,Jock Grant-Menzies,7568,7586,[11],11
Q32-0,you,7608,7611,[5],5
Q32-0,you,7644,7647,[5],5
Q32-0,you,7656,7659,[5],5
Q33-0,old boy,9257,9264,[5],5
Q33-1,you,9286,9289,[5],5
Q36-0,the old girl,9458,9470,[74],74
Q36-0,you,9471,9474,[5],5
Q37-0,She,9517,9520,[74],74
Q37-0,Mrs Tipping,9530,9541,[74],74
Q38-0,she,9556,9559,[74],74
Q38-0,her,9681,9684,[74],74
Q39-0,you ,9693,9697,[11],11
Q41-0,Mr Beaver,9839,9848,[5],5
Q41-0,sir,9850,9853,[5],5
Q41-0,you,9885,9888,[5],5
Q42-0,you,9930,9933,[87],87
Q42-0,Macdougal,9935,9944,[87],87
Q42-0,you,9972,9975,[87],87
Q43-0,sir,9991,9994,[5],5
Q45-0,you,10050,10053,[5],5
Q45-0,Tony ,10064,10069,[35],35
Q45-0,Brenda ,10073,10080,[7],7
Q51-0,You,10341,10344,[5],5
Q52-0,Brenda,10396,10402,[7],7
Q53-0,You,10407,10410,[5],5
Q53-0,her,10419,10422,[7],7
Q53-0,she,10424,10427,[7],7
Q53-0,Tony Last,10458,10467,[35],35
Q53-0,He,10502,10504,[35],35
Q53-0,he,10555,10557,[35],35
Q54-0,You,10631,10634,[11],11
Q54-0,you,10674,10677,[11],11
Q60-0,Macdougal,10985,10994,[87],87
Q61-0,you,11054,11057,[5],5
Q61-0,sir,11059,11062,[5],5
Q62-0,you,11075,11078,[87],87
Q63-0,Beaver ,11125,11132,[5],5
Q64-0,He,11152,11154,[5],5
Q65-0,He,11181,11183,[5],5
Q68-0,Mrs Tipping,11513,11524,[74],74
Q68-0,you,11569,11572,[5],5
Q68-0,her,11601,11604,[74],74
Q69-0,you,11621,11624,[93],93
Q69-0,her,11630,11633,[74],74
Q70-0,her ladyship,16937,16949,[7],7
Q71-0,her,17038,17041,[7],7
Q75-0,John,17782,17786,[12],12
Q75-0,him,17818,17821,[12],12
Q76-0,you,17930,17933,[7],7
Q76-0,we,17944,17946,"[7, 35]",-1
Q76-0,haven't ,17947,17955,[7],7
Q77-0,you,18003,18006,[35],35
Q77-0,Angela ,18099,18106,[44],44
Q77-0,we,18117,18119,"[7, 35]",-1
Q78-0,her,18166,18169,[44],44
Q78-0,we,18176,18178,"[7, 35]",-1
Q80-0,You,18244,18247,[7],7
Q80-0,you,18254,18257,[7],7
Q83-0,Darling,18470,18477,[35],35
Q83-0,we,18502,18504,"[7, 35]",-1
Q85-0,Darling,18919,18926,[35],35
Q85-0,you,18932,18935,[35],35
Q85-0,you,18941,18944,[35],35
Q87-0,Reggie,19047,19053,[77],77
Q87-0,Babe,19127,19131,[47],47
Q87-0,Jock,19136,19140,[11],11
Q87-0,you,19210,19213,[35],35
Q87-0,we,19352,19354,"[7, 35]",-1
Q87-1,you,19456,19459,[35],35
Q87-1,Sylvia ,19486,19493,[86],86
Q87-1,Rupert ,19498,19505,[103],103
Q88-0,you,19540,19543,[7],7
Q88-0,she,19549,19552,[86],86
Q88-0,Rupert,19574,19580,[103],103
Q89-0,Rupert ,19627,19634,[103],103
Q89-0,you,19670,19673,[35],35
Q90-0,you,19698,19701,[7],7
Q92-0,we,19811,19813,"[7, 35]",-1
Q93-0,you,19865,19868,[35],35
Q94-0,you,19892,19895,[7],7
Q95-0,we,19980,19982,"[7, 35]",-1
Q96-0,We,20168,20170,"[7, 35]",-1
Q96-0,John ,20203,20208,[12],12
Q99-0,You,20717,20720,[35],35
Q102-0,you,23451,23454,[12],12
Q103-0,you,23797,23800,[12],12
Q103-0,you,23880,23883,[12],12
Q105-0,Mr Hacket,24317,24326,[6],6
Q105-0,he,24331,24333,[12],12
Q106-0,He,24343,24345,[12],12
Q108-0,You,24463,24466,[12],12
Q108-0,You,24552,24555,[12],12
Q109-0,You,24793,24796,[12],12
Q111-0,We,25079,25081,"[6, 12]",-1
Q111-0,you,25090,25093,[12],12
Q112-0,Mr Hacket,25146,25155,[6],6
Q113-0,miss,25174,25178,[76],76
Q114-0,Ben,25193,25196,[6],6
Q114-0,you,25217,25220,[6],6
Q115-0,You,25286,25289,[12],12
Q115-0,nanny,25299,25304,[76],76
Q115-0,you,25311,25314,[12],12
Q115-0,you,25368,25371,[12],12
Q116-0,nanny,25423,25428,[76],76
Q117-0,You,25440,25443,[12],12
Q117-0,mother,25453,25459,[7],7
Q117-0,you,25477,25480,[12],12
Q128-0,Silly old tart,25972,25986,[76],76
Q129-0,John,25992,25996,[12],12
Q129-0,you,26008,26011,[12],12
Q129-0,you,26021,26024,[12],12
Q130-0,Silly old tart,26139,26153,[76],76
Q130-0,silly old tart,26155,26169,[76],76
Q131-1,your mother,26384,26395,[7],7
Q131-1,you,26402,26405,[12],12
Q132-0,nanny,26418,26423,[76],76
Q134-0,Ben Hacket,26623,26633,[6],6
Q134-0,him,26651,26654,[12],12
Q134-0,my lady,26664,26671,[7],7
Q134-0,him,26709,26712,[12],12
Q135-0,nanny,26752,26757,[76],76
Q135-0,he,26776,26778,[12],12
Q136-0,my lady,26813,26820,[7],7
Q137-0,you,26835,26838,[76],76
Q138-0,he,26953,26955,[12],12
Q138-0,my lady,26984,26991,[7],7
Q139-0,He,27040,27042,[12],12
Q140-0,He,27071,27073,[12],12
Q141-0,you,27154,27157,[76],76
Q142-0,you,27196,27199,[7],7
Q142-0,my lady,27201,27208,[7],7
Q142-0,we,27220,27222,"[7, 76]",-1
Q142-0,Ben Hacket,27292,27302,[6],6
Q142-0,the child,27313,27322,[12],12
Q142-0,his,27353,27356,[12],12
Q142-0,He,27386,27388,[12],12
Q143-0,nanny,27457,27462,[76],76
Q143-0,Mr Last,27478,27485,[12],12
Q144-0,Darling,27559,27566,[35],35
Q144-1,you,27581,27584,[35],35
Q144-1,him,27600,27603,[12],12
Q144-1,You,27605,27608,[35],35
Q145-1,Ben ,27812,27816,[6],6
Q146-0,he,27850,27852,[6],6
Q147-0,Ben ,27885,27889,[6],6
Q147-0,he,27939,27941,[6],6
Q148-0,you,27966,27969,[12],12
Q148-0,you,27975,27978,[12],12
Q148-0,him,27990,27993,[6],6
Q148-0,your mother,28004,28015,[7],7
Q150-0,John,28162,28166,[12],12
Q150-0,you,28189,28192,[12],12
Q150-0,nanny ,28201,28207,[76],76
Q150-0,her,28257,28260,[76],76
Q150-0,she,28286,28289,[76],76
Q150-0,you,28299,28302,[12],12
Q151-0,She,28317,28320,[76],76
Q152-0,you,28367,28370,[12],12
Q152-0,your,28405,28409,[12],12
Q152-0,You,28496,28499,[12],12
Q152-0,you,28522,28525,[12],12
Q152-0,you,28597,28600,[12],12
Q152-0,You,28602,28605,[12],12
Q152-0,you,28725,28728,[12],12
Q152-0,you,28753,28756,[12],12
Q153-0,Ben,28775,28778,[6],6
Q154-0,you,28842,28845,[12],12
Q154-0,you,28873,28876,[12],12
Q154-0,nanny ,28890,28896,[76],76
Q156-0,you,28980,28983,[12],12
Q156-0,you,29012,29015,[12],12
Q161-0,John,29151,29155,[12],12
Q161-0,you,29173,29176,[12],12
Q161-0,Uncle Reggie,29226,29238,[77],77
Q161-0,you,29259,29262,[12],12
Q161-0,You,29301,29304,[12],12
Q161-0,you,29331,29334,[12],12
Q162-0,Uncle Reggie,29350,29362,[77],77
Q162-0,him,29395,29398,[77],77
Q162-0,he,29409,29411,[77],77
Q163-0,He,29433,29435,[77],77
Q163-0,you,29535,29538,[12],12
Q163-0,nanny,29551,29556,[76],76
Q164-0,You,29627,29630,[35],35
Q167-0,you,29819,29822,[12],12
Q171-0,nanny,30065,30070,[76],76
Q171-0,Ben,30084,30087,[6],6
Q172-0,we,30105,30107,"[7, 35]",-1
Q174-0,darling,31304,31311,[35],35
Q174-0,we,31322,31324,"[7, 35]",-1
Q174-0,we,31341,31343,"[7, 35]",-1
Q175-0,we,31645,31647,"[7, 35]",-1
Q178-0,we,31871,31873,"[7, 35]",-1
Q182-0,Beaver,32410,32416,[5],5
Q183-0,young man,32428,32437,[5],5
Q185-0,you,32494,32497,[7],7
Q185-0,him,32502,32505,[5],5
Q186-0,he,32517,32519,[5],5
Q186-0,him,32549,32552,[5],5
Q187-0,he,32639,32641,[5],5
Q187-0,we,32669,32671,"[35, 5]",-1
Q187-0,he,32692,32694,[5],5
Q188-0,you,32757,32760,[35],35
Q189-0,he,32808,32810,[5],5
Q190-0,you,32863,32866,[35],35
Q190-0,he,32962,32964,[5],5
Q191-0,His mother,32994,33004,[75],75
Q192-0,her,33040,33043,[75],75
Q192-0,She,33045,33048,[75],75
Q192-0,we,33077,33079,"[7, 35]",-1
Q192-0,her,33084,33087,[75],75
Q193-0,we,33114,33116,"[7, 35]",-1
Q193-0,we,33149,33151,"[7, 35]",-1
Q194-0,he,33173,33175,[5],5
Q194-0,he,33290,33292,[5],5
Q195-0,we,33404,33406,"[7, 35]",-1
Q195-0,him,33424,33427,[5],5
Q196-0,him,33509,33512,[5],5
Q196-0,him,33545,33548,[5],5
Q196-0,he,33587,33589,[5],5
Q196-0,we,33617,33619,"[7, 35]",-1
Q196-0,he,33629,33631,[5],5
Q196-0,he,33669,33671,[5],5
Q198-0,you,34344,34347,[5],5
Q198-0,you,34386,34389,[5],5
