COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
256,76,76,PROP,PER,Paul,325,329,34
259,367,367,PROP,PER,Tibby,1592,1597,45
259,372,372,PRON,PER,he,1615,1617,45
259,383,383,PRON,PER,he,1669,1671,45
259,394,394,PRON,PER,he,1714,1716,45
259,414,414,PRON,PER,him,1803,1806,45
259,451,451,PROP,PER,Tibby,1962,1967,45
262,673,673,PROP,PER,Evie,2949,2953,14
262,705,705,PRON,PER,she,3091,3094,14
262,713,713,PRON,PER,she,3119,3122,14
262,836,836,PROP,PER,Evie,3670,3674,14
259,954,954,PROP,PER,Tibby,4161,4166,45
263,958,959,PROP,PER,Aunt Juley,4176,4186,6
263,964,964,PRON,PER,her,4200,4203,6
262,1359,1359,PROP,PER,Evie,5866,5870,14
256,1436,1436,PROP,PER,Paul,6188,6192,34
263,1496,1497,PROP,PER,Aunt Juley,6450,6460,6
263,1565,1566,PROP,PER,Aunt Juley,6718,6728,6
263,1620,1620,PRON,PER,her,6909,6912,6
259,1887,1887,PROP,PER,Tibby,8110,8115,45
264,2095,2096,PROP,PER,Mrs. Munt,9105,9114,6
264,2098,2098,PRON,PER,her,9119,9122,6
264,2103,2103,PRON,PER,her,9150,9153,6
264,2106,2106,PRON,PER,She,9162,9165,6
264,2131,2131,PRON,PER,she,9288,9291,6
264,2145,2145,PRON,PER,she,9359,9362,6
264,2157,2157,PRON,PER,her,9408,9411,6
264,2176,2176,PRON,PER,she,9505,9508,6
264,2226,2226,PRON,PER,I,9703,9704,6
264,2235,2236,PROP,PER,Mrs. Munt,9744,9753,6
264,2255,2255,PRON,PER,me,9856,9858,6
263,2266,2267,PROP,PER,Aunt Juley,9887,9897,6
264,2315,2316,PROP,PER,Mrs. Munt,10073,10082,6
264,2320,2320,PRON,PER,her,10099,10102,6
264,2332,2332,PRON,PER,I,10154,10155,6
264,2369,2369,PRON,PER,my,10316,10318,6
264,2616,2616,PRON,PER,I,11344,11345,6
264,2624,2625,PROP,PER,Mrs. Munt,11381,11390,6
264,2653,2653,PRON,PER,I,11500,11501,6
264,2671,2671,PRON,PER,I,11575,11576,6
264,2676,2676,PRON,PER,me,11598,11600,6
264,2682,2682,PRON,PER,She,11619,11622,6
264,2685,2685,PRON,PER,her,11634,11637,6
264,2690,2690,PRON,PER,I,11651,11652,6
264,2698,2698,PRON,PER,me,11682,11684,6
264,2706,2706,PRON,PER,I,11718,11719,6
264,2748,2748,PRON,PER,I,11914,11915,6
264,2754,2755,PROP,PER,Mrs. Munt,11941,11950,6
264,2762,2762,PRON,PER,I,11978,11979,6
264,2782,2782,PRON,PER,I,12071,12072,6
263,2899,2900,PROP,PER,Aunt Juley,12579,12589,6
264,2906,2906,PRON,PER,she,12602,12605,6
264,2944,2944,PRON,PER,she,12814,12817,6
264,2947,2947,PRON,PER,her,12833,12836,6
264,2960,2960,PRON,PER,me,12891,12893,6
264,3009,3009,PRON,PER,I,13119,13120,6
264,3026,3026,PRON,PER,her,13194,13197,6
264,3029,3029,PRON,PER,she,13208,13211,6
264,3042,3042,PRON,PER,she,13277,13280,6
264,3049,3049,PRON,PER,she,13308,13311,6
264,3060,3060,PRON,PER,I,13358,13359,6
264,3072,3072,PRON,PER,I,13412,13413,6
264,3078,3078,PRON,PER,I,13427,13428,6
264,3085,3086,PROP,PER,Mrs. Munt,13452,13461,6
264,3093,3093,PRON,PER,I,13477,13478,6
264,3114,3114,PRON,PER,I,13573,13574,6
264,3186,3186,PRON,PER,I,13901,13902,6
577,3462,3463,NOM,PER,the doctor,15178,15188,24
259,3469,3469,PROP,PER,Tibby,15212,15217,45
263,3481,3482,PROP,PER,Aunt Juley,15267,15277,6
263,3490,3490,PRON,PER,her,15304,15307,6
259,3557,3557,PROP,PER,Tibby,15601,15606,45
263,3585,3586,PROP,PER,Aunt Juley,15725,15735,6
264,3648,3649,PROP,PER,Mrs. Munt,16019,16028,6
264,3653,3653,PRON,PER,she,16043,16046,6
604,4016,4016,PROP,PER,Margaret,17870,17878,25
264,4042,4043,PROP,PER,Mrs. Munt,17986,17995,6
264,4046,4046,PRON,PER,she,18004,18007,6
263,4126,4127,PROP,PER,Aunt Juley,18346,18356,6
263,4141,4141,PRON,PER,her,18418,18421,6
264,4148,4149,PROP,PER,Mrs. Munt,18461,18470,6
264,4151,4151,PRON,PER,her,18480,18483,6
264,4154,4154,PRON,PER,Her,18493,18496,6
264,4167,4167,PRON,PER,she,18560,18563,6
613,4174,4174,PROP,PER,Emily,18587,18592,12
259,4191,4191,PROP,PER,Tibby,18679,18684,45
264,4219,4220,PROP,PER,Mrs. Munt,18815,18824,6
264,4235,4235,PRON,PER,her,18900,18903,6
264,4286,4287,PROP,PER,Mrs. Munt,19125,19134,6
264,4290,4290,PRON,PER,her,19148,19151,6
264,4318,4318,PRON,PER,I,19276,19277,6
264,4328,4329,PROP,PER,Mrs. Munt,19320,19329,6
264,4335,4335,PRON,PER,she,19350,19353,6
264,4338,4338,PRON,PER,She,19359,19362,6
264,4342,4342,PRON,PER,her,19374,19377,6
264,4452,4453,PROP,PER,Mrs. Munt,19927,19936,6
264,4464,4464,PRON,PER,I,19975,19976,6
264,4648,4649,PROP,PER,Mrs. Munt,20879,20888,6
264,4665,4665,PRON,PER,she,20954,20957,6
264,4699,4700,PROP,PER,Mrs. Munt,21108,21117,6
264,4712,4712,PRON,PER,She,21169,21172,6
264,4737,4737,PRON,PER,She,21290,21293,6
264,4756,4756,PRON,PER,She,21398,21401,6
264,4770,4770,PRON,PER,her,21478,21481,6
264,4832,4833,PROP,PER,Mrs. Munt,21760,21769,6
264,4838,4838,PRON,PER,hers,21800,21804,6
