exp_name,text,start_byte,end_byte,pdncID
a young man low down in the education office,a young man low down in the Education Office,130322,130366,40
a haughty and magnificent nephew,a haughty and magnificent nephew,48218,48250,51
a most finished young person,A most finished young person,479595,479623,23
the reader of the paper,the reader of the paper,225864,225887,42
the young wood-cutter,The young wood-cutter,156382,156403,44
the haughty nephew,the haughty nephew,48369,48387,51
the haughty nephew,the haughty nephew,49535,49553,51
the haughty nephew,The haughty nephew,49611,49629,51
the bearded porter,the bearded porter,27298,27316,0
herr forstmeister,Herr Forstmeister,186506,186523,18
herr forstmeister,Herr Forstmeister,186569,186586,18
herr forstmeister,Herr Forstmeister,187030,187047,18
herr forstmeister,Herr Forstmeister,232868,232885,18
herr forstmeister,Herr Forstmeister,601857,601874,18
fraulein mosebach,Fraulein Mosebach,52399,52416,15
fraulein mosebach,Fraulein Mosebach,52485,52502,15
fraulein mosebach,Fraulein Mosebach,52545,52562,15
fraulein mosebach,Fraulein Mosebach,58513,58530,15
fraulein mosebach,Fraulein Mosebach,61397,61414,15
fraulein mosebach,Fraulein Mosebach,61985,62002,15
fraulein mosebach,Fraulein Mosebach,102088,102105,15
fraulein mosebach,Fraulein Mosebach,107573,107590,15
fraulein mosebach,Fraulein Mosebach,112706,112723,15
fraulein mosebach,Fraulein Mosebach,113446,113463,15
fraulein mosebach,Fraulein Mosebach,113618,113635,15
fraulein mosebach,Fraulein Mosebach,114812,114829,15
fraulein mosebach,Fraulein Mosebach,186321,186338,15
a bearded porter,A bearded porter,26217,26233,0
the parlourmaid,the parlourmaid,572292,572307,41
the parlourmaid,the parlourmaid,572494,572509,41
the parlourmaid,the parlourmaid,573008,573023,41
an earnest girl,an earnest girl,226605,226620,4
mrs. warrington,Mrs. Warrington,370223,370238,31
mrs. warrington,Mrs. Warrington,373327,373342,31
mrs. warrington,Mrs. Warrington,376410,376425,31
mrs. warrington,Mrs. Warrington,376580,376595,31
mrs. warrington,Mrs. Warrington,377900,377915,31
mrs. warrington,Mrs. Warrington,379550,379565,31
mrs. warrington,Mrs. Warrington,380466,380481,31
mrs. warrington,Mrs. Warrington,383785,383800,31
mrs. warrington,Mrs. Warrington,392817,392832,31
mrs. plynlimmon,Mrs. Plynlimmon,373295,373310,50
mrs. plynlimmon,Mrs. Plynlimmon,374234,374249,50
mrs. plynlimmon,Mrs. Plynlimmon,411793,411808,50
colonel fussell,Colonel Fussell,376320,376335,9
colonel fussell,Colonel Fussell,383835,383850,9
colonel fussell,Colonel Fussell,416771,416786,9
a girl opposite,a girl opposite,135947,135962,2
albert fussell,Albert Fussell,122797,122811,3
albert fussell,Albert Fussell,376265,376279,3
albert fussell,Albert Fussell,381737,381751,3
albert fussell,Albert Fussell,389999,390013,3
helen schlegel,Helen Schlegel,374195,374209,16
the porphyrion,the Porphyrion,204626,204640,54
the porphyrion,the Porphyrion,218600,218614,54
the porphyrion,the Porphyrion,238864,238878,54
the porphyrion,The Porphyrion,240206,240220,54
the porphyrion,the Porphyrion,240573,240587,54
the porphyrion,the Porphyrion,245096,245110,54
the porphyrion,the Porphyrion,246542,246556,54
the porphyrion,the Porphyrion,246870,246884,54
the porphyrion,the Porphyrion,247901,247915,54
the porphyrion,the Porphyrion,247920,247934,54
the porphyrion,the Porphyrion,248856,248870,54
the porphyrion,the Porphyrion,249067,249081,54
the porphyrion,the Porphyrion,257262,257276,54
the porphyrion,the Porphyrion,334064,334078,54
