source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,helen,Helen,73,78,16
exp,exp_name,meg,Meg,143,146,25
exp,exp_name,paul,Paul,325,329,34
exp,exp_name,mrs. wilcox,Mrs. Wilcox,1347,1358,32
exp,exp_name,mr. wilcox,Mr. Wilcox,1410,1420,17
exp,exp_name,tibby,Tibby,1592,1597,45
booknlp,COREF,259,he,1615,1617,45
booknlp,COREF,259,he,1669,1671,45
booknlp,COREF,259,he,1714,1716,45
booknlp,COREF,259,him,1803,1806,45
exp,exp_name,charles wilcox,Charles Wilcox,1812,1826,8
exp,exp_name,tibby,Tibby,1962,1967,45
exp,exp_name,mrs. wilcox,Mrs. Wilcox,2193,2204,32
exp,exp_name,charles wilcox,Charles Wilcox,2728,2742,8
exp,exp_name,mr. wilcox,Mr. Wilcox,2869,2879,17
exp,exp_name,evie,Evie,2949,2953,14
booknlp,COREF,262,she,3091,3094,14
booknlp,COREF,262,she,3119,3122,14
exp,exp_name,mrs. wilcox,Mrs. Wilcox,3141,3152,32
exp,exp_name,meg,Meg,3428,3431,25
exp,exp_name,mrs. wilcox,Mrs. Wilcox,3564,3575,32
exp,exp_name,mrs. wilcox,Mrs. Wilcox,3634,3645,32
exp,exp_name,evie,Evie,3670,3674,14
exp,exp_name,tibby,Tibby,4161,4166,45
exp,exp_name,aunt juley,Aunt Juley,4176,4186,6
booknlp,COREF,263,her,4200,4203,6
exp,exp_name,helen,HELEN,4292,4297,16
exp,exp_name,meg,Meg,4337,4340,25
exp,exp_name,mrs. wilcox,Mrs. Wilcox,4391,4402,32
exp,exp_name,mr. wilcox,Mr. Wilcox,4757,4767,17
exp,exp_name,meg,Meg,5033,5036,25
exp,exp_name,mr. wilcox,Mr. Wilcox,5458,5468,17
exp,exp_name,charles,Charles,5588,5595,8
exp,exp_name,evie,Evie,5866,5870,14
exp,exp_name,helen,HELEN,6093,6098,16
exp,exp_name,meg,Meg,6149,6152,25
exp,exp_name,paul,Paul,6188,6192,34
exp,exp_name,margaret,Margaret,6274,6282,25
pdnc,qID,Q0-0,you,6437,6440,6
pdnc,qID,Q0-0,Aunt Juley,6450,6460,6
pdnc,qID,Q0-0,you,6482,6485,6
pdnc,qID,Q0-0,the father and mother,6510,6531,17
pdnc,qID,Q0-0,their son,6593,6602,34
pdnc,qID,Q2-0,Aunt Juley,6718,6728,6
pdnc,qID,Q3-0,Margaret,6749,6757,25
pdnc,qID,Q3-0,dear,6759,6763,25
pdnc,qID,Q5-0,Margaret,6877,6885,25
pdnc,qID,Q5-0,dear,6887,6891,25
pdnc,qID,Q6-0,her,6909,6912,16
exp,exp_name,margaret,Margaret,6934,6942,25
pdnc,qID,Q6-1,Helen,7092,7097,16
pdnc,qID,Q7-0,Margaret,7409,7417,25
pdnc,qID,Q8-0,Helen,7877,7882,16
pdnc,qID,Q8-0,Helen,8051,8056,16
pdnc,qID,Q8-0,Tibby,8110,8115,45
pdnc,qID,Q8-0,she,8155,8158,16
pdnc,qID,Q8-0,You,8183,8186,6
pdnc,qID,Q8-0,a young man,8218,8229,34
pdnc,qID,Q8-0,She,8250,8253,16
exp,exp_name,mrs. munt,Mrs. Munt,9105,9114,6
booknlp,COREF,264,her,9119,9122,6
booknlp,COREF,264,her,9150,9153,6
booknlp,COREF,264,She,9162,9165,6
exp,exp_name,margaret,Margaret,9179,9187,25
booknlp,COREF,264,she,9288,9291,6
booknlp,COREF,264,she,9359,9362,6
booknlp,COREF,264,her,9408,9411,6
booknlp,COREF,264,she,9505,9508,6
exp,exp_name,margaret,Margaret,9624,9632,25
booknlp,COREF,264,I,9703,9704,6
exp,exp_name,mrs. munt,Mrs. Munt,9744,9753,6
exp,exp_name,margaret,Margaret,9791,9799,25
booknlp,COREF,264,me,9856,9858,6
pdnc,qID,Q12-0,Helen,9860,9865,16
pdnc,qID,Q13-0,Aunt Juley,9887,9897,6
pdnc,qID,Q13-0,Helen,9929,9934,16
pdnc,qID,Q13-0,her,9976,9979,16
pdnc,qID,Q13-0,her,10001,10004,16
exp,exp_name,mrs. munt,Mrs. Munt,10073,10082,6
booknlp,COREF,264,her,10099,10102,6
pdnc,qID,Q14-1,Margaret,10141,10149,25
booknlp,COREF,264,I,10154,10155,6
pdnc,qID,Q14-1,you,10207,10210,25
pdnc,qID,Q14-1,Helen,10299,10304,16
booknlp,COREF,264,my,10316,10318,6
pdnc,qID,Q14-1,you,10422,10425,25
pdnc,qID,Q14-1,the son,10497,10504,34
pdnc,qID,Q14-1,She,10509,10512,16
pdnc,qID,Q14-1,he,10539,10541,34
pdnc,qID,Q14-1,he,10572,10574,34
pdnc,qID,Q14-1,Helen,10590,10595,16
pdnc,qID,Q14-1,you,10607,10610,25
pdnc,qID,Q17-0,you,10738,10741,6
pdnc,qID,Q19-0,Helen,10809,10814,16
exp,exp_name,margaret,Margaret,10875,10883,25
exp,exp_name,helen,Helen,11221,11226,16
booknlp,COREF,264,I,11344,11345,6
exp,exp_name,mrs. munt,Mrs. Munt,11381,11390,6
pdnc,qID,Q21-1,you,11468,11471,25
booknlp,COREF,264,I,11500,11501,6
pdnc,qID,Q21-1,you,11507,11510,25
pdnc,qID,Q21-1,Dear,11569,11573,25
booknlp,COREF,264,I,11575,11576,6
booknlp,COREF,264,me,11598,11600,6
booknlp,COREF,264,She,11619,11622,6
booknlp,COREF,264,her,11634,11637,6
booknlp,COREF,264,I,11651,11652,6
pdnc,qID,Q21-2,your,11663,11667,25
booknlp,COREF,264,me,11682,11684,6
booknlp,COREF,264,I,11718,11719,6
pdnc,qID,Q21-2,you,11738,11741,25
pdnc,qID,Q22-0,Aunt Juley,11746,11756,6
pdnc,qID,Q23-0,You,11829,11832,6
pdnc,qID,Q23-0,you,11884,11887,6
booknlp,COREF,264,I,11914,11915,6
exp,exp_name,mrs. munt,Mrs. Munt,11941,11950,6
booknlp,COREF,264,I,11978,11979,6
booknlp,COREF,264,I,12071,12072,6
pdnc,qID,Q24-1,You,12094,12097,25
pdnc,qID,Q24-1,you,12140,12143,25
pdnc,qID,Q24-1,your,12154,12158,25
pdnc,qID,Q24-1,Helen,12171,12176,16
pdnc,qID,Q24-1,you,12189,12192,25
pdnc,qID,Q24-1,your,12251,12255,25
pdnc,qID,Q25-0,Helen,12354,12359,16
pdnc,qID,Q25-0,she,12375,12378,16
pdnc,qID,Q25-0,she,12441,12444,16
pdnc,qID,Q25-0,you,12515,12518,6
pdnc,qID,Q25-0,Aunt Juley,12579,12589,6
booknlp,COREF,264,she,12602,12605,6
booknlp,COREF,264,she,12814,12817,6
booknlp,COREF,264,her,12833,12836,6
pdnc,qID,Q26-0,Helen,12861,12866,16
booknlp,COREF,264,me,12891,12893,6
pdnc,qID,Q27-0,Dear Margaret,12943,12956,25
pdnc,qID,Q27-0,Your,13002,13006,25
pdnc,qID,Q28-0,she,13056,13059,16
exp,exp_name,the man,the man,13080,13087,40
booknlp,COREF,264,I,13119,13120,6
booknlp,COREF,264,her,13194,13197,6
booknlp,COREF,264,she,13208,13211,6
booknlp,COREF,264,she,13277,13280,6
booknlp,COREF,264,she,13308,13311,6
booknlp,COREF,264,I,13358,13359,6
booknlp,COREF,264,I,13412,13413,6
booknlp,COREF,264,I,13427,13428,6
exp,exp_name,mrs. munt,Mrs. Munt,13452,13461,6
booknlp,COREF,264,I,13477,13478,6
pdnc,qID,Q29-1,you,13499,13502,25
pdnc,qID,Q29-1,you,13525,13528,25
booknlp,COREF,264,I,13573,13574,6
pdnc,qID,Q29-1,you,13623,13626,25
pdnc,qID,Q29-1,Helen,13662,13667,16
exp,exp_name,margaret,Margaret,13804,13812,25
pdnc,qID,Q30-0,you,13837,13840,6
booknlp,COREF,264,I,13901,13902,6
pdnc,qID,Q32-0,you,13946,13949,6
pdnc,qID,Q34-0,you,14247,14250,25
pdnc,qID,Q34-0,you,14299,14302,25
exp,exp_name,margaret,Margaret,14474,14482,25
exp,exp_name,helen,Helen,14983,14988,16
exp,exp_name,the doctor,the doctor,15178,15188,24
exp,exp_name,tibby,Tibby,15212,15217,45
exp,exp_name,aunt juley,Aunt Juley,15267,15277,6
booknlp,COREF,263,her,15304,15307,6
exp,exp_name,margaret,Margaret,15352,15360,25
pdnc,qID,Q35-0,you,15521,15524,6
exp,exp_name,tibby,Tibby,15601,15606,45
exp,exp_name,margaret,Margaret,15652,15660,25
pdnc,qID,Q36-0,You,15706,15709,6
pdnc,qID,Q36-0,Aunt Juley,15725,15735,6
pdnc,qID,Q36-0,Helen,15803,15808,16
pdnc,qID,Q36-0,you,15827,15830,6
exp,exp_name,mrs. munt,Mrs. Munt,16019,16028,6
booknlp,COREF,264,she,16043,16046,6
pdnc,qID,Q38-0,you,16144,16147,6
pdnc,qID,Q38-0,Helen,16185,16190,16
pdnc,qID,Q39-0,Helen,16205,16210,16
exp,exp_name,margaret,Margaret,16292,16300,25
exp,exp_name,margaret,Margaret,17317,17325,25
exp,exp_name,margaret,Margaret,17870,17878,25
exp,exp_name,mrs. munt,Mrs. Munt,17986,17995,6
booknlp,COREF,264,she,18004,18007,6
