qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,you,6437,6440,[6],6
Q0-0,Aunt Juley,6450,6460,[6],6
Q0-0,you,6482,6485,[6],6
Q0-0,We,6490,6492,"[25, 16]",-1
Q0-0,we,6498,6500,"[25, 16]",-1
Q0-0,the father and mother,6510,6531,[17],17
Q0-0,their son,6593,6602,[34],34
Q2-0,Aunt Juley,6718,6728,[6],6
Q3-0,Margaret,6749,6757,[25],25
Q3-0,dear,6759,6763,[25],25
Q3-0,we,6773,6775,"[6, 25]",-1
Q3-0,we,6808,6810,"[6, 25]",-1
Q5-0,Margaret,6877,6885,[25],25
Q5-0,dear,6887,6891,[25],25
Q6-0,her,6909,6912,[16],16
Q6-1,We,7009,7011,"[25, 16]",-1
Q6-1,Wilcoxes,7020,7028,"[32, 17]",-1
Q6-1,we,7057,7059,"[25, 16]",-1
Q6-1,Helen,7092,7097,[16],16
Q7-0,Margaret,7409,7417,[25],25
Q8-0,we,7527,7529,"[25, 16]",-1
Q8-0,We,7666,7668,"[25, 16]",-1
Q8-0,Wilcoxes,7709,7717,"[32, 17]",-1
Q8-0,we,7721,7723,"[25, 16]",-1
Q8-0,They,7774,7778,"[32, 17]",-1
Q8-0,poor things,7784,7795,"[17, 32]",-1
Q8-0,they,7816,7820,"[32, 17]",-1
Q8-0,they,7859,7863,"[32, 17]",-1
Q8-0,Helen,7877,7882,[16],16
Q8-0,us,7919,7921,"[25, 16]",-1
Q8-0,they,7958,7962,"[32, 17]",-1
Q8-0,We,7985,7987,"[25, 16]",-1
Q8-0,They,8019,8023,"[32, 17]",-1
Q8-0,us,8029,8031,"[25, 16]",-1
Q8-0,Helen,8051,8056,[16],16
Q8-0,them,8073,8077,"[32, 17]",-1
Q8-0,Tibby,8110,8115,[45],45
Q8-0,she,8155,8158,[16],16
Q8-0,You,8183,8186,[6],6
Q8-0,a young man,8218,8229,[34],34
Q8-0,She,8250,8253,[16],16
Q11-0,you Schlegels,9712,9725,"[25, 16]",-1
Q12-0,Helen,9860,9865,[16],16
Q13-0,Aunt Juley,9887,9897,[6],6
Q13-0,Helen,9929,9934,[16],16
Q13-0,her,9976,9979,[16],16
Q13-0,her,10001,10004,[16],16
Q14-1,Margaret,10141,10149,[25],25
Q14-1,you,10207,10210,[25],25
Q14-1,Wilcoxes,10224,10232,"[32, 17]",-1
Q14-1,they,10238,10242,"[32, 17]",-1
Q14-1,they,10257,10261,"[32, 17]",-1
Q14-1,they,10283,10287,"[32, 17]",-1
Q14-1,Helen,10299,10304,[16],16
Q14-1,they,10358,10362,"[32, 17]",-1
Q14-1,you,10422,10425,[25],25
Q14-1,the son,10497,10504,[34],34
Q14-1,She,10509,10512,[16],16
Q14-1,he,10539,10541,[34],34
Q14-1,he,10572,10574,[34],34
Q14-1,Helen,10590,10595,[16],16
Q14-1,you,10607,10610,[25],25
Q17-0,you,10738,10741,[6],6
Q19-0,Helen,10809,10814,[16],16
Q21-0,you,11355,11358,"[25, 16]",-1
Q21-1,you,11468,11471,[25],25
Q21-1,you,11507,11510,[25],25
Q21-1,Dear,11569,11573,[25],25
Q21-2,your,11663,11667,[25],25
Q21-2,you,11738,11741,[25],25
Q22-0,Aunt Juley,11746,11756,[6],6
Q23-0,You,11829,11832,[6],6
Q23-0,you,11884,11887,[6],6
Q24-1,You,12094,12097,[25],25
Q24-1,you,12140,12143,[25],25
Q24-1,your,12154,12158,[25],25
Q24-1,Helen,12171,12176,[16],16
Q24-1,you,12189,12192,[25],25
Q24-1,Wilcoxes,12225,12233,"[32, 17]",-1
Q24-1,your,12251,12255,[25],25
Q24-1,them,12306,12310,"[32, 17]",-1
Q25-0,Helen,12354,12359,[16],16
Q25-0,she,12375,12378,[16],16
Q25-0,she,12441,12444,[16],16
Q25-0,you,12515,12518,[6],6
Q25-0,Aunt Juley,12579,12589,[6],6
Q26-0,Helen,12861,12866,[16],16
Q27-0,Dear Margaret,12943,12956,[25],25
Q27-0,Your,13002,13006,[25],25
Q28-0,she,13056,13059,[16],16
Q29-1,you,13499,13502,[25],25
Q29-1,you,13525,13528,[25],25
Q29-1,the Wilcoxes,13559,13571,"[32, 17]",-1
Q29-1,you,13623,13626,[25],25
Q29-1,Helen,13662,13667,[16],16
Q30-0,you,13837,13840,[6],6
Q32-0,you,13946,13949,[6],6
Q34-0,you,14247,14250,[25],25
Q34-0,you,14299,14302,[25],25
Q34-0,you Schlegels,14404,14417,"[25, 16]",-1
Q35-0,you,15521,15524,[6],6
Q36-0,You,15706,15709,[6],6
Q36-0,Aunt Juley,15725,15735,[6],6
Q36-0,Helen,15803,15808,[16],16
Q36-0,you,15827,15830,[6],6
Q36-0,the relatives,15867,15880,"[17, 32, 34]",-1
Q36-0,We,15882,15884,"[6, 25]",-1
Q36-0,their,15903,15908,"[17, 32, 34]",-1
Q38-0,you,16144,16147,[6],6
Q38-0,Helen,16185,16190,[16],16
Q39-0,Helen,16205,16210,[16],16
Q41-0,we,19662,19664,"[6, 25]",-1
Q41-0,dear,19685,19689,[25],25
Q42-0,poor Margaret,20030,20043,[25],25
Q43-1,you,22981,22984,[43],43
Q44-0,Mr. Wilcox,23006,23016,[8],8
Q45-0,She,23082,23085,[6],6
