COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
129,349,350,PROP,PER,Mr. Denham,1792,1802,35
129,375,376,PROP,PER,Mr. Denham,1911,1921,35
129,416,417,PROP,PER,Mr. Denham,2121,2131,35
129,428,428,PRON,PER,him,2188,2191,35
129,488,488,PRON,PER,his,2474,2477,35
129,492,492,PRON,PER,his,2488,2491,35
129,497,497,PRON,PER,his,2517,2520,35
129,567,568,PROP,PER,Mr. Denham,2843,2853,35
130,573,574,PROP,PER,Mr. Fortescue,2869,2882,27
129,589,589,PRON,PER,He,2950,2952,35
129,610,610,PRON,PER,him,3070,3073,35
129,619,619,PRON,PER,you,3107,3110,35
129,622,622,PRON,PER,you,3117,3120,35
129,636,637,PROP,PER,Mr. Denham,3181,3191,35
129,694,695,PROP,PER,Mr. Denham,3451,3461,35
129,707,707,PRON,PER,him,3524,3527,35
129,715,715,PRON,PER,he,3560,3562,35
129,722,723,PROP,PER,Mr. Denham,3588,3598,35
129,725,725,PRON,PER,himself,3606,3613,35
129,749,749,PRON,PER,he,3745,3747,35
129,755,755,PRON,PER,his,3778,3781,35
129,758,758,PRON,PER,He,3788,3790,35
129,761,761,PRON,PER,him,3805,3808,35
130,782,783,PROP,PER,Mr. Fortescue,3902,3915,27
130,801,801,PRON,PER,him,3994,3997,27
129,812,812,PRON,PER,he,4036,4038,35
129,845,845,PROP,PER,Denham,4169,4175,35
130,997,998,PROP,PER,Mr. Fortescue,4893,4906,27
130,1020,1020,PRON,PER,he,5008,5010,27
130,1051,1051,PRON,PER,he,5159,5161,27
130,1058,1058,PRON,PER,his,5186,5189,27
130,1062,1062,PRON,PER,his,5202,5205,27
130,1075,1075,PRON,PER,his,5270,5273,27
130,1080,1080,PRON,PER,he,5300,5302,27
410,1114,1115,NOM,PER,the girl,5467,5475,38
130,1195,1196,PROP,PER,Mr. Fortescue,5862,5875,27
410,1217,1217,PRON,PER,her,5958,5961,38
410,1257,1257,PRON,PER,her,6130,6133,38
410,1258,1258,PRON,PER,she,6134,6137,38
132,1325,1325,PRON,PER,I,6453,6454,28
132,1334,1334,PRON,PER,my,6497,6499,28
132,1338,1339,PROP,PER,Mr. Hilbery,6509,6520,28
132,1342,1342,PRON,PER,He,6531,6533,28
132,1361,1361,PRON,PER,his,6615,6618,28
132,1371,1371,PRON,PER,his,6663,6666,28
132,1374,1374,PRON,PER,He,6673,6675,28
132,1384,1384,PRON,PER,his,6732,6735,28
