exp_name,text,start_byte,end_byte,pdncID
"a thin, elderly gentleman","a thin, elderly gentleman",3238,3263,2
reverend wyndham datchet,Reverend Wyndham Datchet,339859,339883,26
sir richard warburton,Sir Richard Warburton,14769,14790,48
a commercial traveler,a commercial traveler,329265,329286,0
a voice from within,A voice from within,142798,142817,42
a voice from within,A voice from within,914543,914562,42
mrs. vermont bankes,Mrs. Vermont Bankes,584601,584620,34
mrs. vermont bankes,Mrs. Vermont Bankes,585320,585339,34
mrs. vermont bankes,Mrs. Vermont Bankes,590384,590403,34
katharine hilbery,Katharine Hilbery,123,140,19
katharine hilbery,Katharine Hilbery,29139,29156,19
katharine hilbery,Katharine Hilbery,29177,29194,19
katharine hilbery,Katharine Hilbery,29530,29547,19
katharine hilbery,Katharine Hilbery,30730,30747,19
katharine hilbery,Katharine Hilbery,50979,50996,19
katharine hilbery,Katharine Hilbery,51074,51091,19
katharine hilbery,Katharine Hilbery,80781,80798,19
katharine hilbery,Katharine Hilbery,80852,80869,19
katharine hilbery,Katharine Hilbery,82613,82630,19
katharine hilbery,Katharine Hilbery,95844,95861,19
katharine hilbery,Katharine Hilbery,99113,99130,19
katharine hilbery,Katharine Hilbery,114075,114092,19
katharine hilbery,Katharine Hilbery,114949,114966,19
katharine hilbery,Katharine Hilbery,117169,117186,19
katharine hilbery,Katharine Hilbery,117561,117578,19
katharine hilbery,Katharine Hilbery,117743,117760,19
katharine hilbery,Katharine Hilbery,141780,141797,19
katharine hilbery,Katharine Hilbery,229671,229688,19
katharine hilbery,Katharine Hilbery,317371,317388,19
katharine hilbery,Katharine Hilbery,346973,346990,19
katharine hilbery,Katharine Hilbery,400652,400669,19
katharine hilbery,Katharine Hilbery,420742,420759,19
katharine hilbery,Katharine Hilbery,421505,421522,19
katharine hilbery,Katharine Hilbery,421527,421544,19
katharine hilbery,Katharine Hilbery,421647,421664,19
katharine hilbery,Katharine Hilbery,421704,421721,19
katharine hilbery,Katharine Hilbery,421802,421819,19
katharine hilbery,Katharine Hilbery,491672,491689,19
katharine hilbery,Katharine Hilbery,537174,537191,19
katharine hilbery,Katharine Hilbery,609215,609232,19
katharine hilbery,Katharine Hilbery,725680,725697,19
richard alardyce,Richard Alardyce,12716,12732,3
richard alardyce,Richard Alardyce,51868,51884,3
richard alardyce,Richard Alardyce,61286,61302,3
richard alardyce,Richard Alardyce,383972,383988,3
richard alardyce,Richard Alardyce,795589,795605,3
cousin caroline,Cousin Caroline,213874,213889,9
cousin caroline,Cousin Caroline,214208,214223,9
cousin caroline,Cousin Caroline,214250,214265,9
