source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,katharine hilbery,Katharine Hilbery,123,140,19
exp,exp_name,mrs. hilbery,Mrs. Hilbery,703,715,32
exp,exp_name,katharine,Katharine,1212,1221,19
exp,exp_name,katharine,Katharine,1663,1672,19
pdnc,qID,Q0-0,you,1740,1743,35
pdnc,qID,Q1-0,Mr. Denham,1792,1802,35
pdnc,qID,Q1-0,mother,1804,1810,32
exp,exp_name,mr. denham,Mr. Denham,1911,1921,35
exp,exp_name,mr. denham,Mr. Denham,2121,2131,35
booknlp,COREF,129,him,2188,2191,35
booknlp,COREF,129,his,2474,2477,35
booknlp,COREF,129,his,2488,2491,35
booknlp,COREF,129,his,2517,2520,35
exp,exp_name,mr. denham,Mr. Denham,2843,2853,35
exp,exp_name,mr. fortescue,Mr. Fortescue,2869,2882,27
booknlp,COREF,129,He,2950,2952,35
exp,exp_name,mrs. hilbery,Mrs. Hilbery,3006,3018,32
booknlp,COREF,129,him,3070,3073,35
pdnc,qID,Q2-0,you,3107,3110,35
pdnc,qID,Q2-0,you,3117,3120,35
pdnc,qID,Q2-0,Mr. Denham,3181,3191,35
exp,exp_name,"a thin, elderly gentleman","a thin, elderly gentleman",3238,3263,2
exp,exp_name,katharine,Katharine,3430,3439,19
exp,exp_name,mr. denham,Mr. Denham,3451,3461,35
booknlp,COREF,129,him,3524,3527,35
booknlp,COREF,129,he,3560,3562,35
exp,exp_name,mr. denham,Mr. Denham,3588,3598,35
booknlp,COREF,129,himself,3606,3613,35
booknlp,COREF,129,he,3745,3747,35
booknlp,COREF,129,his,3778,3781,35
booknlp,COREF,129,He,3788,3790,35
booknlp,COREF,129,him,3805,3808,35
exp,exp_name,katharine,Katharine,3833,3842,19
exp,exp_name,mr. fortescue,Mr. Fortescue,3902,3915,27
booknlp,COREF,130,him,3994,3997,27
pdnc,qID,Q5-0,you,4006,4009,19
booknlp,COREF,129,he,4036,4038,35
exp,exp_name,katharine,Katharine,4045,4054,19
pdnc,qID,Q7-0,you,4088,4091,19
exp,exp_name,katharine,Katharine,4114,4123,19
booknlp,COREF,129,Denham,4169,4175,35
exp,exp_name,mr. fortescue,Mr. Fortescue,4893,4906,27
booknlp,COREF,130,he,5008,5010,27
pdnc,qID,Q9-0,Katharine,5123,5132,19
booknlp,COREF,130,he,5159,5161,27
booknlp,COREF,130,his,5186,5189,27
booknlp,COREF,130,his,5202,5205,27
booknlp,COREF,130,his,5270,5273,27
booknlp,COREF,130,he,5300,5302,27
exp,exp_name,the girl,the girl,5467,5475,38
exp,exp_name,katharine,Katharine,5718,5727,19
pdnc,qID,Q10-0,Mr. Fortescue,5862,5875,27
exp,exp_name,mrs. hilbery,Mrs. Hilbery,5888,5900,32
booknlp,COREF,410,her,5958,5961,38
booknlp,COREF,410,her,6130,6133,38
booknlp,COREF,410,she,6134,6137,38
exp,exp_name,katharine,Katharine,6440,6449,19
booknlp,COREF,132,I,6453,6454,28
booknlp,COREF,132,my,6497,6499,28
exp,exp_name,mr. hilbery,Mr. Hilbery,6509,6520,28
booknlp,COREF,132,He,6531,6533,28
booknlp,COREF,132,his,6615,6618,28
booknlp,COREF,132,his,6663,6666,28
booknlp,COREF,132,He,6673,6675,28
booknlp,COREF,132,his,6732,6735,28
booknlp,COREF,132,his,6824,6827,28
booknlp,COREF,132,his,6898,6901,28
booknlp,COREF,132,he,6943,6945,28
booknlp,COREF,132,himself,6969,6976,28
booknlp,COREF,132,he,7098,7100,28
booknlp,COREF,132,his,7134,7137,28
booknlp,COREF,132,he,7171,7173,28
booknlp,COREF,132,he,7203,7205,28
booknlp,COREF,132,his,7241,7244,28
exp,exp_name,katharine,Katharine,7326,7335,19
booknlp,COREF,129,Denham,7340,7346,35
exp,exp_name,mr. fortescue,Mr. Fortescue,7362,7375,27
booknlp,COREF,129,Denham,8341,8347,35
booknlp,COREF,129,him,8509,8512,35
booknlp,COREF,129,him,8581,8584,35
booknlp,COREF,129,he,8691,8693,35
booknlp,COREF,129,his,8702,8705,35
booknlp,COREF,129,him,8774,8777,35
pdnc,qID,Q14-0,Katharine,8916,8925,19
pdnc,qID,Q15-0,mother,8962,8968,32
pdnc,qID,Q16-0,Mr. Fortescue,9082,9095,27
exp,exp_name,mr. hilbery,Mr. Hilbery,9229,9240,28
booknlp,COREF,129,Denham,9267,9273,35
booknlp,COREF,129,he,9378,9380,35
booknlp,COREF,129,his,9393,9396,35
booknlp,COREF,129,Denham,9415,9421,35
booknlp,COREF,129,his,9439,9442,35
booknlp,COREF,129,Denham,9485,9491,35
exp,exp_name,mr. hilbery,Mr. Hilbery,9529,9540,28
booknlp,COREF,132,his,9544,9547,28
booknlp,COREF,129,he,9643,9645,35
exp,exp_name,mr. denham,Mr. Denham,9665,9675,35
booknlp,COREF,129,himself,9682,9689,35
exp,exp_name,katharine,Katharine,9747,9756,19
exp,exp_name,katharine,Katharine,9976,9985,19
booknlp,COREF,129,Denham,10204,10210,35
booknlp,COREF,129,his,10223,10226,35
exp,exp_name,mrs. hilbery,Mrs. Hilbery,10311,10323,32
pdnc,qID,Q17-0,you,10614,10617,35
pdnc,qID,Q17-0,Mr. Denham,10624,10634,35
pdnc,qID,Q17-0,you,10636,10639,35
pdnc,qID,Q17-0,his,10687,10690,35
pdnc,qID,Q17-0,Katharine,10696,10705,19
pdnc,qID,Q17-0,his,10710,10713,35
pdnc,qID,Q17-0,he,10731,10733,35
pdnc,qID,Q17-0,his,10742,10745,35
pdnc,qID,Q17-0,Mr. Denham,10765,10775,35
pdnc,qID,Q17-0,you,10781,10784,35
pdnc,qID,Q17-0,Mrs. Hilbery,10875,10887,32
booknlp,COREF,129,you,10900,10903,35
booknlp,COREF,129,you,10924,10927,35
booknlp,COREF,129,your,10944,10948,35
booknlp,COREF,129,Denham,11050,11056,35
exp,exp_name,katharine,Katharine,11099,11108,19
exp,exp_name,mrs. hilbery,Mrs. Hilbery,11157,11169,32
pdnc,qID,Q18-0,Mr. Denham,11234,11244,35
pdnc,qID,Q18-0,Katharine,11275,11284,19
pdnc,qID,Q18-0,he,11295,11297,35
booknlp,COREF,129,he,11364,11366,35
exp,exp_name,mr. fortescue,Mr. Fortescue,11544,11557,27
booknlp,COREF,129,Denham,11560,11566,35
booknlp,COREF,129,he,11611,11613,35
exp,exp_name,katharine,Katharine,11654,11663,19
pdnc,qID,Q19-0,you,11710,11713,35
exp,exp_name,katharine,Katharine,12225,12234,19
exp,exp_name,katharine,Katharine,12562,12571,19
booknlp,COREF,129,Denham,12647,12653,35
booknlp,COREF,129,himself,12660,12667,35
exp,exp_name,richard alardyce,Richard Alardyce,12716,12732,3
booknlp,COREF,129,him,12783,12786,35
booknlp,COREF,129,he,12792,12794,35
booknlp,COREF,129,him,12848,12851,35
booknlp,COREF,129,him,12942,12945,35
exp,exp_name,katharine,Katharine,13108,13117,19
booknlp,COREF,129,him,13139,13142,35
pdnc,qID,Q20-0,his,13202,13205,3
pdnc,qID,Q20-0,He,13221,13223,3
booknlp,COREF,129,his,13427,13430,35
exp,exp_name,katharine,Katharine,13508,13517,19
pdnc,qID,Q21-0,my grandfather,13550,13564,3
pdnc,qID,Q21-1,you,13806,13809,35
exp,exp_name,mr. denham,Mr. Denham,13838,13848,35
exp,exp_name,mr. denham,Mr. Denham,14446,14456,35
pdnc,qID,Q23-0,uncle ,14740,14746,48
pdnc,qID,Q23-0,he,14762,14764,48
pdnc,qID,Q23-0,Sir Richard Warburton,14769,14790,48
pdnc,qID,Q23-0,you,14792,14795,35
exp,exp_name,alardyce,Alardyce,14896,14904,3
booknlp,COREF,138,his,14953,14956,3
exp,exp_name,mr. denham,Mr. Denham,15181,15191,35
booknlp,COREF,129,he,15223,15225,35
booknlp,COREF,129,him,15392,15395,35
booknlp,COREF,129,him,15428,15431,35
booknlp,COREF,129,him,15476,15479,35
exp,exp_name,katharine,Katharine,15523,15532,19
booknlp,COREF,129,He,15836,15838,35
booknlp,COREF,129,His,16110,16113,35
exp,exp_name,katharine,Katharine,16358,16367,19
booknlp,COREF,129,him,16383,16386,35
booknlp,COREF,129,his,16405,16408,35
booknlp,COREF,129,his,16519,16522,35
booknlp,COREF,129,His,16614,16617,35
booknlp,COREF,129,he,16689,16691,35
pdnc,qID,Q24-0,You,16729,16732,19
pdnc,qID,Q24-0,your,16755,16759,19
pdnc,qID,Q24-0,Miss Hilbery,16768,16780,19
exp,exp_name,katharine,Katharine,16797,16806,19
pdnc,qID,Q25-1,you,16836,16839,35
booknlp,COREF,129,he,16973,16975,35
booknlp,COREF,129,he,17082,17084,35
exp,exp_name,katharine,Katharine,17143,17152,19
booknlp,COREF,129,I,17184,17185,35
booknlp,COREF,129,I,17199,17200,35
booknlp,COREF,129,my,17215,17217,35
booknlp,COREF,129,me,17237,17239,35
booknlp,COREF,129,Denham,17262,17268,35
booknlp,COREF,129,him,17293,17296,35
exp,exp_name,katharine,Katharine,17313,17322,19
pdnc,qID,Q30-1,your grandfather,17342,17358,3
pdnc,qID,Q30-1,You ,17365,17369,19
booknlp,COREF,129,I,17399,17400,35
pdnc,qID,Q30-1,you,17409,17412,19
pdnc,qID,Q30-1,you,17518,17521,19
pdnc,qID,Q30-1,you,17555,17558,19
booknlp,COREF,129,I,17560,17561,35
booknlp,COREF,129,he,17593,17595,35
exp,exp_name,katharine,Katharine,17633,17642,19
booknlp,COREF,129,Denham,17666,17672,35
booknlp,COREF,129,his,17706,17709,35
exp,exp_name,katharine,Katharine,17746,17755,19
pdnc,qID,Q33-1,you,17775,17778,35
booknlp,COREF,129,Denham,17801,17807,35
booknlp,COREF,129,He,17847,17849,35
booknlp,COREF,129,he,17888,17890,35
booknlp,COREF,129,his,17914,17917,35
booknlp,COREF,129,he,17954,17956,35
booknlp,COREF,129,he,17987,17989,35
booknlp,COREF,129,He,18028,18030,35
booknlp,COREF,129,his,18097,18100,35
exp,exp_name,katharine,Katharine,18112,18121,19
booknlp,COREF,129,him,18130,18133,35
booknlp,COREF,129,Denham,18312,18318,35
booknlp,COREF,129,he,18379,18381,35
booknlp,COREF,129,he,18400,18402,35
booknlp,COREF,129,He,18447,18449,35
booknlp,COREF,129,he,18499,18501,35
booknlp,COREF,129,himself,18627,18634,35
booknlp,COREF,129,he,18663,18665,35
pdnc,qID,Q35-0,you,18795,18798,35
pdnc,qID,Q35-0,your,18808,18812,35
exp,exp_name,katharine,Katharine,18822,18831,19
booknlp,COREF,129,Denham,18854,18860,35
exp,exp_name,katharine,Katharine,18989,18998,19
pdnc,qID,Q38-0,You,19011,19014,19
booknlp,COREF,129,Denham,19046,19052,35
pdnc,qID,Q39-0,you,19081,19084,35
booknlp,COREF,129,you,19123,19126,35
exp,exp_name,katharine,Katharine,19140,19149,19
booknlp,COREF,129,Denham,19163,19169,35
booknlp,COREF,129,I,19390,19391,35
booknlp,COREF,129,Denham,19403,19409,35
booknlp,COREF,129,he,19469,19471,35
exp,exp_name,katharine,Katharine,19556,19565,19
booknlp,COREF,129,Denham,19636,19642,35
booknlp,COREF,129,I,19680,19681,35
booknlp,COREF,129,Denham,19773,19779,35
pdnc,qID,Q46-0,You,19783,19786,35
exp,exp_name,katharine,Katharine,19805,19814,19
booknlp,COREF,129,Denham,19870,19876,35
pdnc,qID,Q48-0,You,19888,19891,35
pdnc,qID,Q48-0,you,19912,19915,35
booknlp,COREF,129,I,19933,19934,35
exp,exp_name,mr. denham,Mr. Denham,19974,19984,35
booknlp,COREF,129,I,20059,20060,35
pdnc,qID,Q49-0,you,20082,20085,19
booknlp,COREF,129,I,20098,20099,35
booknlp,COREF,129,he,20107,20109,35
booknlp,COREF,129,he,20125,20127,35
booknlp,COREF,129,he,20145,20147,35
booknlp,COREF,129,he,20173,20175,35
booknlp,COREF,129,I,20237,20238,35
booknlp,COREF,129,I,20247,20248,35
exp,exp_name,katharine,Katharine,20310,20319,19
booknlp,COREF,129,Denham,20328,20334,35
booknlp,COREF,129,him,20695,20698,35
booknlp,COREF,129,he,20765,20767,35
pdnc,qID,Q53-0,You,20784,20787,19
booknlp,COREF,129,he,20827,20829,35
pdnc,qID,Q53-1,you,20878,20881,19
pdnc,qID,Q53-1,You,20883,20886,19
exp,exp_name,katharine,Katharine,21028,21037,19
booknlp,COREF,129,he,21051,21053,35
booknlp,COREF,129,he,21086,21088,35
booknlp,COREF,129,his,21095,21098,35
booknlp,COREF,129,I,21186,21187,35
pdnc,qID,Q55-0,you,21203,21206,19
pdnc,qID,Q55-0,your ,21213,21218,19
booknlp,COREF,129,he,21225,21227,35
booknlp,COREF,129,I,21262,21263,35
pdnc,qID,Q55-1,you,21272,21275,19
pdnc,qID,Q55-1,You,21303,21306,19
pdnc,qID,Q55-1,your grandfather,21329,21345,3
pdnc,qID,Q55-1,you,21354,21357,19
booknlp,COREF,129,he,21383,21385,35
booknlp,COREF,129,him,21514,21517,35
booknlp,COREF,129,him,21610,21613,35
pdnc,qID,Q56-0,You,21667,21670,35
pdnc,qID,Q56-1,my mother,21728,21737,32
pdnc,qID,Q57-0,you,21767,21770,19
pdnc,qID,Q57-0,yourself,21783,21791,19
booknlp,COREF,129,he,21794,21796,35
pdnc,qID,Q58-0,you,21817,21820,35
booknlp,COREF,129,I,21896,21897,35
exp,exp_name,mr. denham,Mr. Denham,21917,21927,35
booknlp,COREF,129,his,21942,21945,35
booknlp,COREF,129,he,21960,21962,35
exp,exp_name,katharine,Katharine,21997,22006,19
booknlp,COREF,129,he,22027,22029,35
booknlp,COREF,129,himself,22045,22052,35
booknlp,COREF,129,him,22095,22098,35
booknlp,COREF,129,him,22108,22111,35
pdnc,qID,Q60-1,You,22313,22316,35
booknlp,COREF,129,Denham,22540,22546,35
booknlp,COREF,129,I,22557,22558,35
booknlp,COREF,129,I,22588,22589,35
booknlp,COREF,129,me,22666,22668,35
exp,exp_name,katharine,Katharine,22720,22729,19
exp,exp_name,mrs. hilbery,Mrs. Hilbery,23053,23065,32
pdnc,qID,Q62-1,you,24301,24304,35
pdnc,qID,Q62-1,Mr. Denham,24322,24332,35
exp,exp_name,mr. denham,Mr. Denham,24336,24346,35
booknlp,COREF,129,his,24357,24360,35
booknlp,COREF,129,his,24379,24382,35
exp,exp_name,katharine,Katharine,24411,24420,19
exp,exp_name,mrs. hilbery,Mrs. Hilbery,24453,24465,32
booknlp,COREF,129,he,24483,24485,35
pdnc,qID,Q63-1,you,24605,24608,35
pdnc,qID,Q63-1,Mr. Denham,24625,24635,35
pdnc,qID,Q63-1,Mr. Fortescue,24692,24705,27
pdnc,qID,Q63-1,He,24731,24733,27
pdnc,qID,Q63-1,he,24880,24882,27
pdnc,qID,Q63-1,you,24933,24936,19
pdnc,qID,Q63-1,Katharine,24944,24953,19
exp,exp_name,mr. denham,Mr. Denham,25063,25073,35
booknlp,COREF,129,his,25083,25086,35
pdnc,qID,Q64-0,you,25134,25137,35
exp,exp_name,mrs. hilbery,Mrs. Hilbery,25140,25152,32
exp,exp_name,mary,Mary,25250,25254,21
booknlp,COREF,149,she,25282,25285,23
pdnc,qID,Q64-1,Katharine,25347,25356,19
pdnc,qID,Q64-1,her,25369,25372,19
pdnc,qID,Q64-1,she,25387,25390,19
pdnc,qID,Q64-1,you,25428,25431,35
pdnc,qID,Q64-1,you,25497,25500,35
pdnc,qID,Q64-1,your,25520,25524,35
pdnc,qID,Q64-1,you,25535,25538,35
pdnc,qID,Q65-1,Katharine,25878,25887,19
pdnc,qID,Q65-1,Aunt Millicent,26027,26041,30
pdnc,qID,Q65-1,she,26064,26067,30
pdnc,qID,Q65-1,_my_ father,26117,26128,3
exp,exp_name,mrs. hilbery,Mrs. Hilbery,26270,26282,32
exp,exp_name,katharine,Katharine,26578,26587,19
exp,exp_name,miss hilbery,Miss Hilbery,27143,27155,19
pdnc,qID,Q66-0,She,29120,29123,19
pdnc,qID,Q66-0,Katharine Hilbery,29139,29156,19
pdnc,qID,Q66-0,Katharine Hilbery,29177,29194,19
exp,exp_name,katharine hilbery,Katharine Hilbery,29530,29547,19
booknlp,COREF,129,Denham,29639,29645,35
exp,exp_name,miss hilbery,Miss Hilbery,30029,30041,19
exp,exp_name,ralph denham,Ralph Denham,30423,30435,35
exp,exp_name,katharine hilbery,Katharine Hilbery,30730,30747,19
exp,exp_name,miss hilbery,Miss Hilbery,31883,31895,19
exp,exp_name,the maid,the maid,32105,32113,38
booknlp,COREF,153,Denham,33529,33535,35
exp,exp_name,a small girl,a small girl,33661,33673,1
booknlp,COREF,527,her,33681,33684,1
pdnc,qID,Q67-0,Mother,33703,33709,31
pdnc,qID,Q67-0,you,33723,33726,35
pdnc,qID,Q67-0,Ralph,33740,33745,35
booknlp,COREF,153,my,33781,33783,35
exp,exp_name,ralph,Ralph,33806,33811,35
booknlp,COREF,527,she,33837,33840,1
booknlp,COREF,527,her,33876,33879,1
booknlp,COREF,153,Denham,33904,33910,35
booknlp,COREF,153,he,33967,33969,35
exp,exp_name,the parlor-maid,the parlor-maid,34062,34077,38
exp,exp_name,a voice,a voice,34175,34182,42
pdnc,qID,Q69-0,Ralph,34194,34199,35
exp,exp_name,ralph,Ralph,34206,34211,35
booknlp,COREF,153,his,34271,34274,35
booknlp,COREF,153,He,34282,34284,35
booknlp,COREF,153,His,34397,34400,35
booknlp,COREF,153,his,34445,34448,35
booknlp,COREF,153,he,34457,34459,35
booknlp,COREF,153,his,34493,34496,35
booknlp,COREF,153,he,34509,34511,35
booknlp,COREF,153,He,34549,34551,35
booknlp,COREF,153,his,34620,34623,35
booknlp,COREF,153,his,34658,34661,35
booknlp,COREF,153,he,34728,34730,35
booknlp,COREF,153,his,34798,34801,35
booknlp,COREF,153,his,35071,35074,35
booknlp,COREF,153,he,35097,35099,35
booknlp,COREF,153,his,35115,35118,35
booknlp,COREF,153,he,35283,35285,35
booknlp,COREF,153,him,35356,35359,35
booknlp,COREF,153,his,35363,35366,35
booknlp,COREF,153,him,35397,35400,35
booknlp,COREF,153,he,35411,35413,35
booknlp,COREF,153,he,35431,35433,35
booknlp,COREF,153,his,35453,35456,35
booknlp,COREF,153,his,35541,35544,35
booknlp,COREF,153,his,35581,35584,35
exp,exp_name,ralph,Ralph,35619,35624,35
booknlp,COREF,153,his,35632,35635,35
booknlp,COREF,153,his,35695,35698,35
booknlp,COREF,153,his,35795,35798,35
booknlp,COREF,153,his,35876,35879,35
exp,exp_name,mr. hilbery,Mr. Hilbery,35944,35955,28
booknlp,COREF,153,He,35977,35979,35
booknlp,COREF,153,he,36008,36010,35
booknlp,COREF,153,he,36059,36061,35
booknlp,COREF,153,him,36110,36113,35
booknlp,COREF,153,he,36229,36231,35
booknlp,COREF,153,his,36319,36322,35
booknlp,COREF,153,he,36442,36444,35
booknlp,COREF,153,his,36557,36560,35
