qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,you,1740,1743,[35],35
Q0-0,we,1750,1752,"[19, 32, 27, 28, 2]",-1
Q1-0,Mr. Denham,1792,1802,[35],35
Q1-0,mother,1804,1810,[32],32
Q2-0,you,3107,3110,[35],35
Q2-0,you,3117,3120,[35],35
Q2-0,Mr. Denham,3181,3191,[35],35
Q5-0,you,4006,4009,[19],19
Q7-0,you,4088,4091,[19],19
Q9-0,Katharine,5123,5132,[19],19
Q10-0,Mr. Fortescue,5862,5875,[27],27
Q13-0,my family,6497,6506,"[19, 32]",-1
Q14-0,Katharine,8916,8925,[19],19
Q15-0,mother,8962,8968,[32],32
Q16-0,Mr. Fortescue,9082,9095,[27],27
Q17-0,you,10614,10617,[35],35
Q17-0,Mr. Denham,10624,10634,[35],35
Q17-0,you,10636,10639,[35],35
Q17-0,his,10687,10690,[35],35
Q17-0,Katharine,10696,10705,[19],19
Q17-0,his,10710,10713,[35],35
Q17-0,he,10731,10733,[35],35
Q17-0,his,10742,10745,[35],35
Q17-0,Mr. Denham,10765,10775,[35],35
Q17-0,you,10781,10784,[35],35
Q17-0,Mrs. Hilbery,10875,10887,[32],32
Q18-0,Mr. Denham,11234,11244,[35],35
Q18-0,Katharine,11275,11284,[19],19
Q18-0,he,11295,11297,[35],35
Q19-0,you,11710,11713,[35],35
Q20-0,his,13202,13205,[3],3
Q20-0,He,13221,13223,[3],3
Q21-0,my grandfather,13550,13564,[3],3
Q21-1,you,13806,13809,[35],35
Q23-0,uncle ,14740,14746,[48],48
Q23-0,he,14762,14764,[48],48
Q23-0,Sir Richard Warburton,14769,14790,[48],48
Q23-0,you,14792,14795,[35],35
Q23-0,us,14977,14979,"[19, 32, 28]",-1
Q23-0,We,15045,15047,"[19, 32, 28]",-1
Q24-0,You,16729,16732,[19],19
Q24-0,your,16755,16759,[19],19
Q24-0,Miss Hilbery,16768,16780,[19],19
Q25-1,you,16836,16839,[35],35
Q26-0,your,16947,16951,"[19, 28, 32, 3]",-1
Q30-1,your grandfather,17342,17358,[3],3
Q30-1,You ,17365,17369,[19],19
Q30-1,you,17409,17412,[19],19
Q30-1,you,17518,17521,[19],19
Q30-1,you,17555,17558,[19],19
Q33-1,you,17775,17778,[35],35
Q35-0,you,18795,18798,[35],35
Q35-0,your,18808,18812,[35],35
Q38-0,You,19011,19014,[19],19
Q39-0,you,19081,19084,[35],35
Q40-0,we,19236,19238,"[19, 32, 28]",-1
Q40-0,We,19271,19273,"[19, 32, 28]",-1
Q42-0,we,19542,19544,"[19, 32, 28]",-1
Q44-0,we,19698,19700,"[19, 32, 28]",-1
Q46-0,You,19783,19786,[35],35
Q48-0,You,19888,19891,[35],35
Q48-0,you,19912,19915,[35],35
Q48-0,us,19968,19970,"[19, 32, 28]",-1
Q49-0,you,20082,20085,[19],19
Q52-0,us,20305,20307,"[19, 32, 28]",-1
Q53-0,You,20784,20787,[19],19
Q53-1,you,20878,20881,[19],19
Q53-1,You,20883,20886,[19],19
Q55-0,you,21203,21206,[19],19
Q55-0,your ,21213,21218,[19],19
Q55-1,you,21272,21275,[19],19
Q55-1,You,21303,21306,[19],19
Q55-1,your grandfather,21329,21345,[3],3
Q55-1,you,21354,21357,[19],19
Q56-0,You,21667,21670,[35],35
Q56-1,my mother,21728,21737,[32],32
Q57-0,you,21767,21770,[19],19
Q57-0,yourself,21783,21791,[19],19
Q58-0,you,21817,21820,[35],35
Q60-1,You,22313,22316,[35],35
Q62-1,you,24301,24304,[35],35
Q62-1,our ,24310,24314,"[19, 32, 28]",-1
Q62-1,Mr. Denham,24322,24332,[35],35
Q63-1,us,24570,24572,"[19, 32, 28]",-1
Q63-1,us,24597,24599,"[19, 32, 28]",-1
Q63-1,you,24605,24608,[35],35
Q63-1,Mr. Denham,24625,24635,[35],35
Q63-1,Mr. Fortescue,24692,24705,[27],27
Q63-1,He,24731,24733,[27],27
Q63-1,he,24880,24882,[27],27
Q63-1,you,24933,24936,[19],19
Q63-1,Katharine,24944,24953,[19],19
Q64-0,we,25099,25101,"[19, 32, 28]",-1
Q64-0,you,25134,25137,[35],35
Q64-1,Katharine,25347,25356,[19],19
Q64-1,her,25369,25372,[19],19
Q64-1,she,25387,25390,[19],19
Q64-1,you,25428,25431,[35],35
Q64-1,you,25497,25500,[35],35
Q64-1,your,25520,25524,[35],35
Q64-1,you,25535,25538,[35],35
Q65-1,Katharine,25878,25887,[19],19
Q65-1,Aunt Millicent,26027,26041,[30],30
Q65-1,she,26064,26067,[30],30
Q65-1,_my_ father,26117,26128,[3],3
Q66-0,She,29120,29123,[19],19
Q66-0,Katharine Hilbery,29139,29156,[19],19
Q66-0,Katharine Hilbery,29177,29194,[19],19
Q67-0,Mother,33703,33709,[31],31
Q67-0,you,33723,33726,[35],35
Q67-0,Ralph,33740,33745,[35],35
Q69-0,Ralph,34194,34199,[35],35
Q70-0,Ralph,39246,39251,[35],35
Q71-0,Joan,39283,39287,[17],17
Q72-0,your ,39319,39324,[35],35
Q74-0,Charles ,40221,40229,[44],44
Q74-0,Uncle John,40233,40243,[49],49
Q74-0,Mother ,40256,40263,[31],31
Q74-0,She,40285,40288,[31],31
Q74-0,she,40294,40297,[31],31
Q74-0,him,40322,40325,[44],44
Q74-0,She,40343,40346,[31],31
Q74-0,she ,40352,40356,[31],31
Q76-0,she,40463,40466,[31],31
Q78-0,She,40779,40782,[31],31
Q79-0,she,40894,40897,[31],31
Q79-0,Charles ,40908,40916,[44],44
Q80-0,He,40956,40958,[44],44
Q80-0,he,40980,40982,[44],44
Q81-0,he,41228,41230,[44],44
Q81-0,his,41292,41295,[44],44
Q81-0,he,41305,41307,[44],44
Q81-0,He,41334,41336,[44],44
Q81-0,him,41359,41362,[44],44
Q82-0,she,41573,41576,[17],17
Q84-0,him,41788,41791,[44],44
Q85-1,Uncle John,42372,42382,[49],49
Q86-1,we,42577,42579,"[35, 17, 1]",-1
Q90-0,mother ,43313,43320,[31],31
Q91-0,You,43340,43343,[35],35
Q91-0,her,43364,43367,[31],31
Q92-0,She,43390,43393,[31],31
Q92-0,she,43441,43444,[31],31
Q92-0,we,43452,43454,[17],17
Q93-0,you,44412,44415,[35],35
Q93-0,your,44437,44441,[35],35
Q93-0,Charles,44460,44467,[44],44
Q93-1,him,44501,44504,[44],44
Q93-1,he,44506,44508,[44],44
Q93-1,you,44570,44573,[35],35
Q94-0,Joan,44600,44604,[17],17
Q94-1,you,44684,44687,[17],17
Q94-1,we,44697,44699,"[35, 17, 1]",-1
Q94-1,We,44845,44847,"[35, 17, 1]",-1
Q94-1,we,44868,44870,"[35, 17, 1]",-1
Q94-1,We,44899,44901,"[35, 17, 1]",-1
Q94-1,we,44965,44967,"[35, 17, 1]",-1
Q95-0,you,45161,45164,[35],35
Q95-0,Ralph,45172,45177,[35],35
Q96-0,you,45190,45193,[17],17
Q99-0,you,47326,47329,[35],35
Q99-1,you,47372,47375,[35],35
Q99-1,Charles ,47432,47440,[44],44
Q99-1,Uncle John,47454,47464,[49],49
Q99-1,he,47468,47470,[44],44
Q100-1,He,47577,47579,[44],44
Q101-0,You,47659,47662,[35],35
Q101-0,you,47668,47671,[35],35
Q101-1,their,47745,47750,[19],19
Q102-0,you,47934,47937,[17],17
Q102-0,yourself,47964,47972,[17],17
Q102-0,You,47974,47977,[17],17
Q104-0,You,48111,48114,[17],17
Q105-0,you,48197,48200,[35],35
Q105-0,you,48237,48240,[35],35
Q107-0,You,48399,48402,[35],35
Q107-0,you,48426,48429,[35],35
Q110-0,you,49020,49023,[17],17
Q111-0,you,49102,49105,[35],35
Q113-0,Ralph,49187,49192,[35],35
Q113-1,You,49230,49233,[35],35
Q113-1,your sister,49240,49251,[17],17
Q114-1,you,49384,49387,[17],17
Q114-1,Joan,49407,49411,[17],17
Q114-1,you,49418,49421,[17],17
Q114-1,you,49451,49454,[17],17
Q114-1,us,49484,49486,"[35, 17, 1]",-1
Q114-1,you,49513,49516,[17],17
Q115-0,Katharine,63518,63527,[19],19
Q115-0,you,63564,63567,[19],19
Q115-0,we,63720,63722,"[19, 32]",-1
Q115-0,you,63894,63897,[19],19
Q116-0,Katharine,73217,73226,[19],19
Q117-0,we,76441,76443,"[35, 21]",-1
Q120-0,you,78648,78651,[21],21
Q121-0,William Rodney,78765,78779,[40],40
Q122-0,you,79023,79026,[21],21
Q122-0,her,79066,79069,[21],21
Q123-1,you,79231,79234,[35],35
Q123-1,you,79257,79260,[35],35
Q123-1,you,79323,79326,[35],35
Q123-1,you,79343,79346,[35],35
Q123-1,You,79382,79385,[35],35
Q124-0,your,79433,79437,[21],21
Q124-0,you,79448,79451,[21],21
Q126-1,You,79640,79643,[21],21
Q126-1,you,79662,79665,[21],21
Q129-0,You,80179,80182,[35],35
Q129-1,you,80221,80224,[35],35
Q129-1,you,80257,80260,[35],35
Q133-0,Katharine Hilbery,80781,80798,[19],19
Q133-0,William Rodney,80825,80839,[40],40
Q134-0,Katharine Hilbery,80852,80869,[19],19
Q135-0,You,80891,80894,[35],35
Q135-0,her,80900,80903,[19],19
Q136-0,her,80965,80968,[19],19
Q137-0,you,81227,81230,[35],35
Q137-0,her,81248,81251,[19],19
Q137-1,her,81280,81283,[19],19
Q137-1,she,81303,81306,[19],19
Q138-0,her,81383,81386,[19],19
Q138-0,she,81405,81408,[19],19
Q139-0,she,81452,81455,[19],19
Q139-0,Rodney,81493,81499,[40],40
Q140-0,Rodney,81510,81516,[40],40
Q140-0,she,81523,81526,[19],19
Q140-0,her,81563,81566,[19],19
Q144-0,Katharine,85981,85990,[19],19
Q144-0,you,86046,86049,[19],19
Q145-0,You,86097,86100,[40],40
Q148-0,you,86758,86761,[19],19
Q150-0,s,89039,89040,"[21, 35]",-1
Q150-0,him,89053,89056,[40],40
Q150-0,we,89066,89068,"[21, 35]",-1
Q152-0,you,89577,89580,[21],21
Q153-0,He,89709,89711,[40],40
Q153-0,he,89717,89719,[40],40
Q153-0,we,89738,89740,"[19, 35, 21]",-1
Q153-0,him,89750,89753,[40],40
Q153-1,He,89771,89773,[40],40
Q154-0,her,89831,89834,[19],19
Q154-0,she,89851,89854,[19],19
Q155-0,you,89910,89913,[40],40
Q155-0,Mr. Rodney,89915,89925,[40],40
