COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
80,433,433,PROP,PER,Sally,2133,2138,17
82,526,527,PROP,PER,Mrs. Morland,2543,2555,15
82,534,534,PRON,PER,her,2579,2582,15
82,904,905,PROP,PER,Mrs. Morland,4432,4444,15
82,916,916,PRON,PER,her,4486,4489,15
82,925,925,PRON,PER,her,4532,4535,15
82,942,942,PRON,PER,her,4609,4612,15
89,1516,1517,PROP,PER,Mr. Allen,7501,7510,10
89,1550,1550,PRON,PER,his,7680,7683,10
82,1596,1597,PROP,PER,Mrs. Morland,7886,7898,15
82,1751,1752,PROP,PER,Mrs. Morland,8712,8724,15
82,1769,1769,PRON,PER,her,8816,8819,15
82,1778,1778,PRON,PER,her,8881,8884,15
82,1785,1785,PRON,PER,her,8915,8918,15
82,1813,1813,PRON,PER,her,9057,9060,15
82,1821,1821,PRON,PER,her,9102,9105,15
82,1858,1858,PRON,PER,her,9288,9291,15
82,1868,1869,PROP,PER,Mrs. Morland,9327,9339,15
82,1879,1879,PRON,PER,she,9383,9386,15
82,1895,1895,PRON,PER,her,9484,9487,15
82,1901,1901,PRON,PER,Her,9522,9525,15
82,1911,1911,PRON,PER,I,9575,9576,15
82,1938,1938,PRON,PER,I,9697,9698,15
82,1953,1953,PRON,PER,I,9763,9764,15
80,1964,1964,PROP,PER,Sally,9810,9815,17
80,1968,1968,PROP,PER,Sarah,9827,9832,17
80,2008,2008,PRON,PER,her,10025,10028,17
82,2018,2018,PRON,PER,she,10069,10072,15
82,2031,2031,PRON,PER,her,10140,10143,15
80,2108,2108,PRON,PER,her,10593,10596,17
91,2209,2210,PROP,PER,Mrs. Allen,11118,11128,13
91,2218,2218,PRON,PER,her,11157,11160,13
91,2221,2221,PRON,PER,her,11174,11177,13
91,2308,2309,PROP,PER,Mrs. Allen,11629,11639,13
91,2322,2322,PRON,PER,her,11693,11696,13
91,2338,2338,PRON,PER,she,11778,11781,13
91,2362,2362,PRON,PER,her,11913,11916,13
91,2372,2372,PRON,PER,her,11976,11979,13
91,2376,2376,PRON,PER,her,11997,12000,13
91,2381,2381,PRON,PER,her,12023,12026,13
91,2386,2387,PROP,PER,Mrs. Allen,12042,12052,13
91,2424,2424,PRON,PER,She,12234,12237,13
91,2464,2464,PRON,PER,her,12425,12428,13
89,2475,2476,PROP,PER,Mr. Allen,12482,12491,10
91,2481,2481,PRON,PER,she,12508,12511,13
91,2502,2502,PRON,PER,herself,12628,12635,13
91,2512,2512,PRON,PER,her,12674,12677,13
91,2515,2515,PRON,PER,She,12687,12690,13
91,2553,2553,PRON,PER,her,12873,12876,13
91,2614,2615,PROP,PER,Mrs. Allen,13179,13189,13
91,2617,2617,PRON,PER,her,13194,13197,13
91,2664,2665,PROP,PER,Mrs. Allen,13426,13436,13
89,2704,2705,PROP,PER,Mr. Allen,13609,13618,10
