COREF,matches,pdncID
1,[],-1
76,[],-1
186,[],-1
77,"[0, 6, 0]",-1
187,[],-1
188,[],-1
189,[],-1
191,[],-1
192,[],-1
78,"[2, 4, 2]",-1
193,[],-1
194,[],-1
195,[],-1
196,[],-1
197,[],-1
198,[],-1
199,[],-1
200,[],-1
201,[],-1
79,[],-1
202,[],-1
204,[],-1
80,[17],17
81,[],-1
2118,[],-1
205,[],-1
2,[],-1
82,[15],15
207,[],-1
208,[],-1
210,[],-1
213,[],-1
215,[],-1
216,[],-1
219,[],-1
220,[],-1
221,[],-1
223,[],-1
224,[],-1
225,[],-1
226,[],-1
227,[],-1
83,[],-1
2119,[],-1
84,[],-1
85,[],-1
2120,[],-1
86,[],-1
87,[],-1
2121,[],-1
2122,[],-1
228,[],-1
88,[],-1
229,[],-1
230,[],-1
231,[],-1
232,[],-1
233,[],-1
234,[],-1
235,[],-1
236,[],-1
237,[],-1
238,[],-1
239,[],-1
241,[],-1
242,[],-1
243,[],-1
244,[],-1
245,[],-1
247,[],-1
248,[],-1
89,[10],10
249,[],-1
250,[],-1
3,[],-1
251,[],-1
4,[],-1
5,[],-1
252,[],-1
253,[],-1
254,[],-1
90,"[0, 6]",-1
256,[],-1
257,[],-1
258,[],-1
259,[],-1
260,[],-1
261,[],-1
262,[],-1
263,[],-1
264,[],-1
265,[],-1
266,[],-1
267,[],-1
268,[],-1
269,[],-1
270,[],-1
272,[],-1
2123,[],-1
273,[],-1
274,[],-1
275,[],-1
276,[],-1
278,[],-1
280,[],-1
281,[],-1
282,[],-1
283,[],-1
284,[],-1
285,[],-1
91,[13],13
286,[],-1
287,[],-1
288,[],-1
289,[],-1
290,[],-1
291,[],-1
7,[],-1
293,[],-1
294,[],-1
296,[],-1
297,[],-1
298,[],-1
300,[],-1
301,[],-1
302,[],-1
303,[],-1
304,[],-1
305,[],-1
306,[],-1
307,[],-1
308,[],-1
309,[],-1
310,[],-1
311,[],-1
312,[],-1
313,[],-1
314,[],-1
318,[],-1
319,[],-1
320,[],-1
321,[],-1
322,[],-1
2124,[],-1
2125,[],-1
324,[],-1
325,[],-1
326,[],-1
327,[],-1
328,[],-1
329,[],-1
330,[],-1
331,[],-1
332,[],-1
333,[],-1
334,[],-1
335,[],-1
336,[],-1
338,[],-1
2126,[],-1
2127,[],-1
2128,[],-1
2130,[],-1
2131,[],-1
2132,[],-1
2135,[],-1
2136,[],-1
2139,[],-1
2140,[],-1
2144,[],-1
339,[],-1
340,[],-1
341,[],-1
342,[],-1
344,[],-1
345,[],-1
92,[],-1
93,[],-1
94,[],-1
346,[],-1
347,[],-1
348,[],-1
350,[],-1
352,[],-1
355,[],-1
356,[],-1
357,[],-1
358,[],-1
360,[],-1
361,[],-1
362,[],-1
363,[],-1
364,[],-1
366,[],-1
367,[],-1
369,[],-1
370,[],-1
371,[],-1
372,[],-1
373,[],-1
374,[],-1
95,"[1, 4]",-1
376,[],-1
2147,[],-1
2148,[],-1
2151,[],-1
2152,[],-1
2153,[],-1
377,[],-1
2155,[],-1
2159,[],-1
2168,[],-1
378,[],-1
2170,[],-1
2171,[],-1
96,[],-1
2172,[],-1
2174,[],-1
2175,[],-1
2176,[],-1
2177,[],-1
2179,[],-1
97,[],-1
2182,[],-1
2183,[],-1
2184,[],-1
2185,[],-1
2187,[],-1
379,[],-1
98,"[4, 4, 4, 4]",4
2191,[],-1
2192,[],-1
2193,[],-1
2195,[],-1
2204,[],-1
2206,[],-1
2208,[],-1
8,[],-1
380,[],-1
2210,[],-1
381,[],-1
2211,[],-1
383,[],-1
384,[],-1
0,[],-1
385,[],-1
386,[],-1
387,[],-1
389,[],-1
391,[],-1
392,[],-1
393,[],-1
395,[],-1
9,[],-1
99,[],-1
100,[],-1
399,[],-1
400,[],-1
401,[],-1
2213,[],-1
402,[],-1
404,[],-1
405,[],-1
101,"[7, 5]",-1
406,[],-1
407,[],-1
409,[],-1
410,[],-1
411,[],-1
412,[],-1
413,[],-1
102,"[16, 7]",-1
414,[],-1
415,[],-1
417,[],-1
103,"[7, 7, 7]",7
10,[],-1
104,[],-1
11,[],-1
105,[],-1
419,[],-1
420,[],-1
2215,[],-1
422,[],-1
2217,[],-1
106,"[5, 7, 5, 5]",-1
2218,[],-1
2219,[],-1
2220,[],-1
107,[],-1
423,[],-1
2221,[],-1
425,[],-1
2222,[],-1
108,"[11, 6, 6, 6]",-1
427,[],-1
428,[],-1
429,[],-1
430,[],-1
12,[],-1
431,[],-1
432,[],-1
433,[],-1
435,[],-1
13,[],-1
436,[],-1
437,[],-1
438,[],-1
439,[],-1
441,[],-1
442,[],-1
445,[],-1
446,[],-1
447,[],-1
448,[],-1
449,[],-1
450,[],-1
451,[],-1
452,[],-1
453,[],-1
454,[],-1
455,[],-1
456,[],-1
457,[],-1
458,[],-1
460,[],-1
462,[],-1
109,[],-1
466,[],-1
14,[],-1
469,[],-1
470,[],-1
471,[],-1
472,[],-1
473,[],-1
475,[],-1
477,[],-1
478,[],-1
479,[],-1
482,[],-1
483,[],-1
484,[],-1
485,[],-1
486,[],-1
2223,[],-1
487,[],-1
488,[],-1
490,[],-1
493,[],-1
494,[],-1
495,[],-1
496,[],-1
497,[],-1
498,[],-1
499,[],-1
500,[],-1
501,[],-1
503,[],-1
504,[],-1
505,[],-1
506,[],-1
507,[],-1
508,[],-1
2224,[],-1
2225,[],-1
110,[],-1
111,[],-1
112,[],-1
510,[],-1
511,[],-1
512,[],-1
513,[],-1
514,[],-1
516,[],-1
2226,[],-1
2230,[],-1
15,[],-1
113,[],-1
114,[],-1
2234,[],-1
2235,[],-1
2236,[],-1
2237,[],-1
16,[],-1
17,[],-1
18,[],-1
19,[],-1
20,[],-1
21,[],-1
22,[],-1
2238,[],-1
2239,[],-1
115,[],-1
2240,[],-1
2242,[],-1
2243,[],-1
2244,[],-1
2245,[],-1
116,[],-1
2247,[],-1
2248,[],-1
2251,[],-1
2254,[],-1
2255,[],-1
2257,[],-1
2258,[],-1
2259,[],-1
117,[],-1
2263,[],-1
2266,[],-1
2268,[],-1
2269,[],-1
2270,[],-1
519,[],-1
2272,[],-1
2273,[],-1
521,[],-1
522,[],-1
2275,[],-1
2276,[],-1
2277,[],-1
2278,[],-1
525,[],-1
526,[],-1
528,[],-1
23,[],-1
529,[],-1
24,[],-1
530,[],-1
531,[],-1
532,[],-1
534,[],-1
535,[],-1
536,[],-1
537,[],-1
538,[],-1
539,[],-1
540,[],-1
541,[],-1
542,[],-1
543,[],-1
2281,[],-1
2282,[],-1
544,[],-1
545,[],-1
551,[],-1
552,[],-1
553,[],-1
2283,[],-1
25,[],-1
556,[],-1
557,[],-1
2284,[],-1
2285,[],-1
2286,[],-1
559,[],-1
2287,[],-1
26,[],-1
2288,[],-1
2289,[],-1
2290,[],-1
2291,[],-1
2292,[],-1
27,[],-1
118,[],-1
2293,[],-1
119,[],-1
2295,[],-1
560,[],-1
120,[],-1
28,[],-1
562,[],-1
563,[],-1
564,[],-1
565,[],-1
566,[],-1
2298,[],-1
121,[],-1
29,[],-1
2299,[],-1
30,[],-1
2300,[],-1
31,[],-1
2303,[],-1
567,[],-1
2304,[],-1
568,[],-1
569,[],-1
570,[],-1
571,[],-1
122,"[12, 7]",-1
2305,[],-1
123,[],-1
124,[],-1
125,[],-1
2306,[],-1
2307,[],-1
2308,[],-1
2309,[],-1
2310,[],-1
2312,[],-1
572,[],-1
573,[],-1
574,[],-1
575,[],-1
576,[],-1
126,[],-1
577,[],-1
2313,[],-1
579,[],-1
580,[],-1
581,[],-1
582,[],-1
583,[],-1
588,[],-1
2314,[],-1
2315,[],-1
2316,[],-1
2318,[],-1
2319,[],-1
589,[],-1
2321,[],-1
2323,[],-1
2324,[],-1
2325,[],-1
2326,[],-1
590,[],-1
592,[],-1
593,[],-1
594,[],-1
596,[],-1
598,[],-1
599,[],-1
600,[],-1
601,[],-1
602,[],-1
605,[],-1
2328,[],-1
2329,[],-1
612,[],-1
2330,[],-1
2331,[],-1
2332,[],-1
616,[],-1
617,[],-1
620,[],-1
621,[],-1
622,[],-1
624,[],-1
625,[],-1
626,[],-1
629,[],-1
630,[],-1
631,[],-1
632,[],-1
633,[],-1
2335,[],-1
2336,[],-1
2337,[],-1
2339,[],-1
2344,[],-1
2345,[],-1
127,[],-1
634,[],-1
128,[14],14
635,[],-1
637,[],-1
638,[],-1
640,[],-1
641,[],-1
2348,[],-1
648,[],-1
649,[],-1
650,[],-1
651,[],-1
652,[],-1
2352,[],-1
2354,[],-1
2355,[],-1
2356,[],-1
130,[],-1
2357,[],-1
2358,[],-1
2360,[],-1
654,[],-1
655,[],-1
2366,[],-1
2368,[],-1
656,[],-1
2373,[],-1
657,[],-1
2376,[],-1
2379,[],-1
658,[],-1
2382,[],-1
2383,[],-1
2386,[],-1
2388,[],-1
2390,[],-1
2391,[],-1
660,[],-1
661,[],-1
662,[],-1
663,[],-1
664,[],-1
671,[],-1
672,[],-1
674,[],-1
2392,[],-1
2393,[],-1
2394,[],-1
33,[],-1
2397,[],-1
679,[],-1
681,[],-1
2401,[],-1
684,[],-1
685,[],-1
686,[],-1
687,[],-1
688,[],-1
689,[],-1
131,[],-1
2402,[],-1
2403,[],-1
2404,[],-1
2405,[],-1
2406,[],-1
2407,[],-1
2408,[],-1
2409,[],-1
2410,[],-1
2415,[],-1
2416,[],-1
2419,[],-1
2420,[],-1
692,[],-1
693,[],-1
2421,[],-1
132,[],-1
2422,[],-1
2424,[],-1
34,[],-1
694,[],-1
695,[],-1
700,[],-1
702,[],-1
703,[],-1
704,[],-1
705,[],-1
706,[],-1
709,[],-1
717,[],-1
718,[],-1
2429,[],-1
2431,[],-1
2432,[],-1
2433,[],-1
2434,[],-1
2436,[],-1
2438,[],-1
133,[],-1
134,[],-1
2439,[],-1
2441,[],-1
2442,[],-1
135,[],-1
2444,[],-1
2446,[],-1
2447,[],-1
2449,[],-1
720,[],-1
721,[],-1
725,[],-1
2450,[],-1
726,[],-1
2453,[],-1
2454,[],-1
2460,[],-1
2463,[],-1
728,[],-1
729,[],-1
731,[],-1
734,[],-1
735,[],-1
744,[],-1
2469,[],-1
2470,[],-1
136,[],-1
2471,[],-1
2473,[],-1
747,[],-1
749,[],-1
750,[],-1
751,[],-1
752,[],-1
754,[],-1
756,[],-1
757,[],-1
758,[],-1
761,[],-1
762,[],-1
764,[],-1
765,[],-1
766,[],-1
137,[],-1
2476,[],-1
769,[],-1
138,[],-1
2479,[],-1
2480,[],-1
2482,[],-1
2483,[],-1
771,[],-1
139,[],-1
2485,[],-1
140,[],-1
2488,[],-1
2490,[],-1
2491,[],-1
2492,[],-1
35,[],-1
772,[],-1
773,[],-1
2496,[],-1
2499,[],-1
2500,[],-1
2502,[],-1
2503,[],-1
2504,[],-1
2505,[],-1
2506,[],-1
2513,[],-1
2515,[],-1
2516,[],-1
2517,[],-1
2519,[],-1
2522,[],-1
2523,[],-1
2524,[],-1
2526,[],-1
2532,[],-1
2534,[],-1
2536,[],-1
2537,[],-1
2539,[],-1
2542,[],-1
2548,[],-1
777,[],-1
141,[],-1
142,[],-1
2551,[],-1
2552,[],-1
2553,[],-1
2554,[],-1
2555,[],-1
2556,[],-1
2557,[],-1
2559,[],-1
2560,[],-1
775,[],-1
776,[],-1
779,[],-1
143,[3],3
782,[],-1
783,[],-1
2563,[],-1
785,[],-1
787,[],-1
789,[],-1
2567,[],-1
2569,[],-1
2573,[],-1
2574,[],-1
37,[],-1
2575,[],-1
38,[],-1
144,[],-1
792,[],-1
793,[],-1
796,[],-1
797,[],-1
798,[],-1
39,[],-1
2577,[],-1
40,[],-1
41,[],-1
2581,[],-1
42,[],-1
2583,[],-1
2584,[],-1
2585,[],-1
2586,[],-1
2588,[],-1
2589,[],-1
2591,[],-1
2592,[],-1
43,[],-1
2593,[],-1
2594,[],-1
44,[],-1
2595,[],-1
2596,[],-1
2598,[],-1
2599,[],-1
2600,[],-1
2601,[],-1
2602,[],-1
45,[],-1
800,[],-1
802,[],-1
46,[],-1
803,[],-1
47,[],-1
2605,[],-1
2606,[],-1
807,[],-1
808,[],-1
809,[],-1
2607,[],-1
810,[],-1
811,[],-1
812,[],-1
813,[],-1
814,[],-1
817,[],-1
819,[],-1
821,[],-1
823,[],-1
826,[],-1
2613,[],-1
2615,[],-1
2616,[],-1
2619,[],-1
2620,[],-1
828,[],-1
2624,[],-1
830,[],-1
832,[],-1
834,[],-1
836,[],-1
837,[],-1
838,[],-1
849,[],-1
851,[],-1
856,[],-1
859,[],-1
860,[],-1
861,[],-1
862,[],-1
865,[],-1
866,[],-1
869,[],-1
2628,[],-1
49,[],-1
145,"[1, 1]",1
2633,[],-1
873,[],-1
874,[],-1
876,[],-1
2636,[],-1
883,[],-1
2637,[],-1
2638,[],-1
2639,[],-1
2640,[],-1
2641,[],-1
50,[],-1
2642,[],-1
2643,[],-1
2644,[],-1
2645,[],-1
2646,[],-1
2647,[],-1
2650,[],-1
885,[],-1
2651,[],-1
886,[],-1
889,[],-1
891,[],-1
892,[],-1
2652,[],-1
2654,[],-1
2655,[],-1
896,[],-1
2657,[],-1
2659,[],-1
2660,[],-1
2662,[],-1
898,[],-1
899,[],-1
900,[],-1
901,[],-1
2663,[],-1
902,[],-1
146,[],-1
2665,[],-1
51,[],-1
904,[],-1
907,[],-1
908,[],-1
909,[],-1
910,[],-1
914,[],-1
2666,[],-1
920,[],-1
921,[],-1
923,[],-1
925,[],-1
927,[],-1
931,[],-1
934,[],-1
937,[],-1
2670,[],-1
2671,[],-1
2672,[],-1
2678,[],-1
2682,[],-1
2683,[],-1
2687,[],-1
940,[],-1
941,[],-1
942,[],-1
943,[],-1
52,[],-1
946,[],-1
947,[],-1
948,[],-1
949,[],-1
2690,[],-1
147,[],-1
2692,[],-1
2693,[],-1
2694,[],-1
2696,[],-1
2697,[1],1
148,[],-1
149,[],-1
2701,[],-1
2702,[],-1
53,[],-1
2703,[],-1
54,[],-1
2704,[],-1
2708,[],-1
150,[],-1
151,[],-1
2709,[],-1
2711,[],-1
2714,[],-1
2715,[],-1
2716,[],-1
152,[],-1
153,[],-1
154,[],-1
155,[],-1
156,[],-1
2718,[],-1
2719,[],-1
2720,[],-1
2721,[],-1
2724,[],-1
2725,[],-1
2729,[],-1
2730,[],-1
2731,[],-1
2732,[],-1
2733,[],-1
2734,[],-1
2735,[],-1
951,[],-1
953,[],-1
954,[],-1
955,[],-1
957,[],-1
958,[],-1
959,[],-1
960,[],-1
961,[],-1
963,[],-1
965,[],-1
966,[],-1
968,[],-1
969,[],-1
970,[],-1
971,[],-1
972,[],-1
973,[],-1
974,[],-1
975,[],-1
976,[],-1
977,[],-1
2738,[],-1
2739,[],-1
2742,[],-1
2746,[],-1
2749,[],-1
2750,[],-1
2751,[],-1
55,[],-1
2752,[],-1
2753,[],-1
2754,[],-1
2755,[],-1
2756,[],-1
56,[],-1
2758,[],-1
2759,[],-1
2760,[],-1
2762,[],-1
2763,[],-1
2766,[],-1
2767,[],-1
2769,[],-1
2771,[],-1
2774,[],-1
2775,[],-1
981,[],-1
57,[],-1
983,[],-1
984,[],-1
986,[],-1
157,"[9, 9]",9
158,[8],8
2778,[],-1
159,[],-1
2779,[],-1
988,[],-1
160,[],-1
992,[],-1
993,[],-1
999,[],-1
1001,[],-1
2782,[],-1
2783,[],-1
2786,[],-1
2788,[],-1
2790,[],-1
1007,[],-1
1011,[],-1
1012,[],-1
2792,[],-1
2793,[],-1
2794,[],-1
2795,[],-1
2797,[],-1
2798,[],-1
2801,[],-1
1017,[],-1
1018,[],-1
2802,[],-1
2803,[],-1
1019,[],-1
2806,[],-1
2807,[],-1
2808,[],-1
2809,[],-1
2811,[],-1
2813,[],-1
2814,[],-1
2815,[],-1
58,[],-1
2816,[],-1
1022,[],-1
1021,[],-1
1026,[],-1
1027,[],-1
1028,[],-1
2818,[],-1
1030,[],-1
1033,[],-1
1034,[],-1
1035,[],-1
2819,[],-1
1036,[],-1
1037,[],-1
1038,[],-1
1040,[],-1
1041,[],-1
1042,[],-1
1043,[],-1
59,[],-1
1045,[],-1
60,[],-1
2820,[],-1
1047,[],-1
2822,[],-1
2824,[],-1
2825,[],-1
2826,[],-1
2829,[],-1
2830,[],-1
2831,[],-1
2832,[],-1
2833,[],-1
2834,[],-1
2835,[],-1
1048,[],-1
2836,[],-1
1049,[],-1
1051,[],-1
1052,[],-1
1054,[],-1
1059,[],-1
1062,[],-1
1063,[],-1
1064,[],-1
1065,[],-1
1066,[],-1
1067,[],-1
2838,[],-1
2839,[],-1
2840,[],-1
2846,[],-1
2847,[],-1
162,[],-1
1071,[],-1
1072,[],-1
1073,[],-1
1075,[],-1
1076,[],-1
1077,[],-1
1079,[],-1
1080,[0],0
1081,[],-1
2853,[],-1
2854,[],-1
2856,[],-1
1089,[],-1
2862,[],-1
1091,[],-1
2866,[],-1
2867,[],-1
2870,[],-1
2872,[],-1
2873,[],-1
2876,[],-1
1095,[],-1
1097,[],-1
1098,[],-1
2878,[],-1
2884,[],-1
2885,[],-1
2886,[],-1
2887,[],-1
2888,[],-1
2890,[],-1
2895,[],-1
2898,[],-1
1102,[],-1
1103,[],-1
2901,[],-1
1106,[],-1
1107,[],-1
2904,[],-1
2906,[],-1
2907,[],-1
2908,[],-1
2910,[],-1
61,[],-1
2911,[],-1
2912,[],-1
2915,[],-1
