qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,Catherine,9582,9591,[0],0
Q0-0,you,9593,9596,[0],0
Q0-0,you,9659,9662,[0],0
Q0-0,you,9704,9707,[0],0
Q0-0,you,9752,9755,[0],0
Q0-0,you,9775,9778,[0],0
Q1-0,you,15249,15252,[0],0
Q1-0,my dear,15266,15273,[0],0
Q1-0,you,15281,15284,[0],0
Q2-1,you,16765,16768,[0],0
Q4-0,my dear,16869,16876,[0],0
Q5-0,we,16970,16972,"[13, 0]",-1
Q5-0,we,17045,17047,"[13, 0]",-1
Q5-0,we,17058,17060,"[13, 0]",-1
Q6-0,we,17113,17115,"[13, 0]",-1
Q6-0,we,17154,17156,"[13, 0]",-1
Q7-0,we,17198,17200,"[13, 0]",-1
Q8-0,my dear,17257,17264,[0],0
Q8-0,we,17273,17275,"[13, 0]",-1
Q8-0,we,17289,17291,[0],0
Q9-0,we,17389,17391,"[13, 0]",-1
Q9-0,us,17444,17446,"[13, 0]",-1
Q9-0,you,17448,17451,[13],13
Q10-0,we,17519,17521,"[13, 0]",-1
Q10-0,my dear,17601,17608,[0],0
Q11-0,dear Mrs. Allen,17705,17720,[13],13
Q11-0,you,17726,17729,[13],13
Q11-0,you,17751,17754,[13],13
Q11-0,you,17801,17804,[13],13
Q12-0,you,17946,17949,[0],0
Q12-0,you,17989,17992,[0],0
Q13-0,Miss Morland,18448,18460,[0],0
Q13-1,you,18490,18493,[0],0
Q15-0,she,18613,18616,[0],0
Q15-1,we,18665,18667,"[13, 10]",-1
Q15-1,her,18697,18700,[0],0
Q15-1,she,18848,18851,[0],0
Q15-1,she,18903,18906,[0],0
Q16-0,We,18933,18935,[13],13
Q17-0,madam,21645,21650,[0],0
Q17-0,you,21717,21720,[0],0
Q17-0,you,21730,21733,[0],0
Q17-0,you,21761,21764,[0],0
Q17-0,you,21796,21799,[0],0
Q17-0,you,21868,21871,[0],0
Q17-0,you,21934,21937,[0],0
Q17-0,you,21992,21995,[0],0
Q18-0,You,22026,22029,[4],4
Q18-0,sir,22067,22070,[4],4
