COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
1,14,15,PROP,FAC,Kellynch Hall,75,88,10
1,141,142,PROP,FAC,KELLYNCH HALL,765,778,10
91,162,162,PROP,PER,Elizabeth,842,851,8
91,192,192,PROP,PER,Elizabeth,974,983,8
94,219,219,PROP,PER,Mary,1067,1071,16
94,266,266,PROP,PER,Mary,1295,1299,16
1,406,407,PROP,FAC,Kellynch Hall,2009,2022,10
99,429,431,PROP,PER,William Walter Elliot,2125,2146,30
6,775,775,PROP,GPE,Kellynch,3850,3858,10
91,995,995,PROP,PER,Elizabeth,4983,4992,8
91,1009,1009,PRON,PER,her,5049,5052,8
91,1026,1026,PRON,PER,her,5134,5137,8
94,1052,1052,PROP,PER,Mary,5269,5273,16
101,1120,1121,PROP,PER,Lady Russell,5615,5627,12
101,1125,1125,PRON,PER,she,5637,5640,12
101,1142,1143,PROP,PER,Lady Russell,5713,5725,12
101,1155,1155,PRON,PER,she,5771,5774,12
91,1272,1272,PROP,PER,Elizabeth,6311,6320,8
94,1275,1275,PROP,PER,Mary,6326,6330,16
94,1279,1279,PRON,PER,herself,6352,6359,16
91,1302,1302,PROP,PER,Elizabeth,6482,6491,8
91,1365,1365,PROP,PER,Elizabeth,6776,6785,8
91,1413,1413,PROP,PER,Elizabeth,7002,7011,8
94,1451,1451,PROP,PER,Mary,7193,7197,16
101,1471,1472,PROP,PER,Lady Russell,7296,7308,12
91,1483,1483,PROP,PER,Elizabeth,7353,7362,8
91,1488,1488,PRON,PER,her,7383,7386,8
91,1498,1498,PRON,PER,her,7443,7446,8
1,1501,1502,PROP,FAC,Kellynch Hall,7459,7472,10
91,1522,1522,PRON,PER,her,7575,7578,8
91,1526,1526,PRON,PER,she,7598,7601,8
91,1533,1533,PRON,PER,she,7631,7634,8
101,1562,1563,PROP,PER,Lady Russell,7775,7787,12
91,1586,1586,PRON,PER,her,7895,7898,8
91,1606,1606,PRON,PER,she,8013,8016,8
91,1612,1612,PRON,PER,her,8045,8048,8
91,1627,1627,PRON,PER,She,8112,8115,8
91,1635,1635,PRON,PER,she,8149,8152,8
91,1648,1648,PRON,PER,her,8208,8211,8
91,1655,1655,PRON,PER,she,8249,8252,8
91,1669,1669,PRON,PER,she,8319,8322,8
91,1671,1671,PRON,PER,her,8328,8331,8
91,1703,1703,PRON,PER,she,8496,8499,8
91,1717,1717,PRON,PER,her,8561,8564,8
91,1723,1723,PRON,PER,she,8586,8589,8
91,1736,1736,PRON,PER,her,8645,8648,8
91,1763,1763,PRON,PER,her,8765,8768,8
91,1773,1773,PRON,PER,her,8811,8814,8
91,1776,1776,PRON,PER,she,8820,8823,8
91,1789,1789,PRON,PER,She,8875,8878,8
91,1806,1806,PRON,PER,her,8962,8965,8
91,1838,1838,PRON,PER,her,9125,9128,8
91,1843,1843,PRON,PER,her,9154,9157,8
91,1845,1845,PRON,PER,She,9160,9163,8
91,1857,1857,PRON,PER,she,9205,9208,8
91,1868,1868,PRON,PER,her,9246,9249,8
91,1883,1883,PRON,PER,her,9313,9316,8
91,1889,1889,PRON,PER,she,9346,9349,8
91,1960,1960,PROP,PER,Elizabeth,9677,9686,8
91,1963,1963,PRON,PER,her,9694,9697,8
102,1967,1968,PROP,PER,Mr Elliot,9711,9720,30
102,1976,1976,PRON,PER,He,9761,9763,30
91,1996,1996,PROP,PER,Elizabeth,9841,9850,8
102,1998,1998,PRON,PER,him,9857,9860,30
102,2006,2006,PRON,PER,his,9900,9903,30
102,2011,2011,PRON,PER,He,9927,9929,30
1,2015,2016,PROP,FAC,Kellynch Hall,9945,9958,10
102,2018,2018,PRON,PER,he,9960,9962,30
102,2032,2032,PRON,PER,he,10020,10022,30
102,2039,2039,PRON,PER,he,10057,10059,30
102,2060,2060,PRON,PER,he,10160,10162,30
102,2071,2071,PRON,PER,he,10208,10210,30
102,2078,2078,PRON,PER,his,10244,10247,30
102,2094,2094,PRON,PER,he,10316,10318,30
102,2100,2100,PRON,PER,himself,10357,10364,30
102,2186,2187,PROP,PER,Mr Elliot,10764,10773,30
102,2195,2195,PRON,PER,himself,10810,10817,30
102,2210,2210,PRON,PER,him,10898,10901,30
102,2227,2228,PROP,PER,Mr Elliot,10991,11000,30
91,2243,2243,PROP,PER,Elizabeth,11067,11076,8
102,2251,2251,PRON,PER,himself,11104,11111,30
91,2258,2258,PRON,PER,her,11138,11141,8
102,2272,2272,PRON,PER,him,11205,11208,30
91,2294,2294,PRON,PER,her,11307,11310,8
102,2309,2309,PRON,PER,he,11392,11394,30
102,2311,2311,PRON,PER,himself,11405,11412,30
91,2315,2315,PRON,PER,she,11426,11429,8
102,2331,2331,PRON,PER,his,11502,11505,30
91,2334,2334,PRON,PER,she,11512,11515,8
102,2338,2338,PRON,PER,him,11532,11535,30
102,2349,2349,PRON,PER,his,11584,11587,30
102,2374,2374,PRON,PER,he,11706,11708,30
102,2380,2380,PRON,PER,he,11729,11731,30
102,2412,2412,PRON,PER,he,11908,11910,30
102,2424,2424,PRON,PER,his,11967,11970,30
91,2435,2436,PROP,PER,Elizabeth Elliot,12016,12032,8
91,2465,2465,PRON,PER,her,12180,12183,8
91,2527,2527,PRON,PER,Her,12497,12500,8
91,2535,2535,PRON,PER,She,12543,12546,8
103,2563,2564,PROP,PER,Mr Shepherd,12674,12685,18
102,2614,2614,PRON,PER,him,12927,12930,30
102,2616,2616,PRON,PER,his,12938,12941,30
91,2621,2621,PRON,PER,her,12959,12962,8
102,2634,2634,PRON,PER,he,13020,13022,30
102,2647,2647,PRON,PER,him,13087,13090,30
102,2652,2652,PRON,PER,he,13106,13108,30
102,2671,2671,PRON,PER,he,13203,13205,30
102,2674,2674,PRON,PER,he,13211,13213,30
102,2705,2705,PRON,PER,his,13361,13364,30
102,2708,2708,PRON,PER,He,13376,13378,30
91,2711,2711,PRON,PER,her,13389,13392,8
102,2722,2722,PRON,PER,he,13435,13437,30
91,2741,2741,PRON,PER,you,13506,13509,8
91,2756,2756,PROP,PER,Elizabeth,13571,13580,8
91,2760,2760,PRON,PER,her,13588,13591,8
91,2813,2813,PRON,PER,she,13854,13857,8
91,2867,2867,PRON,PER,her,14137,14140,8
91,2871,2871,PROP,PER,Elizabeth,14159,14168,8
91,2880,2880,PRON,PER,She,14213,14216,8
91,2882,2882,PRON,PER,herself,14222,14229,8
91,2891,2891,PRON,PER,her,14263,14266,8
103,3009,3010,PROP,PER,Mr Shepherd,14861,14872,18
101,3021,3022,PROP,PER,Lady Russell,14921,14933,12
103,3072,3073,PROP,PER,Mr Shepherd,15205,15216,18
103,3086,3086,PRON,PER,his,15267,15270,18
103,3089,3089,PRON,PER,his,15279,15282,18
103,3106,3106,PRON,PER,himself,15373,15380,18
101,3127,3128,PROP,PER,Lady Russell,15502,15514,12
103,3135,3135,PRON,PER,he,15544,15546,18
103,3146,3146,PRON,PER,he,15609,15611,18
101,3153,3154,PROP,PER,Lady Russell,15643,15655,12
101,3170,3170,PRON,PER,She,15740,15743,12
101,3203,3203,PRON,PER,She,15918,15921,12
101,3208,3208,PRON,PER,herself,15946,15953,12
101,3218,3218,PRON,PER,she,15992,15995,12
101,3241,3241,PRON,PER,her,16108,16111,12
101,3260,3260,PRON,PER,She,16191,16194,12
101,3279,3279,PRON,PER,her,16288,16291,12
101,3284,3284,PRON,PER,her,16311,16314,12
101,3302,3302,PRON,PER,She,16397,16400,12
101,3319,3319,PRON,PER,she,16482,16485,12
101,3328,3328,PRON,PER,she,16526,16529,12
101,3339,3339,PRON,PER,her,16582,16585,12
101,3351,3351,PRON,PER,Herself,16639,16646,12
101,3359,3359,PRON,PER,she,16675,16678,12
101,3394,3394,PRON,PER,her,16849,16852,12
101,3415,3415,PRON,PER,her,16936,16939,12
101,3445,3445,PRON,PER,she,17100,17103,12
91,3461,3461,PROP,PER,Elizabeth,17177,17186,8
101,3463,3463,PRON,PER,She,17188,17191,12
101,3470,3470,PRON,PER,she,17218,17221,12
101,3476,3476,PRON,PER,she,17251,17254,12
101,3485,3485,PRON,PER,she,17295,17298,12
101,3504,3504,PRON,PER,She,17397,17400,12
101,3514,3514,PRON,PER,her,17446,17449,12
101,3546,3546,PRON,PER,She,17615,17618,12
101,3589,3590,PROP,PER,Lady Russell,17834,17846,12
101,3594,3594,PRON,PER,her,17861,17864,12
101,3619,3619,PRON,PER,I,17965,17966,12
91,3629,3629,PROP,PER,Elizabeth,18007,18016,8
1,3632,3633,PROP,FAC,Kellynch Hall,18023,18036,10
101,3734,3734,PRON,PER,I,18513,18514,12
101,3875,3876,PROP,PER,Lady Russell,19195,19207,12
91,3924,3924,PROP,PER,Elizabeth,19452,19461,8
101,3955,3956,PROP,PER,Lady Russell,19605,19617,12
101,3977,3978,PROP,PER,Lady Russell,19728,19740,12
1,4044,4045,PROP,FAC,Kellynch Hall,20035,20048,10
1,4052,4052,PRON,FAC,it,20073,20075,10
1,4061,4062,PROP,FAC,Kellynch Hall,20111,20124,10
103,4072,4073,PROP,PER,Mr Shepherd,20165,20176,18
103,4126,4126,PRON,PER,he,20434,20436,18
1,4213,4214,PROP,FAC,Kellynch Hall,20866,20879,10
101,4290,4291,PROP,PER,Lady Russell,21248,21260,12
94,4298,4298,PROP,PER,Mary,21286,21290,16
6,4313,4313,PROP,PER,Kellynch,21364,21372,10
103,4374,4375,PROP,PER,Mr Shepherd,21653,21664,18
103,4378,4378,PRON,PER,he,21675,21677,18
103,4393,4393,PRON,PER,him,21750,21753,18
6,4446,4446,PROP,GPE,Kellynch,22036,22044,10
101,4453,4454,PROP,PER,Lady Russell,22068,22080,12
91,4489,4489,PROP,PER,Elizabeth,22253,22262,8
101,4506,4507,PROP,PER,Lady Russell,22363,22375,12
101,4512,4512,PRON,PER,her,22399,22402,12
101,4631,4632,PROP,PER,Lady Russell,23004,23016,12
101,4654,4654,PRON,PER,her,23100,23103,12
101,4667,4667,PRON,PER,her,23163,23166,12
101,4720,4720,PRON,PER,She,23410,23413,12
1,4803,4804,PROP,FAC,Kellynch Hall,23816,23829,10
103,4845,4846,PROP,PER,Mr Shepherd,24022,24033,18
101,4937,4938,PROP,PER,Lady Russell,24487,24499,12
91,4963,4963,PROP,PER,Elizabeth,24625,24634,8
101,4972,4972,PRON,PER,she,24678,24681,12
103,4984,4985,PROP,PER,Mr Shepherd,24737,24748,18
91,4997,4997,PRON,PER,her,24803,24806,8
91,5010,5010,PRON,PER,She,24868,24871,8
1,5033,5034,PROP,FAC,Kellynch Hall,24968,24981,10
91,5040,5040,PRON,PER,herself,25000,25007,8
101,5083,5084,PROP,PER,Lady Russell,25211,25223,12
91,5093,5093,PROP,PER,Elizabeth,25265,25274,8
91,5099,5099,PRON,PER,her,25295,25298,8
101,5103,5103,PRON,PER,she,25315,25318,12
91,5106,5106,PRON,PER,her,25330,25333,8
91,5110,5110,PROP,PER,Elizabeth,25348,25357,8
