COREF,matches,pdncID
89,[],-1
90,"[26, 26, 26, 14]",-1
1,[10],10
2,[],-1
219,[],-1
91,[8],8
92,[],-1
3,[],-1
2199,[],-1
2200,[],-1
93,"[17, 1, 1, 1, 1]",-1
2201,[],-1
94,[16],16
220,[],-1
221,[],-1
95,"[5, 13, 5]",-1
96,"[19, 21, 6, 13]",-1
4,[],-1
2202,[],-1
222,[],-1
223,[],-1
5,[],-1
97,[],-1
224,[],-1
225,[],-1
98,[],-1
226,[],-1
227,[],-1
228,[],-1
2204,[],-1
99,[30],30
2205,[],-1
2206,[],-1
229,[],-1
230,[],-1
231,[],-1
232,[],-1
233,[],-1
234,[],-1
235,[],-1
100,[],-1
236,[],-1
237,[],-1
238,[],-1
239,[],-1
240,[],-1
241,[],-1
242,[],-1
243,[],-1
244,[],-1
245,[],-1
246,[],-1
6,[10],10
247,[],-1
248,[],-1
249,[],-1
250,[],-1
251,[],-1
252,[],-1
253,[],-1
254,[],-1
255,[],-1
256,[],-1
257,[],-1
258,[],-1
259,[],-1
260,[],-1
261,[],-1
262,[],-1
263,[],-1
264,[],-1
265,[],-1
266,[],-1
267,[],-1
268,[],-1
101,[12],12
269,[],-1
270,[],-1
271,[],-1
272,[],-1
273,[],-1
274,[],-1
275,[],-1
277,[],-1
278,[],-1
279,[],-1
281,[],-1
282,[],-1
284,[],-1
285,[],-1
286,[],-1
287,[],-1
288,[],-1
289,[],-1
7,[],-1
291,[],-1
292,[],-1
293,[],-1
295,[],-1
296,[],-1
297,[],-1
299,[],-1
300,[],-1
301,[],-1
303,[],-1
304,[],-1
102,[30],30
305,[],-1
306,[],-1
307,[],-1
308,[],-1
309,[],-1
310,[],-1
311,[],-1
2207,[],-1
8,[],-1
2208,[],-1
2209,[],-1
312,[],-1
313,[],-1
315,[],-1
316,[],-1
317,[],-1
319,[],-1
320,[],-1
321,[],-1
324,[],-1
325,[],-1
103,"[18, 18]",18
326,[],-1
327,[],-1
328,[],-1
329,[],-1
332,[],-1
331,[],-1
334,[],-1
335,[],-1
336,[],-1
337,[],-1
338,[],-1
340,[],-1
341,[],-1
342,[],-1
343,[],-1
345,[],-1
346,[],-1
347,[],-1
348,[],-1
349,[],-1
350,[],-1
351,[],-1
352,[],-1
353,[],-1
354,[],-1
355,[],-1
356,[],-1
357,[],-1
358,[],-1
359,[],-1
2210,[],-1
2211,[],-1
2212,[],-1
2213,[],-1
2214,[],-1
2215,[],-1
2216,[],-1
2217,[],-1
2218,[],-1
2219,[],-1
2220,[],-1
2221,[],-1
2223,[],-1
361,[],-1
362,[],-1
363,[],-1
9,[],-1
2224,[],-1
2225,[],-1
2227,[],-1
10,[],-1
365,[],-1
367,[],-1
368,[],-1
369,[],-1
370,[],-1
371,[],-1
372,[],-1
373,[],-1
374,[],-1
375,[],-1
376,[],-1
377,[],-1
378,[],-1
379,[],-1
380,[],-1
384,[],-1
385,[],-1
11,[],-1
387,[],-1
388,[],-1
389,[],-1
390,[],-1
391,[],-1
392,[],-1
393,[],-1
394,[],-1
398,[],-1
399,[],-1
400,[],-1
402,[],-1
105,[20],20
403,[],-1
404,[],-1
405,[],-1
2228,[],-1
2229,[],-1
2230,[],-1
2231,[],-1
2232,[],-1
2233,[],-1
106,[],-1
2234,[],-1
2235,[],-1
2236,[],-1
2237,[],-1
2239,[],-1
2240,[],-1
107,[18],18
2242,[],-1
2243,[],-1
406,[],-1
2244,[],-1
2245,[],-1
2246,[],-1
2247,[],-1
2248,[],-1
2249,[],-1
2251,[],-1
2252,[],-1
2253,[],-1
2254,[],-1
2255,[],-1
2256,[],-1
2257,[],-1
2258,[],-1
2259,[],-1
2260,[],-1
2261,[],-1
2262,[],-1
2263,[],-1
2264,[],-1
2265,[],-1
2266,[],-1
2268,[],-1
2269,[],-1
2270,[],-1
2271,[],-1
2272,[],-1
2273,[],-1
2274,[],-1
2275,[],-1
2276,[],-1
2277,[],-1
2279,[],-1
2281,[],-1
2282,[],-1
2284,[],-1
108,[],-1
2285,[],-1
2286,[],-1
2287,[],-1
109,[33],33
2288,[],-1
2289,[],-1
2290,[],-1
2291,[],-1
110,[],-1
2292,[],-1
2293,[],-1
2294,[],-1
2295,[],-1
2296,[],-1
2298,[],-1
2300,[],-1
2301,[],-1
2302,[],-1
2303,[],-1
2304,[],-1
2305,[],-1
2307,[],-1
2308,[],-1
409,[],-1
111,"[0, 0]",0
12,[],-1
411,"[0, 0]",0
412,[],-1
413,[],-1
414,[],-1
415,[],-1
416,[],-1
417,[],-1
418,[],-1
419,[],-1
420,[],-1
422,[],-1
423,[],-1
2309,[],-1
13,[],-1
424,[],-1
425,[],-1
426,[],-1
427,[],-1
430,[],-1
432,[],-1
433,[],-1
435,[],-1
436,[],-1
437,[],-1
439,[],-1
112,[27],27
442,[],-1
2311,[],-1
2314,[],-1
2315,[],-1
2316,[],-1
2317,[],-1
2318,[],-1
14,[],-1
113,[20],20
2319,[],-1
2320,[],-1
2321,[],-1
2322,[],-1
114,[],-1
2324,[],-1
2325,[],-1
2326,[],-1
2327,[],-1
2328,[],-1
115,[4],4
2329,[],-1
2331,[],-1
2332,[],-1
2333,[],-1
2335,[],-1
2337,[],-1
2338,[],-1
116,[],-1
443,[],-1
445,[],-1
448,[],-1
454,[],-1
450,[],-1
451,[],-1
452,[],-1
453,[],-1
456,[],-1
457,[],-1
458,[],-1
460,[],-1
2340,[],-1
461,[],-1
117,"[4, 4, 4, 4]",4
15,[],-1
462,[],-1
463,[],-1
464,[],-1
465,[],-1
466,[],-1
468,[],-1
469,[],-1
470,[],-1
471,[],-1
473,[],-1
474,[],-1
476,[],-1
478,[],-1
479,[],-1
481,[],-1
482,[],-1
483,[],-1
484,[],-1
487,[],-1
488,[],-1
489,[],-1
490,[],-1
492,[],-1
493,[],-1
118,[],-1
494,[],-1
495,[],-1
496,[],-1
498,[],-1
499,[],-1
500,[],-1
501,[],-1
503,[],-1
504,[],-1
505,[],-1
506,[],-1
17,[],-1
508,[],-1
509,[],-1
511,[],-1
512,[],-1
513,[],-1
514,[],-1
515,[],-1
516,[],-1
520,[],-1
521,[],-1
523,[],-1
524,[],-1
527,[],-1
2342,[],-1
18,[],-1
127,[],-1
529,[],-1
20,[],-1
533,[],-1
534,[],-1
538,[],-1
540,[],-1
2344,[],-1
2345,[],-1
2347,[],-1
2348,[],-1
2354,[],-1
541,[],-1
542,[],-1
543,[],-1
544,[],-1
545,[],-1
546,[],-1
548,[],-1
549,[],-1
551,[],-1
552,[],-1
553,[],-1
