exp_name,text,start_byte,end_byte,pdncID
william walter elliot,William Walter Elliot,2125,2146,30
william walter elliot,William Walter Elliot,9047,9068,30
frederick wentworth,Frederick Wentworth,42374,42393,4
frederick wentworth,Frederick Wentworth,47369,47388,4
frederick wentworth,Frederick Wentworth,89839,89858,4
frederick wentworth,Frederick Wentworth,103396,103415,4
frederick wentworth,Frederick Wentworth,108540,108559,4
frederick wentworth,Frederick Wentworth,108839,108858,4
captain wentworth,Captain Wentworth,44559,44576,4
captain wentworth,Captain Wentworth,50880,50897,4
captain wentworth,Captain Wentworth,88164,88181,4
captain wentworth,Captain Wentworth,91249,91266,4
captain wentworth,Captain Wentworth,91416,91433,4
captain wentworth,Captain Wentworth,92447,92464,4
captain wentworth,Captain Wentworth,92797,92814,4
captain wentworth,Captain Wentworth,93073,93090,4
captain wentworth,Captain Wentworth,94944,94961,4
captain wentworth,Captain Wentworth,95872,95889,4
captain wentworth,Captain Wentworth,96224,96241,4
captain wentworth,Captain Wentworth,96732,96749,4
captain wentworth,Captain Wentworth,97577,97594,4
captain wentworth,Captain Wentworth,101377,101394,4
captain wentworth,Captain Wentworth,104126,104143,4
captain wentworth,Captain Wentworth,105238,105255,4
captain wentworth,Captain Wentworth,105310,105327,4
captain wentworth,Captain Wentworth,105499,105516,4
captain wentworth,Captain Wentworth,105901,105918,4
captain wentworth,Captain Wentworth,107686,107703,4
captain wentworth,Captain Wentworth,111021,111038,4
captain wentworth,Captain Wentworth,114452,114469,4
captain wentworth,Captain Wentworth,115563,115580,4
captain wentworth,Captain Wentworth,115933,115950,4
captain wentworth,Captain Wentworth,117178,117195,4
captain wentworth,Captain Wentworth,117675,117692,4
captain wentworth,Captain Wentworth,117888,117905,4
captain wentworth,Captain Wentworth,117933,117950,4
captain wentworth,Captain Wentworth,118249,118266,4
captain wentworth,Captain Wentworth,119203,119220,4
captain wentworth,Captain Wentworth,119660,119677,4
captain wentworth,Captain Wentworth,119753,119770,4
captain wentworth,Captain Wentworth,120972,120989,4
captain wentworth,Captain Wentworth,121641,121658,4
captain wentworth,Captain Wentworth,124842,124859,4
captain wentworth,Captain Wentworth,127579,127596,4
captain wentworth,Captain Wentworth,129479,129496,4
captain wentworth,Captain Wentworth,130631,130648,4
captain wentworth,Captain Wentworth,130896,130913,4
captain wentworth,Captain Wentworth,131121,131138,4
captain wentworth,Captain Wentworth,131498,131515,4
captain wentworth,Captain Wentworth,132687,132704,4
captain wentworth,Captain Wentworth,132818,132835,4
captain wentworth,Captain Wentworth,133495,133512,4
captain wentworth,Captain Wentworth,133946,133963,4
captain wentworth,Captain Wentworth,134184,134201,4
captain wentworth,Captain Wentworth,136822,136839,4
captain wentworth,Captain Wentworth,137129,137146,4
