source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,sir walter elliot,Sir Walter Elliot,53,70,26
exp,exp_name,kellynch hall,Kellynch Hall,75,88,10
exp,exp_name,kellynch hall,KELLYNCH HALL,765,778,10
exp,exp_name,walter elliot,Walter Elliot,783,796,26
exp,exp_name,elizabeth,Elizabeth,842,851,8
exp,exp_name,elizabeth,Elizabeth,974,983,8
exp,exp_name,anne,Anne,1004,1008,1
exp,exp_name,mary,Mary,1067,1071,16
exp,exp_name,sir walter,Sir Walter,1179,1189,26
exp,exp_name,mary,Mary,1295,1299,16
exp,exp_name,charles,Charles,1339,1346,13
exp,exp_name,charles musgrove,Charles Musgrove,1364,1380,6
exp,exp_name,charles,Charles,1838,1845,13
exp,exp_name,kellynch hall,Kellynch Hall,2009,2022,10
exp,exp_name,sir walter,Sir Walter,2056,2066,26
exp,exp_name,william walter elliot,William Walter Elliot,2125,2146,30
exp,exp_name,sir walter,Sir Walter,2183,2193,26
exp,exp_name,sir walter elliot,Sir Walter Elliot,2237,2254,26
exp,exp_name,sir walter elliot,Sir Walter Elliot,2656,2673,26
booknlp,COREF,6,Kellynch,3850,3858,10
exp,exp_name,sir walter,Sir Walter,4060,4070,26
exp,exp_name,lady russell,Lady Russell,4330,4342,12
exp,exp_name,sir walter,Sir Walter,4594,4604,26
exp,exp_name,sir walter,Sir Walter,4678,4688,26
exp,exp_name,elizabeth,Elizabeth,4983,4992,8
booknlp,COREF,91,her,5049,5052,8
booknlp,COREF,91,her,5134,5137,8
exp,exp_name,mary,Mary,5269,5273,16
exp,exp_name,charles musgrove,Charles Musgrove,5335,5351,6
exp,exp_name,anne,Anne,5357,5361,1
exp,exp_name,anne,Anne,5605,5609,1
exp,exp_name,lady russell,Lady Russell,5615,5627,12
booknlp,COREF,101,she,5637,5640,12
exp,exp_name,lady russell,Lady Russell,5713,5725,12
exp,exp_name,anne,Anne,5761,5765,1
booknlp,COREF,101,she,5771,5774,12
exp,exp_name,anne elliot,Anne Elliot,5836,5847,1
exp,exp_name,elizabeth,Elizabeth,6311,6320,8
exp,exp_name,mary,Mary,6326,6330,16
booknlp,COREF,94,herself,6352,6359,16
exp,exp_name,elizabeth,Elizabeth,6482,6491,8
exp,exp_name,elizabeth,Elizabeth,6776,6785,8
exp,exp_name,miss elliot,Miss Elliot,6811,6822,17
exp,exp_name,sir walter,Sir Walter,6872,6882,26
exp,exp_name,elizabeth,Elizabeth,7002,7011,8
exp,exp_name,anne,Anne,7179,7183,1
exp,exp_name,mary,Mary,7193,7197,16
exp,exp_name,lady russell,Lady Russell,7296,7308,12
exp,exp_name,elizabeth,Elizabeth,7353,7362,8
booknlp,COREF,91,her,7383,7386,8
booknlp,COREF,91,her,7443,7446,8
exp,exp_name,kellynch hall,Kellynch Hall,7459,7472,10
booknlp,COREF,91,her,7575,7578,8
booknlp,COREF,91,she,7598,7601,8
booknlp,COREF,91,she,7631,7634,8
exp,exp_name,lady russell,Lady Russell,7775,7787,12
booknlp,COREF,91,her,7895,7898,8
booknlp,COREF,91,she,8013,8016,8
booknlp,COREF,91,her,8045,8048,8
booknlp,COREF,91,She,8112,8115,8
booknlp,COREF,91,she,8149,8152,8
booknlp,COREF,91,her,8208,8211,8
booknlp,COREF,91,she,8249,8252,8
booknlp,COREF,91,she,8319,8322,8
booknlp,COREF,91,her,8328,8331,8
booknlp,COREF,91,she,8496,8499,8
booknlp,COREF,91,her,8561,8564,8
booknlp,COREF,91,she,8586,8589,8
booknlp,COREF,91,her,8645,8648,8
booknlp,COREF,91,her,8765,8768,8
booknlp,COREF,91,her,8811,8814,8
booknlp,COREF,91,she,8820,8823,8
booknlp,COREF,91,She,8875,8878,8
booknlp,COREF,91,her,8962,8965,8
exp,exp_name,william walter elliot,William Walter Elliot,9047,9068,30
booknlp,COREF,91,her,9125,9128,8
booknlp,COREF,91,her,9154,9157,8
booknlp,COREF,91,She,9160,9163,8
booknlp,COREF,91,she,9205,9208,8
booknlp,COREF,91,her,9246,9249,8
booknlp,COREF,91,her,9313,9316,8
booknlp,COREF,91,she,9346,9349,8
exp,exp_name,sir walter,Sir Walter,9435,9445,26
exp,exp_name,elizabeth,Elizabeth,9677,9686,8
booknlp,COREF,91,her,9694,9697,8
exp,exp_name,mr elliot,Mr Elliot,9711,9720,30
booknlp,COREF,102,He,9761,9763,30
exp,exp_name,elizabeth,Elizabeth,9841,9850,8
booknlp,COREF,102,him,9857,9860,30
booknlp,COREF,102,his,9900,9903,30
booknlp,COREF,102,He,9927,9929,30
exp,exp_name,kellynch hall,Kellynch Hall,9945,9958,10
booknlp,COREF,102,he,9960,9962,30
booknlp,COREF,102,he,10020,10022,30
booknlp,COREF,102,he,10057,10059,30
booknlp,COREF,102,he,10160,10162,30
booknlp,COREF,102,he,10208,10210,30
booknlp,COREF,102,his,10244,10247,30
booknlp,COREF,102,he,10316,10318,30
booknlp,COREF,102,himself,10357,10364,30
exp,exp_name,sir walter,Sir Walter,10401,10411,26
exp,exp_name,mr elliot,Mr Elliot,10764,10773,30
booknlp,COREF,102,himself,10810,10817,30
exp,exp_name,sir walter,Sir Walter,10876,10886,26
booknlp,COREF,102,him,10898,10901,30
exp,exp_name,mr elliot,Mr Elliot,10991,11000,30
exp,exp_name,elizabeth,Elizabeth,11067,11076,8
booknlp,COREF,102,himself,11104,11111,30
booknlp,COREF,91,her,11138,11141,8
booknlp,COREF,102,him,11205,11208,30
exp,exp_name,sir walter elliot,Sir Walter Elliot,11228,11245,26
booknlp,COREF,91,her,11307,11310,8
booknlp,COREF,102,he,11392,11394,30
booknlp,COREF,102,himself,11405,11412,30
booknlp,COREF,91,she,11426,11429,8
booknlp,COREF,102,his,11502,11505,30
booknlp,COREF,91,she,11512,11515,8
booknlp,COREF,102,him,11532,11535,30
booknlp,COREF,102,his,11584,11587,30
booknlp,COREF,102,he,11706,11708,30
booknlp,COREF,102,he,11729,11731,30
booknlp,COREF,102,he,11908,11910,30
booknlp,COREF,102,his,11967,11970,30
exp,exp_name,elizabeth,Elizabeth,12016,12025,8
booknlp,COREF,91,her,12180,12183,8
