COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
86,82,83,PROP,PER,Mr. Bennet,403,413,16
86,107,108,PROP,PER,Mr. Bennet,502,512,16
86,111,111,PRON,PER,he,526,528,16
87,126,127,PROP,PER,Mrs. Long,571,580,31
87,134,134,PRON,PER,she,605,608,31
86,142,143,PROP,PER,Mr. Bennet,633,643,16
87,200,201,PROP,PER,Mrs. Long,858,867,31
88,247,248,PROP,PER,Mr. Morris,1079,1089,71
90,287,287,PROP,PER,Bingley,1249,1256,17
86,347,348,PROP,PER,Mr. Bennet,1462,1472,16
86,358,358,PRON,PER,you,1502,1505,16
86,363,363,PRON,PER,You,1522,1525,16
86,395,395,PRON,PER,you,1653,1656,16
86,419,419,PRON,PER,you,1747,1750,16
86,438,438,PRON,PER,You,1818,1821,16
86,446,446,PRON,PER,you,1847,1850,16
86,462,462,PRON,PER,you,1923,1926,16
90,471,472,PROP,PER,Mr. Bingley,1959,1970,17
86,475,475,PRON,PER,you,1982,1985,16
86,487,487,PRON,PER,you,2021,2024,16
86,558,558,PRON,PER,you,2311,2314,16
90,564,565,PROP,PER,Mr. Bingley,2338,2349,17
90,567,567,PRON,PER,he,2355,2357,17
86,585,585,PRON,PER,you,2430,2433,16
86,591,591,PRON,PER,your,2451,2455,16
91,607,608,PROP,PER,Sir William,2529,2540,35
92,610,611,PROP,PER,Lady Lucas,2545,2555,1
86,625,625,PRON,PER,you,2617,2620,16
86,634,634,PRON,PER,you,2659,2662,16
90,649,649,PRON,PER,him,2716,2719,17
86,652,652,PRON,PER,you,2724,2727,16
86,658,658,PRON,PER,You,2739,2742,16
90,667,668,PROP,PER,Mr. Bingley,2782,2793,17
86,675,675,PRON,PER,you,2819,2822,16
86,685,685,PRON,PER,you,2855,2858,16
90,688,688,PRON,PER,him,2869,2872,17
90,694,694,PRON,PER,his,2897,2900,17
90,698,698,PRON,PER,he,2921,2923,17
86,721,721,PRON,PER,you,3013,3016,16
94,749,749,PROP,PER,Jane,3128,3132,7
86,760,760,PRON,PER,you,3174,3177,16
86,810,811,PROP,PER,Mr. Bennet,3395,3405,16
86,815,815,PRON,PER,you,3415,3418,16
86,817,817,PRON,PER,your,3425,3429,16
86,825,825,PRON,PER,You,3458,3461,16
86,832,832,PRON,PER,You,3489,3492,16
86,843,843,PRON,PER,You,3534,3537,16
86,856,856,PRON,PER,your,3585,3589,16
86,868,868,PRON,PER,you,3636,3639,16
