exp_name,text,start_byte,end_byte,pdncID
lady catherine de bourgh,Lady Catherine de Bourgh,103594,103618,10
lady catherine de bourgh,Lady Catherine de Bourgh,109955,109979,10
lady catherine de bourgh,Lady Catherine de Bourgh,116815,116839,10
lady catherine de bourgh,Lady Catherine de Bourgh,142004,142028,10
lady catherine de bourgh,Lady Catherine de Bourgh,142305,142329,10
lady catherine de bourgh,Lady Catherine de Bourgh,142516,142540,10
lady catherine de bourgh,Lady Catherine de Bourgh,149796,149820,10
lady catherine de bourgh,Lady Catherine de Bourgh,167502,167526,10
lady catherine de bourgh,Lady Catherine de Bourgh,169857,169881,10
lady catherine de bourgh,Lady Catherine de Bourgh,185527,185551,10
lady catherine de bourgh,Lady Catherine de Bourgh,266574,266598,10
lady catherine de bourgh,Lady Catherine de Bourgh,276643,276667,10
lady catherine de bourgh,lady Catherine de Bourgh,623282,623306,10
lady catherine de bourgh,lady Catherine de Bourgh,643784,643808,10
the heiress of rosings,the heiress of Rosings,111792,111814,37
my dear miss elizabeth,My dear Miss Elizabeth,168574,168596,5
my dear miss elizabeth,my dear Miss Elizabeth,183380,183402,5
my dear miss elizabeth,my dear Miss Elizabeth,381290,381312,5
sir lewis de bourgh,Sir Lewis de Bourgh,103629,103648,60
sir lewis de bourgh,Sir Lewis De Bourgh,283090,283109,60
sir lewis de bourgh,Sir Lewis de Bourgh,288765,288784,60
colonel fitzwilliam,Colonel Fitzwilliam,299169,299188,2
colonel fitzwilliam,Colonel Fitzwilliam,299793,299812,2
colonel fitzwilliam,Colonel Fitzwilliam,300204,300223,2
colonel fitzwilliam,Colonel Fitzwilliam,301146,301165,2
colonel fitzwilliam,Colonel Fitzwilliam,301754,301773,2
colonel fitzwilliam,Colonel Fitzwilliam,302275,302294,2
colonel fitzwilliam,Colonel Fitzwilliam,304734,304753,2
colonel fitzwilliam,Colonel Fitzwilliam,305938,305957,2
colonel fitzwilliam,Colonel Fitzwilliam,306611,306630,2
colonel fitzwilliam,Colonel Fitzwilliam,307305,307324,2
colonel fitzwilliam,Colonel Fitzwilliam,307600,307619,2
colonel fitzwilliam,Colonel Fitzwilliam,316115,316134,2
colonel fitzwilliam,Colonel Fitzwilliam,316472,316491,2
colonel fitzwilliam,Colonel Fitzwilliam,316957,316976,2
colonel fitzwilliam,Colonel Fitzwilliam,318121,318140,2
colonel fitzwilliam,Colonel Fitzwilliam,319572,319591,2
colonel fitzwilliam,Colonel Fitzwilliam,320060,320079,2
colonel fitzwilliam,Colonel Fitzwilliam,320937,320956,2
