source,idColName,iden,text,startByte,endByte,pdncID
pdnc,qID,Q0-0,My dear Mr. Bennet,395,413,16
pdnc,qID,Q0-1,you,452,455,16
exp,exp_name,mr. bennet,Mr. Bennet,502,512,16
booknlp,COREF,86,he,526,528,16
pdnc,qID,Q1-1,Mrs. Long,571,580,31
pdnc,qID,Q1-1,she,605,608,31
exp,exp_name,mr. bennet,Mr. Bennet,633,643,16
pdnc,qID,Q2-0,you,669,672,16
pdnc,qID,Q3-0,You,736,739,25
pdnc,qID,Q4-0,my dear,834,841,16
pdnc,qID,Q4-0,you,843,846,16
pdnc,qID,Q4-0,Mrs. Long,858,867,31
pdnc,qID,Q4-0,a young man,902,913,17
pdnc,qID,Q4-0,he,963,965,17
pdnc,qID,Q4-0,he,1064,1066,17
pdnc,qID,Q4-0,Mr. Morris,1079,1089,71
pdnc,qID,Q4-0,he,1108,1110,17
pdnc,qID,Q4-0,his,1164,1167,17
pdnc,qID,Q5-0,his,1236,1239,17
pdnc,qID,Q6-0,Bingley,1249,1256,17
pdnc,qID,Q7-0,he,1264,1266,17
pdnc,qID,Q8-0,my dear,1301,1308,16
pdnc,qID,Q10-0,Mr. Bennet,1462,1472,16
pdnc,qID,Q10-1,you,1502,1505,16
booknlp,COREF,86,You,1522,1525,16
pdnc,qID,Q10-1,his,1558,1561,17
pdnc,qID,Q11-0,his,1595,1598,17
pdnc,qID,Q12-0,you,1653,1656,16
pdnc,qID,Q12-0,he,1693,1695,17
pdnc,qID,Q12-0,you,1747,1750,16
pdnc,qID,Q12-0,him,1762,1765,17
pdnc,qID,Q12-0,he,1777,1779,17
pdnc,qID,Q13-0,You,1818,1821,25
pdnc,qID,Q13-0,you,1847,1850,25
pdnc,qID,Q13-0,you,1923,1926,25
exp,exp_name,mr. bingley,Mr. Bingley,1959,1970,17
pdnc,qID,Q13-0,you,1982,1985,25
pdnc,qID,Q14-0,My dear,2012,2019,16
pdnc,qID,Q14-0,you,2021,2024,16
pdnc,qID,Q16-0,my dear,2302,2309,16
pdnc,qID,Q16-0,you,2311,2314,16
pdnc,qID,Q16-0,Mr. Bingley,2338,2349,17
pdnc,qID,Q16-0,he,2355,2357,17
pdnc,qID,Q17-0,you,2430,2433,25
booknlp,COREF,86,your,2451,2455,16
pdnc,qID,Q18-0,Sir William,2529,2540,35
pdnc,qID,Q18-0,Lady Lucas,2545,2555,1
pdnc,qID,Q18-0,you,2617,2620,16
pdnc,qID,Q18-0,you,2659,2662,16
booknlp,COREF,90,him,2716,2719,17
pdnc,qID,Q18-0,you,2724,2727,16
pdnc,qID,Q19-0,You,2739,2742,25
pdnc,qID,Q19-0,Mr. Bingley,2782,2793,17
booknlp,COREF,86,you,2819,2822,16
booknlp,COREF,86,you,2855,2858,16
pdnc,qID,Q19-0,him,2869,2872,17
pdnc,qID,Q19-0,his,2897,2900,17
pdnc,qID,Q19-0,he,2921,2923,17
pdnc,qID,Q19-0,my little Lizzy,2984,2999,5
pdnc,qID,Q20-0,you,3013,3016,16
pdnc,qID,Q20-0,Lizzy,3040,3045,5
pdnc,qID,Q20-0,she,3097,3100,5
pdnc,qID,Q20-0,Jane,3128,3132,7
pdnc,qID,Q20-0,Lydia,3163,3168,11
pdnc,qID,Q20-0,you,3174,3177,16
pdnc,qID,Q20-0,her,3197,3200,5
pdnc,qID,Q21-1,Lizzy,3336,3341,5
pdnc,qID,Q22-0,Mr. Bennet,3395,3405,16
pdnc,qID,Q22-0,you,3415,3418,16
booknlp,COREF,86,your,3425,3429,16
pdnc,qID,Q22-0,You,3458,3461,16
pdnc,qID,Q22-0,You,3489,3492,16
pdnc,qID,Q23-0,You,3534,3537,25
pdnc,qID,Q23-0,my dear,3550,3557,25
pdnc,qID,Q23-0,your,3585,3589,25
pdnc,qID,Q23-0,you,3636,3639,25
pdnc,qID,Q24-0,you,3708,3711,16
pdnc,qID,Q25-0,you,3753,3756,25
pdnc,qID,Q26-0,you,3920,3923,16
pdnc,qID,Q27-0,my dear,3964,3971,25
exp,exp_name,mr. bennet,Mr. Bennet,4026,4036,16
booknlp,COREF,86,his,4190,4193,16
booknlp,COREF,86,his,4210,4213,16
exp,exp_name,mr. bennet,Mr. Bennet,4515,4525,16
exp,exp_name,mr. bingley,Mr. Bingley,4572,4583,17
booknlp,COREF,86,He,4585,4587,16
booknlp,COREF,90,him,4617,4620,17
booknlp,COREF,86,his,4657,4660,16
booknlp,COREF,86,he,4671,4673,16
booknlp,COREF,86,his,4821,4824,16
booknlp,COREF,86,he,4869,4871,16
booknlp,COREF,86,I,4903,4904,16
pdnc,qID,Q28-0,Mr. Bingley,4910,4921,17
pdnc,qID,Q28-0,Lizzy,4935,4940,5
pdnc,qID,Q29-0,Mr. Bingley,4980,4991,17
pdnc,qID,Q30-0,you,5064,5067,25
pdnc,qID,Q30-0,mama,5076,5080,25
exp,exp_name,elizabeth,Elizabeth,5088,5097,5
pdnc,qID,Q30-1,him,5119,5122,17
