qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,My dear Mr. Bennet,395,413,[16],16
Q0-1,you,452,455,[16],16
Q1-1,Mrs. Long,571,580,[31],31
Q1-1,she,605,608,[31],31
Q2-0,you,669,672,[16],16
Q3-0,You,736,739,[25],25
Q4-0,my dear,834,841,[16],16
Q4-0,you,843,846,[16],16
Q4-0,Mrs. Long,858,867,[31],31
Q4-0,a young man,902,913,[17],17
Q4-0,he,963,965,[17],17
Q4-0,he,1064,1066,[17],17
Q4-0,Mr. Morris,1079,1089,[71],71
Q4-0,he,1108,1110,[17],17
Q4-0,his,1164,1167,[17],17
Q5-0,his,1236,1239,[17],17
Q6-0,Bingley,1249,1256,[17],17
Q7-0,he,1264,1266,[17],17
Q8-0,my dear,1301,1308,[16],16
Q10-0,Mr. Bennet,1462,1472,[16],16
Q10-1,you,1502,1505,[16],16
Q10-1,his,1558,1561,[17],17
Q11-0,his,1595,1598,[17],17
Q12-0,you,1653,1656,[16],16
Q12-0,he,1693,1695,[17],17
Q12-0,you,1747,1750,[16],16
Q12-0,him,1762,1765,[17],17
Q12-0,he,1777,1779,[17],17
Q13-0,You,1818,1821,[25],25
Q13-0,you,1847,1850,[25],25
Q13-0,you,1923,1926,[25],25
Q13-0,you,1982,1985,[25],25
Q14-0,My dear,2012,2019,[16],16
Q14-0,you,2021,2024,[16],16
Q16-0,my dear,2302,2309,[16],16
Q16-0,you,2311,2314,[16],16
Q16-0,Mr. Bingley,2338,2349,[17],17
Q16-0,he,2355,2357,[17],17
Q17-0,you,2430,2433,[25],25
Q18-0,Sir William,2529,2540,[35],35
Q18-0,Lady Lucas,2545,2555,[1],1
Q18-0,you,2617,2620,[16],16
Q18-0,you,2659,2662,[16],16
Q18-0,you,2724,2727,[16],16
Q19-0,You,2739,2742,[25],25
Q19-0,Mr. Bingley,2782,2793,[17],17
Q19-0,him,2869,2872,[17],17
Q19-0,his,2897,2900,[17],17
Q19-0,he,2921,2923,[17],17
Q19-0,my little Lizzy,2984,2999,[5],5
Q20-0,you,3013,3016,[16],16
Q20-0,Lizzy,3040,3045,[5],5
Q20-0,she,3097,3100,[5],5
Q20-0,Jane,3128,3132,[7],7
Q20-0,Lydia,3163,3168,[11],11
Q20-0,you,3174,3177,[16],16
Q20-0,her,3197,3200,[5],5
Q21-1,Lizzy,3336,3341,[5],5
Q22-0,Mr. Bennet,3395,3405,[16],16
Q22-0,you,3415,3418,[16],16
Q22-0,You,3458,3461,[16],16
Q22-0,You,3489,3492,[16],16
Q23-0,You,3534,3537,[25],25
Q23-0,my dear,3550,3557,[25],25
Q23-0,your,3585,3589,[25],25
Q23-0,you,3636,3639,[25],25
Q24-0,you,3708,3711,[16],16
Q25-0,you,3753,3756,[25],25
Q26-0,you,3920,3923,[16],16
Q27-0,my dear,3964,3971,[25],25
Q28-0,Mr. Bingley,4910,4921,[17],17
Q28-0,Lizzy,4935,4940,[5],5
Q29-0,Mr. Bingley,4980,4991,[17],17
Q30-0,you,5064,5067,[25],25
Q30-0,mama,5076,5080,[25],25
Q30-1,him,5119,5122,[17],17
Q30-1,Mrs. Long,5151,5160,[31],31
Q30-1,him,5187,5190,[17],17
Q31-0,Mrs. Long,5212,5221,[31],31
Q31-0,She,5246,5249,[31],31
Q31-0,her,5268,5271,[31],31
Q31-0,She,5277,5280,[31],31
Q31-0,her,5340,5343,[31],31
Q32-1,you,5410,5413,[25],25
