COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
84,1448,1448,PROP,PER,Elinor,6969,6975,4
84,1473,1473,PRON,PER,her,7111,7114,4
84,1484,1484,PRON,PER,her,7162,7165,4
84,1489,1489,PRON,PER,her,7186,7189,4
84,1516,1516,PRON,PER,She,7331,7334,4
84,1522,1522,PRON,PER,her,7359,7362,4
84,1528,1528,PRON,PER,her,7397,7400,4
84,1534,1534,PRON,PER,she,7427,7430,4
84,1546,1546,PRON,PER,her,7481,7484,4
84,1557,1557,PRON,PER,her,7527,7530,4
84,1578,1578,PROP,PER,Elinor,7633,7639,4
84,1621,1621,PRON,PER,her,7850,7853,4
84,1627,1627,PROP,PER,Elinor,7884,7890,4
84,1636,1636,PRON,PER,her,7924,7927,4
84,1717,1717,PROP,PER,Elinor,8372,8378,4
84,1727,1727,PRON,PER,she,8417,8420,4
84,1731,1731,PRON,PER,she,8437,8440,4
84,1734,1734,PRON,PER,herself,8453,8460,4
84,1736,1736,PRON,PER,She,8462,8465,4
84,1740,1740,PRON,PER,her,8485,8488,4
84,1745,1745,PRON,PER,her,8512,8515,4
84,1752,1752,PRON,PER,her,8533,8536,4
84,1757,1757,PRON,PER,her,8556,8559,4
84,1767,1767,PRON,PER,her,8609,8612,4
86,1780,1780,PROP,PER,Margaret,8684,8692,10
86,1799,1799,PRON,PER,she,8759,8762,10
86,1815,1815,PRON,PER,her,8841,8844,10
86,1818,1818,PRON,PER,she,8852,8855,10
86,1829,1829,PRON,PER,her,8896,8899,10
88,2293,2293,PROP,PER,Fanny,11142,11147,5
88,2976,2976,PROP,PER,Fanny,14112,14117,5
89,4672,4673,PROP,PER,Edward Ferrars,22228,22242,3
84,4748,4748,PROP,PER,Elinor,22600,22606,4
84,4780,4780,PROP,PER,Elinor,22791,22797,4
84,4792,4792,PRON,PER,her,22855,22858,4
84,4796,4796,PRON,PER,her,22867,22870,4
89,4800,4801,PROP,PER,Edward Ferrars,22898,22912,3
89,4818,4818,PRON,PER,He,23000,23002,3
89,4824,4824,PRON,PER,his,23025,23028,3
89,4833,4833,PRON,PER,He,23078,23080,3
89,4841,4841,PRON,PER,himself,23116,23123,3
89,4845,4845,PRON,PER,his,23134,23137,3
89,4851,4851,PRON,PER,his,23168,23171,3
89,4863,4863,PRON,PER,His,23236,23239,3
89,4869,4869,PRON,PER,his,23268,23271,3
89,4878,4878,PRON,PER,he,23318,23320,3
89,4891,4891,PRON,PER,his,23393,23396,3
89,4900,4900,PRON,PER,him,23434,23437,3
89,4910,4910,PRON,PER,him,23490,23493,3
89,4925,4925,PRON,PER,His,23554,23557,3
89,4930,4930,PRON,PER,him,23584,23587,3
89,4937,4937,PRON,PER,him,23618,23621,3
89,4944,4944,PRON,PER,him,23649,23652,3
89,4987,4987,PRON,PER,him,23862,23865,3
89,4993,4993,PROP,PER,Edward,23890,23896,3
89,5004,5004,PRON,PER,his,23941,23944,3
89,5018,5018,PRON,PER,he,24024,24026,3
89,5028,5028,PROP,PER,Edward,24074,24080,3
89,5038,5038,PRON,PER,he,24132,24134,3
89,5070,5070,PRON,PER,he,24291,24293,3
89,5079,5079,PRON,PER,him,24335,24338,3
89,5083,5083,PRON,PER,He,24347,24349,3
89,5106,5106,PRON,PER,him,24466,24469,3
84,5113,5113,PROP,PER,Elinor,24501,24507,4
89,5123,5123,PRON,PER,him,24558,24561,3
89,5125,5125,PRON,PER,his,24566,24569,3
89,5134,5134,PRON,PER,him,24614,24617,3
89,5154,5154,PRON,PER,he,24687,24689,3
88,5157,5157,PROP,PER,Fanny,24700,24705,5
89,5168,5168,PRON,PER,him,24755,24758,3
84,5173,5173,PRON,PER,I,24771,24772,4
89,5178,5178,PRON,PER,him,24793,24796,3
84,5182,5182,PROP,PER,Elinor,24804,24810,4
89,5190,5190,PRON,PER,him,24835,24838,3
89,5195,5195,PRON,PER,him,24848,24851,3
89,5221,5221,PRON,PER,him,24959,24962,3
84,5275,5275,PROP,PER,Elinor,25224,25230,4
84,5345,5345,PROP,PER,Elinor,25595,25601,4
84,5381,5381,PROP,PER,Elinor,25770,25776,4
84,5395,5395,PRON,PER,her,25837,25840,4
84,5399,5399,PRON,PER,she,25847,25850,4
84,5416,5416,PRON,PER,her,25904,25907,4
89,5471,5471,PROP,PER,Edward,26140,26146,3
89,5507,5507,PROP,PER,Edward,26293,26299,3
89,5515,5515,PRON,PER,him,26328,26331,3
89,5520,5520,PRON,PER,he,26350,26352,3
89,5532,5532,PRON,PER,his,26409,26412,3
89,5558,5558,PRON,PER,His,26534,26537,3
89,5587,5587,PRON,PER,he,26665,26667,3
89,5598,5598,PRON,PER,him,26719,26722,3
89,5602,5602,PRON,PER,he,26735,26737,3
84,5604,5604,PROP,PER,Elinor,26746,26752,4
89,5631,5631,PRON,PER,his,26871,26874,3
84,5635,5635,PRON,PER,her,26897,26900,4
84,5637,5637,PRON,PER,she,26907,26910,4
89,5643,5643,PRON,PER,he,26931,26933,3
89,5650,5650,PRON,PER,He,26963,26965,3
89,5691,5691,PRON,PER,He,27145,27147,3
89,5721,5721,PROP,PER,Edward,27271,27277,3
89,5787,5787,PRON,PER,He,27606,27608,3
89,5813,5813,PRON,PER,him,27724,27727,3
89,5823,5823,PRON,PER,he,27753,27755,3
84,5841,5841,PROP,PER,Elinor,27832,27838,4
84,5849,5849,PRON,PER,she,27874,27877,4
89,5858,5858,PRON,PER,him,27913,27916,3
89,5873,5873,PRON,PER,him,27966,27969,3
89,5877,5877,PRON,PER,him,27979,27982,3
89,5917,5917,PRON,PER,He,28148,28150,3
89,5921,5921,PROP,PER,Edward,28165,28171,3
89,5926,5926,PRON,PER,his,28187,28190,3
89,5932,5932,PRON,PER,his,28224,28227,3
84,6003,6003,PROP,PER,Elinor,28544,28550,4
89,6011,6011,PROP,PER,Edward,28574,28580,3
84,6028,6028,PROP,PER,Elinor,28649,28655,4
89,6037,6037,PRON,PER,He,28683,28685,3
89,6041,6041,PRON,PER,himself,28700,28707,3
89,6046,6046,PRON,PER,he,28721,28723,3
84,6059,6059,PRON,PER,I,28791,28792,4
89,6062,6062,PRON,PER,he,28804,28806,3
89,6073,6073,PRON,PER,he,28857,28859,3
89,6083,6083,PRON,PER,he,28907,28909,3
84,6092,6092,PRON,PER,I,28944,28945,4
89,6094,6094,PRON,PER,he,28952,28954,3
89,6101,6101,PRON,PER,He,28983,28985,3
89,6103,6103,PRON,PER,his,28996,28999,3
89,6113,6113,PRON,PER,he,29043,29045,3
89,6119,6119,PRON,PER,his,29074,29077,3
89,6126,6126,PRON,PER,he,29106,29108,3
89,6140,6140,PRON,PER,him,29182,29185,3
84,6165,6165,PROP,PER,Elinor,29306,29312,4
89,6217,6217,PROP,PER,Edward,29572,29578,3
84,6223,6223,PRON,PER,I,29600,29601,4
84,6230,6230,PROP,PER,Elinor,29629,29635,4
84,6246,6246,PRON,PER,I,29701,29702,4
84,6248,6248,PRON,PER,I,29709,29710,4
84,6274,6274,PRON,PER,I,29817,29818,4
84,6329,6329,PROP,PER,Elinor,30060,30066,4
84,6343,6343,PRON,PER,your,30119,30123,4
84,6371,6371,PRON,PER,you,30266,30269,4
84,6402,6402,PRON,PER,I,30402,30403,4
84,6408,6408,PROP,PER,Elinor,30422,30428,4
84,6429,6429,PRON,PER,I,30528,30529,4
84,6463,6463,PROP,PER,Elinor,30696,30702,4
84,6470,6470,PRON,PER,I,30717,30718,4
84,6545,6545,PRON,PER,myself,31111,31117,4
84,6549,6549,PRON,PER,I,31126,31127,4
84,6572,6572,PRON,PER,my,31251,31253,4
84,6575,6575,PRON,PER,I,31262,31263,4
84,6605,6605,PRON,PER,I,31403,31404,4
84,6702,6702,PRON,PER,I,31912,31913,4
84,6709,6709,PRON,PER,I,31937,31938,4
84,6724,6724,PRON,PER,you,31999,32002,4
84,6738,6738,PROP,PER,Elinor,32055,32061,4
84,6747,6747,PRON,PER,you,32085,32088,4
84,6776,6776,PROP,PER,Elinor,32199,32205,4
84,6788,6788,PRON,PER,she,32264,32267,4
84,6799,6799,PRON,PER,She,32312,32315,4
89,6802,6802,PROP,PER,Edward,32326,32332,3
84,6807,6807,PRON,PER,her,32352,32355,4
84,6810,6810,PRON,PER,She,32365,32368,4
84,6819,6819,PRON,PER,she,32407,32410,4
84,6835,6835,PRON,PER,her,32507,32510,4
84,6837,6837,PRON,PER,She,32512,32515,4
84,6870,6870,PRON,PER,She,32666,32669,4
84,6881,6881,PRON,PER,her,32717,32720,4
84,6885,6885,PRON,PER,I,32731,32732,4
84,6894,6894,PRON,PER,she,32763,32766,4
84,6898,6898,PRON,PER,I,32774,32775,4
84,6905,6905,PRON,PER,I,32806,32807,4
84,6910,6910,PRON,PER,I,32829,32830,4
84,6931,6931,PROP,PER,Elinor,32924,32930,4
84,6961,6961,PROP,PER,Elinor,33053,33059,4
84,6969,6969,PRON,PER,me,33093,33095,4
84,6973,6973,PRON,PER,she,33103,33106,4
84,6980,6980,PRON,PER,I,33129,33130,4
84,6985,6985,PRON,PER,you,33151,33154,4
84,6997,6997,PRON,PER,my,33191,33193,4
84,7007,7007,PRON,PER,I,33241,33242,4
84,7033,7033,PRON,PER,me,33355,33357,4
84,7046,7046,PRON,PER,you,33422,33425,4
84,7053,7053,PRON,PER,I,33446,33447,4
84,7063,7063,PRON,PER,me,33489,33491,4
84,7084,7084,PRON,PER,you,33590,33593,4
84,7089,7089,PRON,PER,my,33611,33613,4
84,7096,7096,PRON,PER,my,33652,33654,4
84,7111,7111,PRON,PER,my,33718,33720,4
84,7113,7113,PRON,PER,I,33727,33728,4
88,7156,7156,PROP,PER,Fanny,33939,33944,5
88,7161,7161,PRON,PER,her,33969,33972,5
88,7173,7173,PRON,PER,her,34032,34035,5
