COREF,matches,pdncID
78,[],-1
206,[],-1
79,"[4, 6]",-1
1,[],-1
207,[],-1
208,[],-1
2,[],-1
209,[],-1
210,[],-1
211,[],-1
212,[],-1
213,[],-1
214,[],-1
215,[],-1
216,[],-1
217,[],-1
218,[],-1
80,"[6, 23]",-1
219,[],-1
220,[],-1
221,[],-1
223,[],-1
224,[],-1
225,[],-1
226,[],-1
227,[],-1
81,[],-1
228,[],-1
229,[],-1
230,[],-1
231,[],-1
232,[],-1
233,[],-1
234,[],-1
236,[],-1
237,[],-1
238,[],-1
239,[],-1
241,[],-1
242,[],-1
245,[],-1
246,[],-1
247,[],-1
249,[],-1
250,[],-1
251,[],-1
252,[],-1
253,[],-1
254,[],-1
3,[],-1
255,[],-1
256,[],-1
257,[],-1
258,[],-1
259,[],-1
261,[],-1
264,[],-1
265,[],-1
82,[],-1
266,[],-1
267,[],-1
269,[],-1
270,[],-1
83,"[6, 13, 7, 5]",-1
274,[],-1
276,[],-1
278,[],-1
279,[],-1
280,[],-1
281,[],-1
282,[],-1
284,[],-1
285,[],-1
286,[],-1
287,[],-1
288,[],-1
289,[],-1
291,[],-1
292,[],-1
293,[],-1
84,[4],4
294,[],-1
295,[],-1
296,[],-1
297,[],-1
299,[],-1
85,"[8, 11, 11]",-1
301,[],-1
302,[],-1
303,[],-1
304,[],-1
305,[],-1
86,[10],10
307,[],-1
308,[],-1
310,[],-1
312,[],-1
313,[],-1
314,[],-1
317,[],-1
318,[],-1
319,[],-1
320,[],-1
321,[],-1
322,[],-1
325,[],-1
326,[],-1
327,[],-1
328,[],-1
87,[],-1
329,[],-1
330,[],-1
331,[],-1
332,[],-1
2665,[],-1
2668,[],-1
2669,[],-1
88,[5],5
2670,[],-1
334,[],-1
2671,[],-1
2672,[],-1
2673,[],-1
2674,[],-1
2675,[],-1
2676,[],-1
2677,[],-1
2680,[],-1
336,[],-1
2682,[],-1
2684,[],-1
2686,[],-1
337,[],-1
2687,[],-1
2689,[],-1
2690,[],-1
2691,[],-1
2692,[],-1
2697,[],-1
2698,[],-1
2699,[],-1
2700,[],-1
2702,[],-1
2703,[],-1
2705,[],-1
2707,[],-1
2708,[],-1
2710,[],-1
2711,[],-1
2712,[],-1
2715,[],-1
4,[],-1
2719,[],-1
2720,[],-1
2721,[],-1
2722,[],-1
2723,[],-1
339,[],-1
340,[],-1
342,[],-1
343,[],-1
344,[],-1
345,[],-1
346,[],-1
347,[],-1
348,[],-1
349,[],-1
353,[],-1
358,[],-1
359,[],-1
360,[],-1
363,[],-1
364,[],-1
367,[],-1
89,"[3, 3, 3, 3]",3
368,[],-1
369,[],-1
371,[],-1
372,[],-1
373,[],-1
374,[],-1
378,[],-1
379,[],-1
380,[],-1
381,[],-1
382,[],-1
387,[],-1
388,[],-1
389,[],-1
90,[],-1
2727,[],-1
2728,[],-1
2730,[],-1
2731,[],-1
2732,[],-1
2733,[],-1
91,[],-1
2734,[],-1
2735,[],-1
2736,[],-1
2737,[],-1
2738,[],-1
2739,[],-1
2740,[],-1
2741,[],-1
92,[],-1
2744,[],-1
2747,[],-1
390,[],-1
2750,[],-1
2753,[],-1
395,[],-1
396,[],-1
2755,[],-1
2756,[],-1
2757,[],-1
2759,[],-1
2760,[],-1
403,[],-1
405,[],-1
406,[],-1
93,"[14, 9]",-1
410,[],-1
411,[],-1
413,[],-1
414,[],-1
415,[],-1
416,[],-1
5,[],-1
417,[],-1
418,[],-1
420,[],-1
422,[],-1
6,[],-1
424,[],-1
425,[],-1
7,[],-1
426,[],-1
427,[],-1
428,[],-1
8,[],-1
429,[],-1
430,[],-1
432,[],-1
433,[],-1
434,[],-1
435,[],-1
94,"[7, 7, 7]",7
437,[],-1
440,[],-1
442,[],-1
443,[],-1
445,[],-1
9,[],-1
2763,[],-1
2764,[],-1
2765,[],-1
447,[],-1
451,[],-1
453,[],-1
455,[],-1
456,[],-1
459,[],-1
460,[],-1
461,[],-1
462,[],-1
463,[],-1
464,[],-1
465,[],-1
466,[],-1
467,[],-1
468,[],-1
470,[],-1
95,"[8, 8]",8
471,[],-1
472,[],-1
478,[],-1
479,[],-1
480,[],-1
2767,[],-1
2768,[],-1
485,[],-1
486,[],-1
10,[],-1
487,[],-1
488,[],-1
489,[],-1
490,[],-1
493,[],-1
494,[],-1
496,[],-1
497,[],-1
498,[],-1
499,[],-1
501,[],-1
503,[],-1
504,[],-1
505,[],-1
508,[],-1
509,[],-1
510,[],-1
512,[],-1
513,[],-1
514,[],-1
515,[],-1
518,[],-1
520,[],-1
2769,[],-1
2770,[],-1
2771,[],-1
2772,[],-1
2773,[],-1
2775,[],-1
2776,[],-1
2779,[],-1
521,[],-1
522,[],-1
524,[],-1
525,[],-1
526,[],-1
527,[],-1
528,[],-1
529,[],-1
530,[],-1
531,[],-1
533,[],-1
534,[],-1
535,[],-1
537,[],-1
538,[],-1
539,[],-1
543,[],-1
544,[],-1
545,[],-1
548,[],-1
550,[],-1
558,[],-1
97,[],-1
560,[],-1
561,[],-1
563,[],-1
565,[],-1
567,[],-1
568,[],-1
573,[],-1
574,[],-1
576,[],-1
578,[],-1
579,[],-1
580,[],-1
581,[],-1
582,[],-1
583,[],-1
584,[],-1
585,[],-1
586,[],-1
587,[],-1
588,[],-1
591,[],-1
592,[],-1
593,[],-1
596,[],-1
597,[],-1
598,[],-1
599,[],-1
600,[],-1
602,[],-1
603,[],-1
605,[],-1
606,[],-1
610,[],-1
98,[15],15
611,[],-1
612,[],-1
613,[],-1
614,[],-1
99,"[2, 2, 2, 2]",2
616,[],-1
617,[7],7
618,[],-1
621,[],-1
622,[],-1
623,[],-1
624,[],-1
626,[],-1
631,[],-1
632,[],-1
634,[],-1
635,"[2, 2]",2
636,[],-1
637,[],-1
638,[],-1
640,[],-1
641,[],-1
642,[],-1
643,[],-1
644,[],-1
646,[],-1
647,[],-1
652,[],-1
653,[],-1
2780,[],-1
2783,[],-1
2784,[],-1
2785,[],-1
2786,[],-1
2787,[],-1
2788,[],-1
2792,[],-1
2793,[],-1
2795,[],-1
2796,[],-1
2797,[],-1
2799,[],-1
2801,[],-1
2803,[],-1
659,[],-1
661,[],-1
663,[],-1
664,[],-1
667,[],-1
668,[],-1
670,[],-1
11,[],-1
671,[],-1
673,[],-1
674,[],-1
675,[],-1
678,[],-1
680,[],-1
681,[],-1
682,[],-1
683,[],-1
684,[],-1
685,[],-1
688,[],-1
689,[],-1
690,[],-1
691,[],-1
693,[],-1
697,[],-1
699,[],-1
101,"[12, 12]",12
702,[],-1
703,[],-1
706,[],-1
708,[],-1
709,[],-1
710,[],-1
2810,[],-1
2811,[],-1
2812,[],-1
12,[],-1
2813,[],-1
2814,[],-1
2815,[],-1
711,[],-1
714,[],-1
13,[],-1
2816,[],-1
14,[],-1
2817,[],-1
2818,[],-1
2819,[],-1
2820,[],-1
2821,[],-1
2822,[],-1
2823,[],-1
2824,[],-1
2825,[],-1
2828,[],-1
102,[],-1
716,[],-1
717,[],-1
719,[],-1
721,[],-1
722,[],-1
723,[],-1
103,[],-1
2830,[],-1
725,[],-1
2832,[],-1
727,[],-1
728,[],-1
730,[],-1
732,[],-1
734,[],-1
735,[],-1
737,[],-1
738,[],-1
740,[],-1
741,[],-1
2833,[],-1
742,[],-1
2834,[],-1
2835,[],-1
2837,[],-1
2842,[],-1
2843,[],-1
2845,[],-1
2846,[],-1
15,[],-1
2848,[],-1
2849,[],-1
2850,[],-1
104,[],-1
744,[],-1
747,[],-1
748,[],-1
751,[],-1
753,[],-1
754,[],-1
755,[],-1
756,[],-1
105,[],-1
762,[],-1
765,[],-1
766,[],-1
767,[],-1
769,[],-1
772,[],-1
2852,[],-1
2853,[],-1
2854,[],-1
2856,[],-1
2860,[],-1
2861,[],-1
2862,[],-1
2864,[],-1
777,[],-1
778,[],-1
780,[],-1
781,[],-1
782,[],-1
783,[],-1
2865,[],-1
2866,[],-1
2868,[],-1
2869,[],-1
785,[],-1
786,[],-1
788,[],-1
789,[],-1
2872,[],-1
2874,[],-1
2875,[],-1
2876,[],-1
792,[],-1
2877,[],-1
2878,[],-1
106,[],-1
796,[],-1
798,[],-1
800,[],-1
2879,[],-1
2881,[],-1
2882,[],-1
803,[],-1
805,[],-1
806,[],-1
2885,[],-1
2887,[],-1
2888,[],-1
2889,[],-1
2890,[],-1
2891,[],-1
2892,[],-1
808,[],-1
812,[],-1
813,[],-1
814,[],-1
815,[],-1
816,[],-1
817,[],-1
818,[],-1
819,[],-1
820,[],-1
821,[],-1
107,[],-1
16,[],-1
824,[],-1
826,[],-1
17,[],-1
2896,[],-1
2897,[],-1
2898,[],-1
2899,[],-1
2900,[2],2
831,[],-1
832,[],-1
2906,[],-1
108,[],-1
2908,[],-1
2909,[],-1
109,[],-1
18,[],-1
2911,[],-1
834,[],-1
2914,[],-1
110,[],-1
2919,[],-1
838,[],-1
839,[],-1
111,[],-1
2921,[],-1
2922,[],-1
2924,[],-1
2925,[],-1
2927,[],-1
840,[],-1
842,[],-1
843,[],-1
845,[],-1
846,[],-1
850,[],-1
851,[],-1
2929,[],-1
112,[],-1
2930,[],-1
852,[],-1
853,[],-1
854,[],-1
113,[],-1
858,[],-1
2935,[],-1
2936,[],-1
2937,[],-1
2938,[],-1
2939,[],-1
2940,[],-1
2941,[],-1
859,[],-1
2944,[],-1
2945,[],-1
2946,[],-1
2947,[],-1
2949,[],-1
2950,[],-1
2951,[],-1
2952,[],-1
2953,[],-1
2954,[],-1
862,[],-1
865,[],-1
2955,[],-1
2956,[],-1
19,[],-1
2957,[],-1
2960,[],-1
2963,[],-1
867,[],-1
870,[],-1
874,[],-1
879,[],-1
883,[],-1
2964,[],-1
2966,[],-1
2968,[],-1
2969,[],-1
2970,[],-1
124,[],-1
2971,[],-1
2972,[],-1
2974,[],-1
2975,[],-1
884,[],-1
2979,[],-1
2980,[],-1
2981,[],-1
2983,[],-1
2984,[],-1
2986,[],-1
2988,[],-1
885,[],-1
886,[],-1
891,[],-1
892,[],-1
895,[],-1
897,[],-1
2990,[],-1
21,[],-1
898,[],-1
2991,[],-1
2992,[],-1
2993,[],-1
900,[],-1
902,[],-1
909,[],-1
2998,[],-1
2999,[],-1
3000,[],-1
3002,[],-1
3004,[],-1
3005,[],-1
3007,[],-1
3008,[],-1
3009,[],-1
3010,[],-1
3011,[],-1
3013,[],-1
3015,[],-1
3017,[],-1
3018,[],-1
3019,[],-1
3020,[],-1
3022,[],-1
3025,[],-1
3027,[],-1
912,[],-1
921,[],-1
922,[],-1
923,[],-1
925,[],-1
3032,[],-1
928,[],-1
930,[],-1
3036,[],-1
114,[],-1
933,[],-1
938,[],-1
940,[],-1
941,[],-1
943,[],-1
945,[],-1
946,[],-1
948,[],-1
949,[],-1
950,[],-1
951,[],-1
3038,[],-1
952,[],-1
955,[],-1
956,[],-1
958,[],-1
960,[],-1
962,[],-1
965,[],-1
966,[],-1
22,[],-1
3039,[],-1
3040,[],-1
3041,[],-1
967,[],-1
3043,[],-1
3044,[],-1
3045,[],-1
3046,[],-1
3047,[],-1
3049,[],-1
3050,[],-1
3051,[],-1
3052,[],-1
3053,[],-1
3054,[],-1
3055,[],-1
3056,[],-1
3057,[],-1
3058,[],-1
3059,[],-1
969,[],-1
970,[],-1
971,[],-1
972,[],-1
975,[],-1
977,[],-1
978,[],-1
980,[],-1
3060,[],-1
3062,[],-1
3063,[],-1
3064,[],-1
3066,[],-1
3067,[],-1
3068,[],-1
3069,[],-1
3071,[],-1
3073,[],-1
3074,[],-1
982,[],-1
115,[],-1
3077,[],-1
3078,[],-1
3079,[],-1
3081,[],-1
3082,[],-1
3083,[],-1
3084,[],-1
116,[],-1
3085,[],-1
3086,[],-1
3087,[],-1
3088,[],-1
3089,[],-1
983,[],-1
3091,[],-1
3095,[],-1
3097,[],-1
3098,[],-1
