exp_name,text,start_byte,end_byte,pdncID
mrs. robert ferrars,Mrs. Robert Ferrars,630036,630055,9
sir john middleton,Sir John Middleton,38644,38662,7
sir john middleton,Sir John Middleton,44412,44430,7
sir john middleton,Sir John Middleton,49680,49698,7
sir john middleton,Sir John Middleton,67628,67646,7
sir john middleton,Sir John Middleton,212499,212517,7
sir john middleton,Sir John Middleton,577891,577909,7
mrs. john dashwood,Mrs. John Dashwood,4870,4888,5
mrs. john dashwood,Mrs. John Dashwood,5695,5713,5
mrs. john dashwood,Mrs. John Dashwood,6285,6303,5
mrs. john dashwood,Mrs. John Dashwood,8961,8979,5
mrs. john dashwood,Mrs. John Dashwood,9945,9963,5
mrs. john dashwood,Mrs. John Dashwood,18473,18491,5
mrs. john dashwood,Mrs. John Dashwood,21936,21954,5
mrs. john dashwood,Mrs. John Dashwood,23702,23720,5
mrs. john dashwood,Mrs. John Dashwood,39832,39850,5
mrs. john dashwood,Mrs. John Dashwood,40614,40632,5
mrs. john dashwood,Mrs. John Dashwood,41033,41051,5
mrs. john dashwood,Mrs. John Dashwood,41714,41732,5
mrs. john dashwood,Mrs. John Dashwood,224213,224231,5
mrs. john dashwood,Mrs. John Dashwood,252462,252480,5
mrs. john dashwood,Mrs. John Dashwood,252541,252559,5
mrs. john dashwood,Mrs. John Dashwood,384139,384157,5
mrs. john dashwood,Mrs. John Dashwood,395373,395391,5
mrs. john dashwood,Mrs. John Dashwood,396050,396068,5
mrs. john dashwood,Mrs. John Dashwood,399366,399384,5
mrs. john dashwood,Mrs. John Dashwood,399858,399876,5
mrs. john dashwood,Mrs. John Dashwood,427946,427964,5
mrs. john dashwood,Mrs. John Dashwood,428888,428906,5
mrs. john dashwood,Mrs. John Dashwood,440368,440386,5
mrs. john dashwood,Mrs. John Dashwood,509652,509670,5
mrs. john dashwood,Mrs. John Dashwood,521533,521551,5
colonel brandon,Colonel Brandon,57535,57550,2
colonel brandon,Colonel Brandon,58262,58277,2
colonel brandon,Colonel Brandon,59513,59528,2
colonel brandon,Colonel Brandon,60952,60967,2
colonel brandon,Colonel Brandon,61450,61465,2
colonel brandon,Colonel Brandon,62602,62617,2
colonel brandon,Colonel Brandon,62949,62964,2
colonel brandon,Colonel Brandon,63509,63524,2
colonel brandon,Colonel Brandon,63925,63940,2
colonel brandon,Colonel Brandon,64886,64901,2
colonel brandon,Colonel Brandon,84519,84534,2
colonel brandon,Colonel Brandon,85310,85325,2
colonel brandon,Colonel Brandon,89274,89289,2
colonel brandon,Colonel Brandon,94258,94273,2
