source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,dashwood,Dashwood,74,82,6
exp,exp_name,dashwood,Dashwood,727,735,6
exp,exp_name,dashwood,Dashwood,1023,1031,6
exp,exp_name,dashwood,Dashwood,1288,1296,6
exp,exp_name,mr. dashwood,Mr. Dashwood,2331,2343,6
exp,exp_name,mr. dashwood,Mr. Dashwood,3327,3339,6
exp,exp_name,mr. dashwood,Mr. Dashwood,3901,3913,6
exp,exp_name,john dashwood,John Dashwood,4042,4055,6
exp,exp_name,john dashwood,John Dashwood,4316,4329,6
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,4870,4888,5
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,5695,5713,5
exp,exp_name,mrs. dashwood,Mrs. Dashwood,6012,6025,13
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,6285,6303,5
exp,exp_name,mrs. dashwood,Mrs. Dashwood,6545,6558,13
exp,exp_name,elinor,Elinor,6969,6975,4
booknlp,COREF,84,her,7111,7114,4
booknlp,COREF,84,her,7162,7165,4
booknlp,COREF,84,her,7186,7189,4
exp,exp_name,mrs. dashwood,Mrs. Dashwood,7272,7285,13
booknlp,COREF,84,She,7331,7334,4
booknlp,COREF,84,her,7359,7362,4
booknlp,COREF,84,her,7397,7400,4
booknlp,COREF,84,she,7427,7430,4
booknlp,COREF,84,her,7481,7484,4
booknlp,COREF,84,her,7527,7530,4
exp,exp_name,marianne,Marianne,7573,7581,11
exp,exp_name,elinor,Elinor,7633,7639,4
booknlp,COREF,84,her,7850,7853,4
exp,exp_name,elinor,Elinor,7884,7890,4
booknlp,COREF,84,her,7924,7927,4
exp,exp_name,mrs. dashwood,Mrs. Dashwood,7957,7970,13
exp,exp_name,elinor,Elinor,8372,8378,4
booknlp,COREF,84,she,8417,8420,4
booknlp,COREF,84,she,8437,8440,4
booknlp,COREF,84,herself,8453,8460,4
booknlp,COREF,84,She,8462,8465,4
booknlp,COREF,84,her,8485,8488,4
booknlp,COREF,84,her,8512,8515,4
booknlp,COREF,84,her,8533,8536,4
booknlp,COREF,84,her,8556,8559,4
booknlp,COREF,84,her,8609,8612,4
exp,exp_name,margaret,Margaret,8684,8692,10
booknlp,COREF,86,she,8759,8762,10
exp,exp_name,marianne,Marianne,8798,8806,11
booknlp,COREF,86,her,8841,8844,10
booknlp,COREF,86,she,8852,8855,10
booknlp,COREF,86,her,8896,8899,10
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,8961,8979,5
exp,exp_name,mrs. dashwood,Mrs. Dashwood,9404,9417,13
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,9945,9963,5
exp,exp_name,harry,Harry,10674,10679,23
pdnc,qID,Q0-1,his widow,10816,10825,13
pdnc,qID,Q1-0,He,10844,10846,6
pdnc,qID,Q1-0,he,10865,10867,6
pdnc,qID,Q1-0,he,10911,10913,6
pdnc,qID,Q1-0,he,10948,10950,6
pdnc,qID,Q1-0,his,10959,10962,6
pdnc,qID,Q1-0,he,10977,10979,6
pdnc,qID,Q1-0,you,11030,11033,6
pdnc,qID,Q2-0,He,11089,11091,6
pdnc,qID,Q2-0,my dear Fanny,11134,11147,5
pdnc,qID,Q2-0,he,11149,11151,6
pdnc,qID,Q2-0,their,11214,11219,4
pdnc,qID,Q2-0,his,11262,11265,6
pdnc,qID,Q2-0,he,11317,11319,6
pdnc,qID,Q2-0,He,11350,11352,6
pdnc,qID,Q2-0,he,11404,11406,6
pdnc,qID,Q4-1,Harry,12055,12060,23
pdnc,qID,Q4-1,he,12113,12115,23
pdnc,qID,Q7-0,his,12464,12467,6
pdnc,qID,Q7-0,his,12494,12497,6
pdnc,qID,Q7-0,you,12541,12544,6
pdnc,qID,Q9-1,you,12934,12937,6
pdnc,qID,Q12-0,she,13639,13642,13
pdnc,qID,Q13-1,Mrs. Dashwood,14013,14026,13
pdnc,qID,Q14-0,my dear Fanny,14104,14117,5
pdnc,qID,Q14-0,her,14119,14122,13
pdnc,qID,Q15-0,you,14189,14192,6
