qID,menText,start_byte,end_byte,matches,pdncID
Q0-1,his widow,10816,10825,[13],13
Q0-1,daughters,10830,10839,"[11, 10, 4]",-1
Q1-0,He,10844,10846,[6],6
Q1-0,he,10865,10867,[6],6
Q1-0,he,10911,10913,[6],6
Q1-0,he,10948,10950,[6],6
Q1-0,his,10959,10962,[6],6
Q1-0,he,10977,10979,[6],6
Q1-0,you,11030,11033,[6],6
Q2-0,He,11089,11091,[6],6
Q2-0,my dear Fanny,11134,11147,[5],5
Q2-0,he,11149,11151,[6],6
Q2-0,them,11199,11203,"[13, 11, 4, 10]",-1
Q2-0,their,11214,11219,[4],4
Q2-0,his,11262,11265,[6],6
Q2-0,he,11317,11319,[6],6
Q2-0,He,11350,11352,[6],6
Q2-0,them,11391,11395,"[13, 11, 4, 10]",-1
Q2-0,he,11404,11406,[6],6
Q2-0,them,11583,11587,"[13, 11, 4, 10]",-1
Q2-0,they,11597,11601,"[13, 11, 4, 10]",-1
Q3-0,them,11685,11689,"[13, 11, 4, 10]",-1
Q4-1,Harry,12055,12060,[23],23
Q4-1,he,12113,12115,[23],23
Q6-0,their,12370,12375,"[11, 4, 10]",-1
Q7-0,his,12464,12467,[6],6
Q7-0,his,12494,12497,[6],6
Q7-0,you,12541,12544,[6],6
Q8-1,them,12749,12753,"[13, 11, 4, 10]",-1
Q8-1,they,12772,12776,"[13, 11, 4, 10]",-1
Q9-0,they,12830,12834,"[13, 11, 4, 10]",-1
Q9-1,their,12892,12897,"[13, 11, 4, 10]",-1
Q9-1,you,12934,12937,[6],6
Q10-0,them,13002,13006,"[11, 4, 10]",-1
Q10-0,they,13076,13080,"[11, 4, 10]",-1
Q11-0,they,13249,13253,"[11, 4, 10]",-1
Q11-0,They,13283,13287,"[11, 4, 10]",-1
Q11-0,they,13343,13347,"[11, 4, 10]",-1
Q11-0,they,13355,13359,"[11, 4, 10]",-1
Q11-0,they,13395,13399,"[11, 4, 10]",-1
Q11-0,they,13408,13412,"[11, 4, 10]",-1
Q12-0,she,13639,13642,[13],13
Q12-0,them,13666,13670,"[11, 4, 10]",-1
Q12-0,My sisters,13709,13719,"[4, 10, 11]",-1
Q12-0,them,13802,13806,"[11, 4, 10]",-1
Q13-1,Mrs. Dashwood,14013,14026,[13],13
Q14-0,my dear Fanny,14104,14117,[5],5
Q14-0,her,14119,14122,[13],13
Q15-0,you,14189,14192,[6],6
Q15-0,them,14266,14270,[7],7
Q15-0,she,14276,14279,[13],13
Q15-0,You,14434,14437,[6],6
Q15-0,you,14460,14463,[6],6
Q15-0,my mother,14534,14543,[14],14
Q15-0,she,14668,14671,[14],14
Q15-0,them,14780,14784,[12],12
Q15-0,them,14802,14806,[3],3
Q15-0,My mother,14880,14889,[14],14
Q15-0,Her,14912,14915,[14],14
Q15-0,her,14931,14934,[14],14
Q15-0,she,14940,14943,[14],14
Q15-0,my mother,15083,15092,[14],14
Q17-0,you,15615,15618,[6],6
Q17-0,They,15642,15646,"[4, 10, 11, 13]",-1
Q17-0,you,15672,15675,[6],6
Q17-0,you,15755,15758,[6],6
Q17-0,them,15854,15858,"[13, 11, 4, 10]",-1
Q18-0,you,15993,15996,[5],5
Q18-0,my love,16008,16015,[5],5
Q18-0,them,16100,16104,"[13, 11, 4, 10]",-1
Q18-0,they,16185,16189,"[13, 11, 4, 10]",-1
Q18-0,their,16209,16214,"[13, 11, 4, 10]",-1
Q18-0,they,16234,16238,"[13, 11, 4, 10]",-1
Q18-0,their,16431,16436,"[13, 11, 4, 10]",-1
Q19-0,your,16618,16622,[6],6
Q19-0,your,16645,16649,[6],6
Q19-0,them,16657,16661,"[13, 11, 4, 10]",-1
Q19-0,he,16695,16697,[6],6
Q19-0,you,16771,16774,[6],6
Q19-0,them,16844,16848,"[13, 11, 4, 10]",-1
Q19-0,them,16858,16862,"[13, 11, 4, 10]",-1
Q19-0,their,16871,16876,"[13, 11, 4, 10]",-1
Q19-0,them,16897,16901,"[13, 11, 4, 10]",-1
Q19-0,he,16994,16996,[6],6
Q19-0,he,17073,17075,[6],6
Q19-0,my dear Mr. Dashwood,17098,17118,[6],6
Q19-0,your mother-in-law,17148,17166,[13],13
Q19-0,the girls,17285,17294,"[4, 10, 11]",-1
Q19-0,them,17309,17313,"[11, 4, 10]",-1
Q19-0,they,17362,17366,"[11, 4, 10]",-1
Q19-0,their,17393,17398,"[11, 4, 10]",-1
Q19-0,they,17428,17432,"[11, 4, 10]",-1
Q19-0,them,17471,17475,"[11, 4, 10]",-1
Q19-0,They,17535,17539,"[13, 11, 4, 10]",-1
Q19-0,Their,17560,17565,"[13, 11, 4, 10]",-1
Q19-0,They,17603,17607,"[13, 11, 4, 10]",-1
Q19-0,they,17667,17671,"[13, 11, 4, 10]",-1
Q19-0,they,17762,17766,"[13, 11, 4, 10]",-1
Q19-0,they,17828,17832,"[13, 11, 4, 10]",-1
Q19-0,your,17866,17870,[6],6
Q19-0,them,17878,17882,"[13, 11, 4, 10]",-1
Q19-0,They,17924,17928,"[13, 11, 4, 10]",-1
Q19-0,you,17961,17964,[6],6
Q20-1,you,18025,18028,[5],5
Q20-1,his,18097,18100,[6],6
Q20-1,you,18125,18128,[5],5
Q20-1,them,18247,18251,"[13, 11, 4, 10]",-1
Q20-1,you,18255,18258,[5],5
Q20-1,my mother,18280,18289,[13],13
Q20-1,her,18367,18370,[13],13
Q21-1,your,18545,18549,[6],6
Q21-1,your mother,18691,18702,[13],13
Q23-0,they,19098,19102,"[13, 11, 4, 10]",-1
