COREF,matches,pdncID
105,"[14, 14, 14]",14
0,[],-1
195,[],-1
196,[],-1
106,"[21, 21]",21
702,[],-1
703,[],-1
704,[],-1
197,[],-1
705,[],-1
706,[],-1
707,[],-1
708,[],-1
709,[],-1
107,[],-1
108,[],-1
109,"[3, 3, 3, 3]",3
710,[],-1
711,[],-1
712,[],-1
713,[],-1
1,[],-1
198,[],-1
199,[],-1
2,[],-1
110,[],-1
714,[],-1
715,[],-1
3,[],-1
4,[],-1
201,[],-1
716,[],-1
717,[],-1
718,[],-1
719,[],-1
720,[],-1
5,[],-1
721,[],-1
722,[],-1
723,[],-1
724,[],-1
725,[],-1
726,[],-1
727,[],-1
728,[],-1
202,[],-1
729,[],-1
730,[],-1
731,[],-1
732,[],-1
733,[],-1
734,[],-1
735,[],-1
203,[],-1
736,[],-1
737,[],-1
738,[],-1
739,[],-1
740,[],-1
111,[],-1
741,[],-1
742,[],-1
744,[],-1
205,[],-1
745,[],-1
206,[],-1
746,[],-1
207,[],-1
747,[],-1
748,[],-1
749,[],-1
750,[],-1
751,[],-1
752,[],-1
753,[],-1
208,[],-1
754,[],-1
6,[],-1
210,[],-1
756,[],-1
757,[],-1
758,[],-1
759,[],-1
760,[],-1
761,[],-1
762,[],-1
763,[],-1
209,[],-1
764,[],-1
765,[],-1
112,"[12, 12, 12, 12, 5]",-1
766,[],-1
113,[17],17
213,[],-1
214,[],-1
215,[],-1
768,[],-1
114,"[16, 24]",-1
769,[],-1
770,[],-1
771,[],-1
772,[],-1
773,[],-1
774,[],-1
775,[],-1
776,[],-1
777,[],-1
7,[],-1
779,[],-1
780,[],-1
8,[],-1
782,[],-1
783,[],-1
115,"[5, 5]",5
784,[],-1
785,[],-1
786,[],-1
787,[],-1
788,[],-1
789,[],-1
217,[],-1
792,[],-1
9,[],-1
793,[],-1
794,[],-1
795,[],-1
796,[],-1
797,[],-1
116,"[33, 11, 19]",-1
798,[],-1
799,[],-1
10,[],-1
800,[],-1
11,[],-1
801,[],-1
218,[],-1
802,[],-1
803,[],-1
804,[],-1
805,[],-1
807,[],-1
808,[],-1
809,[],-1
810,[],-1
811,[],-1
812,[],-1
813,[],-1
814,[],-1
815,[],-1
219,[],-1
816,[],-1
817,[],-1
818,[],-1
820,[],-1
821,[],-1
822,[],-1
823,[],-1
220,[],-1
221,[],-1
222,[],-1
224,[],-1
825,[],-1
826,[],-1
827,[],-1
828,[],-1
829,[],-1
830,[],-1
831,[],-1
832,[],-1
833,[],-1
834,[],-1
835,[],-1
836,[],-1
117,[],-1
226,[],-1
227,[],-1
228,[],-1
229,[],-1
230,[],-1
839,[],-1
840,[],-1
842,[],-1
843,[],-1
845,[],-1
846,[],-1
232,[],-1
233,[],-1
847,[],-1
848,[],-1
850,[],-1
851,[],-1
852,[],-1
853,[],-1
855,[],-1
856,[],-1
857,[],-1
858,[],-1
859,[],-1
860,[],-1
118,"[23, 25]",-1
119,[10],10
120,[1],1
121,[6],6
861,[],-1
234,[],-1
235,[],-1
236,[],-1
237,[],-1
238,[],-1
239,[],-1
240,[],-1
241,[],-1
242,[],-1
244,[],-1
245,[],-1
246,[],-1
247,[],-1
248,[],-1
249,[],-1
862,[],-1
863,[],-1
864,[],-1
865,[],-1
866,[],-1
867,[],-1
251,[],-1
252,[],-1
253,[],-1
254,[],-1
12,[],-1
255,[],-1
257,[],-1
258,[],-1
13,[],-1
14,[],-1
15,[],-1
16,[],-1
868,[],-1
869,[],-1
259,[],-1
17,[],-1
260,[],-1
261,[],-1
18,[],-1
19,[],-1
20,[],-1
21,[],-1
22,[],-1
23,[],-1
870,[],-1
263,[],-1
264,[],-1
265,[],-1
266,[],-1
267,[],-1
268,[],-1
269,[],-1
271,[],-1
272,[],-1
273,[],-1
274,[],-1
275,[],-1
276,[],-1
122,[34],34
277,[],-1
871,[],-1
872,[8],8
278,[],-1
279,[],-1
280,[],-1
281,[],-1
123,[],-1
873,[],-1
874,[],-1
876,[],-1
877,[],-1
878,[],-1
880,[],-1
881,[],-1
282,[],-1
283,[],-1
284,[],-1
124,"[19, 19, 19, 19, 19, 19]",19
286,[],-1
882,[],-1
883,[],-1
884,[],-1
885,[],-1
287,[],-1
125,"[4, 4]",4
887,[],-1
888,[],-1
889,[],-1
890,[],-1
891,[],-1
288,[],-1
126,[],-1
127,[],-1
289,[],-1
290,[],-1
892,[],-1
893,[],-1
128,[28],28
894,[],-1
895,[],-1
896,[],-1
897,[],-1
898,[],-1
899,[],-1
129,[],-1
130,[],-1
291,[],-1
900,[],-1
24,[],-1
901,[],-1
902,[],-1
904,[],-1
25,[],-1
26,[],-1
905,[],-1
906,[],-1
907,[],-1
908,[],-1
909,[],-1
910,[],-1
911,[],-1
912,[],-1
131,"[5, 5]",5
914,[],-1
915,[],-1
916,[],-1
917,[],-1
918,[],-1
919,[],-1
921,[],-1
922,[],-1
923,[],-1
924,[],-1
927,[],-1
928,[],-1
930,[],-1
932,[],-1
133,[],-1
933,[5],5
934,[],-1
293,[],-1
935,[],-1
936,[],-1
937,[],-1
294,[],-1
295,[],-1
296,[],-1
938,[],-1
939,[],-1
940,[],-1
944,[],-1
945,[],-1
947,[],-1
948,[],-1
298,[],-1
299,[],-1
956,[],-1
959,[],-1
301,[],-1
960,[],-1
961,[],-1
134,[],-1
962,[],-1
304,[],-1
305,[],-1
306,[],-1
964,[],-1
965,[],-1
966,[],-1
968,[],-1
969,[],-1
971,[],-1
309,[],-1
310,[],-1
311,[],-1
312,[],-1
313,[],-1
316,[],-1
317,[],-1
319,[],-1
320,[],-1
321,[],-1
322,[],-1
323,[],-1
135,[],-1
324,[],-1
973,[],-1
974,[],-1
976,[],-1
980,[],-1
325,[30],30
981,[],-1
983,[],-1
985,[],-1
987,[],-1
136,[],-1
988,[],-1
326,[],-1
989,[],-1
990,[],-1
991,[],-1
327,[],-1
328,[],-1
995,[],-1
996,[],-1
997,[],-1
999,[],-1
1001,[],-1
1002,[],-1
137,[15],15
331,[],-1
1003,[],-1
332,[],-1
333,[],-1
1005,[],-1
334,[],-1
337,[],-1
339,[],-1
341,[],-1
1010,[],-1
28,[],-1
1011,[],-1
1012,[],-1
1013,[],-1
1015,[],-1
343,[],-1
344,[],-1
346,[],-1
348,[],-1
1017,[],-1
138,"[19, 4]",-1
350,[],-1
351,[],-1
352,[],-1
353,[],-1
354,[],-1
357,[],-1
358,[],-1
359,[],-1
360,[],-1
361,[],-1
362,[],-1
364,[],-1
365,[],-1
139,[],-1
367,[],-1
368,[],-1
369,[],-1
1018,[],-1
1019,[],-1
1020,[],-1
1021,[],-1
1023,[],-1
370,[],-1
372,[],-1
373,[],-1
374,[],-1
1029,[],-1
1031,[],-1
1032,[],-1
1033,[],-1
376,[],-1
1035,[],-1
377,[],-1
1036,[],-1
1037,[],-1
1038,[],-1
1039,[],-1
1040,[],-1
1041,[],-1
1043,[],-1
1044,[],-1
1045,[],-1
1047,[],-1
29,[],-1
1048,[],-1
1050,[],-1
1051,[],-1
378,[],-1
379,[],-1
380,[],-1
140,[],-1
382,[],-1
383,[],-1
384,[],-1
386,[],-1
1054,[],-1
1055,[],-1
1056,[],-1
1057,[],-1
1058,[],-1
1059,[],-1
1060,[],-1
1061,[],-1
1062,[],-1
1065,[],-1
1066,[],-1
388,[],-1
390,[],-1
1068,[],-1
1069,[],-1
1070,[],-1
1074,[],-1
1077,[],-1
1079,[],-1
1084,[],-1
391,[],-1
1086,[],-1
1087,[],-1
392,[],-1
394,[],-1
395,[],-1
1088,[],-1
1089,[],-1
1091,[],-1
397,[],-1
399,[],-1
141,[],-1
400,[],-1
1093,[],-1
1094,[],-1
1095,[],-1
1096,[],-1
1097,[],-1
1098,[],-1
1099,[],-1
1101,[],-1
1102,[],-1
401,[],-1
1103,[],-1
1104,[],-1
30,[],-1
402,[],-1
1106,[],-1
1107,[],-1
1108,[],-1
31,[],-1
1109,[],-1
32,[],-1
1110,[],-1
1111,[],-1
142,"[31, 31]",31
143,[27],27
1113,[],-1
1114,[],-1
403,[],-1
1115,[],-1
1116,[],-1
1117,[],-1
144,[],-1
404,[],-1
405,[],-1
406,[],-1
407,[],-1
411,[],-1
412,[],-1
413,[],-1
414,[],-1
415,[],-1
416,[],-1
417,[],-1
418,[],-1
419,[],-1
420,[],-1
421,[],-1
422,[],-1
423,[],-1
424,[],-1
425,[],-1
426,[],-1
427,[],-1
428,[],-1
429,[],-1
33,[],-1
1118,[],-1
430,[],-1
1119,[],-1
1121,[],-1
1123,[],-1
1125,[],-1
1126,[],-1
1128,[],-1
431,[],-1
432,[],-1
433,[],-1
434,[],-1
435,[],-1
436,[],-1
437,[],-1
439,[],-1
440,[],-1
442,[],-1
1129,[],-1
145,[],-1
1130,[],-1
1131,[],-1
444,[],-1
1134,[],-1
1135,[],-1
1136,[],-1
446,[],-1
447,[],-1
449,[],-1
1141,[],-1
1142,[],-1
146,[],-1
452,[],-1
1145,[],-1
1146,[],-1
453,[],-1
1147,[],-1
1148,[],-1
454,[],-1
455,[],-1
456,[],-1
457,[],-1
459,[],-1
1149,[],-1
1150,[],-1
460,[],-1
1151,[],-1
1152,[],-1
1153,[],-1
147,[],-1
1155,[],-1
1156,[],-1
1157,[],-1
1158,[],-1
1159,[],-1
1160,[],-1
1161,[],-1
1163,[],-1
461,[],-1
1166,[],-1
1168,[],-1
1169,[],-1
1170,[],-1
1171,[],-1
148,[],-1
149,[],-1
1172,[],-1
1173,[],-1
1175,[],-1
1176,[],-1
1177,[],-1
1179,[],-1
150,[9],9
1180,[25],25
1183,[],-1
1184,[],-1
1186,[],-1
1187,[],-1
1188,[],-1
1192,[],-1
1193,[],-1
1194,[],-1
1195,[],-1
1196,[],-1
1197,[],-1
1198,[],-1
1199,[],-1
1200,[],-1
1201,[],-1
1203,[],-1
1204,[],-1
1205,[],-1
1207,[],-1
1208,[],-1
1209,[],-1
151,[],-1
34,[],-1
1210,[],-1
1211,[],-1
152,[],-1
1213,[],-1
1214,[],-1
1215,[],-1
462,[],-1
463,[],-1
464,[],-1
465,[],-1
466,[],-1
467,[],-1
468,[],-1
469,[],-1
470,[],-1
471,[],-1
35,[],-1
36,[],-1
37,[],-1
38,[],-1
472,[],-1
473,[],-1
474,[],-1
475,[],-1
476,[],-1
477,[],-1
478,[],-1
39,[],-1
40,[],-1
479,[],-1
153,[],-1
41,[],-1
481,[],-1
42,[],-1
43,[],-1
154,[],-1
482,[],-1
483,[],-1
484,[],-1
485,[],-1
486,[],-1
487,[],-1
488,[],-1
489,[14],14
491,[],-1
492,[],-1
1218,[],-1
1219,[],-1
1220,[],-1
493,[],-1
1221,[],-1
1223,[],-1
494,[],-1
44,[],-1
45,[],-1
46,[],-1
495,[],-1
496,[],-1
497,[],-1
1224,[],-1
1225,[],-1
498,[],-1
499,[],-1
500,[],-1
501,[],-1
155,"[13, 13]",13
502,[],-1
504,[],-1
505,[],-1
156,[7],7
1228,[],-1
1231,[],-1
1232,[],-1
1233,[],-1
506,[],-1
507,[],-1
1234,[],-1
1235,[],-1
157,"[18, 18]",18
1241,[],-1
1243,[],-1
1244,[],-1
47,[],-1
1245,[],-1
48,[],-1
1247,[],-1
1248,[],-1
1251,[],-1
1252,[],-1
1255,[],-1
1256,[],-1
1259,[],-1
1260,[],-1
1262,[],-1
158,[],-1
1264,[],-1
1265,[],-1
1266,[],-1
1268,[],-1
1269,[],-1
1274,[],-1
508,[],-1
1276,[],-1
509,[],-1
1278,[],-1
1279,[],-1
1280,[],-1
1281,[],-1
49,[],-1
1282,[],-1
1284,[],-1
1285,[],-1
1286,[],-1
1287,[],-1
1290,[],-1
1291,[],-1
510,[],-1
50,[],-1
1293,[],-1
1294,[],-1
511,[],-1
1295,[],-1
1296,[],-1
1297,[],-1
1298,[],-1
159,[22],22
1299,[],-1
1300,[],-1
513,[],-1
514,[],-1
515,[],-1
51,[],-1
516,[],-1
517,[],-1
160,[],-1
1301,[],-1
1302,[],-1
1304,[],-1
1305,[],-1
1306,[],-1
1308,[],-1
1309,[],-1
1310,[],-1
1311,[],-1
1312,[],-1
1316,[],-1
1317,[],-1
1318,[],-1
1319,[],-1
1321,[],-1
1323,[],-1
1324,[],-1
1325,[],-1
1326,[],-1
518,[],-1
1327,[],-1
521,[],-1
1328,[],-1
520,[],-1
522,[],-1
1331,[],-1
1332,[],-1
1336,[],-1
1337,[],-1
52,[],-1
1338,[],-1
1339,[],-1
524,[],-1
1341,[],-1
1342,[],-1
1343,[],-1
1344,[],-1
1345,[],-1
1346,[],-1
1347,[],-1
1349,[],-1
1350,[],-1
1351,[],-1
1352,[],-1
526,[],-1
1353,[],-1
1354,[],-1
53,[],-1
1355,[],-1
1356,[],-1
1357,[],-1
1358,[],-1
54,[],-1
