exp_name,text,start_byte,end_byte,pdncID
weary-looking police-sergeant,weary-looking police-sergeant,95469,95498,32
"a stoutish, red-faced woman","a stoutish, red-faced woman",113973,114000,18
"a bluff, genial inspector","a bluff, genial inspector",173233,173258,0
that inspector in the cab,that inspector in the cab,178595,178620,0
"a small, dark, brisk man","a small, dark, brisk man",32980,33004,28
inspector in uniform,inspector in uniform,80932,80952,29
mrs. cecil forrester,Mrs. Cecil Forrester,17688,17708,16
mrs. cecil forrester,Mrs. Cecil Forrester,17807,17827,16
mrs. cecil forrester,Mrs. Cecil Forrester,21008,21028,16
mrs. cecil forrester,Mrs. Cecil Forrester,86716,86736,16
mrs. cecil forrester,Mrs. Cecil Forrester,89989,90009,16
mrs. cecil forrester,Mrs. Cecil Forrester,130950,130970,16
mrs. cecil forrester,Mrs. Cecil Forrester,131006,131026,16
mrs. cecil forrester,Mrs. Cecil Forrester,173319,173339,16
mrs. cecil forrester,Mrs. Cecil Forrester,173394,173414,16
mr. sherlock holmes,Mr. Sherlock Holmes,38702,38721,14
mr. sherlock holmes,Mr. Sherlock Holmes,59565,59584,14
mr. sherlock holmes,Mr. Sherlock Holmes,81283,81302,14
mr. sherlock holmes,Mr. Sherlock Holmes,92774,92793,14
mr. sherlock holmes,Mr. Sherlock Holmes,93620,93639,14
mr. sherlock holmes,Mr. Sherlock Holmes,121797,121816,14
mr. sherlock holmes,Mr. Sherlock Holmes,133284,133303,14
mr. sherlock holmes,Mr. Sherlock Holmes,141048,141067,14
mr. sherlock holmes,Mr. Sherlock Holmes,142068,142087,14
mr. sherlock holmes,Mr. Sherlock Holmes,144281,144300,14
a high piping voice,a high piping voice,36484,36503,19
brother bartholomew,Brother Bartholomew,39891,39910,4
brother bartholomew,Brother Bartholomew,40087,40106,4
brother bartholomew,Brother Bartholomew,40265,40284,4
brother bartholomew,Brother Bartholomew,42520,42539,4
brother bartholomew,Brother Bartholomew,42593,42612,4
brother bartholomew,brother Bartholomew,43710,43729,4
brother bartholomew,brother Bartholomew,52148,52167,4
brother bartholomew,Brother Bartholomew,52884,52903,4
brother bartholomew,Brother Bartholomew,53632,53651,4
mr. thaddeus sholto,Mr. Thaddeus Sholto,38549,38568,19
mr. thaddeus sholto,Mr. Thaddeus Sholto,51530,51549,19
mr. thaddeus sholto,Mr. Thaddeus Sholto,53706,53725,19
mr. thaddeus sholto,Mr. Thaddeus Sholto,57287,57306,19
mr. thaddeus sholto,Mr. Thaddeus Sholto,121866,121885,19
mr. thaddeus sholto,Mr. Thaddeus Sholto,132820,132839,19
mr. thaddeus sholto,Mr. Thaddeus Sholto,137956,137975,19
mr. thaddeus sholto,Mr. Thaddeus Sholto,178920,178939,19
bartholomew sholto,Bartholomew Sholto,65134,65152,4
bartholomew sholto,Bartholomew Sholto,67854,67872,4
bartholomew sholto,Bartholomew Sholto,98361,98379,4
bartholomew sholto,Bartholomew Sholto,105843,105861,4
bartholomew sholto,Bartholomew Sholto,106291,106309,4
bartholomew sholto,Bartholomew Sholto,120277,120295,4
