source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,sherlock holmes,Sherlock Holmes,36,51,14
booknlp,COREF,105,his,57,60,14
booknlp,COREF,105,his,108,111,14
booknlp,COREF,105,his,164,167,14
booknlp,COREF,105,he,197,199,14
booknlp,COREF,105,his,246,249,14
booknlp,COREF,105,his,288,291,14
booknlp,COREF,105,he,415,417,14
booknlp,COREF,105,him,1008,1011,14
booknlp,COREF,105,His,1093,1096,14
booknlp,COREF,105,his,1111,1114,14
booknlp,COREF,105,his,1170,1173,14
booknlp,COREF,105,him,1251,1254,14
booknlp,COREF,105,his,1412,1415,14
booknlp,COREF,105,He,1529,1531,14
booknlp,COREF,105,his,1539,1542,14
booknlp,COREF,105,he,1597,1599,14
booknlp,COREF,105,he,1629,1631,14
pdnc,qID,Q1-1,you,1673,1676,21
booknlp,COREF,105,He,1844,1846,14
pdnc,qID,Q3-0,you,1880,1883,21
pdnc,qID,Q3-0,Watson,1895,1901,21
booknlp,COREF,105,he,1904,1906,14
booknlp,COREF,105,I,1914,1915,14
booknlp,COREF,105,I,1968,1969,14
exp,exp_name,small,small,2086,2091,25
pdnc,qID,Q4-1,Your,2154,2158,14
pdnc,qID,Q4-1,you,2173,2176,14
pdnc,qID,Q4-1,You,2333,2336,14
pdnc,qID,Q4-1,you,2381,2384,14
pdnc,qID,Q4-1,you,2441,2444,14
pdnc,qID,Q4-1,you,2522,2525,14
booknlp,COREF,105,he,2654,2656,14
booknlp,COREF,105,He,2689,2691,14
booknlp,COREF,105,he,2732,2734,14
booknlp,COREF,105,his,2739,2742,14
booknlp,COREF,105,his,2775,2778,14
booknlp,COREF,105,his,2801,2804,14
booknlp,COREF,105,My,2858,2860,14
booknlp,COREF,105,he,2868,2870,14
booknlp,COREF,105,me,2905,2907,14
booknlp,COREF,105,me,2923,2925,14
booknlp,COREF,105,me,2937,2939,14
booknlp,COREF,105,I,3005,3006,14
booknlp,COREF,105,my,3013,3015,14
booknlp,COREF,105,I,3039,3040,14
booknlp,COREF,105,I,3091,3092,14
booknlp,COREF,105,I,3130,3131,14
booknlp,COREF,105,I,3173,3174,14
booknlp,COREF,105,my,3187,3189,14
booknlp,COREF,105,I,3243,3244,14
booknlp,COREF,105,he,3384,3386,14
booknlp,COREF,105,I,3398,3399,14
pdnc,qID,Q7-1,Athelney Jones,3482,3496,3
booknlp,COREF,105,me,3588,3590,14
booknlp,COREF,105,I,3592,3593,14
booknlp,COREF,105,I,3664,3665,14
booknlp,COREF,105,My,3697,3699,14
booknlp,COREF,105,my,3783,3785,14
booknlp,COREF,105,my,3806,3808,14
pdnc,qID,Q7-1,you,3829,3832,21
booknlp,COREF,105,my,3870,3872,14
exp,exp_name,small,small,4024,4029,25
pdnc,qID,Q9-1,you,4188,4191,21
pdnc,qID,Q9-1,You,4312,4315,21
pdnc,qID,Q9-1,you,4403,4406,21
exp,exp_name,small,small,5165,5170,25
booknlp,COREF,105,My,5438,5440,14
exp,exp_name,holmes,Holmes,5496,5502,14
booknlp,COREF,105,his,5530,5533,14
booknlp,COREF,105,I,5556,5557,14
pdnc,qID,Q12-1,you,5614,5617,21
booknlp,COREF,105,I,5942,5943,14
booknlp,COREF,105,him,5962,5965,14
booknlp,COREF,105,him,6074,6077,14
booknlp,COREF,105,I,6122,6123,14
booknlp,COREF,105,my,6155,6157,14
booknlp,COREF,105,He,6171,6173,14
booknlp,COREF,105,he,6190,6192,14
booknlp,COREF,105,He,6438,6440,14
booknlp,COREF,105,his,6462,6465,14
booknlp,COREF,105,he,6489,6491,14
booknlp,COREF,105,my,6498,6500,14
