qID,menText,start_byte,end_byte,matches,pdncID
Q1-1,you,1673,1676,[21],21
Q3-0,you,1880,1883,[21],21
Q3-0,Watson,1895,1901,[21],21
Q4-1,Your,2154,2158,[14],14
Q4-1,you,2173,2176,[14],14
Q4-1,You,2333,2336,[14],14
Q4-1,you,2381,2384,[14],14
Q4-1,you,2441,2444,[14],14
Q4-1,you,2522,2525,[14],14
Q7-1,Athelney Jones,3482,3496,[3],3
Q7-1,you,3829,3832,[21],21
Q9-1,you,4188,4191,[21],21
Q9-1,You,4312,4315,[21],21
Q9-1,you,4403,4406,[21],21
Q12-1,you,5614,5617,[21],21
Q15-0,Your,6839,6843,[14],14
Q16-0,you,6865,6868,[21],21
Q17-0,You,7668,7671,[14],14
Q18-0,you,8269,8272,[21],21
Q19-1,your,8423,8427,[14],14
Q19-1,you,8461,8464,[14],14
Q20-1,you,8721,8724,[21],21
Q21-1,you,8930,8933,[14],14
Q22-1,you,9247,9250,[21],21
Q23-0,you,9661,9664,[14],14
Q24-0,you,9716,9719,[21],21
Q24-0,you,9770,9773,[21],21
Q24-0,you,9827,9830,[21],21
Q24-0,you,9899,9902,[21],21
Q25-1,you,10132,10135,[14],14
Q25-1,you,10164,10167,[14],14
Q26-1,you,10389,10392,[21],21
Q27-0,you,10429,10432,[14],14
Q27-0,you,10685,10688,[14],14
Q29-0,You,11413,11416,[14],14
Q30-1,your,11792,11796,[21],21
Q30-1,your,11851,11855,[21],21
Q30-1,your,11893,11897,[21],21
Q31-0,you,11914,11917,[14],14
Q32-0,your,11995,11999,[21],21
Q32-0,Your,12245,12249,[21],21
Q32-0,your,12345,12349,[21],21
Q35-0,you,12803,12806,[14],14
Q35-0,Holmes,12808,12814,[14],14
Q35-1,you,12857,12860,[14],14
Q35-1,You,12891,12894,[14],14
Q35-1,you,12958,12961,[14],14
Q35-1,You,13021,13024,[14],14
Q35-1,you,13058,13061,[14],14
Q36-0,My dear doctor,13176,13190,[21],21
Q36-1,you,13344,13347,[21],21
Q36-1,you,13358,13361,[21],21
Q36-1,you,13400,13403,[21],21
Q36-1,you,13424,13427,[21],21
