COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
49,89,90,PROP,PER,Mr. Pontellier,404,418,5
49,95,95,PRON,PER,his,435,438,5
49,113,113,PRON,PER,He,534,536,5
49,135,135,PRON,PER,He,649,651,5
49,174,175,PROP,PER,Mr. Pontellier,829,843,5
49,190,190,PRON,PER,He,926,928,5
49,196,196,PRON,PER,his,956,959,5
49,216,216,PRON,PER,himself,1051,1058,5
49,225,225,PRON,PER,he,1095,1097,5
49,229,229,PRON,PER,himself,1116,1123,5
49,260,260,PRON,PER,He,1257,1259,5
49,270,270,PRON,PER,he,1312,1314,5
49,281,281,PRON,PER,he,1377,1379,5
49,296,297,PROP,PER,Mr. Pontellier,1450,1464,5
49,303,303,PRON,PER,He,1483,1485,5
49,318,318,PRON,PER,he,1549,1551,5
49,323,323,PRON,PER,His,1570,1573,5
49,335,335,PRON,PER,His,1623,1626,5
49,347,347,PRON,PER,he,1682,1684,5
49,349,349,PRON,PER,his,1694,1697,5
49,357,357,PRON,PER,him,1741,1744,5
49,552,553,PROP,PER,Mr. Pontellier,2633,2647,5
49,580,581,PROP,PER,Mr. Pontellier,2784,2798,5
49,597,597,PRON,PER,his,2872,2875,5
49,600,600,PRON,PER,He,2882,2884,5
49,602,602,PRON,PER,his,2891,2894,5
49,619,619,PRON,PER,He,2973,2975,5
49,670,670,PRON,PER,his,3233,3236,5
53,677,679,PROP,PER,young Robert Lebrun,3264,3283,15
49,731,732,PROP,PER,Mr. Pontellier,3531,3545,5
49,734,734,PRON,PER,He,3547,3549,5
49,735,735,PRON,PER,himself,3550,3557,5
49,751,751,PRON,PER,him,3630,3633,5
49,761,761,PRON,PER,he,3672,3674,5
49,766,766,PRON,PER,his,3693,3696,5
49,836,836,PRON,PER,him,4046,4049,5
49,839,839,PRON,PER,he,4055,4057,5
49,847,847,PRON,PER,his,4094,4097,5
53,874,874,PROP,PER,Robert,4228,4234,15
49,887,887,PRON,PER,He,4292,4294,5
49,901,901,PROP,PER,Pontellier,4346,4356,5
49,954,955,PROP,PER,Mr. Pontellier,4590,4604,5
49,957,957,PRON,PER,He,4606,4608,5
49,961,961,PRON,PER,himself,4630,4637,5
49,964,964,PRON,PER,he,4644,4646,5
49,969,969,PRON,PER,he,4662,4664,5
53,993,993,PROP,PER,Lebrun,4756,4762,15
49,996,996,PRON,PER,he,4765,4767,5
53,999,999,PROP,PER,Robert,4780,4786,15
53,1002,1002,PROP,PER,Robert,4792,4798,15
53,1007,1007,PRON,PER,he,4827,4829,15
53,1012,1012,PRON,PER,he,4854,4856,15
53,1313,1313,PROP,PER,Robert,6278,6284,15
53,1318,1318,PRON,PER,He,6305,6307,15
53,1322,1322,PRON,PER,he,6334,6336,15
53,1328,1328,PRON,PER,he,6362,6364,15
53,1331,1331,PRON,PER,He,6371,6373,15
53,1336,1336,PRON,PER,his,6389,6392,15
49,1339,1340,PROP,PER,Mr. Pontellier,6406,6420,5
53,1343,1343,PRON,PER,him,6435,6438,15
53,1347,1347,PRON,PER,he,6449,6451,15
53,1352,1352,PRON,PER,his,6470,6473,15
53,1365,1365,PRON,PER,his,6535,6538,15
53,1370,1370,PRON,PER,he,6557,6559,15
53,1374,1374,PRON,PER,his,6575,6578,15
53,1401,1401,PRON,PER,his,6718,6721,15
53,1405,1405,PRON,PER,His,6740,6743,15
53,1442,1442,PROP,PER,Robert,6920,6926,15
53,1445,1445,PRON,PER,his,6940,6943,15
53,1450,1450,PRON,PER,his,6966,6969,15
53,1527,1527,PROP,PER,Robert,7337,7343,15
53,1533,1533,PRON,PER,himself,7369,7376,15
53,1535,1535,PRON,PER,He,7378,7380,15
53,1568,1568,PROP,PER,Robert,7537,7543,15
53,1571,1571,PRON,PER,his,7553,7556,15
53,1584,1584,PRON,PER,him,7620,7623,15
53,1586,1586,PRON,PER,He,7625,7627,15
53,1603,1603,PRON,PER,he,7706,7708,15
53,1607,1607,PRON,PER,his,7720,7723,15
53,1629,1629,PRON,PER,him,7843,7846,15
53,1639,1639,PRON,PER,He,7893,7895,15
53,1642,1642,PRON,PER,his,7909,7912,15
53,1647,1647,PRON,PER,he,7933,7935,15
53,1652,1652,PRON,PER,his,7953,7956,15
53,1663,1663,PROP,PER,Robert,8003,8009,15
53,1792,1792,PROP,PER,Robert,8648,8654,15
57,1844,1844,PROP,PER,L,8893,8894,5
53,1867,1867,PROP,PER,Robert,8997,9003,15
49,1946,1947,PROP,PER,Mr. Pontellier,9388,9402,5
49,1954,1954,PRON,PER,He,9432,9434,5
49,1969,1969,PRON,PER,His,9499,9502,5
49,1972,1972,PRON,PER,his,9518,9521,5
49,1983,1983,PRON,PER,he,9564,9566,5
49,1987,1987,PRON,PER,He,9576,9578,5
49,1992,1992,PRON,PER,he,9599,9601,5
49,2005,2005,PRON,PER,he,9668,9670,5
49,2013,2013,PRON,PER,his,9705,9708,5
49,2016,2016,PRON,PER,he,9726,9728,5
49,2033,2033,PRON,PER,he,9805,9807,5
49,2053,2053,PRON,PER,his,9913,9916,5
49,2064,2064,PRON,PER,him,9968,9971,5
49,2070,2070,PRON,PER,He,10002,10004,5
49,2076,2076,PRON,PER,his,10039,10042,5
49,2085,2085,PRON,PER,his,10076,10079,5
49,2096,2096,PRON,PER,him,10144,10147,5
49,2102,2102,PRON,PER,his,10170,10173,5
49,2105,2106,PROP,PER,Mr. Pontellier,10189,10203,5
49,2118,2118,PRON,PER,he,10272,10274,5
49,2151,2151,PRON,PER,his,10434,10437,5
49,2158,2158,PRON,PER,He,10479,10481,5
49,2183,2184,PROP,PER,Mr. Pontellier,10596,10610,5
49,2187,2187,PRON,PER,his,10623,10626,5
49,2204,2204,PRON,PER,he,10712,10714,5
49,2249,2250,PROP,PER,Mr. Pontellier,10908,10922,5
49,2262,2262,PRON,PER,He,10983,10985,5
49,2277,2277,PRON,PER,He,11056,11058,5
49,2279,2279,PRON,PER,his,11070,11073,5
49,2311,2311,PRON,PER,He,11217,11219,5
49,2312,2312,PRON,PER,himself,11220,11227,5
49,2314,2314,PRON,PER,his,11232,11235,5
49,2318,2318,PRON,PER,his,11252,11255,5
49,2322,2322,PRON,PER,He,11276,11278,5
49,2336,2336,PRON,PER,his,11335,11338,5
49,2354,2354,PRON,PER,He,11414,11416,5
49,2413,2413,PRON,PER,his,11689,11692,5
49,2418,2418,PRON,PER,he,11714,11716,5
49,2428,2428,PRON,PER,he,11751,11753,5
49,2875,2876,PROP,PER,Mr. Pontellier,13874,13888,5
49,2890,2890,PRON,PER,him,13950,13953,5
49,2898,2898,PRON,PER,He,13983,13985,5
49,2905,2905,PRON,PER,his,14015,14018,5
49,2913,2913,PRON,PER,him,14052,14055,5
49,2923,2923,PRON,PER,He,14102,14104,5
49,2926,2926,PRON,PER,his,14118,14121,5
49,2940,2940,PRON,PER,He,14195,14197,5
49,2948,2948,PRON,PER,he,14223,14225,5
49,2959,2960,PROP,PER,Mr. Pontellier,14281,14295,5
49,2962,2962,PRON,PER,his,14301,14304,5
49,2969,2969,PRON,PER,he,14334,14336,5
49,3038,3038,PRON,PER,my,14657,14659,5
49,3042,3042,PRON,PER,he,14667,14669,5
49,3046,3046,PRON,PER,he,14682,14684,5
49,3063,3063,PRON,PER,his,14758,14761,5
49,3076,3077,PROP,PER,Mr. Pontellier,14824,14838,5
49,3103,3103,PRON,PER,him,14939,14942,5
49,3105,3105,PRON,PER,His,14944,14947,5
49,3117,3117,PRON,PER,he,15001,15003,5
49,3250,3251,PROP,PER,Mr. Pontellier,15641,15655,5
49,3282,3283,PROP,PER,Mr. Pontellier,15804,15818,5
49,3287,3287,PRON,PER,his,15832,15835,5
49,3296,3296,PRON,PER,his,15879,15882,5
49,3310,3310,PRON,PER,he,15953,15955,5
49,3317,3317,PRON,PER,he,15988,15990,5
53,4007,4007,PROP,PER,Robert,19456,19462,15
53,4013,4013,PRON,PER,he,19484,19486,15
53,4169,4169,PROP,PER,Robert,20239,20245,15
53,4177,4177,PRON,PER,he,20286,20288,15
53,4200,4200,PRON,PER,he,20409,20411,15
53,4202,4202,PRON,PER,himself,20420,20427,15
53,4247,4248,PROP,FAC,Lebrun 's,20656,20664,15
64,4340,4342,PROP,PER,old Monsieur Farival,21196,21216,11
53,4392,4392,PROP,PER,Robert,21479,21485,15
53,4521,4521,PROP,PER,Robert,22156,22162,15
53,4548,4548,PRON,PER,He,22317,22319,15
53,4570,4570,PROP,PER,Robert,22422,22428,15
53,4573,4573,PRON,PER,himself,22442,22449,15
53,4578,4578,PRON,PER,he,22474,22476,15
53,4593,4593,PROP,PER,Robert,22543,22549,15
53,4601,4601,PRON,PER,himself,22592,22599,15
53,4639,4639,PRON,PER,he,22785,22787,15
53,4657,4657,PROP,PER,Robert,22881,22887,15
53,4664,4664,PRON,PER,himself,22926,22933,15
53,4719,4719,PROP,PER,Robert,23224,23230,15
53,4725,4725,PRON,PER,I,23247,23248,15
53,4733,4733,PRON,PER,me,23278,23280,15
53,4739,4739,PROP,PER,Robert,23300,23306,15
53,4763,4763,PRON,PER,my,23380,23382,15
53,4769,4769,PRON,PER,I,23405,23406,15
53,4780,4780,PRON,PER,me,23453,23455,15
53,4782,4782,PRON,PER,I,23462,23463,15
53,4799,4799,PRON,PER,You,23508,23511,15
53,4814,4814,PRON,PER,You,23572,23575,15
53,4920,4920,PROP,PER,Robert,24039,24045,15
53,4930,4930,PRON,PER,his,24095,24098,15
53,4952,4952,PRON,PER,he,24220,24222,15
53,4954,4954,PRON,PER,his,24228,24231,15
53,4985,4985,PRON,PER,He,24361,24363,15
53,5033,5033,PRON,PER,he,24607,24609,15
53,5056,5056,PRON,PER,he,24734,24736,15
53,5156,5156,PROP,PER,Robert,25280,25286,15
53,5161,5161,PRON,PER,himself,25311,25318,15
53,5170,5170,PRON,PER,he,25361,25363,15
53,5204,5204,PROP,PER,Robert,25531,25537,15
