exp_name,text,start_byte,end_byte,pdncID
mademoiselle reisz,Mademoiselle Reisz,58522,58540,7
mademoiselle reisz,Mademoiselle Reisz,58635,58653,7
mademoiselle reisz,Mademoiselle Reisz,58871,58889,7
mademoiselle reisz,Mademoiselle Reisz,60203,60221,7
mademoiselle reisz,Mademoiselle Reisz,61221,61239,7
mademoiselle reisz,Mademoiselle Reisz,62231,62249,7
mademoiselle reisz,Mademoiselle Reisz,62655,62673,7
mademoiselle reisz,Mademoiselle Reisz,68637,68655,7
mademoiselle reisz,Mademoiselle Reisz,108765,108783,7
mademoiselle reisz,Mademoiselle Reisz,109164,109182,7
mademoiselle reisz,Mademoiselle Reisz,114430,114448,7
mademoiselle reisz,Mademoiselle Reisz,114934,114952,7
mademoiselle reisz,Mademoiselle Reisz,117369,117387,7
mademoiselle reisz,Mademoiselle Reisz,117843,117861,7
mademoiselle reisz,Mademoiselle Reisz,118368,118386,7
mademoiselle reisz,Mademoiselle Reisz,140486,140504,7
mademoiselle reisz,Mademoiselle Reisz,140813,140831,7
mademoiselle reisz,Mademoiselle Reisz,141267,141285,7
mademoiselle reisz,Mademoiselle Reisz,141623,141641,7
mademoiselle reisz,Mademoiselle Reisz,142005,142023,7
mademoiselle reisz,Mademoiselle Reisz,147923,147941,7
mademoiselle reisz,Mademoiselle Reisz,147969,147987,7
mademoiselle reisz,Mademoiselle Reisz,148129,148147,7
mademoiselle reisz,Mademoiselle Reisz,148766,148784,7
mademoiselle reisz,Mademoiselle Reisz,149686,149704,7
mademoiselle reisz,Mademoiselle Reisz,151204,151222,7
mademoiselle reisz,Mademoiselle Reisz,164686,164704,7
mademoiselle reisz,Mademoiselle Reisz,184620,184638,7
mademoiselle reisz,Mademoiselle Reisz,190758,190776,7
mademoiselle reisz,Mademoiselle Reisz,198639,198657,7
mademoiselle reisz,Mademoiselle Reisz,201374,201392,7
mademoiselle reisz,Mademoiselle Reisz,209610,209628,7
mademoiselle reisz,Mademoiselle Reisz,210607,210625,7
mademoiselle reisz,Mademoiselle Reisz,211253,211271,7
mademoiselle reisz,Mademoiselle Reisz,213504,213522,7
mademoiselle reisz,Mademoiselle Reisz,213622,213640,7
mademoiselle reisz,Mademoiselle Reisz,216807,216825,7
mademoiselle reisz,Mademoiselle Reisz,230633,230651,7
mademoiselle reisz,Mademoiselle Reisz,230944,230962,7
mademoiselle reisz,Mademoiselle Reisz,232580,232598,7
mademoiselle reisz,Mademoiselle Reisz,234109,234127,7
