COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
150,49,50,NOM,PER,The General,268,279,16
150,70,70,PRON,PER,his,373,376,16
150,96,97,NOM,PER,the General,503,514,16
47,179,180,PROP,PER,Polina Alexandrovna,897,916,12
47,203,203,PRON,PER,she,1007,1010,12
150,256,257,NOM,PER,the General,1245,1256,16
150,286,287,NOM,PER,the General,1376,1387,16
150,301,301,PRON,PER,he,1456,1458,16
150,318,318,PRON,PER,him,1535,1538,16
150,366,367,NOM,PER,the General,1760,1771,16
150,369,369,PRON,PER,He,1773,1775,16
150,388,388,PRON,PER,he,1858,1860,16
150,396,396,PRON,PER,he,1886,1888,16
150,405,405,PRON,PER,He,1920,1922,16
150,428,428,PRON,PER,he,2014,2016,16
150,452,452,PRON,PER,he,2144,2146,16
150,477,477,PRON,PER,his,2265,2268,16
150,482,482,PRON,PER,he,2289,2291,16
150,487,487,PRON,PER,I,2309,2310,16
150,505,505,PRON,PER,my,2392,2394,16
150,511,511,PRON,PER,I,2420,2421,16
150,521,521,PRON,PER,I,2468,2469,16
150,534,534,PRON,PER,I,2515,2516,16
150,548,548,PRON,PER,me,2582,2584,16
150,577,578,NOM,PER,the General,2692,2703,16
150,584,584,PRON,PER,he,2727,2729,16
150,587,587,PRON,PER,his,2741,2744,16
150,592,592,PRON,PER,himself,2770,2777,16
150,600,600,PRON,PER,he,2808,2810,16
150,603,603,PRON,PER,he,2820,2822,16
150,610,610,PRON,PER,his,2850,2853,16
150,619,619,PRON,PER,he,2884,2886,16
150,648,648,PRON,PER,my,3007,3009,16
150,667,667,PRON,PER,I,3083,3084,16
150,671,671,PRON,PER,he,3091,3093,16
150,684,684,PRON,PER,I,3150,3151,16
150,687,687,PRON,PER,I,3162,3163,16
150,702,702,PRON,PER,my,3220,3222,16
50,736,736,PROP,PER,Mlle,3396,3400,7
50,738,738,PROP,PER,Blanche,3402,3409,7
47,744,745,PROP,PER,Polina Alexandrovna,3433,3452,12
180,752,753,NOM,PER,the Frenchman,3473,3486,8
150,781,782,NOM,PER,the General,3617,3628,16
50,837,837,PROP,PER,Mlle,3892,3896,7
50,839,839,PROP,PER,Blanche,3898,3905,7
50,844,844,PRON,PER,her,3917,3920,7
180,847,848,NOM,PER,the Frenchman,3932,3945,8
50,872,872,PROP,PER,Mlle,4051,4055,7
50,874,874,PROP,PER,Blanche,4057,4064,7
150,922,923,NOM,PER,the General,4258,4269,16
150,980,980,PRON,PER,he,4523,4525,16
150,995,996,NOM,PER,the General,4582,4593,16
150,1027,1028,NOM,PER,the General,4744,4755,16
54,1062,1063,PROP,PER,Mr. Astley,4915,4925,10
150,1255,1256,NOM,PER,the General,5773,5784,16
47,1273,1273,PROP,PER,Polina,5856,5862,12
180,1304,1305,NOM,PER,the Frenchman,5994,6007,8
180,1311,1311,PRON,PER,he,6030,6032,8
180,1327,1327,PRON,PER,he,6103,6105,8
180,1336,1336,PRON,PER,he,6151,6153,8
150,1350,1351,NOM,PER,the General,6220,6231,16
180,1356,1356,PRON,PER,him,6258,6261,8
180,1358,1358,PRON,PER,he,6263,6265,8
180,1373,1373,PRON,PER,his,6331,6334,8
150,1416,1417,NOM,PER,the General,6526,6537,16
150,1423,1423,PRON,PER,him,6562,6565,16
150,1425,1425,PRON,PER,his,6570,6573,16
47,1439,1440,PROP,PER,Polina Alexandrovna,6629,6648,12
47,1443,1443,PRON,PER,she,6654,6657,12
180,1493,1494,NOM,PER,the Frenchman,6918,6931,8
150,1506,1507,NOM,PER,the General,6972,6983,16
150,1525,1525,PRON,PER,him,7073,7076,16
150,1546,1547,NOM,PER,The General,7173,7184,16
150,1648,1649,NOM,PER,The General,7595,7606,16
150,1655,1655,PRON,PER,he,7631,7633,16
180,1690,1691,NOM,PER,the Frenchman,7792,7805,8
57,1761,1761,PROP,PER,Monsignor,8102,8111,25
150,1773,1774,NOM,PER,the General,8143,8154,16
150,1780,1780,PRON,PER,his,8190,8193,16
180,1791,1792,NOM,PER,the Frenchman,8236,8249,8
150,1807,1807,PRON,PER,You,8302,8305,16
150,1822,1822,PRON,PER,I,8359,8360,16
150,1830,1830,PRON,PER,I,8397,8398,16
150,1840,1840,PRON,PER,I,8442,8443,16
150,1854,1854,PRON,PER,my,8502,8504,16
150,1859,1859,PRON,PER,I,8528,8529,16
150,1886,1886,PRON,PER,my,8655,8657,16
150,1889,1889,PRON,PER,myself,8669,8675,16
150,1894,1894,PRON,PER,me,8698,8700,16
150,1900,1900,PRON,PER,I,8719,8720,16
150,1912,1912,PRON,PER,I,8767,8768,16
150,1945,1945,PRON,PER,I,8927,8928,16
150,1949,1949,PRON,PER,I,8946,8947,16
57,1960,1960,PROP,PER,Monsignor,8999,9008,25
150,1964,1964,PRON,PER,I,9022,9023,16
150,1987,1987,PRON,PER,I,9125,9126,16
150,1995,1995,PRON,PER,my,9162,9164,16
150,2016,2016,PRON,PER,me,9265,9267,16
150,2028,2028,PRON,PER,myself,9316,9322,16
150,2061,2061,PRON,PER,me,9462,9464,16
150,2065,2065,PRON,PER,I,9477,9478,16
57,2078,2078,PROP,PER,Monsignor,9536,9545,25
