COREF,matches,pdncID
43,[],-1
44,[],-1
0,[],-1
149,[],-1
1,[],-1
150,"[16, 16]",16
151,[],-1
45,[],-1
46,[],-1
153,[],-1
154,[],-1
47,"[12, 12]",12
155,[],-1
156,[],-1
157,[],-1
158,[],-1
160,[],-1
161,[],-1
163,[],-1
164,[],-1
165,[],-1
166,[],-1
48,[],-1
49,[],-1
168,[],-1
170,[],-1
171,[],-1
1727,[],-1
1728,[],-1
173,[],-1
175,[],-1
176,[],-1
177,[],-1
178,[],-1
179,[],-1
50,[7],7
180,[8],8
181,[],-1
182,[],-1
183,[],-1
186,[],-1
187,[],-1
189,[],-1
190,[],-1
191,[],-1
192,[],-1
51,[],-1
193,[],-1
52,[],-1
194,[],-1
53,[],-1
1729,[],-1
196,[],-1
2,[],-1
1730,[],-1
197,[],-1
54,"[10, 10]",10
201,[],-1
3,[],-1
202,[],-1
203,[],-1
4,[],-1
5,[],-1
205,[],-1
206,[],-1
207,[],-1
6,[],-1
208,[],-1
7,[],-1
210,[],-1
212,[],-1
8,[],-1
1732,[],-1
214,[],-1
217,[],-1
1733,[],-1
1734,[],-1
9,[],-1
10,[],-1
55,[],-1
1736,[],-1
1737,[],-1
56,[],-1
1741,[],-1
1742,[],-1
1743,[],-1
1744,[],-1
57,[25],25
12,[],-1
1745,[],-1
13,[],-1
1746,[],-1
1747,[],-1
1748,[],-1
1749,[],-1
1750,[],-1
1751,[],-1
1752,[],-1
1754,[],-1
1755,[],-1
1756,[],-1
1757,[],-1
1759,[],-1
1760,[],-1
1762,[],-1
1763,[],-1
223,[],-1
224,[],-1
1764,[],-1
226,[],-1
227,[],-1
1765,[],-1
1766,[],-1
1767,[],-1
1771,[],-1
1772,[],-1
58,[],-1
1773,[],-1
1776,[],-1
1777,[],-1
1779,[],-1
1780,[],-1
1781,[],-1
1782,[],-1
1783,[],-1
1784,[],-1
1786,[],-1
1787,[],-1
1788,[],-1
233,[],-1
59,[],-1
234,[],-1
60,[],-1
61,[8],8
236,[],-1
237,[],-1
240,[],-1
241,[],-1
14,[],-1
1789,[],-1
62,[],-1
1790,[],-1
1791,[],-1
1793,[],-1
1794,[],-1
243,[],-1
1795,[],-1
1797,[],-1
1799,[],-1
63,[],-1
64,"[5, 5]",5
1800,[],-1
65,[],-1
1803,[],-1
1805,[],-1
1806,[],-1
1808,[],-1
1809,[],-1
1811,[],-1
244,[],-1
1812,[],-1
66,[24],24
1814,[],-1
1816,[],-1
245,[],-1
1818,[],-1
1819,[],-1
247,[],-1
248,[],-1
249,[],-1
250,[],-1
251,[],-1
252,[],-1
253,[],-1
1820,[],-1
254,[],-1
255,[],-1
256,[],-1
257,[],-1
258,[],-1
259,[2],2
261,[],-1
262,[],-1
263,[],-1
264,[],-1
265,[],-1
266,[],-1
267,[],-1
268,[],-1
270,[],-1
271,[],-1
272,[],-1
273,[],-1
274,[],-1
275,[],-1
276,[],-1
277,[],-1
278,[],-1
279,[],-1
280,[],-1
281,[],-1
282,[],-1
283,[],-1
285,[],-1
286,[],-1
287,[],-1
288,[],-1
289,[],-1
290,[],-1
291,[],-1
292,[],-1
293,[],-1
294,[],-1
295,[],-1
296,[],-1
297,[],-1
298,[],-1
299,[],-1
300,[],-1
301,[],-1
302,[],-1
304,[],-1
306,[],-1
307,[],-1
313,[],-1
316,[],-1
317,[],-1
320,[],-1
321,[],-1
67,[],-1
323,[],-1
325,[],-1
328,[],-1
329,[15],15
330,[],-1
331,[],-1
335,[],-1
1821,[],-1
336,[],-1
1822,[],-1
337,[],-1
339,[],-1
340,[],-1
343,[],-1
