COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
150,2,4,NOM,PER,The Invisible Man,7,24,24
152,17,18,NOM,PER,The stranger,87,99,24
152,61,61,PRON,PER,his,314,317,24
152,66,66,PRON,PER,He,339,341,24
152,79,79,PRON,PER,his,392,395,24
152,87,87,PRON,PER,his,428,431,24
152,94,94,PRON,PER,his,458,461,24
152,103,103,PRON,PER,his,502,505,24
152,116,116,PRON,PER,he,565,567,24
152,119,119,PRON,PER,He,577,579,24
152,135,135,PRON,PER,his,650,653,24
152,144,144,PRON,PER,he,682,684,24
152,162,162,PRON,PER,He,743,745,24
152,170,170,PRON,PER,himself,782,789,24
152,185,185,PRON,PER,his,858,861,24
152,205,205,PRON,PER,he,958,960,24
152,208,208,PRON,PER,his,969,972,24
152,221,221,PRON,PER,him,1027,1030,24
152,228,228,PRON,PER,him,1063,1066,24
152,352,352,PRON,PER,his,1624,1627,24
152,359,359,PRON,PER,his,1656,1659,24
152,377,377,PRON,PER,His,1735,1738,24
152,383,383,PRON,PER,him,1772,1775,24
152,386,386,PRON,PER,he,1781,1783,24
152,403,403,PRON,PER,his,1869,1872,24
152,414,414,PRON,PER,your,1920,1924,24
152,441,441,PRON,PER,he,2005,2007,24
152,453,453,PRON,PER,him,2062,2065,24
152,463,463,PRON,PER,He,2106,2108,24
152,465,465,PRON,PER,his,2116,2119,24
152,472,472,PRON,PER,his,2148,2151,24
152,476,476,PRON,PER,I,2163,2164,24
152,484,484,PRON,PER,he,2190,2192,24
152,493,493,PRON,PER,he,2234,2236,24
152,509,509,PRON,PER,his,2312,2315,24
152,516,516,PRON,PER,his,2348,2351,24
152,548,548,PRON,PER,He,2450,2452,24
152,556,556,PRON,PER,his,2484,2487,24
152,598,598,PRON,PER,he,2687,2689,24
152,610,610,PRON,PER,his,2737,2740,24
152,614,614,PRON,PER,his,2755,2758,24
152,619,619,PRON,PER,his,2777,2780,24
152,628,628,PRON,PER,his,2819,2822,24
152,651,651,PRON,PER,him,2940,2943,24
152,654,654,PRON,PER,Your,2946,2950,24
152,667,667,PRON,PER,he,2988,2990,24
152,686,686,PRON,PER,he,3068,3070,24
152,815,815,PRON,PER,him,3655,3658,24
152,888,888,PRON,PER,he,3997,3999,24
152,990,990,PRON,PER,he,4446,4448,24
152,993,993,PRON,PER,his,4460,4463,24
152,1010,1010,PRON,PER,him,4539,4542,24
152,1017,1017,PRON,PER,He,4569,4571,24
152,1026,1026,PRON,PER,he,4610,4612,24
152,1030,1030,PRON,PER,him,4630,4633,24
152,1036,1036,PRON,PER,his,4657,4660,24
152,1041,1041,PRON,PER,his,4675,4678,24
152,1055,1055,PRON,PER,his,4745,4748,24
152,1075,1075,PRON,PER,his,4835,4838,24
152,1078,1078,PRON,PER,his,4854,4857,24
152,1092,1092,PRON,PER,his,4928,4931,24
152,1100,1100,PRON,PER,his,4961,4964,24
152,1105,1105,PRON,PER,his,4993,4996,24
152,1127,1127,PRON,PER,He,5077,5079,24
152,1148,1148,PRON,PER,his,5167,5170,24
152,1175,1175,PRON,PER,him,5303,5306,24
152,1202,1202,PRON,PER,He,5450,5452,24
152,1229,1229,PRON,PER,his,5573,5576,24
152,1240,1240,PRON,PER,he,5620,5622,24
152,1300,1300,PRON,PER,he,5877,5879,24
152,1335,1335,PRON,PER,his,6013,6016,24
152,1345,1345,PRON,PER,his,6057,6060,24
152,1364,1364,PRON,PER,his,6141,6144,24
152,1371,1371,PRON,PER,his,6174,6177,24
174,1441,1442,NOM,PER,The visitor,6472,6483,24
152,1451,1451,PRON,PER,He,6525,6527,24
152,1458,1458,PRON,PER,he,6569,6571,24
152,1460,1460,PRON,PER,his,6580,6583,24
152,1465,1465,PRON,PER,his,6607,6610,24
152,1468,1468,PRON,PER,He,6617,6619,24
152,1491,1491,PRON,PER,his,6735,6738,24
152,1527,1527,PRON,PER,he,6901,6903,24
152,1537,1537,PRON,PER,his,6949,6952,24
152,1604,1604,PRON,PER,he,7218,7220,24
152,1619,1619,PRON,PER,his,7282,7285,24
152,1634,1634,PRON,PER,his,7356,7359,24
152,1646,1646,PRON,PER,his,7412,7415,24
152,1683,1683,PRON,PER,you,7557,7560,24
152,1701,1702,NOM,PER,the stranger,7629,7641,24
152,1709,1709,PRON,PER,his,7665,7668,24
152,1723,1723,PRON,PER,him,7742,7745,24
152,1732,1732,PRON,PER,he,7783,7785,24
152,1748,1748,PRON,PER,he,7848,7850,24
152,1754,1754,PRON,PER,he,7883,7885,24
152,1762,1762,PRON,PER,his,7922,7925,24
152,1769,1769,PRON,PER,his,7956,7959,24
152,1781,1781,PRON,PER,he,8008,8010,24
152,1790,1790,PRON,PER,He,8047,8049,24
152,1796,1796,PRON,PER,his,8073,8076,24
152,1836,1836,PRON,PER,his,8279,8282,24
152,1845,1845,PRON,PER,I,8326,8327,24
152,1851,1851,PRON,PER,he,8348,8350,24
152,1861,1861,PRON,PER,he,8388,8390,24
152,1865,1865,PRON,PER,he,8405,8407,24
152,1871,1871,PRON,PER,He,8428,8430,24
152,1873,1873,PRON,PER,his,8437,8440,24
152,1890,1890,PRON,PER,he,8521,8523,24
152,1935,1935,PRON,PER,his,8712,8715,24
174,2014,2015,NOM,PER,the visitor,9041,9052,24
152,2029,2029,PRON,PER,he,9095,9097,24
152,2032,2032,PRON,PER,his,9111,9114,24
152,2039,2039,PRON,PER,his,9151,9154,24
152,2060,2060,PRON,PER,my,9244,9246,24
73,2065,2065,PROP,PER,Tom,9261,9264,12
152,2085,2085,PRON,PER,me,9340,9342,24
152,2105,2105,PRON,PER,me,9421,9423,24
174,2116,2116,PRON,PER,I,9453,9454,24
174,2124,2125,NOM,PER,the visitor,9488,9499,24
174,2152,2153,NOM,PER,The visitor,9588,9599,24
174,2163,2163,PRON,PER,he,9641,9643,24
174,2170,2170,PRON,PER,his,9671,9674,24
174,2180,2180,PRON,PER,he,9694,9696,24
174,2203,2203,PRON,PER,I,9778,9779,24
174,2205,2205,PRON,PER,my,9784,9786,24
174,2233,2233,PRON,PER,I,9902,9903,24
174,2249,2249,PRON,PER,me,9956,9958,24
174,2255,2256,NOM,PER,the visitor,9979,9990,24
174,2262,2262,PRON,PER,My,10009,10011,24
174,2280,2280,PRON,PER,him,10086,10089,24
174,2284,2284,PRON,PER,him,10105,10108,24
174,2293,2293,PRON,PER,him,10141,10144,24
174,2314,2314,PRON,PER,he,10231,10233,24
174,2326,2326,PRON,PER,his,10283,10286,24
174,2345,2345,PRON,PER,he,10387,10389,24
174,2374,2374,PRON,PER,his,10507,10510,24
174,2392,2393,NOM,PER,The visitor,10592,10603,24
174,2418,2418,PRON,PER,he,10722,10724,24
174,2429,2429,PRON,PER,he,10773,10775,24
174,2451,2451,PRON,PER,him,10896,10899,24
174,2463,2463,PRON,PER,he,10948,10950,24
174,2470,2470,PRON,PER,He,10980,10982,24
174,2476,2476,PRON,PER,himself,11007,11014,24
174,2483,2483,PRON,PER,he,11045,11047,24
74,2491,2494,PROP,PER,MR . TEDDY HENFREY,11080,11097,17
174,2524,2524,PRON,PER,he,11235,11237,24
74,2530,2531,PROP,PER,Teddy Henfrey,11259,11272,17
174,2544,2544,PRON,PER,My,11312,11314,24
174,2552,2552,PRON,PER,he,11339,11341,24
174,2579,2579,PRON,PER,he,11463,11465,24
174,2581,2581,PRON,PER,his,11470,11473,24
174,2584,2584,PRON,PER,him,11483,11486,24
174,2588,2588,PRON,PER,you,11493,11496,24
74,2592,2593,PROP,PER,Mr. Teddy,11506,11515,17
174,2605,2605,PRON,PER,you,11544,11547,24
74,2984,2986,PROP,PER,Mr. Teddy Henfrey,13218,13235,17
74,2997,2997,PRON,PER,He,13287,13289,17
74,3000,3000,PRON,PER,he,13295,13297,17
152,3014,3015,NOM,PER,the stranger,13343,13355,24
74,3020,3021,PROP,PER,Mr. Henfrey,13374,13385,17
74,3039,3039,PRON,PER,I,13454,13455,17
74,3044,3045,PROP,PER,Mr. Henfrey,13468,13479,17
152,3061,3062,NOM,PER,the stranger,13530,13542,24
152,3117,3118,NOM,PER,the stranger,13740,13752,24
152,3128,3128,PRON,PER,I,13781,13782,24
74,3159,3160,PROP,PER,Mr. Henfrey,13908,13919,17
74,3169,3170,PROP,PER,Mr. Henfrey,13943,13954,17
74,3182,3182,PRON,PER,him,14027,14030,17
152,3184,3185,NOM,PER,The stranger,14032,14044,24
152,3189,3189,PRON,PER,his,14063,14066,24
152,3196,3196,PRON,PER,his,14097,14100,24
152,3199,3199,PRON,PER,his,14114,14117,24
152,3207,3207,PRON,PER,he,14141,14143,24
152,3219,3219,PRON,PER,I,14183,14184,24
152,3221,3221,PRON,PER,I,14191,14192,24
74,3267,3268,PROP,PER,Mr. Henfrey,14401,14412,17
74,3281,3281,PRON,PER,his,14479,14482,17
74,3288,3288,PRON,PER,him,14515,14518,17
74,3320,3320,PRON,PER,he,14662,14664,17
74,3333,3333,PRON,PER,I,14715,14716,17
74,3338,3338,PRON,PER,he,14734,14736,17
74,3343,3343,PRON,PER,I,14750,14751,17
74,3355,3355,PRON,PER,I,14804,14805,17
74,3377,3377,PRON,PER,my,14894,14896,17
74,3402,3402,PRON,PER,I,15007,15008,17
74,3411,3411,PRON,PER,my,15049,15051,17
74,3423,3423,PRON,PER,My,15085,15087,17
74,3431,3431,PRON,PER,he,15117,15119,17
74,3449,3449,PRON,PER,I,15202,15203,17
74,3457,3457,PRON,PER,my,15235,15237,17
74,3463,3463,PRON,PER,my,15259,15261,17
74,3488,3488,PRON,PER,My,15369,15371,17
74,3497,3497,PRON,PER,I,15416,15417,17
74,3501,3501,PRON,PER,myself,15431,15437,17
74,3511,3511,PRON,PER,myself,15478,15484,17
74,3548,3548,PRON,PER,me,15661,15663,17
152,3583,3583,PRON,PER,I,15794,15795,24
