COREF,matches,pdncID
150,[24],24
70,[],-1
151,[],-1
152,[24],24
153,[],-1
1414,[],-1
1415,[],-1
154,[],-1
71,"[15, 7]",-1
155,[],-1
156,[],-1
157,[],-1
158,[],-1
4,[],-1
1416,[],-1
72,[],-1
159,[],-1
160,[],-1
161,[],-1
162,[],-1
1417,[],-1
1418,[],-1
1419,[],-1
1421,[],-1
164,[],-1
1423,[],-1
166,[],-1
170,[],-1
1426,[],-1
174,[24],24
1427,[],-1
1428,[],-1
1429,[],-1
1430,[],-1
3,[],-1
1431,[],-1
179,[],-1
1432,[],-1
1434,[],-1
1435,[],-1
1436,[],-1
1438,[],-1
1439,[],-1
1440,[],-1
73,"[12, 12, 12]",12
1445,[],-1
184,[],-1
187,[],-1
74,"[17, 17, 17, 17, 17, 17]",17
190,[],-1
194,[],-1
1451,[],-1
196,[],-1
1453,[],-1
203,[],-1
204,[],-1
205,[],-1
1455,[],-1
1459,[],-1
212,[],-1
213,[],-1
214,[],-1
215,[],-1
216,[],-1
1463,[1],1
1465,[],-1
75,[],-1
217,[],-1
218,[],-1
219,[],-1
220,[],-1
5,[],-1
221,[],-1
6,[],-1
1466,[],-1
1467,[],-1
1468,[],-1
222,[],-1
1470,[],-1
1471,[],-1
1472,[],-1
1473,[],-1
223,[],-1
224,[],-1
76,[],-1
225,[],-1
1474,[],-1
226,[],-1
77,"[7, 7]",7
227,[],-1
235,[],-1
236,[],-1
78,[],-1
237,[],-1
238,[],-1
239,[],-1
240,[],-1
79,[6],6
241,[],-1
242,[],-1
243,[],-1
244,[],-1
246,[],-1
247,[],-1
248,[],-1
249,[],-1
252,[],-1
253,[],-1
256,[],-1
259,[],-1
1475,[],-1
1476,[],-1
260,[],-1
80,"[8, 8]",8
261,[],-1
262,[],-1
81,"[13, 13, 13, 13]",13
263,[],-1
265,[],-1
266,[],-1
1477,[],-1
1478,[],-1
269,[0],0
270,[],-1
271,[],-1
275,[],-1
279,[],-1
281,[],-1
1483,[],-1
1484,[],-1
287,[],-1
288,[],-1
1485,[],-1
82,"[5, 5]",5
0,[],-1
291,[],-1
292,[],-1
1486,[],-1
1487,[],-1
294,[],-1
295,[],-1
296,[],-1
297,[],-1
299,[],-1
300,[],-1
302,[],-1
303,[],-1
304,[],-1
305,[],-1
1488,[],-1
307,[],-1
84,[],-1
310,[],-1
311,[],-1
313,[],-1
315,[],-1
316,[],-1
318,[],-1
85,[16],16
319,[],-1
321,[],-1
323,[],-1
324,[],-1
325,[],-1
326,[],-1
327,[],-1
86,[],-1
329,[],-1
330,[],-1
331,[],-1
332,[],-1
333,[],-1
335,[],-1
87,[],-1
88,[],-1
336,[],-1
337,[],-1
339,[],-1
340,[],-1
341,[],-1
7,[],-1
343,[],-1
345,[],-1
346,[],-1
351,[],-1
353,"[3, 3]",3
354,[],-1
1489,[],-1
356,[],-1
1490,[],-1
357,[],-1
1493,[],-1
1494,[],-1
1496,[],-1
89,"[14, 3]",-1
1498,[],-1
90,"[3, 3]",3
358,[],-1
360,[],-1
8,[],-1
363,[],-1
364,[],-1
365,[],-1
366,[],-1
368,[],-1
369,[],-1
373,[],-1
377,[],-1
378,[],-1
379,[],-1
381,[],-1
382,[],-1
387,[],-1
389,[],-1
390,[],-1
395,[],-1
396,[],-1
91,[],-1
399,[],-1
400,[],-1
403,[],-1
404,[],-1
407,[],-1
409,[],-1
414,[],-1
415,[],-1
418,[],-1
92,[7],7
93,[15],15
419,[],-1
1499,[],-1
420,[],-1
421,[],-1
423,[],-1
424,[],-1
428,[],-1
1500,[],-1
430,[],-1
432,[],-1
434,[],-1
1501,[],-1
1502,[],-1
1504,[],-1
1505,[],-1
438,[],-1
439,[],-1
440,[],-1
442,[],-1
94,[],-1
446,[],-1
447,[],-1
1506,[],-1
448,[],-1
453,[],-1
454,[],-1
1507,[],-1
1508,[],-1
460,[],-1
95,[],-1
461,[],-1
465,[],-1
96,[],-1
466,[],-1
467,[],-1
98,[],-1
469,[],-1
9,[],-1
470,[],-1
471,[],-1
472,[],-1
474,[],-1
475,[],-1
476,[],-1
99,[],-1
100,[],-1
477,[],-1
478,[],-1
482,[],-1
483,[],-1
485,[],-1
486,[],-1
490,[],-1
