exp_name,text,start_byte,end_byte,pdncID
the man with the black beard,the man with the black beard,123540,123568,25
the man with the black beard,the man with the black beard,124244,124272,25
the man with the black beard,the man with the black beard,125032,125060,25
the man with the black beard,the man with the black beard,125395,125423,25
the man with the black beard,the man with the black beard,128825,128853,25
the man with the black beard,the man with the black beard,129206,129234,25
the second policeman,The second policeman,253826,253846,28
the second policeman,the second policeman,254759,254779,28
the second policeman,The second policeman,255473,255493,28
the second policeman,The second policeman,256046,256066,28
the man on the floor,the man on the floor,255286,255306,28
one of the policemen,one of the policemen,252957,252977,28
one of the policemen,one of the policemen,253073,253093,28
a lady in the group,a lady in the group,24936,24955,0
a black-bearded man,a black-bearded man,122402,122421,25
the first policeman,the first policeman,254350,254369,22
the first policeman,the first policeman,255624,255643,22
the anaemic cabman,the anaemic cabman,122563,122581,20
the anaemic cabman,the anaemic cabman,124977,124995,20
mr. thomas marvel,MR. THOMAS MARVEL,72376,72393,12
mr. thomas marvel,Mr. Thomas Marvel,72413,72430,12
mr. thomas marvel,Mr. Thomas Marvel,72838,72855,12
mr. thomas marvel,Mr. Thomas Marvel,73407,73424,12
mr. thomas marvel,Mr. Thomas Marvel,73923,73940,12
mr. thomas marvel,Mr. Thomas Marvel,74767,74784,12
mr. thomas marvel,Mr. Thomas Marvel,75110,75127,12
mr. thomas marvel,Mr. Thomas Marvel,75431,75448,12
mr. thomas marvel,Mr. Thomas Marvel,75612,75629,12
mr. thomas marvel,Mr. Thomas Marvel,75704,75721,12
mr. thomas marvel,Mr. Thomas Marvel,75764,75781,12
mr. thomas marvel,Mr. Thomas Marvel,75902,75919,12
mr. thomas marvel,Mr. Thomas Marvel,76184,76201,12
mr. thomas marvel,Mr. Thomas Marvel,77177,77194,12
mr. thomas marvel,Mr. Thomas Marvel,77349,77366,12
mr. thomas marvel,Mr. Thomas Marvel,77919,77936,12
mr. thomas marvel,Mr. Thomas Marvel,78415,78432,12
mr. thomas marvel,Mr. Thomas Marvel,80581,80598,12
mr. teddy henfrey,MR. TEDDY HENFREY,11080,11097,17
mr. teddy henfrey,Mr. Teddy Henfrey,13218,13235,17
mr. teddy henfrey,Mr. Teddy Henfrey,34523,34540,17
mr. teddy henfrey,Mr. Teddy Henfrey,48601,48618,17
mr. teddy henfrey,Mr. Teddy Henfrey,61811,61828,17
mr. teddy henfrey,Mr. Teddy Henfrey,97646,97663,17
the invisible man,The Invisible Man,7,24,24
the invisible man,the Invisible Man,68008,68025,24
the invisible man,the Invisible Man,71121,71138,24
the invisible man,the Invisible Man,88905,88922,24
the invisible man,the Invisible Man,94026,94043,24
the invisible man,the Invisible Man,94115,94132,24
the invisible man,THE INVISIBLE MAN,94613,94630,24
the invisible man,the Invisible Man,98889,98906,24
the invisible man,the Invisible Man,100485,100502,24
the invisible man,the Invisible Man,101625,101642,24
the invisible man,the Invisible Man,102529,102546,24
the invisible man,the Invisible Man,102705,102722,24
the invisible man,The Invisible Man,103722,103739,24
the invisible man,the Invisible Man,107761,107778,24
the invisible man,the Invisible Man,108861,108878,24
the invisible man,The Invisible Man,122122,122139,24
the invisible man,The Invisible Man,122151,122168,24
the invisible man,the Invisible Man,128164,128181,24
the invisible man,the Invisible Man,134652,134669,24
the invisible man,The Invisible Man,135357,135374,24
the invisible man,the Invisible Man,135497,135514,24
the invisible man,the Invisible Man,135641,135658,24
the invisible man,the Invisible Man,135773,135790,24
the invisible man,the Invisible Man,138241,138258,24
the invisible man,the Invisible Man,139149,139166,24
the invisible man,the Invisible Man,139286,139303,24
the invisible man,the Invisible Man,139910,139927,24
the invisible man,the Invisible Man,140869,140886,24
the invisible man,The Invisible Man,141935,141952,24
the invisible man,the Invisible Man,142280,142297,24
the invisible man,The Invisible Man,142488,142505,24
the invisible man,The Invisible Man,143013,143030,24
the invisible man,the Invisible Man,143189,143206,24
the invisible man,THE INVISIBLE MAN,143291,143308,24
the invisible man,the Invisible Man,143343,143360,24
the invisible man,the Invisible Man,143951,143968,24
the invisible man,the Invisible Man,149285,149302,24
the invisible man,The Invisible Man,150140,150157,24
the invisible man,the Invisible Man,150515,150532,24
the invisible man,the Invisible Man,150630,150647,24
the invisible man,The Invisible Man,151033,151050,24
the invisible man,The Invisible Man,151179,151196,24
the invisible man,The Invisible Man,158805,158822,24
the invisible man,the Invisible Man,160511,160528,24
the invisible man,the Invisible Man,160886,160903,24
the invisible man,the Invisible Man,168236,168253,24
the invisible man,the Invisible Man,168359,168376,24
the invisible man,The Invisible Man,189067,189084,24
the invisible man,the Invisible Man,201204,201221,24
the invisible man,The Invisible Man,211506,211523,24
the invisible man,the Invisible Man,215162,215179,24
the invisible man,the Invisible Man,218848,218865,24
the invisible man,the Invisible Man,220833,220850,24
the invisible man,the Invisible Man,221145,221162,24
the invisible man,the Invisible Man,221239,221256,24
the invisible man,The Invisible Man,221722,221739,24
the invisible man,the Invisible Man,223979,223996,24
the invisible man,The Invisible Man,224444,224461,24
the invisible man,the Invisible Man,224595,224612,24
the invisible man,The Invisible Man,224756,224773,24
the invisible man,the Invisible Man,224967,224984,24
the invisible man,the Invisible Man,225175,225192,24
the invisible man,THE INVISIBLE MAN,227022,227039,24
the invisible man,The Invisible Man,230795,230812,24
the invisible man,the Invisible Man,231025,231042,24
