source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,the invisible man,The Invisible Man,7,24,24
exp,exp_name,the stranger,The stranger,87,99,24
booknlp,COREF,152,his,314,317,24
booknlp,COREF,152,He,339,341,24
booknlp,COREF,152,his,392,395,24
booknlp,COREF,152,his,428,431,24
booknlp,COREF,152,his,458,461,24
booknlp,COREF,152,his,502,505,24
booknlp,COREF,152,he,565,567,24
booknlp,COREF,152,He,577,579,24
booknlp,COREF,152,his,650,653,24
booknlp,COREF,152,he,682,684,24
booknlp,COREF,152,He,743,745,24
booknlp,COREF,152,himself,782,789,24
exp,exp_name,mrs. hall,Mrs. Hall,815,824,15
booknlp,COREF,152,his,858,861,24
booknlp,COREF,152,he,958,960,24
booknlp,COREF,152,his,969,972,24
exp,exp_name,mrs. hall,Mrs. Hall,995,1004,15
booknlp,COREF,152,him,1027,1030,24
booknlp,COREF,152,him,1063,1066,24
booknlp,COREF,152,his,1624,1627,24
booknlp,COREF,152,his,1656,1659,24
booknlp,COREF,152,His,1735,1738,24
booknlp,COREF,152,him,1772,1775,24
booknlp,COREF,152,he,1781,1783,24
booknlp,COREF,152,his,1869,1872,24
pdnc,qID,Q1-0,your,1920,1924,24
pdnc,qID,Q1-0,sir,1939,1942,24
booknlp,COREF,152,he,2005,2007,24
booknlp,COREF,152,him,2062,2065,24
booknlp,COREF,152,He,2106,2108,24
booknlp,COREF,152,his,2116,2119,24
booknlp,COREF,152,his,2148,2151,24
booknlp,COREF,152,I,2163,2164,24
booknlp,COREF,152,he,2190,2192,24
booknlp,COREF,152,he,2234,2236,24
booknlp,COREF,152,his,2312,2315,24
booknlp,COREF,152,his,2348,2351,24
pdnc,qID,Q3-0,sir,2382,2385,24
pdnc,qID,Q3-1,you,2404,2407,24
booknlp,COREF,152,He,2450,2452,24
booknlp,COREF,152,his,2484,2487,24
exp,exp_name,mrs. hall,Mrs. Hall,2518,2527,15
booknlp,COREF,152,he,2687,2689,24
exp,exp_name,a man,a man,2721,2726,1
booknlp,COREF,152,his,2737,2740,24
booknlp,COREF,152,his,2755,2758,24
booknlp,COREF,152,his,2777,2780,24
booknlp,COREF,152,his,2819,2822,24
booknlp,COREF,152,him,2940,2943,24
pdnc,qID,Q4-0,Your,2946,2950,24
pdnc,qID,Q4-0,sir,2968,2971,24
pdnc,qID,Q5-0,you,2982,2985,15
booknlp,COREF,152,he,2988,2990,24
booknlp,COREF,152,he,3068,3070,24
booknlp,COREF,152,him,3655,3658,24
booknlp,COREF,152,he,3997,3999,24
booknlp,COREF,152,he,4446,4448,24
booknlp,COREF,152,his,4460,4463,24
booknlp,COREF,152,him,4539,4542,24
booknlp,COREF,152,He,4569,4571,24
booknlp,COREF,152,he,4610,4612,24
booknlp,COREF,152,him,4630,4633,24
booknlp,COREF,152,his,4657,4660,24
booknlp,COREF,152,his,4675,4678,24
booknlp,COREF,152,his,4745,4748,24
exp,exp_name,mrs. hall,Mrs. Hall,4799,4808,15
booknlp,COREF,152,his,4835,4838,24
booknlp,COREF,152,his,4854,4857,24
booknlp,COREF,152,his,4928,4931,24
booknlp,COREF,152,his,4961,4964,24
booknlp,COREF,152,his,4993,4996,24
booknlp,COREF,152,He,5077,5079,24
booknlp,COREF,152,his,5167,5170,24
booknlp,COREF,152,him,5303,5306,24
booknlp,COREF,152,He,5450,5452,24
booknlp,COREF,152,his,5573,5576,24
booknlp,COREF,152,he,5620,5622,24
pdnc,qID,Q10-0,sir,5809,5812,24
pdnc,qID,Q11-0,you,5871,5874,15
booknlp,COREF,152,he,5877,5879,24
pdnc,qID,Q12-0,sir,5976,5979,24
booknlp,COREF,152,his,6013,6016,24
booknlp,COREF,152,his,6057,6060,24
booknlp,COREF,152,his,6141,6144,24
booknlp,COREF,152,his,6174,6177,24
exp,exp_name,the visitor,The visitor,6472,6483,24
booknlp,COREF,152,He,6525,6527,24
booknlp,COREF,152,he,6569,6571,24
booknlp,COREF,152,his,6580,6583,24
booknlp,COREF,152,his,6607,6610,24
booknlp,COREF,152,He,6617,6619,24
booknlp,COREF,152,his,6735,6738,24
booknlp,COREF,152,he,6901,6903,24
booknlp,COREF,152,his,6949,6952,24
pdnc,qID,Q14-0,The poor soul,6961,6974,24
exp,exp_name,mrs. hall,Mrs. Hall,7029,7038,15
pdnc,qID,Q15-0,he,7218,7220,24
booknlp,COREF,152,his,7282,7285,24
pdnc,qID,Q16-0,his,7356,7359,24
pdnc,qID,Q16-0,his,7412,7415,24
booknlp,COREF,152,you,7557,7560,24
exp,exp_name,mrs. hall,Mrs. Hall,7600,7609,15
exp,exp_name,the stranger,the stranger,7629,7641,24
booknlp,COREF,152,his,7665,7668,24
booknlp,COREF,152,him,7742,7745,24
booknlp,COREF,152,he,7783,7785,24
booknlp,COREF,152,he,7848,7850,24
booknlp,COREF,152,he,7883,7885,24
booknlp,COREF,152,his,7922,7925,24
booknlp,COREF,152,his,7956,7959,24
booknlp,COREF,152,he,8008,8010,24
booknlp,COREF,152,He,8047,8049,24
booknlp,COREF,152,his,8073,8076,24
booknlp,COREF,152,his,8279,8282,24
booknlp,COREF,152,I,8326,8327,24
booknlp,COREF,152,he,8348,8350,24
booknlp,COREF,152,he,8388,8390,24
booknlp,COREF,152,he,8405,8407,24
booknlp,COREF,152,He,8428,8430,24
booknlp,COREF,152,his,8437,8440,24
booknlp,COREF,152,he,8521,8523,24
exp,exp_name,mrs. hall,Mrs. Hall,8677,8686,15
booknlp,COREF,152,his,8712,8715,24
pdnc,qID,Q20-0,sir,8788,8791,24
pdnc,qID,Q21-0,sir,8998,9001,24
exp,exp_name,the visitor,the visitor,9041,9052,24
booknlp,COREF,152,he,9095,9097,24
booknlp,COREF,152,his,9111,9114,24
booknlp,COREF,152,his,9151,9154,24
booknlp,COREF,152,my,9244,9246,24
booknlp,COREF,73,Tom,9261,9264,12
booknlp,COREF,152,me,9340,9342,24
pdnc,qID,Q23-0,sir,9372,9375,24
pdnc,qID,Q23-0,You,9377,9380,24
booknlp,COREF,152,me,9421,9423,24
pdnc,qID,Q23-0,sir,9445,9448,24
booknlp,COREF,174,I,9453,9454,24
exp,exp_name,the visitor,the visitor,9488,9499,24
pdnc,qID,Q25-0,sir,9581,9584,24
exp,exp_name,the visitor,The visitor,9588,9599,24
booknlp,COREF,174,he,9641,9643,24
booknlp,COREF,174,his,9671,9674,24
booknlp,COREF,174,he,9694,9696,24
pdnc,qID,Q27-0,sir,9713,9716,24
booknlp,COREF,174,I,9778,9779,24
booknlp,COREF,174,my,9784,9786,24
pdnc,qID,Q27-0,sir,9864,9867,24
booknlp,COREF,174,I,9902,9903,24
pdnc,qID,Q27-0,sir,9935,9938,24
pdnc,qID,Q28-0,you,9948,9951,15
booknlp,COREF,174,me,9956,9958,24
exp,exp_name,the visitor,the visitor,9979,9990,24
booknlp,COREF,174,My,10009,10011,24
exp,exp_name,mrs. hall,Mrs. Hall,10027,10036,15
booknlp,COREF,174,him,10086,10089,24
booknlp,COREF,174,him,10105,10108,24
booknlp,COREF,174,him,10141,10144,24
booknlp,COREF,174,he,10231,10233,24
booknlp,COREF,174,his,10283,10286,24
booknlp,COREF,174,he,10387,10389,24
booknlp,COREF,174,his,10507,10510,24
exp,exp_name,the visitor,The visitor,10592,10603,24
booknlp,COREF,174,he,10722,10724,24
booknlp,COREF,174,he,10773,10775,24
booknlp,COREF,174,him,10896,10899,24
booknlp,COREF,174,he,10948,10950,24
booknlp,COREF,174,He,10980,10982,24
booknlp,COREF,174,himself,11007,11014,24
booknlp,COREF,174,he,11045,11047,24
exp,exp_name,mr. teddy henfrey,MR. TEDDY HENFREY,11080,11097,17
exp,exp_name,mrs. hall,Mrs. Hall,11165,11174,15
booknlp,COREF,174,he,11235,11237,24
exp,exp_name,teddy henfrey,Teddy Henfrey,11259,11272,17
booknlp,COREF,174,My,11312,11314,24
pdnc,qID,Q30-0,Mrs. Hall,11322,11331,15
booknlp,COREF,174,he,11339,11341,24
exp,exp_name,mrs. hall,Mrs. Hall,11428,11437,15
booknlp,COREF,174,he,11463,11465,24
booknlp,COREF,174,his,11470,11473,24
