COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
92,1210,1212,PROP,PER,Mr. Lucian Gregory,5818,5836,13
92,1244,1244,PRON,PER,He,5955,5957,13
93,1648,1649,PROP,PER,Gabriel Syme,7963,7975,9
92,1694,1694,PROP,PER,Gregory,8187,8194,13
93,1708,1708,PROP,PER,Syme,8246,8250,9
92,1755,1757,PROP,PER,Mr. Lucian Gregory,8443,8461,13
92,1775,1775,PRON,PER,he,8527,8529,13
92,1779,1779,PRON,PER,his,8539,8542,13
92,1823,1823,PRON,PER,I,8738,8739,13
92,1832,1832,PRON,PER,I,8778,8779,13
92,1880,1880,PROP,PER,Gregory,9024,9031,13
93,2047,2048,PROP,PER,Mr. Syme,9849,9857,9
93,2184,2184,PRON,PER,you,10490,10493,9
93,2193,2193,PROP,PER,Syme,10532,10536,9
93,2198,2198,PRON,PER,you,10547,10550,9
93,2212,2212,PRON,PER,your,10605,10609,9
93,2319,2319,PRON,PER,your,11068,11072,9
93,2328,2328,PRON,PER,me,11109,11111,9
93,2340,2340,PRON,PER,your,11157,11161,9
93,2351,2351,PRON,PER,me,11211,11213,9
93,2360,2360,PRON,PER,me,11261,11263,9
93,2363,2363,PRON,PER,I,11274,11275,9
93,2369,2369,PRON,PER,you,11289,11292,9
93,2378,2378,PRON,PER,I,11332,11333,9
93,2380,2380,PRON,PER,you,11339,11342,9
93,2385,2385,PROP,PER,Syme,11353,11357,9
93,2397,2397,PRON,PER,I,11406,11407,9
93,2418,2418,PRON,PER,You,11506,11509,9
93,2434,2434,PRON,PER,I,11593,11594,9
93,2448,2448,PRON,PER,I,11662,11663,9
93,2452,2452,PRON,PER,I,11682,11683,9
93,2462,2462,PRON,PER,I,11731,11732,9
93,2483,2483,PRON,PER,me,11817,11819,9
93,2495,2495,PRON,PER,me,11870,11872,9
93,2545,2545,PRON,PER,you,12076,12079,9
93,2551,2551,PRON,PER,You,12097,12100,9
93,2600,2600,PROP,PER,Syme,12320,12324,9
93,2613,2613,PRON,PER,You,12383,12386,9
93,2651,2651,PRON,PER,I,12565,12566,9
93,2655,2655,PRON,PER,I,12579,12580,9
93,2688,2688,PROP,PER,Syme,12727,12731,9
93,2704,2704,PRON,PER,he,12786,12788,9
93,2774,2774,PRON,PER,you,13120,13123,9
93,2778,2778,PRON,PER,I,13135,13136,9
93,2785,2785,PROP,PER,Syme,13160,13164,9
93,2789,2789,PRON,PER,I,13174,13175,9
93,2812,2812,PRON,PER,You,13284,13287,9
93,2831,2831,PROP,PER,Syme,13357,13361,9
93,2844,2844,PRON,PER,I,13418,13419,9
93,2849,2849,PRON,PER,he,13428,13430,9
93,2854,2854,PRON,PER,I,13442,13443,9
93,2858,2858,PRON,PER,you,13460,13463,9
93,2862,2862,PRON,PER,your,13483,13487,9
93,2869,2869,PRON,PER,you,13520,13523,9
93,2903,2903,PRON,PER,you,13667,13670,9
93,2927,2927,PRON,PER,I,13757,13758,9
93,2929,2929,PRON,PER,your,13763,13767,9
93,2934,2934,PROP,PER,Syme,13782,13786,9
93,2954,2954,PRON,PER,My,13865,13867,9
93,2960,2960,PROP,PER,Syme,13887,13891,9
93,2985,2986,PROP,PER,Mr. Syme,14007,14015,9
93,2999,2999,PRON,PER,you,14057,14060,9
93,3010,3010,PRON,PER,you,14105,14108,9
93,3013,3013,PRON,PER,you,14119,14122,9
93,3018,3018,PROP,PER,Syme,14134,14138,9
93,3032,3032,PRON,PER,you,14178,14181,9
93,3045,3045,PRON,PER,My,14224,14226,9
112,3047,3048,PROP,PER,Miss Gregory,14232,14244,13
93,3052,3052,PROP,PER,Syme,14252,14256,9
112,3066,3066,PRON,PER,you,14322,14325,13
112,3069,3069,PRON,PER,you,14337,14340,13
112,3076,3076,PRON,PER,you,14359,14362,13
112,3079,3079,PRON,PER,you,14373,14376,13
112,3085,3085,PRON,PER,you,14391,14394,13
112,3094,3094,PRON,PER,you,14424,14427,13
112,3097,3097,PRON,PER,you,14438,14441,13
112,3107,3107,PRON,PER,you,14467,14470,13
112,3119,3119,PRON,PER,your,14512,14516,13
93,3166,3166,PRON,PER,him,14706,14709,9
93,3215,3215,PRON,PER,he,14944,14946,9
93,3231,3231,PRON,PER,I,15007,15008,9
93,3237,3237,PROP,PER,Syme,15028,15032,9
93,3261,3261,PRON,PER,He,15131,15133,9
93,3274,3274,PROP,PER,Syme,15185,15189,9
93,3286,3286,PRON,PER,his,15242,15245,9
93,3300,3300,PRON,PER,he,15302,15304,9
112,3334,3334,PROP,PER,Gregory,15456,15463,13
93,3339,3339,PRON,PER,his,15483,15486,9
93,3342,3342,PROP,PER,Syme,15496,15500,9
93,3361,3361,PRON,PER,his,15584,15587,9
93,3365,3365,PRON,PER,he,15602,15604,9
93,3375,3375,PRON,PER,his,15640,15643,9
93,3403,3403,PRON,PER,himself,15769,15776,9
93,3407,3407,PRON,PER,He,15790,15792,9
93,3415,3415,PRON,PER,He,15849,15851,9
93,3419,3419,PRON,PER,his,15871,15874,9
93,3437,3437,PRON,PER,him,15959,15962,9
93,3440,3440,PRON,PER,he,15969,15971,9
93,3460,3460,PRON,PER,him,16061,16064,9
93,3462,3462,PRON,PER,his,16070,16073,9
93,3478,3478,PRON,PER,He,16147,16149,9
93,3516,3516,PRON,PER,his,16314,16317,9
93,3520,3520,PRON,PER,his,16327,16330,9
93,3523,3523,PRON,PER,he,16345,16347,9
93,3537,3537,PRON,PER,he,16415,16417,9
93,3539,3539,PRON,PER,himself,16423,16430,9
93,3546,3546,PRON,PER,He,16462,16464,9
93,3554,3554,PRON,PER,his,16499,16502,9
93,3558,3558,PRON,PER,he,16515,16517,9
93,3580,3580,PRON,PER,he,16618,16620,9
93,3587,3587,PRON,PER,his,16651,16654,9
93,3610,3610,PRON,PER,his,16760,16763,9
93,3656,3656,PROP,PER,Syme,16986,16990,9
93,3664,3664,PRON,PER,he,17025,17027,9
93,3673,3673,PRON,PER,he,17064,17066,9
93,3718,3718,PRON,PER,him,17281,17284,9
112,3790,3790,PROP,PER,Gregory,17611,17618,13
93,3792,3792,PRON,PER,He,17620,17622,9
93,3807,3807,PRON,PER,his,17693,17696,9
93,3810,3810,PRON,PER,He,17703,17705,9
297,3819,3819,PROP,PER,Syme,17744,17748,9
112,3826,3826,PRON,PER,I,17784,17785,13
297,3830,3830,PRON,PER,you,17802,17805,9
112,3834,3834,PROP,PER,Gregory,17813,17820,13
112,3838,3838,PRON,PER,I,17829,17830,13
93,3854,3854,PROP,PER,Syme,17894,17898,9
112,3862,3862,PROP,PER,Gregory,17926,17933,13
93,3866,3866,PRON,PER,his,17950,17953,9
93,3891,3891,PRON,PER,he,18028,18030,9
297,3902,3902,PRON,PER,your,18073,18077,9
93,3945,3945,PROP,PER,Syme,18260,18264,9
112,3952,3952,PRON,PER,you,18293,18296,13
93,3964,3964,PRON,PER,I,18341,18342,9
112,3967,3967,PRON,PER,you,18355,18358,13
93,3985,3985,PRON,PER,he,18429,18431,9
93,3991,3991,PRON,PER,I,18447,18448,9
93,3994,3994,PRON,PER,you,18456,18459,9
112,4017,4017,PROP,PER,Gregory,18554,18561,13
112,4029,4029,PRON,PER,I,18602,18603,13
93,4053,4053,PROP,PER,Syme,18701,18705,9
93,4056,4056,PRON,PER,he,18714,18716,9
112,4066,4066,PROP,PER,Gregory,18783,18790,13
93,4080,4081,PROP,PER,Mr. Syme,18854,18862,9
93,4084,4084,PRON,PER,he,18865,18867,9
93,4090,4090,PRON,PER,you,18888,18891,9
93,4098,4098,PRON,PER,You,18940,18943,9
93,4102,4102,PRON,PER,me,18961,18963,9
112,4123,4123,PRON,PER,I,19044,19045,13
112,4128,4128,PROP,PER,Gregory,19065,19072,13
112,4148,4148,PRON,PER,I,19163,19164,13
93,4155,4155,PRON,PER,You,19198,19201,9
112,4158,4158,PRON,PER,me,19217,19219,13
93,4162,4162,PRON,PER,I,19224,19225,9
93,4169,4169,PROP,PER,Syme,19250,19254,9
112,4174,4174,PRON,PER,I,19271,19272,13
112,4177,4177,PRON,PER,my,19283,19285,13
93,4180,4180,PRON,PER,your,19295,19299,9
112,4196,4196,PROP,PER,Gregory,19368,19375,13
112,4209,4209,PRON,PER,I,19420,19421,13
93,4211,4211,PRON,PER,you,19429,19432,9
112,4213,4213,PRON,PER,I,19438,19439,13
112,4236,4236,PRON,PER,I,19534,19535,13
112,4239,4239,PRON,PER,I,19544,19545,13
112,4248,4248,PRON,PER,my,19585,19587,13
93,4258,4258,PRON,PER,you,19619,19622,9
93,4260,4260,PRON,PER,you,19628,19631,9
93,4265,4265,PRON,PER,you,19651,19654,9
93,4272,4272,PRON,PER,I,19672,19673,9
93,4277,4277,PRON,PER,You,19683,19686,9
112,4279,4279,PRON,PER,I,19692,19693,13
93,4298,4298,PROP,PER,Syme,19782,19786,9
93,4301,4301,PRON,PER,I,19789,19790,9
112,4306,4306,PRON,PER,you,19815,19818,13
112,4315,4315,PRON,PER,you,19862,19865,13
112,4318,4318,PRON,PER,you,19879,19882,13
112,4325,4325,PRON,PER,you,19912,19915,13
112,4339,4339,PROP,PER,Gregory,19976,19983,13
93,4342,4342,PRON,PER,him,19994,19997,9
93,4355,4355,PRON,PER,he,20048,20050,9
93,4359,4359,PRON,PER,you,20059,20062,9
93,4361,4361,PRON,PER,me,20069,20071,9
93,4364,4364,PRON,PER,You,20081,20084,9
93,4366,4366,PRON,PER,me,20091,20093,9
93,4378,4378,PRON,PER,You,20139,20142,9
93,4392,4392,PRON,PER,I,20195,20196,9
93,4397,4397,PROP,PER,Syme,20211,20215,9
93,4399,4399,PRON,PER,his,20223,20226,9
93,4413,4413,PRON,PER,he,20282,20284,9
93,4456,4456,PRON,PER,I,20479,20480,9
112,4502,4502,PROP,PER,Gregory,20698,20705,13
93,4504,4504,PRON,PER,his,20707,20710,9
93,4509,4509,PRON,PER,you,20728,20731,9
93,4522,4522,PROP,PER,Syme,20798,20802,9
93,4526,4526,PRON,PER,his,20822,20825,9
112,4532,4532,PROP,PER,Gregory,20854,20861,13
93,4535,4535,PRON,PER,his,20875,20878,9
93,4539,4539,PRON,PER,You,20887,20890,9
93,4553,4553,PRON,PER,you,20951,20954,9
93,4563,4563,PROP,PER,Syme,20978,20982,9
93,4580,4580,PRON,PER,I,21044,21045,9
112,4582,4582,PRON,PER,you,21050,21053,13
112,4590,4590,PRON,PER,your,21090,21094,13
112,4594,4594,PRON,PER,you,21118,21121,13
93,4599,4599,PRON,PER,I,21143,21144,9
112,4605,4605,PRON,PER,you,21166,21169,13
112,4620,4620,PRON,PER,you,21229,21232,13
112,4625,4625,PRON,PER,you,21248,21251,13
112,4629,4629,PRON,PER,yourself,21267,21275,13
112,4634,4634,PRON,PER,you,21301,21304,13
112,4639,4639,PRON,PER,your,21328,21332,13
112,4645,4645,PRON,PER,you,21354,21357,13
112,4652,4652,PRON,PER,you,21392,21395,13
93,4658,4658,PRON,PER,I,21422,21423,9
112,4661,4661,PRON,PER,you,21437,21440,13
93,4666,4666,PRON,PER,You,21455,21458,9
93,4669,4669,PRON,PER,me,21472,21474,9
93,4675,4675,PROP,PER,Syme,21496,21500,9
93,4683,4683,PRON,PER,I,21525,21526,9
112,4686,4686,PRON,PER,you,21540,21543,13
93,4693,4693,PROP,PER,Syme,21574,21578,9
93,4697,4697,PRON,PER,his,21597,21600,9
112,4701,4701,PRON,PER,Your,21608,21612,13
93,4705,4705,PRON,PER,he,21621,21623,9
112,4717,4717,PRON,PER,You,21666,21669,13
93,4727,4727,PRON,PER,I,21710,21711,9
93,4731,4731,PRON,PER,I,21726,21727,9
93,4743,4743,PRON,PER,me,21780,21782,9
93,4768,4768,PRON,PER,I,21879,21880,9
112,4800,4800,PRON,PER,I,21999,22000,13
112,4805,4805,PROP,PER,Gregory,22014,22021,13
93,4820,4820,PRON,PER,He,22076,22078,9
112,4843,4843,PROP,PER,Gregory,22177,22184,13
93,4888,4889,PROP,PER,GABRIEL SYME,22407,22419,9
112,4904,4904,PROP,PER,Gregory,22501,22508,13
93,4907,4907,PRON,PER,his,22527,22530,9
112,4977,4977,PROP,PER,Gregory,22857,22864,13
112,4995,4995,PRON,PER,I,22922,22923,13
93,5002,5002,PROP,PER,Syme,22950,22954,9
93,5022,5022,PRON,PER,he,23048,23050,9
93,5035,5035,PRON,PER,me,23100,23102,9
93,5042,5042,PRON,PER,his,23133,23136,9
112,5072,5072,PROP,PER,Gregory,23269,23276,13
112,5083,5083,PRON,PER,I,23322,23323,13
112,5090,5090,PRON,PER,me,23346,23348,13
112,5094,5094,PRON,PER,myself,23360,23366,13
112,5096,5096,PRON,PER,I,23368,23369,13
112,5110,5110,PRON,PER,me,23430,23432,13
93,5126,5126,PRON,PER,you,23492,23495,9
93,5130,5132,PROP,PER,the motionless Syme,23503,23522,9
93,5135,5135,PRON,PER,You,23525,23528,9
93,5141,5141,PRON,PER,His,23546,23549,9
93,5168,5168,PROP,PER,Syme,23705,23709,9
93,5179,5179,PRON,PER,he,23758,23760,9
93,5192,5192,PRON,PER,me,23826,23828,9
93,5194,5194,PRON,PER,I,23832,23833,9
93,5196,5196,PRON,PER,myself,23840,23846,9
93,5201,5201,PRON,PER,he,23866,23868,9
112,5204,5204,PROP,PER,Gregory,23877,23884,13
93,5209,5209,PRON,PER,I,23896,23897,9
93,5227,5227,PRON,PER,me,23964,23966,9
112,5251,5251,PRON,PER,I,24058,24059,13
112,5257,5257,PROP,PER,Gregory,24078,24085,13
112,5286,5286,PRON,PER,I,24208,24209,13
93,5345,5345,PROP,PER,Syme,24478,24482,9
93,5348,5348,PRON,PER,his,24493,24496,9
112,5360,5360,PROP,PER,Gregory,24545,24552,13
93,5384,5384,PROP,PER,Syme,24629,24633,9
112,5407,5407,PROP,PER,Gregory,24729,24736,13
93,5413,5413,PRON,PER,he,24758,24760,9
93,5442,5442,PRON,PER,I,24886,24887,9
93,5458,5458,PRON,PER,I,24944,24945,9
93,5463,5463,PRON,PER,I,24960,24961,9
93,5469,5469,PROP,PER,Syme,24979,24983,9
93,5476,5476,PRON,PER,I,25008,25009,9
93,5478,5478,PRON,PER,I,25016,25017,9
93,5489,5489,PRON,PER,I,25071,25072,9
112,5498,5498,PROP,PER,Gregory,25100,25107,13
112,5510,5510,PRON,PER,mine,25145,25149,13
93,5513,5513,PROP,PER,Syme,25153,25157,9
93,5529,5529,PRON,PER,his,25221,25224,9
93,5536,5536,PRON,PER,his,25253,25256,9
93,5558,5558,PRON,PER,his,25336,25339,9
93,5561,5561,PRON,PER,he,25352,25354,9
93,5573,5573,PRON,PER,he,25419,25421,9
93,5581,5581,PRON,PER,he,25456,25458,9
112,5603,5603,PRON,PER,You,25546,25549,13
112,5611,5611,PROP,PER,Gregory,25574,25581,13
93,5628,5628,PROP,PER,Syme,25625,25629,9
93,5649,5649,PRON,PER,his,25709,25712,9
112,5726,5726,PROP,PER,Gregory,26070,26077,13
93,5741,5741,PROP,PER,Syme,26142,26146,9
112,5761,5761,PROP,PER,Gregory,26236,26243,13
93,5763,5763,PRON,PER,him,26248,26251,9
112,5819,5819,PROP,PER,Gregory,26491,26498,13
93,5832,5832,PRON,PER,him,26560,26563,9
93,5834,5834,PRON,PER,he,26568,26570,9
93,5839,5839,PRON,PER,he,26584,26586,9
93,5891,5891,PROP,PER,Syme,26830,26834,9
112,5916,5916,PRON,PER,I,26963,26964,13
93,5919,5919,PRON,PER,you,26974,26977,9
112,5922,5922,PRON,PER,me,26989,26991,13
112,5929,5929,PROP,PER,Gregory,27021,27028,13
93,5950,5950,PROP,PER,Syme,27093,27097,9
93,5953,5953,PRON,PER,I,27100,27101,9
93,5955,5955,PRON,PER,your,27107,27111,9
93,5964,5964,PRON,PER,he,27144,27146,9
93,5976,5976,PRON,PER,his,27207,27210,9
93,5988,5988,PRON,PER,he,27258,27260,9
93,5997,5997,PRON,PER,he,27310,27312,9
93,6110,6110,PROP,PER,Syme,27871,27875,9
93,6112,6112,PRON,PER,his,27884,27887,9
112,6128,6128,PRON,PER,my,27944,27946,13
93,6130,6131,PROP,PER,Mr. Syme,27952,27960,9
112,6135,6135,PROP,PER,Gregory,27968,27975,13
112,6138,6138,PRON,PER,himself,27986,27993,13
112,6175,6175,PRON,PER,I,28153,28154,13
112,6222,6222,PRON,PER,I,28371,28372,13
112,6266,6266,PRON,PER,I,28583,28584,13
93,6298,6298,PROP,PER,Syme,28723,28727,9
93,6303,6303,PRON,PER,I,28738,28739,9
93,6315,6315,PRON,PER,me,28789,28791,9
93,6329,6329,PRON,PER,me,28861,28863,9
93,6340,6340,PRON,PER,I,28908,28909,9
93,6352,6352,PRON,PER,I,28964,28965,9
93,6354,6354,PRON,PER,my,28971,28973,9
112,6389,6389,PROP,PER,Gregory,29109,29116,13
93,6501,6501,PROP,PER,Syme,29649,29653,9
93,6508,6508,PRON,PER,I,29680,29681,9
112,6510,6510,PRON,PER,you,29687,29690,13
93,6522,6522,PRON,PER,me,29748,29750,9
93,6526,6526,PRON,PER,You,29755,29758,9
112,6535,6535,PROP,PER,Gregory,29796,29803,13
93,6543,6543,PROP,PER,Syme,29831,29835,9
93,6561,6561,PRON,PER,I,29922,29923,9
93,6577,6577,PRON,PER,I,29987,29988,9
93,6625,6625,PRON,PER,I,30244,30245,9
93,6636,6636,PRON,PER,I,30293,30294,9
112,6674,6674,PROP,PER,Gregory,30487,30494,13
93,6727,6727,PROP,PER,Syme,30702,30706,9
112,6738,6738,PROP,PER,Gregory,30761,30768,13
93,7054,7054,PROP,PER,Syme,32169,32173,9
112,7057,7057,PRON,PER,You,32177,32180,13
112,7065,7065,PROP,PER,Gregory,32210,32217,13
112,7112,7112,PRON,PER,you,32407,32410,13
93,7343,7343,PROP,PER,Syme,33457,33461,9
93,7358,7358,PRON,PER,You,33524,33527,9
93,7385,7385,PRON,PER,you,33620,33623,9
93,7391,7391,PRON,PER,yours,33658,33663,9
112,7403,7403,PROP,PER,Gregory,33707,33714,13
93,7408,7408,PRON,PER,You,33733,33736,9
93,7447,7447,PRON,PER,you,33917,33920,9
93,7457,7457,PRON,PER,you,33971,33974,9
112,7463,7463,PRON,PER,I,33995,33996,13
93,7564,7564,PRON,PER,you,34482,34485,9
93,7569,7569,PROP,PER,Syme,34502,34506,9
93,7585,7585,PRON,PER,you,34571,34574,9
93,7588,7588,PRON,PER,you,34579,34582,9
93,7602,7602,PRON,PER,you,34640,34643,9
93,7647,7647,PRON,PER,you,34840,34843,9
93,7684,7684,PRON,PER,My,34998,35000,9
93,7690,7690,PROP,PER,Syme,35020,35024,9
93,7694,7694,PRON,PER,I,35036,35037,9
112,7696,7696,PRON,PER,you,35051,35054,13
112,7703,7703,PROP,PER,Gregory,35074,35081,13
93,7749,7749,PROP,PER,Syme,35285,35289,9
112,7815,7815,PRON,PER,I,35575,35576,13
112,7828,7828,PROP,PER,Gregory,35636,35643,13
93,7896,7896,PROP,PER,Syme,35931,35935,9
93,7905,7905,PRON,PER,his,35969,35972,9
93,7912,7912,PRON,PER,his,36004,36007,9
93,7927,7927,PRON,PER,he,36062,36064,9
93,7933,7933,PRON,PER,I,36086,36087,9
112,7935,7935,PRON,PER,you,36094,36097,13
93,7944,7944,PRON,PER,I,36132,36133,9
112,7947,7947,PRON,PER,you,36150,36153,13
112,7949,7949,PROP,PER,Gregory,36155,36162,13
93,7952,7952,PRON,PER,He,36165,36167,9
112,7971,7971,PRON,PER,you,36247,36250,13
93,7987,7987,PRON,PER,he,36317,36319,9
93,8002,8002,PRON,PER,I,36383,36384,9
93,8008,8008,PRON,PER,my,36406,36408,9
93,8012,8012,PRON,PER,I,36419,36420,9
112,8019,8019,PROP,PER,Gregory,36450,36457,13
93,8021,8021,PRON,PER,I,36459,36460,9
112,8023,8023,PRON,PER,you,36466,36469,13
93,8027,8027,PRON,PER,I,36487,36488,9
93,8035,8035,PRON,PER,I,36524,36525,9
112,8045,8045,PRON,PER,you,36566,36569,13
93,8047,8047,PRON,PER,me,36575,36577,9
93,8050,8050,PRON,PER,my,36583,36585,9
112,8069,8069,PROP,PER,Gregory,36654,36661,13
93,8078,8078,PROP,PER,Syme,36687,36691,9
93,8086,8086,PRON,PER,I,36720,36721,9
93,8091,8091,PRON,PER,I,36744,36745,9
112,8095,8095,PRON,PER,your,36761,36765,13
112,8102,8102,PRON,PER,you,36793,36796,13
