COREF,matches,pdncID
178,[],-1
87,[],-1
179,[],-1
180,[],-1
181,[],-1
182,[],-1
183,[],-1
0,[],-1
88,[],-1
185,[],-1
188,[],-1
189,[],-1
190,[],-1
191,[],-1
192,[],-1
193,[],-1
1,[],-1
196,[],-1
89,[],-1
90,[],-1
197,[],-1
198,[],-1
199,[],-1
200,[],-1
201,[],-1
203,[],-1
2,[],-1
204,[],-1
205,[],-1
3,[],-1
206,[],-1
91,[],-1
207,[],-1
208,[],-1
209,[],-1
210,[],-1
211,[],-1
212,[],-1
214,[],-1
2121,[],-1
216,[],-1
217,[],-1
218,[],-1
219,[],-1
220,[],-1
221,[],-1
222,[],-1
224,[],-1
225,[],-1
226,[],-1
227,[],-1
228,[],-1
229,[],-1
231,[],-1
232,[],-1
234,[],-1
237,[],-1
238,[],-1
239,[],-1
240,[],-1
241,[],-1
92,"[13, 13]",13
242,[],-1
243,[],-1
244,[],-1
245,[],-1
246,[],-1
247,[],-1
248,[],-1
249,[],-1
251,[],-1
252,[],-1
253,[],-1
254,[],-1
255,[],-1
256,[],-1
257,[],-1
258,[],-1
259,[],-1
93,"[9, 9, 9]",9
260,[],-1
261,[],-1
262,[],-1
263,[],-1
264,[],-1
94,[],-1
265,[],-1
2123,[],-1
266,[],-1
2124,[],-1
2125,[],-1
267,[],-1
268,[],-1
269,[],-1
95,"[17, 13]",-1
270,[],-1
271,[],-1
272,[],-1
2126,[],-1
2127,[],-1
2130,[],-1
2132,[],-1
2134,[],-1
4,[],-1
273,[],-1
2136,[],-1
2137,[],-1
2138,[],-1
2139,[],-1
2140,[],-1
2141,[],-1
96,[],-1
6,[],-1
7,[],-1
2143,[],-1
2144,[],-1
2145,[],-1
2146,[],-1
8,[],-1
2148,[],-1
2149,[],-1
2150,[],-1
97,[],-1
2152,[],-1
2153,[],-1
9,[],-1
2155,[],-1
2156,[],-1
2157,[],-1
98,[],-1
2158,[],-1
2160,[],-1
2163,[],-1
275,[],-1
2166,[],-1
277,[],-1
2167,[],-1
2168,[],-1
2169,[],-1
112,"[13, 13]",13
2171,[],-1
2172,[],-1
279,[],-1
2174,[],-1
281,[],-1
282,[],-1
283,[],-1
284,[],-1
285,[],-1
286,[],-1
289,[],-1
290,[],-1
291,[],-1
292,[],-1
293,[],-1
294,[],-1
295,[],-1
296,[],-1
297,[9],9
2175,[],-1
298,[],-1
2176,[],-1
2177,[],-1
2178,[],-1
2179,[],-1
10,[],-1
2180,[],-1
299,[],-1
2183,[],-1
2184,[],-1
2185,[],-1
2187,[],-1
2188,[],-1
2189,[],-1
2190,[],-1
2191,[],-1
2192,[],-1
2193,[],-1
300,[],-1
2196,[],-1
2197,[],-1
2198,[],-1
2199,[],-1
100,[],-1
302,[],-1
2201,[],-1
303,[],-1
304,[],-1
305,[],-1
306,[],-1
307,[],-1
308,[],-1
310,[],-1
311,[],-1
312,[],-1
313,[],-1
314,[],-1
315,[],-1
2202,[],-1
2203,[],-1
2204,[],-1
2205,[],-1
2206,[],-1
2207,[],-1
2208,[],-1
2209,[],-1
316,[],-1
319,[],-1
101,[],-1
320,[],-1
322,[],-1
321,[],-1
323,[],-1
324,[],-1
325,[],-1
326,[],-1
2212,[],-1
2213,[],-1
2214,[],-1
327,[],-1
2216,[],-1
2217,[],-1
2218,[],-1
2219,[],-1
102,[],-1
2220,[],-1
2221,[],-1
2222,[],-1
2223,[],-1
2224,[],-1
2226,[],-1
2227,[],-1
2229,[],-1
328,[],-1
2231,[],-1
2232,[],-1
2233,[],-1
2234,[],-1
2235,[],-1
2236,[],-1
2238,[],-1
2239,[],-1
2240,[],-1
2242,[],-1
12,[],-1
2243,[],-1
2244,[],-1
2245,[],-1
103,[],-1
2246,[],-1
2247,[],-1
2248,[],-1
2249,[],-1
2250,[],-1
2251,[],-1
13,[],-1
104,[],-1
105,[],-1
329,[],-1
2253,[],-1
14,[],-1
2256,[],-1
2257,[],-1
2258,[],-1
2260,[],-1
2261,[],-1
2262,[],-1
330,[],-1
2263,[],-1
2264,[],-1
2265,[],-1
2267,[],-1
2268,[],-1
2269,[],-1
2270,[],-1
2271,[],-1
2272,[],-1
2273,[],-1
2274,[],-1
331,[],-1
2275,[],-1
2277,[],-1
2279,[],-1
2281,[],-1
2282,[],-1
2283,[],-1
2284,[],-1
2285,[],-1
106,[],-1
2287,[],-1
334,[],-1
335,[],-1
2290,[],-1
2291,[],-1
2292,[],-1
2293,[],-1
15,[],-1
336,[],-1
2294,[],-1
2295,[],-1
107,[],-1
337,[],-1
108,[],-1
2296,[],-1
338,[],-1
2297,[],-1
2298,[],-1
2299,[],-1
2300,[],-1
2304,[22],22
2305,[],-1
2306,[],-1
2308,[],-1
2309,[],-1
339,[],-1
340,[],-1
343,[],-1
344,[],-1
109,[],-1
2311,[],-1
2312,[],-1
2313,[],-1
345,[],-1
2315,[],-1
346,[],-1
348,[],-1
110,"[19, 19]",19
349,[],-1
350,[],-1
2316,[],-1
351,[],-1
2317,[],-1
2318,[],-1
352,[],-1
353,[],-1
354,[],-1
355,[],-1
356,[],-1
357,[],-1
358,[],-1
2319,[],-1
111,[6],6
359,[],-1
2321,[],-1
2322,[],-1
2323,[],-1
2324,[],-1
2325,[],-1
16,[],-1
2326,[],-1
2328,[],-1
2329,[],-1
2330,[],-1
2331,[],-1
360,[],-1
361,[],-1
362,[],-1
363,[],-1
364,[],-1
366,[],-1
367,[],-1
368,[],-1
369,[],-1
370,[],-1
371,[],-1
372,[],-1
2334,[],-1
2335,[],-1
2338,[],-1
17,[],-1
2342,[],-1
2343,[],-1
2344,[],-1
2345,[],-1
2346,[],-1
2347,[],-1
2348,[],-1
2349,[],-1
2350,[],-1
2351,[],-1
373,[],-1
113,"[14, 14]",14
2355,[],-1
2356,[],-1
114,"[14, 14]",14
2357,[],-1
2359,[],-1
374,[],-1
2360,[],-1
2361,[],-1
376,[],-1
377,[],-1
115,[],-1
379,[],-1
380,[],-1
2364,[],-1
2368,[],-1
2369,[],-1
2370,[],-1
2372,[],-1
2373,[],-1
2374,[],-1
2376,[],-1
2377,[],-1
2378,[],-1
2379,[],-1
2380,[],-1
2381,[],-1
2383,[],-1
381,[],-1
2384,[],-1
2385,[],-1
2386,[],-1
2388,[],-1
2389,[],-1
2390,[],-1
2391,[],-1
2393,[],-1
2394,[],-1
2396,[],-1
2397,[],-1
2398,[],-1
116,"[9, 9]",9
384,[],-1
2401,[],-1
2402,[],-1
385,[],-1
117,"[6, 6]",6
2404,[],-1
388,[],-1
389,[],-1
390,[],-1
391,[],-1
2408,[],-1
2409,[],-1
393,[],-1
394,[],-1
396,[],-1
397,[],-1
398,[],-1
399,[],-1
400,[],-1
403,[],-1
2411,[],-1
2413,[],-1
2414,[],-1
405,[],-1
406,[],-1
408,[],-1
409,[],-1
2415,[],-1
410,[],-1
411,[],-1
413,[],-1
414,[],-1
415,[],-1
416,[],-1
417,[],-1
418,[],-1
419,[],-1
420,[],-1
421,[],-1
422,[],-1
425,[],-1
426,[],-1
427,[],-1
428,[],-1
430,[],-1
431,[],-1
432,[],-1
433,[],-1
435,[],-1
436,[],-1
437,[],-1
438,[],-1
18,[],-1
439,[],-1
440,[],-1
442,[],-1
443,[],-1
444,[],-1
19,[],-1
445,[],-1
20,[],-1
446,[],-1
447,[],-1
448,[],-1
450,[],-1
2416,[],-1
2417,[],-1
2419,[],-1
2420,[],-1
2421,[],-1
2422,[],-1
2423,[],-1
2424,[],-1
451,[22],22
2425,[],-1
2426,[],-1
2427,[],-1
21,[],-1
2428,[],-1
22,[],-1
455,[],-1
2434,[],-1
2435,[],-1
2437,[],-1
2438,[],-1
2439,[],-1
2440,[],-1
2441,[],-1
2442,[],-1
2443,[],-1
2444,[],-1
2445,[],-1
2446,[],-1
2447,[],-1
2449,[],-1
2450,[],-1
2451,[],-1
2452,[],-1
2453,[],-1
2454,[],-1
460,[],-1
2455,[],-1
2457,[],-1
2458,[],-1
2459,[],-1
2460,[],-1
23,[],-1
2463,[],-1
119,[],-1
2464,[],-1
2465,[],-1
2466,[],-1
2467,[],-1
2468,[],-1
2469,[],-1
2470,[],-1
2471,[],-1
2472,[],-1
2473,[],-1
2474,[],-1
2475,[],-1
2476,[],-1
2477,[],-1
2480,[],-1
120,[],-1
121,[],-1
2483,[],-1
2484,[],-1
2485,[],-1
2486,[],-1
2487,[],-1
2488,[],-1
2489,[],-1
2491,[],-1
2492,[],-1
2493,[],-1
2495,[],-1
2496,[],-1
2498,[],-1
2499,[],-1
2500,[],-1
2501,[],-1
2502,[],-1
2503,[],-1
2504,[],-1
2505,[],-1
2507,[],-1
2509,[],-1
2511,[],-1
2512,[],-1
463,[],-1
24,[],-1
25,[],-1
2513,[],-1
2514,[],-1
2515,[],-1
2516,[],-1
2517,[],-1
2519,[],-1
2521,[],-1
2523,[],-1
2524,[],-1
2526,[],-1
2527,[],-1
2528,[],-1
2530,[],-1
2533,[],-1
2534,[],-1
2535,[],-1
2536,[],-1
2537,[],-1
122,[],-1
2539,[],-1
467,[],-1
468,[],-1
469,[],-1
2540,[],-1
470,[],-1
472,[],-1
26,[],-1
474,[19],19
2543,[],-1
476,[],-1
477,[],-1
478,[],-1
479,[],-1
480,[],-1
2544,[],-1
483,[],-1
484,[],-1
485,[],-1
28,[],-1
486,[],-1
487,[],-1
489,[],-1
490,[],-1
491,[],-1
492,[],-1
123,[],-1
493,[],-1
494,[],-1
495,[],-1
496,[],-1
497,[],-1
498,[],-1
124,[],-1
499,[],-1
500,[],-1
501,[],-1
502,[],-1
503,[],-1
29,[],-1
30,[],-1
31,[],-1
504,[],-1
32,[],-1
505,[],-1
506,[],-1
508,[],-1
509,[],-1
510,[],-1
511,[],-1
512,[],-1
513,[],-1
514,[],-1
517,[],-1
518,[],-1
519,[],-1
523,[],-1
527,[],-1
528,[],-1
529,[],-1
530,[],-1
533,[],-1
2545,[],-1
33,[],-1
2546,[],-1
2547,[19],19
2548,[],-1
2549,[],-1
2550,[],-1
2551,[],-1
2552,[],-1
2554,[],-1
2556,[],-1
2557,[],-1
536,[],-1
2559,[],-1
538,[],-1
539,[],-1
540,[],-1
541,[],-1
542,[],-1
543,[],-1
34,[],-1
544,[],-1
545,[],-1
546,[],-1
547,[],-1
548,[],-1
549,[],-1
550,[],-1
551,[],-1
552,[],-1
554,[],-1
556,[],-1
558,[],-1
559,[],-1
560,[],-1
561,[],-1
562,[],-1
564,[],-1
566,[],-1
567,[],-1
568,[],-1
569,[],-1
570,[],-1
571,[],-1
2561,[],-1
2562,[],-1
2563,[],-1
572,[25],25
574,[],-1
575,[],-1
576,[],-1
577,[],-1
578,[],-1
579,[],-1
580,[],-1
581,[],-1
582,[],-1
583,[],-1
125,[],-1
586,[],-1
587,[],-1
588,[],-1
590,[],-1
592,[],-1
593,[],-1
594,[],-1
595,[],-1
596,[],-1
126,[10],10
599,[],-1
127,[10],10
2564,[],-1
2565,[],-1
2569,[],-1
2574,[],-1
2577,[],-1
128,[],-1
604,[],-1
606,[],-1
608,[],-1
609,[],-1
610,[],-1
611,[],-1
612,[],-1
614,[],-1
616,[],-1
129,[12],12
130,[12],12
617,[],-1
618,[],-1
131,[],-1
132,[],-1
620,[],-1
621,[],-1
622,[],-1
35,[],-1
623,[],-1
624,[],-1
625,[],-1
133,[16],16
626,[],-1
627,[],-1
628,[],-1
630,[],-1
134,[7],7
631,[],-1
632,[],-1
633,[],-1
634,[],-1
635,[],-1
636,[],-1
637,[],-1
638,[],-1
639,[],-1
640,[],-1
641,[],-1
642,[],-1
644,[],-1
645,[],-1
646,[],-1
647,[],-1
648,[],-1
651,[],-1
653,[],-1
654,[],-1
656,[],-1
657,[],-1
658,[],-1
659,[],-1
660,[],-1
36,[],-1
661,[],-1
662,[],-1
663,[],-1
664,[],-1
665,[],-1
666,[],-1
668,[],-1
669,[],-1
670,[24],24
672,[],-1
675,[],-1
678,[],-1
679,[],-1
680,[],-1
681,[],-1
682,[],-1
683,[],-1
684,[],-1
685,[],-1
686,[],-1
687,[],-1
689,[],-1
690,[],-1
693,[],-1
695,[],-1
699,[],-1
700,[],-1
701,[],-1
702,[],-1
703,[],-1
705,[],-1
706,[],-1
707,[],-1
708,[],-1
709,[],-1
710,[],-1
135,"[7, 7]",7
712,[12],12
714,[],-1
715,[],-1
