exp_name,text,start_byte,end_byte,pdncID
"the long, lean man with the american beard","the long, lean man with the American beard",54585,54627,21
the gentleman with the red rosette,the gentleman with the red rosette,187610,187644,5
another man in the same uniform,another man in the same uniform,300101,300132,4
one wondering labourer,one wondering labourer,136535,136557,15
a man in plain clothes,a man in plain clothes,274323,274345,1
the second gentleman,the second gentleman,187906,187926,23
the second gentleman,the second gentleman,188591,188611,23
inspector ratcliffe,Inspector Ratcliffe,206763,206782,12
inspector ratcliffe,Inspector Ratcliffe,209329,209348,12
inspector ratcliffe,Inspector Ratcliffe,239304,239323,12
inspector ratcliffe,Inspector Ratcliffe,241944,241963,12
inspector ratcliffe,Inspector Ratcliffe,260711,260730,12
inspector ratcliffe,Inspector Ratcliffe,271709,271728,12
inspector ratcliffe,Inspector Ratcliffe,286861,286880,12
the invisible chief,the invisible chief,73776,73795,19
comrade witherspoon,Comrade Witherspoon,47216,47235,14
comrade witherspoon,Comrade Witherspoon,47725,47744,14
comrade witherspoon,Comrade Witherspoon,48105,48124,14
comrade witherspoon,Comrade Witherspoon,49082,49101,14
professor de worms,Professor de Worms,93894,93912,16
professor de worms,PROFESSOR DE WORMS,112622,112640,16
professor de worms,Professor de Worms,119126,119144,16
professor de worms,Professor de Worms,122662,122680,16
professor de worms,Professor de Worms,123927,123945,16
professor de worms,Professor de Worms,128268,128286,16
professor de worms,Professor de Worms,130220,130238,16
professor de worms,Professor de Worms,134120,134138,16
professor de worms,Professor de Worms,137439,137457,16
professor de worms,Professor de Worms,138738,138756,16
professor de worms,Professor de Worms,144787,144805,16
professor de worms,Professor de Worms,146742,146760,16
professor de worms,Professor de Worms,147404,147422,16
professor de worms,Professor de Worms,148184,148202,16
professor de worms,Professor de Worms,152881,152899,16
professor de worms,Professor de Worms,153088,153106,16
professor de worms,Professor de Worms,153837,153855,16
mr. lucian gregory,Mr. Lucian Gregory,5818,5836,13
mr. lucian gregory,Mr. Lucian Gregory,8443,8461,13
president sunday,President Sunday,89198,89214,19
president sunday,President Sunday,103146,103162,19
president sunday,President Sunday,105261,105277,19
president sunday,President Sunday,106975,106991,19
president sunday,President Sunday,275508,275524,19
president sunday,President Sunday,286883,286899,19
mr. witherspoon,Mr. Witherspoon,47833,47848,14
mr. witherspoon,Mr. Witherspoon,55019,55034,14
comrade buttons,Comrade Buttons,42371,42386,6
colonel ducroix,Colonel Ducroix,193208,193223,5
colonel ducroix,Colonel Ducroix,194458,194473,5
colonel ducroix,Colonel Ducroix,201685,201700,5
colonel ducroix,Colonel Ducroix,202417,202432,5
colonel ducroix,Colonel Ducroix,203769,203784,5
colonel ducroix,Colonel Ducroix,208741,208756,5
colonel ducroix,Colonel Ducroix,208914,208929,5
colonel ducroix,Colonel Ducroix,221439,221454,5
colonel ducroix,Colonel Ducroix,226923,226938,5
colonel ducroix,Colonel Ducroix,256143,256158,5
a large old man,a large old man,43965,43980,0
comrade gregory,Comrade Gregory,40200,40215,13
comrade gregory,Comrade Gregory,44105,44120,13
comrade gregory,Comrade Gregory,44354,44369,13
comrade gregory,Comrade Gregory,48999,49014,13
comrade gregory,Comrade Gregory,50038,50053,13
comrade gregory,Comrade Gregory,50188,50203,13
comrade gregory,Comrade Gregory,50508,50523,13
comrade gregory,Comrade Gregory,50811,50826,13
comrade gregory,Comrade Gregory,51281,51296,13
comrade gregory,Comrade Gregory,51469,51484,13
comrade gregory,Comrade Gregory,51800,51815,13
comrade gregory,Comrade Gregory,52073,52088,13
comrade gregory,Comrade Gregory,55603,55618,13
comrade gregory,Comrade Gregory,56145,56160,13
one little man,one little man,40039,40053,6
the policeman,the policeman,63368,63381,22
the policeman,the policeman,63516,63529,22
the policeman,the policeman,63677,63690,22
the policeman,the policeman,63915,63928,22
the policeman,The policeman,64131,64144,22
the policeman,the policeman,65260,65273,22
the policeman,the policeman,67069,67082,22
the policeman,the policeman,69499,69512,22
the policeman,the policeman,71755,71768,22
the policeman,the policeman,72595,72608,22
the policeman,the policeman,72890,72903,22
the policeman,the policeman,74597,74610,22
the policeman,the policeman,105617,105630,22
the policeman,the policeman,132660,132673,22
the policeman,the policeman,132736,132749,22
the policeman,the policeman,132811,132824,22
the policeman,the policeman,132866,132879,22
the policeman,The policeman,152902,152915,22
the policeman,the policeman,224509,224522,22
the professor,the Professor,112384,112397,16
the professor,The Professor,117499,117512,16
the professor,the Professor,119344,119357,16
the professor,the Professor,119659,119672,16
the professor,the Professor,121557,121570,16
the professor,the Professor,122874,122887,16
the professor,THE PROFESSOR,130327,130340,16
the professor,the Professor,130501,130514,16
the professor,the Professor,130843,130856,16
the professor,the Professor,130890,130903,16
the professor,the professor,130969,130982,16
the professor,the Professor,132049,132062,16
the professor,the Professor,134402,134415,16
the professor,the Professor,136695,136708,16
the professor,the Professor,138501,138514,16
the professor,the Professor,138982,138995,16
the professor,The Professor,139777,139790,16
the professor,the Professor,141423,141436,16
the professor,the Professor,142431,142444,16
the professor,the Professor,142646,142659,16
the professor,the Professor,143681,143694,16
the professor,The Professor,145290,145303,16
the professor,the Professor,145638,145651,16
the professor,the Professor,145812,145825,16
the professor,the Professor,147035,147048,16
the professor,the Professor,147354,147367,16
the professor,the Professor,147695,147708,16
the professor,the Professor,151212,151225,16
the professor,the Professor,153960,153973,16
the professor,the Professor,154125,154138,16
the professor,The Professor,154841,154854,16
the professor,the Professor,155338,155351,16
the professor,the Professor,157454,157467,16
the professor,the Professor,157786,157799,16
the professor,the Professor,157993,158006,16
the professor,The Professor,159608,159621,16
the professor,The Professor,159888,159901,16
the professor,The Professor,160011,160024,16
the professor,the Professor,160164,160177,16
the professor,the Professor,160315,160328,16
the professor,the Professor,161079,161092,16
the professor,the Professor,164420,164433,16
the professor,the Professor,164756,164769,16
the professor,The Professor,165175,165188,16
the professor,the Professor,166167,166180,16
the professor,the Professor,166208,166221,16
the professor,the Professor,166967,166980,16
the professor,The Professor,168141,168154,16
the professor,the Professor,168528,168541,16
the professor,The Professor,168796,168809,16
the professor,The Professor,169477,169490,16
the professor,The Professor,169847,169860,16
the professor,The Professor,170314,170327,16
the professor,The Professor,170947,170960,16
the professor,the Professor,171918,171931,16
the professor,The Professor,172387,172400,16
the professor,The Professor,173382,173395,16
the professor,the Professor,176601,176614,16
the professor,the Professor,177642,177655,16
the professor,the Professor,177848,177861,16
the professor,the Professor,178376,178389,16
the professor,the Professor,179684,179697,16
the professor,the Professor,180246,180259,16
the professor,the Professor,181329,181342,16
the professor,The Professor,181728,181741,16
the professor,the Professor,184582,184595,16
the professor,the Professor,186777,186790,16
the professor,the Professor,193236,193249,16
the professor,the Professor,193844,193857,16
the professor,the Professor,195488,195501,16
the professor,The Professor,199935,199948,16
the professor,the Professor,205340,205353,16
the professor,the Professor,205733,205746,16
the professor,the Professor,206460,206473,16
the professor,The Professor,207049,207062,16
the professor,the Professor,210817,210830,16
the professor,the Professor,212453,212466,16
the professor,the Professor,230854,230867,16
the professor,the Professor,235708,235721,16
the professor,the Professor,237302,237315,16
the professor,the Professor,237818,237831,16
the professor,the Professor,239999,240012,16
the professor,the Professor,240217,240230,16
the professor,the Professor,240470,240483,16
the professor,the professor,243947,243960,16
the professor,the Professor,248248,248261,16
the professor,the Professor,248899,248912,16
the professor,the Professor,249335,249348,16
the professor,the Professor,249474,249487,16
the professor,the Professor,249950,249963,16
the professor,the Professor,252506,252519,16
the professor,the Professor,252788,252801,16
the professor,the Professor,253802,253815,16
the professor,the Professor,254829,254842,16
the professor,the Professor,255210,255223,16
the professor,the Professor,256224,256237,16
the professor,the Professor,258975,258988,16
the professor,the Professor,261277,261290,16
the professor,the Professor,261491,261504,16
the professor,the Professor,268138,268151,16
the professor,the Professor,280912,280925,16
the professor,the Professor,282776,282789,16
the professor,The Professor,288344,288357,16
the professor,The Professor,288515,288528,16
the professor,The Professor,290761,290774,16
the professor,the Professor,292269,292282,16
the professor,the Professor,294712,294725,16
the professor,the Professor,294855,294868,16
the professor,the Professor,307351,307364,16
the professor,The Professor,307600,307613,16
the professor,the Professor,313442,313455,16
the secretary,the Secretary,81671,81684,24
the secretary,the Secretary,91889,91902,24
the secretary,the Secretary,98811,98824,24
the secretary,the Secretary,102905,102918,24
the secretary,the Secretary,103831,103844,24
the secretary,the Secretary,104917,104930,24
the secretary,The Secretary,111793,111806,24
the secretary,The Secretary,115587,115600,24
the secretary,the Secretary,116009,116022,24
the secretary,The Secretary,116481,116494,24
the secretary,the Secretary,156058,156071,24
the secretary,the Secretary,156106,156119,24
the secretary,the Secretary,156242,156255,24
the secretary,the Secretary,178756,178769,24
the secretary,the Secretary,212007,212020,24
the secretary,the Secretary,223586,223599,24
the secretary,the Secretary,234502,234515,24
the secretary,the Secretary,236585,236598,24
the secretary,the Secretary,236889,236902,24
the secretary,the Secretary,256901,256914,24
the secretary,the Secretary,257787,257800,24
the secretary,The Secretary,258361,258374,24
the secretary,the Secretary,258833,258846,24
the secretary,the Secretary,259026,259039,24
the secretary,The Secretary,260212,260225,24
the secretary,the Secretary,261034,261047,24
the secretary,the Secretary,261443,261456,24
the secretary,the Secretary,264213,264226,24
the secretary,The Secretary,264646,264659,24
the secretary,The Secretary,264964,264977,24
the secretary,the Secretary,265562,265575,24
the secretary,the Secretary,268190,268203,24
the secretary,the Secretary,272795,272808,24
the secretary,the Secretary,273074,273087,24
the secretary,the Secretary,273871,273884,24
the secretary,the Secretary,279573,279586,24
the secretary,The Secretary,279623,279636,24
the secretary,the Secretary,279726,279739,24
the secretary,the Secretary,279784,279797,24
the secretary,the Secretary,279874,279887,24
the secretary,the Secretary,280061,280074,24
the secretary,the Secretary,280216,280229,24
